,CINF
2000-01-03,4944513307
2000-01-04,4939156305
2000-01-05,4990940662
2000-01-06,5021297010
2000-01-07,5121294390
2000-01-10,4980226657
2000-01-11,4939156305
2000-01-12,4980226657
2000-01-13,5040939352
2000-01-14,4919513962
2000-01-18,4778446230
2000-01-19,4839158925
2000-01-20,4687377187
2000-01-21,4869515272
2000-01-24,4814159580
2000-01-25,4787374567
2000-01-26,4908799957
2000-01-27,4717733535
2000-01-28,4474882755
2000-01-31,4657020840
2000-02-01,4707019530
2000-02-02,4615950487
2000-02-03,4778446230
2000-02-04,4839158925
2000-02-07,4665949177
2000-02-08,4657020840
2000-02-09,4742732880
2000-02-10,4692734190
2000-02-11,4676663182
2000-02-14,4651663837
2000-02-15,4889157615
2000-02-16,4919513962
2000-02-17,4980226657
2000-02-18,4969512652
2000-02-22,4949870310
2000-02-23,4999869000
2000-02-24,4889157615
2000-02-25,4817730915
2000-02-28,4848087262
2000-02-29,4839158925
2000-03-01,4919513962
2000-03-02,5142722400
2000-03-03,5151650737
2000-03-06,4757018220
2000-03-07,4544523787
2000-03-08,4323101017
2000-03-09,4555237792
2000-03-10,4353457365
2000-03-13,4433812402
2000-03-14,4408813057
2000-03-15,4657020840
2000-03-16,5212363432
2000-03-17,5021297010
2000-03-20,5173078747
2000-03-21,5274861795
2000-03-22,5192721090
2000-03-23,5274861795
2000-03-24,5506998570
2000-03-27,5203435095
2000-03-28,5344502827
2000-03-29,5423072197
2000-03-30,5699850660
2000-03-31,6081602754
2000-04-03,6293648089
2000-04-04,6307903237
2000-04-05,6454018510
2000-04-06,6454018510
2000-04-07,6464709871
2000-04-10,6514602891
2000-04-11,6514602891
2000-04-12,6454018510
2000-04-13,6568059699
2000-04-14,6282956727
2000-04-17,6468273659
2000-04-18,6544895082
2000-04-19,6384524661
2000-04-20,6484310701
2000-04-24,6580532954
2000-04-25,6789014501
2000-04-26,6616170825
2000-04-27,6393434129
2000-04-28,6514602891
2000-05-01,6717738758
2000-05-02,6929784093
2000-05-03,6404125490
2000-05-04,6404125490
2000-05-05,6454018510
2000-05-08,6343541109
2000-05-09,6343541109
2000-05-10,6192080155
2000-05-11,6211680985
2000-05-12,6363141938
2000-05-15,6505693424
2000-05-16,6687446568
2000-05-17,6414816852
2000-05-18,6514602891
2000-05-19,6252664537
2000-05-22,6484310701
2000-05-23,6363141938
2000-05-24,6525294253
2000-05-25,6313248918
2000-05-26,6464709871
2000-05-30,6585878634
2000-05-31,6487874488
2000-06-01,6505693424
2000-06-02,6544895082
2000-06-05,6354232470
2000-06-06,6070911392
2000-06-07,6354232470
2000-06-08,6090512222
2000-06-09,6120804412
2000-06-12,5869557419
2000-06-13,5999635650
2000-06-14,5687804275
2000-06-15,5828573867
2000-06-16,5707405104
2000-06-19,5616528532
2000-06-20,5313606625
2000-06-21,5454376217
2000-06-22,5454376217
2000-06-23,5536343321
2000-06-26,5627219894
2000-06-27,5484668408
2000-06-28,5657512084
2000-06-29,5363499645
2000-06-30,5020740150
2000-07-03,5121119732
2000-07-05,5251437084
2000-07-06,5251437084
2000-07-07,5291941126
2000-07-10,5311312624
2000-07-11,5501505517
2000-07-12,5630061824
2000-07-13,5681132137
2000-07-14,5770945448
2000-07-17,5711069907
2000-07-18,5591318827
2000-07-19,5510310743
2000-07-20,5758618131
2000-07-21,5480372973
2000-07-24,5540248513
2000-07-25,5830820988
2000-07-26,5820254716
2000-07-27,6070323149
2000-07-28,5950572068
2000-07-31,6029819107
2000-08-01,6279887539
2000-08-02,6249949769
2000-08-03,6378506076
2000-08-04,6389072348
2000-08-07,6339763080
2000-08-08,6339763080
2000-08-09,6168941685
2000-08-10,6198879456
2000-08-11,6389072348
2000-08-14,6378506076
2000-08-15,6198879456
2000-08-16,6258754996
2000-08-17,6369700850
2000-08-18,6339763080
2000-08-21,6378506076
2000-08-22,6318630536
2000-08-23,6269321268
2000-08-24,6100260919
2000-08-25,5999881337
2000-08-28,6089694647
2000-08-29,5989315065
2000-08-30,6168941685
2000-08-31,6209445727
2000-09-01,6089694647
2000-09-05,6292214856
2000-09-06,6299259038
2000-09-07,6209445727
2000-09-08,6299259038
2000-09-11,6399638620
2000-09-12,6419010118
2000-09-13,6378506076
2000-09-14,6309825309
2000-09-15,6119632417
2000-09-18,5899501755
2000-09-19,6167180640
2000-09-20,6057995832
2000-09-21,6079128375
2000-09-22,6059756877
2000-09-25,5910068026
2000-09-26,5880130256
2000-09-27,5610690325
2000-09-28,5705786772
2000-09-29,5670565866
2000-10-02,5728338411
2000-10-03,5548777711
2000-10-04,5439632971
2000-10-05,5508288533
2000-10-06,5578704494
2000-10-09,5430830976
2000-10-10,5369217011
2000-10-11,5309363444
2000-10-12,5309363444
2000-10-13,5379779405
2000-10-16,5469559755
2000-10-17,5418508183
2000-10-18,5411466587
2000-10-19,5657922450
2000-10-20,5578704494
2000-10-23,5508288533
2000-10-24,5738900805
2000-10-25,5738900805
2000-10-26,5679047238
2000-10-27,5867409933
2000-10-30,6057533027
2000-10-31,5867409933
2000-11-01,5997679461
2000-11-02,6098022205
2000-11-03,6017043850
2000-11-06,5997679461
2000-11-07,5828681155
2000-11-08,5777629583
2000-11-09,5747702800
2000-11-10,5828681155
2000-11-13,5668484844
2000-11-14,5775869184
2000-11-15,5828681155
2000-11-16,5867409933
2000-11-17,5858607938
2000-11-20,5738900805
2000-11-21,5738900805
2000-11-22,5627995666
2000-11-24,5608631277
2000-11-27,5506528134
2000-11-28,5608631277
2000-11-29,5786431578
2000-11-30,5837483150
2000-12-01,5978315071
2000-12-04,6038168638
2000-12-05,6184281757
2000-12-06,6326874077
2000-12-07,6296947294
2000-12-08,6355040462
2000-12-11,6397290038
2000-12-12,6363842457
2000-12-13,6237093727
2000-12-14,6008241855
2000-12-15,5937825894
2000-12-18,6098022205
2000-12-19,6187802555
2000-12-20,6226531333
2000-12-21,6217729338
2000-12-22,6235333328
2000-12-26,6217729338
2000-12-27,6247656121
2000-12-28,6326874077
2000-12-29,6316311683
2001-01-02,6458687550
2001-01-03,6703089749
2001-01-04,6509005650
2001-01-05,6489237825
2001-01-08,6550338375
2001-01-09,6509005650
2001-01-10,6500020275
2001-01-11,6356254275
2001-01-12,6163967249
2001-01-16,6194517525
2001-01-17,6122634525
2001-01-18,6041766150
2001-01-19,5889014775
2001-01-22,6050751525
2001-01-23,6020201250
2001-01-24,6011215875
2001-01-25,6030983700
2001-01-26,6020201250
2001-01-29,5969883150
2001-01-30,5898000150
2001-01-31,5797363950
2001-02-01,5806349325
2001-02-02,5829711300
2001-02-05,5867449875
2001-02-06,5932144575
2001-02-07,6041766150
2001-02-08,6011215875
2001-02-09,5980665600
2001-02-12,6111852075
2001-02-13,6092084250
2001-02-14,6011215875
2001-02-15,6041766150
2001-02-16,6084895950
2001-02-20,5959100699
2001-02-21,5797363950
2001-02-22,5908782600
2001-02-23,5815334700
2001-02-26,5836899599
2001-02-27,5969883150
2001-02-28,6000433425
2001-03-01,6077707650
2001-03-02,6050751525
2001-03-05,6072316425
2001-03-06,6092084250
2001-03-07,6111852075
2001-03-08,6214285350
2001-03-09,6133416975
2001-03-12,6041766150
2001-03-13,5980665600
2001-03-14,5858464500
2001-03-15,5959100699
2001-03-16,5923159200
2001-03-19,5817131775
2001-03-20,5858464500
2001-03-21,5817131775
2001-03-22,5756031225
2001-03-23,5867449875
2001-03-26,5989650975
2001-03-27,5898000150
2001-03-28,5908782600
2001-03-29,5980665600
2001-03-30,6183735074
2001-04-02,6077685600
2001-04-03,6036860025
2001-04-04,6006684600
2001-04-05,6107861024
2001-04-06,5866457624
2001-04-09,5878882800
2001-04-10,5951658825
2001-04-11,5861132550
2001-04-12,5877107775
2001-04-16,5955208874
2001-04-17,6059935350
2001-04-18,6219687600
2001-04-19,6168211875
2001-04-20,6052835250
2001-04-23,6102535950
2001-04-24,6106086000
2001-04-25,6035085000
2001-04-26,6008459625
2001-04-27,6272938350
2001-04-30,6178862025
2001-05-01,6264063225
2001-05-02,6226787700
2001-05-03,6221462624
2001-05-04,6397190100
2001-05-07,6320864025
2001-05-08,6294238650
2001-05-09,6319089000
2001-05-10,6322639050
2001-05-11,6356364525
2001-05-14,6343939350
2001-05-15,6407840250
2001-05-16,6469966125
2001-05-17,6480616275
2001-05-18,6477066225
2001-05-21,6560492400
2001-05-22,6560492400
2001-05-23,6489491400
2001-05-24,6516116775
2001-05-25,6601317975
2001-05-29,6635043450
2001-05-30,6693619275
2001-05-31,6764620275
2001-06-01,6714919575
2001-06-04,6677644050
2001-06-05,6690069225
2001-06-06,6690069225
2001-06-07,6647468625
2001-06-08,6682969125
2001-06-11,6713144550
2001-06-12,6800120775
2001-06-13,6874671824
2001-06-14,6737994900
