,YUM
2000-01-03,3999160000
2000-01-04,3915720000
2000-01-05,3933600000
2000-01-06,3903800000
2000-01-07,3814400000
2000-01-10,3969360000
2000-01-11,3945520000
2000-01-12,3903800000
2000-01-13,3963400000
2000-01-14,3856120000
2000-01-18,3742880000
2000-01-19,3599840000
2000-01-20,3409120000
2000-01-21,3415080000
2000-01-24,3343560000
2000-01-25,3254160000
2000-01-26,3218400000
2000-01-27,3224360000
2000-01-28,3093240000
2000-01-31,3063440000
2000-02-01,3295880000
2000-02-02,3099200000
2000-02-03,3182640000
2000-02-04,3170720000
2000-02-07,3152840000
2000-02-08,3200520000
2000-02-09,3212440000
2000-02-10,2944240000
2000-02-11,2991919999
2000-02-14,3003840000
2000-02-15,3039600000
2000-02-16,2991919999
2000-02-17,3146880000
2000-02-18,2997880000
2000-02-22,2890600000
2000-02-23,2872720000
2000-02-24,2783320000
2000-02-25,2771400000
2000-02-28,2753520000
2000-02-29,2854840000
2000-03-01,3021720000
2000-03-02,2968080000
2000-03-03,2801200000
2000-03-06,2968080000
2000-03-07,2831000000
2000-03-08,2831000000
2000-03-09,2991919999
2000-03-10,2974040000
2000-03-13,2944240000
2000-03-14,2836960000
2000-03-15,3051520000
2000-03-16,3522360000
2000-03-17,3349520000
2000-03-20,3181080000
2000-03-21,3245759999
2000-03-22,3087000000
2000-03-23,3087000000
2000-03-24,3151680000
2000-03-27,3139920000
2000-03-28,3116400000
2000-03-29,3063480000
2000-03-30,3310440000
2000-03-31,3281040000
2000-04-03,3204600000
2000-04-04,3298680000
2000-04-05,3410400000
2000-04-06,3333960000
2000-04-07,3339840000
2000-04-10,3333960000
2000-04-11,3433920000
2000-04-12,3475080000
2000-04-13,3357480000
2000-04-14,3222240000
2000-04-17,3204600000
2000-04-18,3198720000
2000-04-19,3128160000
2000-04-20,3386880000
2000-04-24,3492720000
2000-04-25,3516240000
2000-04-26,3639720000
2000-04-27,3757320000
2000-04-28,3580920000
2000-05-01,3557400000
2000-05-02,3575040000
2000-05-03,3504480000
2000-05-04,3281040000
2000-05-05,3416280000
2000-05-08,3316320000
2000-05-09,3333960000
2000-05-10,3339840000
2000-05-11,3422160000
2000-05-12,3304560000
2000-05-15,3263400000
2000-05-16,3422160000
2000-05-17,3398640000
2000-05-18,3422160000
2000-05-19,3263400000
2000-05-22,3263400000
2000-05-23,3351600000
2000-05-24,3463320000
2000-05-25,3304560000
2000-05-26,3245759999
2000-05-30,3157560000
2000-05-31,3098759999
2000-06-01,3157560000
2000-06-02,3210480000
2000-06-05,3157560000
2000-06-06,3128160000
2000-06-07,3092880000
2000-06-08,3151680000
2000-06-09,3104640000
2000-06-12,3013440000
2000-06-13,2960880000
2000-06-14,2949200000
2000-06-15,2990080000
2000-06-16,2949200000
2000-06-19,2960880000
2000-06-20,2832400000
2000-06-21,2867440000
2000-06-22,2849920000
2000-06-23,2838240000
