,FFIV
2000-01-03,2533161000
2000-01-04,2500039125
2000-01-05,2349003375
2000-01-06,2164845750
2000-01-07,2090652750
2000-01-10,2163520875
2000-01-11,2130399000
2000-01-12,2008510500
2000-01-13,1970089125
2000-01-14,2077404000
2000-01-18,2392724250
2000-01-19,2343703875
2000-01-20,2532498562
2000-01-21,2751765375
2000-01-24,2755740000
2000-01-25,2829933000
2000-01-26,2427171000
2000-01-27,2278785000
2000-01-28,2088003000
2000-01-31,1992612000
2000-02-01,2040307500
2000-02-02,2151597000
2000-02-03,2044282125
2000-02-04,1997911500
2000-02-07,2035008000
2000-02-08,2024409000
2000-02-09,1952865750
2000-02-10,1897221000
2000-02-11,2085353250
2000-02-14,2162196000
2000-02-15,2118475125
2000-02-16,2037657750
2000-02-17,2193993000
2000-02-18,2056206000
2000-02-22,1992612000
2000-02-23,1962139875
2000-02-24,1962139875
2000-02-25,2017784625
2000-02-28,1982013000
2000-02-29,1907820000
2000-03-01,1947566250
2000-03-02,1913119500
2000-03-03,2049581625
2000-03-06,2278785000
2000-03-07,2273485500
2000-03-08,2098602000
2000-03-09,2310582000
2000-03-10,2453668500
2000-03-13,2325155625
2000-03-14,2119800000
2000-03-15,1966114500
2000-03-16,1972738875
2000-03-17,2019109500
2000-03-20,1909144875
2000-03-21,1881322500
2000-03-22,1905170250
2000-03-23,1853500125
2000-03-24,1766058375
2000-03-27,1837601625
2000-03-28,1780632000
2000-03-29,1642845000
2000-03-30,1506382875
2000-03-31,1446733500
2000-04-03,1246539750
2000-04-04,1430718000
2000-04-05,1369325250
2000-04-06,1472091375
2000-04-07,1561511250
2000-04-10,1414702500
2000-04-11,1388010000
2000-04-12,1209170250
2000-04-13,1205166375
2000-04-14,944914500
2000-04-17,1042342125
2000-04-18,1211839500
2000-04-19,1174470000
2000-04-20,1126423500
2000-04-24,1113077250
2000-04-25,1253546552
2000-04-26,942245250
2000-04-27,960930000
2000-04-28,996964875
2000-05-01,928899000
2000-05-02,883521750
2000-05-03,868840875
2000-05-04,840813750
2000-05-05,724701375
2000-05-08,720697500
2000-05-09,677989500
2000-05-10,624604500
2000-05-11,636616125
2000-05-12,680658750
2000-05-15,706016625
2000-05-16,811452000
2000-05-17,867506250
2000-05-18,779421000
2000-05-19,734043750
2000-05-22,726036000
2000-05-23,687331875
2000-05-24,703347375
2000-05-25,667312500
2000-05-26,661974000
2000-05-30,727370625
2000-05-31,688666500
2000-06-01,784759500
2000-06-02,864837000
2000-06-05,939576000
2000-06-06,898202625
2000-06-07,907545000
2000-06-08,1012980375
2000-06-09,1041007500
2000-06-12,944914500
2000-06-13,995630250
2000-06-14,962264625
2000-06-15,906544052
2000-06-16,914218125
2000-06-19,892864125
2000-06-20,939576000
2000-06-21,996964875
2000-06-22,1067700000
2000-06-23,1024992000
2000-06-26,1035669000
2000-06-27,1066365375
2000-06-28,1067700000
2000-06-29,1135765875
2000-06-30,1176694875
2000-07-03,1140302250
2000-07-05,1037863750
2000-07-06,1021689250
2000-07-07,948904000
2000-07-10,951599750
2000-07-11,981253000
2000-07-12,985296625
2000-07-13,1188825750
2000-07-14,1121432000
2000-07-17,1153781000
2000-07-18,1151085250
2000-07-19,1059429750
2000-07-20,1056734000
2000-07-21,1009558375
2000-07-24,917902875
2000-07-25,923294375
2000-07-26,1029776500
2000-07-27,969122125
2000-07-28,948904000
2000-07-31,974513625
2000-08-01,1002819000
2000-08-02,942164625
2000-08-03,967774250
2000-08-04,983948750
2000-08-07,986644500
2000-08-08,967100312
2000-08-09,981253000
2000-08-10,981253000
2000-08-11,989340250
2000-08-14,1006862625
2000-08-15,997427500
2000-08-16,1043255250
2000-08-17,1086387250
2000-08-18,1094474500
2000-08-21,1159172500
2000-08-22,1110649000
2000-08-23,1078300000
2000-08-24,1056734000
2000-08-25,1059429750
2000-08-28,1130867125
2000-08-29,1103909625
2000-08-30,1137606500
2000-08-31,1250828000
2000-09-01,1257567375
2000-09-05,1315526000
2000-09-06,1175347000
2000-09-07,1134910750
2000-09-08,1051342500
2000-09-11,1004166875
2000-09-12,1008210500
2000-09-13,948904000
2000-09-14,886901750
2000-09-15,900380500
2000-09-18,851857000
2000-09-19,858596375
2000-09-20,925990125
2000-09-21,905772000
2000-09-22,846465500
2000-09-25,839389177
2000-09-26,770984500
2000-09-27,739983375
2000-09-28,772332375
2000-09-29,733244000
2000-10-02,655729250
2000-10-03,605601187
2000-10-04,719405437
2000-10-05,690954375
2000-10-06,662503312
2000-10-09,693664000
2000-10-10,677406250
2000-10-11,667922562
2000-10-12,581214562
2000-10-13,640826312
2000-10-16,654374437
2000-10-17,596117500
2000-10-18,536505750
2000-10-19,643535937
2000-10-20,655729250
2000-10-23,715341000
2000-10-24,667922562
2000-10-25,585279000
2000-10-26,620504125
2000-10-27,623213750
2000-10-30,590698250
2000-10-31,671987000
2000-11-01,713986187
2000-11-02,850822250
2000-11-03,837274125
2000-11-06,780372000
2000-11-07,773936662
2000-11-08,791210500
2000-11-09,754630562
2000-11-10,737018000
2000-11-13,737018000
2000-11-14,807468250
2000-11-15,792565312
2000-11-16,757340187
2000-11-17,696373625
2000-11-20,612375250
2000-11-21,596117500
2000-11-22,547344250
2000-11-24,631342625
2000-11-27,586633812
2000-11-28,554118312
2000-11-29,590698250
2000-11-30,539215375
2000-12-01,545989437
2000-12-04,528376875
2000-12-05,627278187
2000-12-06,579859750
2000-12-07,539215375
2000-12-08,606956000
2000-12-11,581214562
2000-12-12,575795312
2000-12-13,548699062
2000-12-14,508054687
2000-12-15,474184375
2000-12-18,398314875
2000-12-19,325155000
2000-12-20,261478812
2000-12-21,292639500
2000-12-22,314316500
2000-12-26,317026125
2000-12-27,298058750
2000-12-28,241156625
2000-12-29,205931500
2001-01-02,224649250
2001-01-03,284921000
2001-01-04,323275750
2001-01-05,256154937
2001-01-08,236977562
2001-01-09,246566250
2001-01-10,242456812
2001-01-11,261634187
2001-01-12,263004000
2001-01-16,264373812
2001-01-17,282181375
2001-01-18,284921000
2001-01-19,265743625
2001-01-22,268483250
2001-01-23,275332312
2001-01-24,297249312
2001-01-25,365739937
2001-01-26,339713500
2001-01-29,341083312
2001-01-30,342453125
2001-01-31,372589000
2001-02-01,342453125
2001-02-02,308207812
2001-02-05,298619125
2001-02-06,304098375
2001-02-07,286290812
2001-02-08,280811562
2001-02-09,272592687
2001-02-12,263004000
2001-02-13,243826625
2001-02-14,238347375
2001-02-15,247936062
2001-02-16,228758687
2001-02-20,210951125
2001-02-21,194513375
2001-02-22,179445437
2001-02-23,180815250
2001-02-26,183554875
2001-02-27,170541656
2001-02-28,152734093
2001-03-01,169856750
2001-03-02,167117125
2001-03-05,149309562
2001-03-06,169171843
2001-03-07,165747312
2001-03-08,154103906
2001-03-09,142460500
2001-03-12,124652937
2001-03-13,131502000
2001-03-14,128762375
2001-03-15,121913312
2001-03-16,110269906
2001-03-19,142460500
2001-03-20,147939750
2001-03-21,142118068
2001-03-22,147254843
2001-03-23,163007687
2001-03-26,143830312
2001-03-27,140405781
2001-03-28,127392562
2001-03-29,120543500
2001-03-30,117118968
2001-04-02,118599187
2001-04-03,99873000
2001-04-04,83227500
2001-04-05,96405187
2001-04-06,101260125
2001-04-09,101648520
2001-04-10,100760760
2001-04-11,110304180
2001-04-12,117628200
2001-04-16,127837440
2001-04-17,122067000
2001-04-18,135827280
2001-04-19,189758700
2001-04-20,179771400
2001-04-23,158687100
2001-04-24,159796800
2001-04-25,155358000
2001-04-26,159574860
2001-04-27,155358000
2001-04-30,166233060
2001-05-01,167564700
2001-05-02,203075100
2001-05-03,242580420
2001-05-04,264108600
2001-05-07,264996360
2001-05-08,246353400
2001-05-09,266106060
2001-05-10,267659640
2001-05-11,254121299
2001-05-14,227488500
2001-05-15,235700279
2001-05-16,253455480
2001-05-17,249238620
2001-05-18,247685040
2001-05-21,269879040
2001-05-22,308718540
2001-05-23,295180200
2001-05-24,297621540
2001-05-25,295402140
2001-05-29,282307680
2001-05-30,230595660
2001-05-31,249238620
2001-06-01,251014140
2001-06-04,234368640
2001-06-05,256118759
2001-06-06,259447860
2001-06-07,255009060
2001-06-08,239473259
2001-06-11,261889200
2001-06-12,311825700
2001-06-13,312491520
2001-06-14,315154800
2001-06-15,333131940
2001-06-18,335351340
2001-06-19,300728700
2001-06-20,335129400
2001-06-21,334685520
2001-06-22,311825700
2001-06-25,343785060
