,NAVI
2014-04-17,7197152775
2014-04-21,7125138887
2014-04-22,7116666664
2014-04-23,7108194442
2014-04-24,7044652775
2014-04-25,7154791664
2014-04-28,7061597220
2014-04-29,7065833331
2014-04-30,7010763887
2014-05-01,7201388887
2014-05-02,7180208331
2014-05-05,7120902775
2014-05-06,6921805553
2014-05-07,7031944442
2014-05-08,6968402775
2014-05-09,6896388887
2014-05-12,6756597220
2014-05-13,6714236109
2014-05-14,6667638887
2014-05-15,6667638887
2014-05-16,6718472220
2014-05-19,6786249998
2014-05-20,6752361109
2014-05-21,6748124998
2014-05-22,6765069442
2014-05-23,6807430553
2014-05-27,6769305553
2014-05-28,6642222220
2014-05-29,6642222220
2014-05-30,6693055553
2014-06-02,6697291664
2014-06-03,6705763887
2014-06-04,6731180553
2014-06-05,7061597220
2014-06-06,7061597220
2014-06-09,7120902775
2014-06-10,7116666664
2014-06-11,7150555553
2014-06-12,7091249998
2014-06-13,7061597220
2014-06-16,7108194442
2014-06-17,7133611109
2014-06-18,7226805553
2014-06-19,7281874998
2014-06-20,7396249998
2014-06-23,7489444442
2014-06-24,7480972220
2014-06-25,7459791664
2014-06-26,7485208331
2014-06-27,7557222220
2014-06-30,7307919537
2014-07-01,7332678158
2014-07-02,7332678158
2014-07-03,7303793100
2014-07-07,7283160916
2014-07-08,7262528732
2014-07-09,7312045974
2014-07-10,7336804594
2014-07-11,7382195399
2014-07-14,7427586204
2014-07-15,7303793100
2014-07-16,7353310341
2014-07-17,7303793100
2014-07-18,7299666663
2014-07-21,7369816089
2014-07-22,7415206893
2014-07-23,7419333330
2014-07-24,7415206893
2014-07-25,7373942525
2014-07-28,7423459767
2014-07-29,7303793100
2014-07-30,7254275859
2014-07-31,7097471261
2014-08-01,7155241376
2014-08-04,7085091951
2014-08-05,6994310342
2014-08-06,7010816089
2014-08-07,6957172411
2014-08-08,7130482755
2014-08-11,7056206893
2014-08-12,7056206893
2014-08-13,7085091951
2014-08-14,7076839077
2014-08-15,7023195399
2014-08-18,7171747123
2014-08-19,7146988502
2014-08-20,7221264365
2014-08-21,7204758617
2014-08-22,7200632181
2014-08-25,7274908043
2014-08-26,7266655169
2014-08-27,7307919537
2014-08-28,7312045974
2014-08-29,7402827583
2014-09-02,7419333330
2014-09-03,7419333330
2014-09-04,7411080456
2014-09-05,7340931031
2014-09-08,7299666663
2014-09-09,7213011491
2014-09-10,7159367813
2014-09-11,7204758617
2014-09-12,7270781606
2014-09-15,7163494250
2014-09-16,7221264365
2014-09-17,7353310341
2014-09-18,7365689652
2014-09-19,7369816089
2014-09-22,7353310341
2014-09-23,7262528732
2014-09-24,7390448272
2014-09-25,7316172410
2014-09-26,7295540227
2014-09-29,7283160916
2014-09-30,7165738468
2014-10-01,7056492314
2014-10-02,7040307698
2014-10-03,7052446160
2014-10-06,7109092314
2014-10-07,6999846160
2014-10-08,7016030775
2014-10-09,6983661545
2014-10-10,6931061545
2014-10-13,6999846160
2014-10-14,7068630775
2014-10-15,7048400006
2014-10-16,7137415391
2014-10-17,7529892314
2014-10-20,7542030776
2014-10-21,7602723084
2014-10-22,7497523084
2014-10-23,7570353853
2014-10-24,7647230776
2014-10-27,7622953853
2014-10-28,7703876930
2014-10-29,7792892315
2014-10-30,7890000007
2014-10-31,8003292315
2014-11-03,8092307700
2014-11-04,7873815392
2014-11-05,7938553853
2014-11-06,8132769238
2014-11-07,8177276930
2014-11-10,8173230777
2014-11-11,8213692315
2014-11-12,8144907700
2014-11-13,8407907700
2014-11-14,8258200007
2014-11-17,8420046161
2014-11-18,8444323084
2014-11-19,8379584623
2014-11-20,8375538469
2014-11-21,8569753854
2014-11-24,8472646161
2014-11-25,8476692315
2014-11-26,8460507700
2014-11-28,8480738469
2014-12-01,8460507700
2014-12-02,8484784623
2014-12-03,8456461546
2014-12-04,8424092315
2014-12-05,8496923085
2014-12-08,8614261546
2014-12-09,8695184623
2014-12-10,8610215392
2014-12-11,8695184623
2014-12-12,8428138469
2014-12-15,8525246161
2014-12-16,8448369238
2014-12-17,8602123085
2014-12-18,8699230777
2014-12-19,9043153854
2014-12-22,9132169239
2014-12-23,9043153854
2014-12-24,8970323085
2014-12-26,8885353854
2014-12-29,8836800008
2014-12-30,8897492316
2014-12-31,8644000000
2015-01-02,8728000000
2015-01-05,8440000000
2015-01-06,8359999999
2015-01-07,8368000000
2015-01-08,8240000000
2015-01-09,8216000000
2015-01-12,8068000000
2015-01-13,8088000000
2015-01-14,8056000000
2015-01-15,8044000000
2015-01-16,8059999999
2015-01-20,7868000000
2015-01-21,7984000000
2015-01-22,7876000000
2015-01-23,7788000000
2015-01-26,7820000000
2015-01-27,7920000000
2015-01-28,7788000000
2015-01-29,7800000000
2015-01-30,7895999999
2015-02-02,8020000000
2015-02-03,8431999999
2015-02-04,8400000000
2015-02-05,8523999999
2015-02-06,8540000000
2015-02-09,8628000000
2015-02-10,8668000000
2015-02-11,8780000000
2015-02-12,8884000000
2015-02-13,8948000000
2015-02-17,8792000000
2015-02-18,8660000000
2015-02-19,8664000000
2015-02-20,8688000000
2015-02-23,8724000000
2015-02-24,8672000000
2015-02-25,8680000000
2015-02-26,8740000000
2015-02-27,8559999999
2015-03-02,7804000000
2015-03-03,8020000000
2015-03-04,8004000000
2015-03-05,7995999999
2015-03-06,7856000000
2015-03-09,7836000000
2015-03-10,7748000000
2015-03-11,7664000000
2015-03-12,7816000000
2015-03-13,7712000000
2015-03-16,7864000000
2015-03-17,8044000000
2015-03-18,8023999999
2015-03-19,8268000000
2015-03-20,8280000000
2015-03-23,8300000000
2015-03-24,8280000000
2015-03-25,8131999999
2015-03-26,8064000000
2015-03-27,8064000000
2015-03-30,8031999999
2015-03-31,7708458340
2015-04-01,7674333340
2015-04-02,7719833340
2015-04-06,7704666673
2015-04-07,7625041673
2015-04-08,7678125006
2015-04-09,7712250006
2015-04-10,7681916673
2015-04-13,7746375006
2015-04-14,7731208340
2015-04-15,7712250006
2015-04-16,7693291673
2015-04-17,7556791673
2015-04-20,7769125006
2015-04-21,7784291673
2015-04-22,7814625006
2015-04-23,7769125006
2015-04-24,7689500006
2015-04-27,7526458339
2015-04-28,7545416673
2015-04-29,7473375006
2015-04-30,7408916673
2015-05-01,7484750006
2015-05-04,7446833339
2015-05-05,7424083339
2015-05-06,7424083339
2015-05-07,7499916673
2015-05-08,7590916673
2015-05-11,7571958339
2015-05-12,7628833340
2015-05-13,7503708339
2015-05-14,7518875006
2015-05-15,7264833339
2015-05-18,7226916673
2015-05-19,7321708339
2015-05-20,7333083339
2015-05-21,7374791673
2015-05-22,7329291673
2015-05-26,7253458339
2015-05-27,7344458339
2015-05-28,7314125006
2015-05-29,7306541673
2015-06-01,7333083339
2015-06-02,7348250006
2015-06-03,7371000006
2015-06-04,7226916673
2015-06-05,7238291673
2015-06-08,7226916673
2015-06-09,7166250006
2015-06-10,7355833339
2015-06-11,7405125006
2015-06-12,7367208339
2015-06-15,7238291673
2015-06-16,7257250006
2015-06-17,7067666672
2015-06-18,7200375006
2015-06-19,7177625006
2015-06-22,7226916673
2015-06-23,7242083339
2015-06-24,7139708339
2015-06-25,7037333339
2015-06-26,6991833339
2015-06-29,6866708339
2015-06-30,6743390625
2015-07-01,6832265625
2015-07-02,6832265625
2015-07-06,6891515625
2015-07-07,7024828125
2015-07-08,6876703125
2015-07-09,6861890625
2015-07-10,6802640625
2015-07-13,6798937500
2015-07-14,6080531250
2015-07-15,6132375000
2015-07-16,6173109375
2015-07-17,6243468750
2015-07-20,6080531250
2015-07-21,6147187500
2015-07-22,6010171875
2015-07-23,6069421875
2015-07-24,6006468750
