,MUR
2000-01-03,2162236635
2000-01-04,2192842816
2000-01-05,2198243906
2000-01-06,2216247542
2000-01-07,2322468992
2000-01-10,2282860994
2000-01-11,2272058812
2000-01-12,2198243906
2000-01-13,2383681353
2000-01-14,2390882807
2000-01-18,2441292987
2000-01-19,2417888261
2000-01-20,2399884625
2000-01-21,2407086079
2000-01-24,2329670446
2000-01-25,2356675900
2000-01-26,2320668628
2000-01-27,2196443543
2000-01-28,2252254813
2000-01-31,2230650450
2000-02-01,2227049723
2000-02-02,2219848269
2000-02-03,2160436272
2000-02-04,2160436272
2000-02-07,2225249360
2000-02-08,2164036999
2000-02-09,2063216639
2000-02-10,2095623183
2000-02-11,2036211186
2000-02-14,2032610459
2000-02-15,2111826455
2000-02-16,2126229364
2000-02-17,2084821002
2000-02-18,2011006096
2000-02-22,1969597734
2000-02-23,1940791917
2000-02-24,1920987918
2000-02-25,1893982465
2000-02-28,1935390827
2000-02-29,1967797371
2000-03-01,2052414458
2000-03-02,2137031545
2000-03-03,2077619548
2000-03-06,2072218457
2000-03-07,2237851905
2000-03-08,2281060630
2000-03-09,2272058812
2000-03-10,2183840998
2000-03-13,2155035181
2000-03-14,2137031545
2000-03-15,2149634090
2000-03-16,2245053359
2000-03-17,2115427183
2000-03-20,2092022456
2000-03-21,2160436272
2000-03-22,2149634090
2000-03-23,2070418094
2000-03-24,2070418094
2000-03-27,2063216639
2000-03-28,2070418094
2000-03-29,2156835544
2000-03-30,2210846451
2000-03-31,2240289146
2000-04-03,2218678640
2000-04-04,2135838366
2000-04-05,2141240993
2000-04-06,2220479516
2000-04-07,2211475138
2000-04-10,2164652375
2000-04-11,2209674263
2000-04-12,2254696151
2000-04-13,2283510159
2000-04-14,2267302279
2000-04-17,2267302279
2000-04-18,2267302279
2000-04-19,2332133798
2000-04-20,2296116288
2000-04-24,2274505781
2000-04-25,2297917163
2000-04-26,2297917163
2000-04-27,2314125043
2000-04-28,2294315412
2000-05-01,2303319790
2000-05-02,2315925918
2000-05-03,2254696151
2000-05-04,2328532047
2000-05-05,2315925918
2000-05-08,2314125043
2000-05-09,2276306657
2000-05-10,2294315412
2000-05-11,2314125043
2000-05-12,2344739927
2000-05-15,2391562690
2000-05-16,2425779325
2000-05-17,2432982827
2000-05-18,2461796835
2000-05-19,2483407342
2000-05-22,2499615221
2000-05-23,2503216972
2000-05-24,2506818723
2000-05-25,2476203840
2000-05-26,2476203840
2000-05-30,2467199462
2000-05-31,2523026603
2000-06-01,2533831856
2000-06-02,2414974072
2000-06-05,2339337300
2000-06-06,2441987205
2000-06-07,2395164441
2000-06-08,2398766192
2000-06-09,2395164441
2000-06-12,2454593333
2000-06-13,2441987205
2000-06-14,2510420474
2000-06-15,2503216972
2000-06-16,2532030981
2000-06-19,2459995960
2000-06-20,2447389831
2000-06-21,2519424852
2000-06-22,2398766192
2000-06-23,2450991582
2000-06-26,2447389831
2000-06-27,2414974072
2000-06-28,2405969694
2000-06-29,2425779325
2000-06-30,2313411612
2000-07-03,2367463286
2000-07-05,2190894487
2000-07-06,2232334103
2000-07-07,2228730658
2000-07-10,2270170274
2000-07-11,2329627114
2000-07-12,2372868453
2000-07-13,2338635727
2000-07-14,2326023670
2000-07-17,2291790943
2000-07-18,2367463286
2000-07-19,2358454673
2000-07-20,2306204723
2000-07-21,2232334103
2000-07-24,2217920323
2000-07-25,2180084152
2000-07-26,2253954772
2000-07-27,2329627114
2000-07-28,2331428837
2000-07-31,2344040894
2000-08-01,2403497734
2000-08-02,2410704624
2000-08-03,2390885677
2000-08-04,2376471898
2000-08-07,2443135628
2000-08-08,2443135628
2000-08-09,2470161465
2000-08-10,2506195914
2000-08-11,2517006248
2000-08-14,2562049309
2000-08-15,2517006248
2000-08-16,2590876868
2000-08-17,2628713039
2000-08-18,2545833807
2000-08-21,2562049309
2000-08-22,2572859644
2000-08-23,2625109595
2000-08-24,2583669978
2000-08-25,2553040697
2000-08-28,2583669978
2000-08-29,2646730264
2000-08-30,2632316484
2000-08-31,2596282036
2000-09-01,2616100982
2000-09-05,2598083758
2000-09-06,2652135431
2000-09-07,2635919929
2000-09-08,2594480313
2000-09-11,2653937154
2000-09-12,2630514762
2000-09-13,2511601081
2000-09-14,2547635530
2000-09-15,2576463089
2000-09-18,2580066534
2000-09-19,2553040697
2000-09-20,2531420028
2000-09-21,2452144240
2000-09-22,2417911514
2000-09-25,2430523571
2000-09-26,2477368355
2000-09-27,2504394191
2000-09-28,2484575244
2000-09-29,2520609693
2000-10-02,2512339678
2000-10-03,2465481119
2000-10-04,2402402289
2000-10-05,2407809046
2000-10-06,2380775261
2000-10-09,2404204541
2000-10-10,2533966705
2000-10-11,2595243283
2000-10-12,2629486076
2000-10-13,2478096885
2000-10-16,2458272109
2000-10-17,2497921660
2000-10-18,2429436073
2000-10-19,2424029316
2000-10-20,2483503641
2000-10-23,2420424812
2000-10-24,2359148234
2000-10-25,2267233368
2000-10-26,2269035620
2000-10-27,2198747781
2000-10-30,2213165799
2000-10-31,2254617602
2000-11-01,2312289675
2000-11-02,2236595079
2000-11-03,2256419854
2000-11-06,2186132015
2000-11-07,2232990574
2000-11-08,2247408593
2000-11-09,2225781565
2000-11-10,2193341024
2000-11-13,2225781565
2000-11-14,2220374808
2000-11-15,2278046881
2000-11-16,2310487422
2000-11-17,2283453638
2000-11-20,2285255891
2000-11-21,2355543729
2000-11-22,2317696432
2000-11-24,2344730216
2000-11-27,2317696432
2000-11-28,2332114450
2000-11-29,2187934267
2000-11-30,2130262194
2000-12-01,2213165799
2000-12-04,2214968052
2000-12-05,2123053185
2000-12-06,2146482465
2000-12-07,2178923006
2000-12-08,2193341024
2000-12-11,2200550033
2000-12-12,2169911745
2000-12-13,2191538772
2000-12-14,2108635167
2000-12-15,2090612644
2000-12-18,2198747781
2000-12-19,2225781565
2000-12-20,2139273456
2000-12-21,2162702736
2000-12-22,2177120754
2000-12-26,2333916702
2000-12-27,2409611298
2000-12-28,2413215802
2000-12-29,2351939225
2001-01-02,2375368505
2001-01-03,2290662647
2001-01-04,2251013097
2001-01-05,2251013097
2001-01-08,2276244629
2001-01-09,2227583818
2001-01-10,2202352286
2001-01-11,2214968052
2001-01-12,2251013097
2001-01-16,2283453638
2001-01-17,2207759043
2001-01-18,2164504988
2001-01-19,2187934267
2001-01-22,2227583818
2001-01-23,2240199584
2001-01-24,2202352286
2001-01-25,2310487422
2001-01-26,2227583818
2001-01-29,2195143277
2001-01-30,2204154538
2001-01-31,2254617602
2001-02-01,2252815350
2001-02-02,2373566252
2001-02-05,2418622559
2001-02-06,2377170757
2001-02-07,2422227064
2001-02-08,2487108146
2001-02-09,2530362201
2001-02-12,2542977967
2001-02-13,2548384723
2001-02-14,2577220760
2001-02-15,2528559948
2001-02-16,2541175714
2001-02-20,2508735173
2001-02-21,2496119407
2001-02-22,2492514903
2001-02-23,2463678866
2001-02-26,2517746435
2001-02-27,2470887875
2001-02-28,2449260848
2001-03-01,2452865353
2001-03-02,2501526164
2001-03-05,2553791480
2001-03-06,2570011751
2001-03-07,2606056796
2001-03-08,2658322113
2001-03-09,2624079319
2001-03-12,2553791480
2001-03-13,2508735173
2001-03-14,2429436073
2001-03-15,2443854091
2001-03-16,2458272109
2001-03-19,2478096885
2001-03-20,2497921660
2001-03-21,2449260848
2001-03-22,2389786523
2001-03-23,2452865353
2001-03-26,2485305894
2001-03-27,2548384723
2001-03-28,2506932921
2001-03-29,2532164453
2001-03-30,2589836526
2001-04-02,2654531786
2001-04-03,2645490466
2001-04-04,2734095409
2001-04-05,2793768127
2001-04-06,2806425976
2001-04-09,2900455712
2001-04-10,2949278844
2001-04-11,2933004467
2001-04-12,2947470580
2001-04-16,3084898656
2001-04-17,3095748241
2001-04-18,3061391222
2001-04-19,3032458996
2001-04-20,3027034203
2001-04-23,3081282128
2001-04-24,3151804430
2001-04-25,3160845751
2001-04-26,3144571374
2001-04-27,3187969714
2001-04-30,3200627563
2001-05-01,3124680468
2001-05-02,2938429260
2001-05-03,2895030920
2001-05-04,2947470580
2001-05-07,2949278844
2001-05-08,2978211071
2001-05-09,3030650732
2001-05-10,2996293713
2001-05-11,2987252392
2001-05-14,3075857336
2001-05-15,3133721789
2001-05-16,3148187902
2001-05-17,3209668884
2001-05-18,3374220922
2001-05-21,3419427526
2001-05-22,3381453979
2001-05-23,3345288696
2001-05-24,3294657299
2001-05-25,3309123412
2001-05-29,3319972997
2001-05-30,3267533337
2001-05-31,3281999450
2001-06-01,3236792846
2001-06-04,3310931676
2001-06-05,3312739941
2001-06-06,3272958129
2001-06-07,3189777978
2001-06-08,3180736657
2001-06-11,3209668884
2001-06-12,3206052355
2001-06-13,3168078808
2001-06-14,3164462280
2001-06-15,3164462280
2001-06-18,3131913525
2001-06-19,3142763110
2001-06-20,3119255676
2001-06-21,3001718505
2001-06-22,3016184618
2001-06-25,3014376354
2001-06-26,3007143298
