,NVR
2001-02-23,1133299644
2001-02-26,1208435532
2001-02-27,1216783964
2001-02-28,1229306612
2001-03-01,1227219504
2001-03-02,1276725647
2001-03-05,1298181176
2001-03-06,1364300740
2001-03-07,1356202753
2001-03-08,1319302700
2001-03-09,1319302700
2001-03-12,1264787448
2001-03-13,1285658528
2001-03-14,1254351908
2001-03-15,1286075974
2001-03-16,1258108677
2001-03-19,1285658528
2001-03-20,1285658528
2001-03-21,1302355392
2001-03-22,1302355392
2001-03-23,1335331673
2001-03-26,1385839712
2001-03-27,1387509373
2001-03-28,1382500389
2001-03-29,1419233440
2001-03-30,1360794416
2001-04-02,1305150850
2001-04-03,1325480303
2001-04-04,1345809755
2001-04-05,1359633758
2001-04-06,1349875646
2001-04-09,1348249314
2001-04-10,1364106262
2001-04-11,1355974481
2001-04-12,1370123821
2001-04-16,1347436087
2001-04-17,1341743865
2001-04-18,1372238043
2001-04-19,1427940792
2001-04-20,1387281887
2001-04-23,1418995784
2001-04-24,1488115923
2001-04-25,1567400787
2001-04-26,1547071335
2001-04-27,1593829076
2001-04-30,1550080053
2001-05-01,1540972499
2001-05-02,1536906609
2001-05-03,1504379485
2001-05-04,1506412430
2001-05-07,1562359124
2001-05-08,1601960857
2001-05-09,1581631404
2001-05-10,1650751543
2001-05-11,1566181069
2001-05-14,1634487981
2001-05-15,1626356200
2001-05-16,1606026747
2001-05-17,1589763185
2001-05-18,1585290681
2001-05-21,1512755211
2001-05-22,1484050032
2001-05-23,1463720580
2001-05-24,1492181813
2001-05-25,1443309850
2001-05-29,1350851419
2001-05-30,1386875273
2001-05-31,1402813499
2001-06-01,1382402770
2001-06-04,1349875646
2001-06-05,1333612084
2001-06-06,1229118649
2001-06-07,1231964821
2001-06-08,1284821398
2001-06-11,1249285555
2001-06-12,1219767150
2001-06-13,1219767150
2001-06-14,1183174135
2001-06-15,1146581121
2001-06-18,1145767894
2001-06-19,1162844683
2001-06-20,1203910201
2001-06-21,1251074555
2001-06-22,1239283375
2001-06-25,1244162493
2001-06-26,1240584493
2001-06-27,1244162493
2001-06-28,1280755507
2001-06-29,1203503588
2001-07-02,1178543025
2001-07-03,1189451806
2001-07-05,1227243150
2001-07-06,1225295145
2001-07-09,1184776664
2001-07-10,1183997415
2001-07-11,1207763100
2001-07-12,1237372799
2001-07-13,1275943275
2001-07-16,1269398009
2001-07-17,1295812949
2001-07-18,1320747390
2001-07-19,1363603500
2001-07-20,1375291530
2001-07-23,1351915470
2001-07-24,1307111355
2001-07-25,1305163350
2001-07-26,1293475320
2001-07-27,1294254568
2001-07-30,1324643400
2001-07-31,1373343525
2001-08-01,1359317865
2001-08-02,1379187540
2001-08-03,1363603500
2001-08-06,1305163350
2001-08-07,1235113051
2001-08-08,1215555120
2001-08-09,1223347140
2001-08-10,1230749535
2001-08-13,1199581455
2001-08-14,1176595020
2001-08-15,1202308709
2001-08-16,1240879185
2001-08-17,1199971080
2001-08-20,1191399811
2001-08-21,1198023075
2001-08-22,1211659110
2001-08-23,1236983175
2001-08-24,1277891280
2001-08-27,1235035170
2001-08-28,1227632774
2001-08-29,1266592874
2001-08-30,1270099260
2001-08-31,1254515220
2001-09-04,1281787290
2001-09-05,1299319335
2001-09-06,1301267340
2001-09-07,1257709979
2001-09-10,1214386363
2001-09-17,1106466840
2001-09-18,1044130680
2001-09-19,1083090780
2001-09-20,1034390655
2001-09-21,1020754620
2001-09-24,1081142775
2001-09-25,1055818710
2001-09-26,1046000803
2001-09-27,1098285195
2001-09-28,1094856691
2001-10-01,1048608240
2001-10-02,1082785064
2001-10-03,1117035939
2001-10-04,1095139023
2001-10-05,1083376886
2001-10-08,1059630685
2001-10-09,1089294980
2001-10-10,1131757178
2001-10-11,1191011829
2001-10-12,1168819062
2001-10-15,1186351310
2001-10-16,1212538842
2001-10-17,1131831117
2001-10-18,1142557598
2001-10-19,1172517856
2001-10-22,1176216651
2001-10-23,1188052837
2001-10-24,1198039516
2001-10-25,1172517856
2001-10-26,1205437105
2001-10-29,1170298557
2001-10-30,1133680514
2001-10-31,1171038360
2001-11-01,1233547965
2001-11-02,1205807007
2001-11-05,1196560020
2001-11-06,1213204596
2001-11-07,1294578075
2001-11-08,1264913780
2001-11-09,1247233549
2001-11-12,1277563598
2001-11-13,1316770842
2001-11-14,1324168431
2001-11-15,1265727522
2001-11-16,1277489659
2001-11-19,1259439527
2001-11-20,1231698568
2001-11-21,1232438371
2001-11-23,1235693214
2001-11-26,1226520278
2001-11-27,1246493746
2001-11-28,1246493746
2001-11-29,1298276869
2001-11-30,1342662403
2001-12-03,1357457581
2001-12-04,1395703101
2001-12-05,1466645958
2001-12-06,1401695134
2001-12-07,1416638293
2001-12-10,1361156376
2001-12-11,1400733521
2001-12-12,1435132266
2001-12-13,1446598551
2001-12-14,1424035882
2001-12-17,1435132266
2001-12-18,1455475635
2001-12-19,1522053936
2001-12-20,1486915389
2001-12-21,1454366041
2001-12-24,1468421416
2001-12-26,1471158487
2001-12-27,1455475635
2001-12-28,1505409361
2001-12-31,1509108156
2002-01-02,1444379252
2002-01-03,1446228649
2002-01-04,1434762364
2002-01-07,1448078046
2002-01-08,1472120211
2002-01-09,1476188907
2002-01-10,1472120211
2002-01-11,1446228649
2002-01-14,1449187640
2002-01-15,1473969608
2002-01-16,1468495355
2002-01-17,1514656347
2002-01-18,1494682879
2002-01-22,1507258758
2002-01-23,1528341931
2002-01-24,1557044503
2002-01-25,1604832972
2002-01-28,1731035826
2002-01-29,1723638237
2002-01-30,1782818949
2002-01-31,1775199439
2002-02-01,1791104211
2002-02-04,1840150263
2002-02-05,1849397250
2002-02-06,1849397250
2002-02-07,1805085654
2002-02-08,1849397250
2002-02-11,1848657446
2002-02-12,1884905699
2002-02-13,1924112943
2002-02-14,1905618970
2002-02-15,1915975551
2002-02-19,1934469523
2002-02-20,1878469722
2002-02-21,1903029770
2002-02-22,1942236903
2002-02-25,2040254957
2002-02-26,2119409248
2002-02-27,2093813657
2002-02-28,2161945385
2002-03-01,2150553031
2002-03-04,2223715297
2002-03-05,2150331118
2002-03-06,2211139307
2002-03-07,2187836946
2002-03-08,2170452568
2002-03-11,2176740563
2002-03-12,2195234535
2002-03-13,2152698399
2002-03-14,2117485801
2002-03-15,2134944229
2002-03-18,2108312865
2002-03-19,2156397193
2002-03-20,2026939386
2002-03-21,2058379139
2002-03-22,2165644179
2002-03-25,2221126097
2002-03-26,2383873055
2002-03-27,2361680288
2002-03-28,2333939329
2002-04-01,2317436979
2002-04-02,2337990655
2002-04-03,2341660970
2002-04-04,2382034435
2002-04-05,2435254002
2002-04-08,2517836090
2002-04-09,2561953349
2002-04-10,2510495460
2002-04-11,2518570197
2002-04-12,2605923650
2002-04-15,2618769752
2002-04-16,2597848912
2002-04-17,2712362785
2002-04-18,2701131628
2002-04-19,2694011210
2002-04-22,2700984896
2002-04-23,2781291410
2002-04-24,2776593297
2002-04-25,2726677101
2002-04-26,2682266157
2002-04-29,2717501314
2002-04-30,2714197942
2002-05-01,2804120660
2002-05-02,2849999597
2002-05-03,2813296447
2002-05-06,2701351840
2002-05-07,2730714360
2002-05-08,2719703415
2002-05-09,2763747195
2002-05-10,2657381539
2002-05-13,2670154162
2002-05-14,2760076880
2002-05-15,2725208887
2002-05-16,2622440067
2002-05-17,2666483847
2002-05-20,2686744059
2002-05-21,2630881747
2002-05-22,2579497337
2002-05-23,2635286170
2002-05-24,2657308060
2002-05-28,2598583020
2002-05-29,2569220500
2002-05-30,2475627467
2002-05-31,2429748530
2002-06-03,2382401378
2002-06-04,2334320340
2002-06-05,2393045380
2002-06-06,2462781365
2002-06-07,2459111050
2002-06-10,2404423268
2002-06-11,2423142007
2002-06-12,2448173584
2002-06-13,2334320340
2002-06-14,2345331285
2002-06-17,2451770420
2002-06-18,2481206419
2002-06-19,2495814200
2002-06-20,2528847035
2002-06-21,2503154830
2002-06-24,2517836090
2002-06-25,2440759475
2002-06-26,2451770420
2002-06-27,2473792310
2002-06-28,2371023490
2002-07-01,2336058117
2002-07-02,2230185981
2002-07-03,2262942057
2002-07-05,2354337132
2002-07-08,2345197624
2002-07-09,2273909466
2002-07-10,2191653898
2002-07-11,2171546982
2002-07-12,2134988952
2002-07-15,2193335648
2002-07-16,2069184498
2002-07-17,1992412635
2002-07-18,1988756832
2002-07-19,1957682506
2002-07-22,1791343470
2002-07-23,1864459530
2002-07-24,2032626468
2002-07-25,1993216801
2002-07-26,2032626468
2002-07-29,2149612164
2002-07-30,2138644755
2002-07-31,2109398331
2002-08-01,2069184498
2002-08-02,1969381119
2002-08-05,1990584733
2002-08-06,2107204936
2002-08-07,2050978672
2002-08-08,2124021543
2002-08-09,2163796694
2002-08-12,2131333149
2002-08-13,2109398331
2002-08-14,2167891179
2002-08-15,2279393170
2002-08-16,2251974648
2002-08-19,2372616147
2002-08-20,2339713920
2002-08-21,2310467496
2002-08-22,2350681329
2002-08-23,2321434905
2002-08-26,2396378866
2002-08-27,2288532678
2002-08-28,2214685413
2002-08-29,2178858588
2002-08-30,2167891179
2002-09-03,2131333149
2002-09-04,2196040905
2002-09-05,2270253663
2002-09-06,2325090708
2002-09-09,2363842132
2002-09-10,2361648738
2002-09-11,2368960344
2002-09-12,2321800397
2002-09-13,2378465344
2002-09-16,2400034669
2002-09-17,2353459775
2002-09-18,2352509230
2002-09-19,2237351436
2002-09-20,2317632950
2002-09-23,2273909466
2002-09-24,2200793406
2002-09-25,2215416618
2002-09-26,2259286254
2002-09-27,2215051125
2002-09-30,2122196647
2002-10-01,2194392332
2002-10-02,2203027500
2002-10-03,2132247500
2002-10-04,2031386000
2002-10-07,1960606000
2002-10-08,2015460500
2002-10-09,1942911000
2002-10-10,1964145000
2002-10-11,2091549000
2002-10-14,2102166000
2002-10-15,2240187000
2002-10-16,2144634000
2002-10-17,2279116000
2002-10-18,2286194000
2002-10-21,2406590850
2002-10-22,2371130000
2002-10-23,2441910000
2002-10-24,2392364000
2002-10-25,2394133500
2002-10-28,2356974000
2002-10-29,2378208000
2002-10-30,2346357000
2002-10-31,2399442000
2002-11-01,2450757500
2002-11-04,2502073000
2002-11-05,2509151000
2002-11-06,2463144000
2002-11-07,2307428000
2002-11-08,2216263324
2002-11-11,2236648000
2002-11-12,2204797000
2002-11-13,2229570000
2002-11-14,2264960000
2002-11-15,2300350000
2002-11-18,2254343000
2002-11-19,2259297684
2002-11-20,2245495500
2002-11-21,2415367500
2002-11-22,2367591000
2002-11-25,2420676000
2002-11-26,2339279000
2002-11-27,2402981000
2002-11-29,2342818000
2002-12-02,2378208000
2002-12-03,2247052667
2002-12-04,2286194000
2002-12-05,2238417500
2002-12-06,2279116000
2002-12-09,2227800500
2002-12-10,2194321482
2002-12-11,2263190500
2002-12-12,2293272000
2002-12-13,2286194000
2002-12-16,2397672500
2002-12-17,2390594500
2002-12-18,2364052000
2002-12-19,2364052000
2002-12-20,2369360500
2002-12-23,2366883157
2002-12-24,2375022815
2002-12-26,2402910149
2002-12-27,2349896000
2002-12-30,2335810850
2002-12-31,2310967000
2003-01-02,2385286000
2003-01-03,2374669000
2003-01-06,2363981149
2003-01-07,2381747000
2003-01-08,2427754000
2003-01-09,2422799315
2003-01-10,2452527000
2003-01-13,2459605000
2003-01-14,2441910000
2003-01-15,2423861184
2003-01-16,2470222000
2003-01-17,2463144000
2003-01-21,2473761000
2003-01-22,2404750500
2003-01-23,2474468842
2003-01-24,2360513000
2003-01-27,2328662000
2003-01-28,2305658500
2003-01-29,2332908842
2003-01-30,2328662000
2003-01-31,2353435000
2003-02-03,2322079509
2003-02-04,2325123000
2003-02-05,2374669000
2003-02-06,2325123000
2003-02-07,2329369842
2003-02-10,2360513000
2003-02-11,2349896000
2003-02-12,2328662000
2003-02-13,2298580500
2003-02-14,2356832517
2003-02-18,2374669000
2003-02-19,2374669000
2003-02-20,2349896000
2003-02-21,2364052000
2003-02-24,2349896000
2003-02-25,2371130000
2003-02-26,2353435000
2003-02-27,2344587500
2003-02-28,2349542184
2003-03-03,2332201000
2003-03-04,2172946000
2003-03-05,2165868000
2003-03-06,2153481500
2003-03-07,2173299815
2003-03-10,2182855157
2003-03-11,2142864500
2003-03-12,2149942500
2003-03-13,2250804000
2003-03-14,2256112500
2003-03-17,2312736500
2003-03-18,2321584000
2003-03-19,2325123000
2003-03-20,2348126500
2003-03-21,2475530500
2003-03-24,2417137000
2003-03-25,2406449149
2003-03-26,2397318684
2003-03-27,2425913649
2003-03-28,2392364000
2003-03-31,2343796000
2003-04-01,2420379000
2003-04-02,2479080688
2003-04-03,2455072844
2003-04-04,2461342000
2003-04-07,2454218000
2003-04-08,2464832688
2003-04-09,2495181000
2003-04-10,2539706000
2003-04-11,2548611000
2003-04-14,2618782442
2003-04-15,2600260000
2003-04-16,2585299557
2003-04-17,2580669000
2003-04-21,2532582000
2003-04-22,2589574000
2003-04-23,2607384000
2003-04-24,2608808885
2003-04-25,2590856270
2003-04-28,2578888000
2003-04-29,2562859000
2003-04-30,2548611000
2003-05-01,2511210000
2003-05-02,2564640000
2003-05-05,2564640000
2003-05-06,2586012000
2003-05-07,2614508000
2003-05-08,2644571287
2003-05-09,2694653000
2003-05-12,2748083000
2003-05-13,2724930000
2003-05-14,2732766442
2003-05-15,2739890442
2003-05-16,2740959000
2003-05-19,2644785000
2003-05-20,2655471000
2003-05-21,2714244000
2003-05-22,2696434000
2003-05-23,2834283442
2003-05-27,2799732000
2003-05-28,2871043311
2003-05-29,2870972000
2003-05-30,2904811000
2003-06-02,2875602557
2003-06-03,2878096000
2003-06-04,2927964000
2003-06-05,3025206557
2003-06-06,2943993000
2003-06-09,2849600000
2003-06-10,2935088000
2003-06-11,2985312114
2003-06-12,2999204000
2003-06-13,3024494114
2003-06-16,3139903000
2003-06-17,3102858114
2003-06-18,3069731557
2003-06-19,3009961311
2003-06-20,2895906000
2003-06-23,2863848000
2003-06-24,2920840000
2003-06-25,2906592000
2003-06-26,2981394000
2003-06-27,2956103885
2003-06-30,2939061000
2003-07-01,2947999750
2003-07-02,3024873000
2003-07-03,3024873000
2003-07-07,3078505500
2003-07-08,3122484107
2003-07-09,3105321750
2003-07-10,3052046714
2003-07-11,3110613418
2003-07-14,3142864500
2003-07-15,2999844500
2003-07-16,2981967000
2003-07-17,2996269000
2003-07-18,2949787500
2003-07-21,2947999750
2003-07-22,2923972497
2003-07-23,2911887285
2003-07-24,2903306000
2003-07-25,2917750941
2003-07-28,2933697750
2003-07-29,2935485500
2003-07-30,2928334500
2003-07-31,2924759000
2003-08-01,2936200642
2003-08-04,2960514000
2003-08-05,2946212000
2003-08-06,2992693500
2003-08-07,2990548285
2003-08-08,3017722000
2003-08-11,3035599500
2003-08-12,3066920915
2003-08-13,2965877250
2003-08-14,2986186061
2003-08-15,3010571000
2003-08-18,3083868750
2003-08-19,3134283214
2003-08-20,3116405714
2003-08-21,3130350250
2003-08-22,3135713500
2003-08-25,3116048250
2003-08-26,3117836000
2003-08-27,3089232000
2003-08-28,3116048250
2003-08-29,3099958500
2003-09-02,3096383000
2003-09-03,3167893000
2003-09-04,3285884500
2003-09-05,3264431500
2003-09-08,3230821714
2003-09-09,3207223500
2003-09-10,3139289000
2003-09-11,3164317500
2003-09-12,3214374500
2003-09-15,3271582500
2003-09-16,3260856000
2003-09-17,3264431500
2003-09-18,3296968464
2003-09-19,3325215000
2003-09-22,3252274714
2003-09-23,3264431500
2003-09-24,3241190750
2003-09-25,3286241964
2003-09-26,3289460000
2003-09-29,3321639500
2003-09-30,3074701500
2003-10-01,3222999000
2003-10-02,3217067139
2003-10-03,3222999000
2003-10-06,3262545000
2003-10-07,3295500000
2003-10-08,3297477220
2003-10-09,3394365000
2003-10-10,3489934500
2003-10-13,3525196191
2003-10-14,3552549000
2003-10-15,3447093000
2003-10-16,3420729000
2003-10-17,3295500000
2003-10-20,3249363000
2003-10-21,3249033529
2003-10-22,3214760250
2003-10-23,3230644586
2003-10-24,3158670774
2003-10-27,3206850970
2003-10-28,3209817000
2003-10-29,3252394800
2003-10-30,3207180639
2003-10-31,3225635360
2003-11-03,3294049973
2003-11-04,3206521500
2003-11-05,3255954000
2003-11-06,3237828750
2003-11-07,3074701500
2003-11-10,3074701500
2003-11-11,3097704024
2003-11-12,3159527637
2003-11-13,3125781750
2003-11-14,3114247500
2003-11-17,3112599750
2003-11-18,3099417750
2003-11-19,3099417750
2003-11-20,3114247500
2003-11-21,3132372750
2003-11-24,3170271000
2003-11-25,3222999000
2003-11-26,3226294500
2003-11-28,3236181000
2003-12-01,3262479024
2003-12-02,3216408000
2003-12-03,3196635000
2003-12-04,3171918750
2003-12-05,3170271000
2003-12-08,3171259610
2003-12-09,3142259250
2003-12-10,3091179000
2003-12-11,3157089000
2003-12-12,3216408000
2003-12-15,3150432024
2003-12-16,3130725000
2003-12-17,3176862000
2003-12-18,3222603553
2003-12-19,3160384500
2003-12-22,3177521139
2003-12-23,3176927975
2003-12-24,3149509389
2003-12-26,3183453000
2003-12-29,3166975500
2003-12-30,3112599750
2003-12-31,3071406000
2004-01-02,2852255250
2004-01-05,2847312000
2004-01-06,2893449000
2004-01-07,2913222000
2004-01-08,2819300250
2004-01-09,2936290500
2004-01-12,2858846250
2004-01-13,2865437250
2004-01-14,2956063500
2004-01-15,2893449000
2004-01-16,2900040000
2004-01-20,2893449000
2004-01-21,2959359000
2004-01-22,2932995000
2004-01-23,2878619250
2004-01-26,2929699500
2004-01-27,2863789500
2004-01-28,2731969500
2004-01-29,2801109024
2004-01-30,2863789500
2004-02-02,2867085000
2004-02-03,2965950000
2004-02-04,2965950000
2004-02-05,3031860000
2004-02-06,3183453000
2004-02-09,3143907000
2004-02-10,3087883500
2004-02-11,3150498000
2004-02-12,3143907000
2004-02-13,3068110500
2004-02-17,3084588000
2004-02-18,3071406000
2004-02-19,3042075970
2004-02-20,2928051750
2004-02-23,2936290500
2004-02-24,2932995000
2004-02-25,2890153500
2004-02-26,2985723000
2004-02-27,3048337500
2004-03-01,3104361000
2004-03-02,3066462750
2004-03-03,3081292500
2004-03-04,3096122250
2004-03-05,3128747779
2004-03-08,3097770000
2004-03-09,3110952000
2004-03-10,3058289975
2004-03-11,3005496000
2004-03-12,2992314000
2004-03-15,3008791500
2004-03-16,3084588000
2004-03-17,3109304250
2004-03-18,3064815000
2004-03-19,3097770000
2004-03-22,3056576250
2004-03-23,3046689750
2004-03-24,2961006750
2004-03-25,3008791500
2004-03-26,2965950000
2004-03-29,2982427500
2004-03-30,3043394250
2004-03-31,2978500000
2004-04-01,2997925000
2004-04-02,2920225000
2004-04-05,2900800000
2004-04-06,2946125000
2004-04-07,2953571211
2004-04-08,2900800000
2004-04-12,2848676327
2004-04-13,2826661172
2004-04-14,2813387500
2004-04-15,2810150000
2004-04-16,2884612500
2004-04-19,2887850000
2004-04-20,2874835185
2004-04-21,2954542422
2004-04-22,3023825000
2004-04-23,2964902461
2004-04-26,2968787500
2004-04-27,2988212500
2004-04-28,2916987500
2004-04-29,2913102461
2004-04-30,2920225000
2004-05-03,2913750000
2004-05-04,2882993750
2004-05-05,2894325000
2004-05-06,2871662500
2004-05-07,2654750000
2004-05-10,2680714814
2004-05-11,2726039814
2004-05-12,2725975000
2004-05-13,2771235185
2004-05-14,2800113827
2004-05-17,2784250000
2004-05-18,2810150000
2004-05-19,2764954428
2004-05-20,2806912500
2004-05-21,2813387500
2004-05-24,2862597538
2004-05-25,2946125000
2004-05-26,2961341288
2004-05-27,3028681250
2004-05-28,2963931250
2004-06-01,2965550000
2004-06-02,2939650000
2004-06-03,2900800000
2004-06-04,2916339961
2004-06-07,2965550000
2004-06-08,2942887500
2004-06-09,2905656250
2004-06-10,2929937500
2004-06-14,2910512500
2004-06-15,2933175000
2004-06-16,2910512500
2004-06-17,2920225000
2004-06-18,2907275000
2004-06-21,2933175000
2004-06-22,3049725000
2004-06-23,3088575000
2004-06-24,3185700000
2004-06-25,3133900000
2004-06-28,3059437500
2004-06-29,3075625000
2004-06-30,3087743476
2004-07-01,3080409773
2004-07-02,3147113333
2004-07-06,3110381750
2004-07-07,3078496750
2004-07-08,3000378500
2004-07-09,3002929261
2004-07-12,3048206000
2004-07-13,3107193250
2004-07-14,3086468000
2004-07-15,3086468000
2004-07-16,3123773488
2004-07-19,3041191261
2004-07-20,2981311333
2004-07-21,2923854500
2004-07-22,2927043000
2004-07-23,2888143261
2004-07-26,2895094166
2004-07-27,2907912000
2004-07-28,2887186750
2004-07-29,2946174000
2004-07-30,2971682000
2004-08-02,3021422523
2004-08-03,3060322261
2004-08-04,3029075000
2004-08-05,3030669250
2004-08-06,3029075000
2004-08-09,3017915250
2004-08-10,3065742750
2004-08-11,3092845000
2004-08-12,3056177250
2004-08-13,3073714000
2004-08-16,3118353000
2004-08-17,3217196500
2004-08-18,3239516000
2004-08-19,3217196500
2004-08-20,3239516000
2004-08-23,3242704500
2004-08-24,3233139000
2004-08-25,3178934500
2004-08-26,3217834238
2004-08-27,3195195773
2004-08-30,3169432833
2004-08-31,3202848250
2004-09-01,3198065500
2004-09-02,3207631000
2004-09-03,3207631000
2004-09-07,3290468166
2004-09-08,3245893000
2004-09-09,3265024000
2004-09-10,3290532000
2004-09-13,3367056000
2004-09-14,3394158250
2004-09-15,3408506500
2004-09-16,3454739750
2004-09-17,3446130953
2004-09-20,3440391500
2004-09-21,3577497000
2004-09-22,3545675833
2004-09-23,3520104000
