,BEAM
2021-03-08,4291777353
2021-03-09,5058854282
2021-03-10,5076917318
2021-03-11,5699489959
2021-03-12,5925880010
2021-03-15,5709123578
2021-03-16,5667578595
2021-03-17,5888549736
2021-03-18,5350271263
2021-03-19,5592918046
2021-03-22,5705510971
2021-03-23,5320768304
2021-03-24,4867988202
2021-03-25,5017911400
2021-03-26,4896889059
2021-03-29,4491072850
2021-03-30,4561518691
2021-03-31,4979307529
2021-04-01,4960644457
2021-04-05,5014145263
2021-04-06,4780234764
2021-04-07,4626575474
2021-04-08,4654570081
2021-04-09,4369025084
2021-04-12,4281308647
2021-04-13,4653325877
2021-04-14,4755972771
2021-04-15,4589871433
2021-04-16,4522062272
2021-04-19,4410083842
2021-04-20,4420659583
2021-04-21,4616621836
2021-04-22,4635284907
2021-04-23,4775880048
2021-04-26,5092530164
2021-04-27,5073867092
2021-04-28,5098129086
2021-04-29,4858619665
2021-04-30,5101239598
2021-05-03,4677587870
2021-05-04,4525794887
2021-05-05,4547568470
2021-05-06,4361559856
2021-05-07,4405729125
2021-05-10,3988920524
2021-05-11,4118317821
2021-05-12,4160620784
2021-05-13,4114585207
2021-05-14,4474160388
2021-05-17,4301838026
2021-05-18,4557522109
2021-05-19,4389554463
2021-05-20,4461718341
2021-05-21,4517707556
2021-05-24,4620976552
2021-05-25,4703094068
2021-05-26,4956289741
2021-05-27,4969975993
2021-05-28,4866706996
2021-06-01,4836223979
2021-06-02,4953801331
2021-06-03,4963132867
2021-06-04,5139187843
2021-06-07,5312132308
2021-06-08,5325196458
2021-06-09,5337638506
2021-06-10,5468902110
2021-06-11,5521780813
2021-06-14,5720853578
2021-06-15,5503117741
2021-06-16,5192066546
2021-06-17,5287870315
2021-06-18,5287870315
2021-06-21,5345103734
2021-06-22,5349458451
2021-06-23,5356923680
2021-06-24,5847762466
2021-06-25,5838430930
2021-06-28,6771584515
2021-06-29,6892272378
2021-06-30,8543462311
2021-07-01,8868048829
2021-07-02,8643028728
2021-07-06,7498678714
2021-07-07,6514298743
2021-07-08,6508324758
2021-07-09,6703474934
2021-07-12,6530893146
2021-07-13,6019785541
2021-07-14,5689888814
2021-07-15,5678604621
2021-07-16,5841893544
2021-07-19,5992570721
2021-07-20,6297243955
2021-07-21,6542177340
2021-07-22,6317157238
2021-07-23,6130636151
2021-07-26,5938141080
2021-07-27,5600279040
2021-07-28,5881720110
2021-07-29,5998544706
2021-07-30,6106740212
2021-08-02,6013811556
2021-08-03,6127317271
2021-08-04,6343708283
2021-08-05,7345346433
2021-08-06,7194669256
2021-08-09,7099749272
2021-08-10,6921857275
2021-08-11,7168781988
2021-08-12,7014785930
2021-08-13,6705466263
2021-08-16,6766533665
2021-08-17,6776490306
2021-08-18,6737327516
2021-08-19,6490402803
2021-08-20,6767197441
2021-08-23,7067888019
2021-08-24,7125636540
2021-08-25,6771180098
2021-08-26,6742637725
2021-08-27,7074525780
2021-08-30,7095102839
2021-08-31,7362604612
2021-09-01,7447567954
2021-09-02,7571694086
2021-09-03,7468808789
2021-09-07,7527221087
2021-09-08,6953718528
2021-09-09,7168781988
2021-09-10,7231176942
2021-09-13,6719405561
2021-09-14,6629795786
2021-09-15,6777817859
2021-09-16,6775162754
2021-09-17,6830919948
2021-09-20,6326450104
2021-09-21,6303217940
2021-09-22,6337070522
2021-09-23,6513634967
2021-09-24,6283968433
2021-09-27,6295252627
2021-09-28,6047000362
2021-09-29,5790782783
2021-09-30,5915698266
2021-10-01,5872865374
2021-10-04,5643063511
2021-10-05,5820514062
2021-10-06,5703573469
2021-10-07,5776321396
2021-10-08,5681817079
2021-10-11,5885103343
2021-10-12,5973488675
2021-10-13,6050315925
2021-10-14,6409976238
2021-10-15,6332469101
2021-10-18,6167256519
2021-10-19,6414735448
2021-10-20,6398418156
2021-10-21,6456888453
2021-10-22,6373262331
2021-10-25,6533035816
2021-10-26,6424933756
2021-10-27,6240684333
2021-10-28,6408616464
2021-10-29,6035358408
2021-11-01,6424933756
2021-11-02,6574508933
2021-11-03,6438531499
2021-11-04,6354225490
2021-11-05,6087029833
2021-11-08,6734962306
2021-11-09,6642497650
2021-11-10,6193772118
2021-11-11,6348786393
2021-11-12,6262440722
2021-11-15,5876944697
2021-11-16,6118984530
2021-11-17,6045556715
2021-11-18,6097908027
2021-11-19,6099267802
2021-11-22,5557397727
2021-11-23,5618587572
2021-11-24,5568955809
2021-11-26,5350032140
2021-11-29,5222893239
2021-11-30,5381306950
2021-12-01,4941419951
2021-12-02,4933261305
2021-12-03,4624592530
2021-12-06,4686462262
2021-12-07,5347992479
2021-12-08,5393544919
2021-12-09,5003289684
2021-12-10,5010768442
2021-12-13,5220853578
2021-12-14,5120910164
2021-12-15,5475131380
2021-12-16,5091675016
2021-12-17,5750485683
2021-12-20,5662780238
2021-12-21,5870825712
2021-12-22,5828672708
2021-12-23,5881024020
2021-12-27,5452695103
2021-12-28,5337114284
2021-12-29,5373148304
2021-12-30,5549918968
2021-12-31,5475010922
2022-01-03,5644709466
2022-01-04,5380199589
2022-01-05,4917135546
2022-01-06,4871790996
2022-01-07,4834003871
2022-01-10,4703466529
2022-01-11,5199508427
2022-01-12,4825759407
2022-01-13,4543386526
2022-01-14,4659496056
2022-01-18,4269945147
2022-01-19,4285059997
2022-01-20,4317350813
2022-01-21,4318724891
2022-01-24,4671175713
2022-01-25,4576364381
2022-01-26,4463690044
2022-01-27,4100933642
2022-01-28,4404604721
2022-01-31,4754994427
2022-02-01,4751559234
2022-02-02,4307732272
2022-02-03,4140781883
2022-02-04,4213607979
2022-02-07,4337961972
2022-02-08,4318724891
2022-02-09,4699344297
2022-02-10,4438269614
2022-02-11,4342771243
2022-02-14,4653312708
2022-02-15,5075154433
2022-02-16,5055230313
2022-02-17,4741940693
2022-02-18,4604532965
2022-02-22,4475369700
2022-02-23,4370252789
2022-02-24,4834003871
2022-02-25,5135613834
2022-02-28,5382947744
2022-03-01,5049734004
2022-03-02,5097826708
2022-03-03,4658121979
2022-03-04,4400482489
2022-03-07,4315289697
2022-03-08,4291930384
2022-03-09,4473308585
2022-03-10,4515217942
2022-03-11,4184752356
2022-03-14,3691458612
2022-03-15,3795201447
2022-03-16,4111239221
2022-03-17,4279563688
2022-03-18,4335900857
2022-03-21,4062459478
2022-03-22,4237654331
2022-03-23,3901005397
2022-03-24,4031542739
2022-03-25,3986885227
2022-03-28,4057650207
2022-03-29,4261700683
2022-03-30,4084444714
2022-03-31,4023046007
2022-04-01,4209103108
2022-04-04,4378309755
2022-04-05,3963367314
2022-04-06,3847520439
2022-04-07,3747119814
2022-04-08,3634783451
2022-04-11,3441003225
2022-04-12,3515426065
2022-04-13,3617230895
2022-04-14,3257754532
2022-04-18,3087845783
2022-04-19,3138397146
2022-04-20,3073101635
2022-04-21,2955850556
2022-04-22,2958658965
2022-04-25,3105398340
2022-04-26,2820344818
2022-04-27,2796473341
2022-04-28,2778218682
2022-04-29,2634989819
2022-05-02,2863173057
2022-05-03,2810515386
2022-05-04,3032379704
2022-05-05,2599182603
2022-05-06,2505100899
2022-05-09,2337298456
2022-05-10,2512121922
2022-05-11,2103498400
2022-05-12,2207409536
2022-05-13,2488952547
2022-05-16,2284640786
2022-05-17,2392062433
2022-05-18,2248833570
2022-05-19,2382935104
2022-05-20,2470697888
2022-05-23,2456655842
2022-05-24,2207409536
2022-05-25,2244620957
2022-05-26,2286044991
2022-05-27,2532482887
2022-05-31,2469995785
2022-06-01,2389254024
2022-06-02,2587246864
2022-06-03,2617437262
2022-06-06,2519845047
2022-06-07,2704497944
2022-06-08,2821046920
2022-06-09,2653595529
2022-06-10,2322554309
2022-06-13,2096477378
2022-06-14,2164581298
2022-06-15,2243216752
2022-06-16,2262875616
2022-06-17,2511419819
2022-06-21,2671499137
2022-06-22,2747326182
2022-06-23,2918639136
2022-06-24,2984636749
2022-06-27,3025358681
2022-06-28,2836493170
2022-06-29,2837897375
2022-06-30,2722985117
2022-07-01,2798955768
2022-07-05,3270255182
2022-07-06,3204836009
2022-07-07,3634632937
2022-07-08,3658549623
2022-07-11,3548814238
2022-07-12,3719748204
2022-07-13,3910378265
2022-07-14,3947660159
2022-07-15,4053174953
2022-07-18,4080608799
2022-07-19,4544873893
2022-07-20,4777006440
2022-07-21,4817102062
2022-07-22,4423180164
2022-07-25,4499854248
2022-07-26,4511812591
2022-07-27,4769972120
2022-07-28,4620141113
2022-07-29,4430214484
2022-08-01,4138993652
2022-08-02,4160096611
2022-08-03,4432324779
2022-08-04,4423180164
2022-08-05,4461868922
2022-08-08,4480158153
2022-08-09,4288121228
2022-08-10,4623658273
2022-08-11,4648981823
2022-08-12,4859307979
2022-08-15,4945830110
2022-08-16,4471013537
2022-08-17,4189640753
2022-08-18,4050361225
2022-08-19,3748588914
2022-08-22,3616343706
2022-08-23,3815414951
2022-08-24,4209336848
2022-08-25,4371829631
2022-08-26,3957508206
2022-08-29,3871689507
2022-08-30,3825262998
2022-08-31,3840738501
2022-09-01,3909674833
2022-09-02,3705679565
2022-09-06,3723265364
2022-09-07,3925853768
2022-09-08,4014486195
2022-09-09,4045437201
2022-09-12,4050361225
2022-09-13,3751402642
2022-09-14,3997603828
2022-09-15,4255059926
2022-09-16,3947660159
2022-09-19,3783760512
2022-09-20,3761954122
2022-09-21,3631115777
2022-09-22,3387024887
2022-09-23,3312461099
2022-09-26,3275179205
2022-09-27,3405314118
2022-09-28,3588909859
2022-09-29,3341301810
2022-09-30,3371842100
2022-10-03,3389536486
2022-10-04,3652121167
2022-10-05,3606115764
2022-10-06,3633719006
2022-10-07,3379627630
2022-10-10,3303187885
2022-10-11,3296110130
2022-10-12,3412893075
2022-10-13,3468099558
2022-10-14,3218254834
2022-10-17,3409354198
2022-10-18,3400860893
2022-10-19,3174372758
2022-10-20,3103595216
2022-10-21,3182158288
2022-10-24,3082361954
2022-10-25,3308142313
2022-10-26,3365472122
2022-10-27,3277707970
2022-10-28,3449697397
2022-10-31,3118458500
2022-11-01,3139691763
2022-11-02,3085900831
2022-11-03,3114919623
2022-11-04,3029278797
2022-11-07,2683176617
2022-11-08,2717149837
2022-11-09,2681053290
