,IQV
2014-05-30,6575349420
2014-06-02,6590826900
2014-06-03,6634679760
2014-06-04,6788164770
2014-06-05,6811380990
2014-06-06,6834597210
2014-06-09,6833307420
2014-06-10,6793323930
2014-06-11,6750760860
2014-06-12,6724965060
2014-06-13,6656606190
2014-06-16,6584377950
2014-06-17,6610173750
2014-06-18,6610173750
2014-06-19,6826858470
2014-06-20,6878450070
2014-06-23,6829438050
2014-06-24,6820409520
2014-06-25,6795903510
2014-06-26,6743022120
2014-06-27,6696589680
2014-06-30,6792449980
2014-07-01,6826864720
2014-07-02,6936482040
2014-07-03,7005311520
2014-07-07,7048648600
2014-07-08,7000213040
2014-07-09,7016783100
2014-07-10,7080514100
2014-07-11,7060120180
2014-07-14,7012959240
2014-07-15,7023156200
2014-07-16,6997663800
2014-07-17,6944129760
2014-07-18,7037177020
2014-07-21,7044824740
2014-07-22,7006586140
2014-07-23,7010410000
2014-07-24,6990016080
2014-07-25,7009135380
2014-07-28,6984917600
2014-07-29,7130224280
2014-07-30,7242390840
2014-07-31,7001487660
2014-08-01,7015508480
2014-08-04,7062669420
2014-08-05,7077964860
2014-08-06,7018057720
2014-08-07,7107281120
2014-08-08,7118752700
2014-08-11,7130224280
2014-08-12,7150618200
2014-08-13,7187582180
2014-08-14,7287002540
2014-08-15,7267883240
2014-08-18,7275530960
2014-08-19,7154442060
2014-08-20,7144245100
2014-08-21,7181209080
2014-08-22,7104731880
2014-08-25,7072866380
2014-08-26,7118752700
2014-08-27,7234743120
2014-08-28,7183758320
2014-08-29,7153167440
2014-09-02,7122576560
2014-09-03,7135322760
2014-09-04,7172286740
2014-09-05,7098358780
2014-09-08,7132773520
2014-09-09,7079239480
2014-09-10,7201603000
2014-09-11,7478195540
2014-09-12,7337987340
2014-09-15,7297199500
2014-09-16,7285727920
2014-09-17,7165913640
2014-09-18,7265334000
2014-09-19,7306121840
2014-09-22,7174835980
2014-09-23,7107281120
2014-09-24,7262784760
2014-09-25,7116203460
2014-09-26,7255137040
2014-09-29,7290826400
2014-09-30,7008087640
2014-10-01,6854809280
2014-10-02,6856065660
2014-10-03,7059599220
2014-10-06,6957832440
2014-10-07,6859834800
2014-10-08,6947781400
2014-10-09,6864860320
2014-10-10,6683941600
2014-10-13,6608558800
2014-10-14,6647506580
2014-10-15,6601020520
2014-10-16,6798272180
2014-10-17,6947781400
2014-10-20,6882449640
2014-10-21,7098547000
2014-10-22,7104828900
2014-10-23,7160109620
2014-10-24,7231723280
2014-10-27,7227954140
2014-10-28,7254338120
2014-10-29,7285747620
2014-10-30,7073419400
2014-10-31,7354848520
2014-11-03,7494306700
2014-11-04,7393796300
2014-11-05,7168904280
2014-11-06,7280722100
2014-11-07,7187749980
2014-11-10,7189006360
2014-11-11,7137494780
2014-11-12,7087239580
2014-11-13,7084726820
2014-11-14,7014369540
2014-11-17,7089752340
2014-11-18,7202826540
2014-11-19,7251825360
2014-11-20,7255594500
2014-11-21,7269414680
2014-11-24,7235492420
2014-11-25,7255594500
2014-11-26,7281978480
2014-11-28,7264389160
2014-12-01,7129956500
2014-12-02,7229210520
2014-12-03,7318413500
2014-12-04,7211621200
2014-12-05,7207852060
2014-12-08,7161366000
2014-12-09,7260620020
2014-12-10,7187749980
2014-12-11,7221672240
2014-12-12,7207852060
2014-12-15,7167647900
2014-12-16,7182724460
2014-12-17,7229210520
2014-12-18,7460384440
2014-12-19,7587278820
2014-12-22,7549587420
2014-12-23,7471691860
2014-12-24,7472948240
2014-12-26,7621201080
2014-12-29,7531998100
2014-12-30,7499332220
2014-12-31,7329550480
2015-01-02,7359431440
2015-01-05,7272278640
2015-01-06,7105443280
2015-01-07,7192596080
2015-01-08,7370636800
2015-01-09,7323325280
2015-01-12,7353206240
2015-01-13,7406742960
2015-01-14,7358186400
2015-01-15,7350716160
2015-01-16,7417948320
2015-01-20,7464014800
2015-01-21,7442849120
2015-01-22,7537472160
2015-01-23,7591008880
2015-01-26,7714267840
2015-01-27,7706797600
2015-01-28,7676916640
2015-01-29,7689367040
2015-01-30,7532492000
