,NEE
2000-01-03,14035200000
2000-01-04,14280000000
2000-01-05,14742400000
2000-01-06,14742400000
2000-01-07,15177600000
2000-01-10,15041600000
2000-01-11,14878400000
2000-01-12,15204800000
2000-01-13,15041600000
2000-01-14,14769600000
2000-01-18,14416000000
2000-01-19,14742400000
2000-01-20,14579200000
2000-01-21,14960000000
2000-01-24,14878400000
2000-01-25,14361600000
2000-01-26,14416000000
2000-01-27,14116800000
2000-01-28,14035200000
2000-01-31,14334399999
2000-02-01,14035200000
2000-02-02,14144000000
2000-02-03,14579200000
2000-02-04,14144000000
2000-02-07,14171200000
2000-02-08,14225600000
2000-02-09,14035200000
2000-02-10,13708800000
2000-02-11,13899200000
2000-02-14,13844800000
2000-02-15,13899200000
2000-02-16,13926400000
2000-02-17,13953600000
2000-02-18,13708800000
2000-02-22,13899200000
2000-02-23,13654399999
2000-02-24,12920000000
2000-02-25,12511999999
2000-02-28,12974399999
2000-02-29,13137600000
2000-03-01,13110400000
2000-03-02,13191999999
2000-03-03,13273600000
2000-03-06,12892800000
2000-03-07,13355200000
2000-03-08,14035200000
2000-03-09,14551999999
2000-03-10,14878400000
2000-03-13,14334399999
2000-03-14,14225600000
2000-03-15,15096000000
2000-03-16,15313600000
2000-03-17,14905600000
2000-03-20,14633600000
2000-03-21,14062400000
2000-03-22,13844800000
2000-03-23,14443199999
2000-03-24,14715200000
2000-03-27,15857600000
2000-03-28,15449600000
2000-03-29,15177600000
2000-03-30,15640000000
2000-03-31,7833600000
2000-04-03,7697600000
2000-04-04,7847199999
2000-04-05,7833600000
2000-04-06,7779200000
2000-04-07,7915200000
2000-04-10,8024000000
2000-04-11,7942400000
2000-04-12,8037600000
2000-04-13,7996800000
2000-04-14,7738400000
2000-04-17,7412000000
2000-04-18,7357600000
2000-04-19,7629600000
2000-04-20,7684000000
2000-04-24,7724800000
2000-04-25,8010400000
2000-04-26,7996800000
2000-04-27,7738400000
2000-04-28,7697600000
2000-05-01,7711200000
2000-05-02,7684000000
2000-05-03,7738400000
2000-05-04,7792800000
2000-05-05,7697600000
2000-05-08,7996800000
2000-05-09,7942400000
2000-05-10,8037600000
2000-05-11,8282400000
2000-05-12,8092000000
2000-05-15,8268800000
2000-05-16,8024000000
2000-05-17,7942400000
2000-05-18,8092000000
2000-05-19,8132800000
2000-05-22,8092000000
2000-05-23,8187199999
2000-05-24,8282400000
2000-05-25,8309600000
2000-05-26,8459200000
2000-05-30,8350400000
2000-05-31,8445600000
2000-06-01,8432000000
2000-06-02,8404800000
2000-06-05,8078400000
2000-06-06,8268800000
2000-06-07,8187199999
2000-06-08,8214400000
2000-06-09,8282400000
2000-06-12,8295999999
2000-06-13,8228000000
2000-06-14,8105600000
2000-06-15,8295999999
2000-06-16,8241599999
2000-06-19,8051200000
2000-06-20,8119200000
2000-06-21,8282400000
2000-06-22,8336800000
2000-06-23,8459200000
2000-06-26,8472800000
2000-06-27,8418400000
2000-06-28,8554400000
2000-06-29,8350400000
2000-06-30,8418400000
2000-07-03,8472800000
2000-07-05,8432000000
2000-07-06,8540800000
2000-07-07,8676800000
2000-07-10,9016800000
2000-07-11,9030400000
2000-07-12,9084800000
2000-07-13,9207200000
2000-07-14,9207200000
2000-07-17,9152800000
2000-07-18,8976000000
2000-07-19,9098400000
2000-07-20,9044000000
2000-07-21,8962400000
2000-07-24,8989600000
2000-07-25,9084800000
2000-07-26,8989600000
2000-07-27,8989600000
2000-07-28,8976000000
2000-07-31,8200800000
2000-08-01,8554400000
2000-08-02,8880800000
2000-08-03,9044000000
2000-08-04,9016800000
2000-08-07,9139200000
2000-08-08,9166400000
2000-08-09,8948800000
2000-08-10,8880800000
2000-08-11,9071200000
2000-08-14,9071200000
2000-08-15,9112000000
2000-08-16,9248000000
2000-08-17,9302400000
2000-08-18,9356800000
2000-08-21,9248000000
2000-08-22,9248000000
2000-08-23,9302400000
2000-08-24,9193600000
2000-08-25,9112000000
2000-08-28,9044000000
2000-08-29,9016800000
2000-08-30,9098400000
2000-08-31,9071200000
2000-09-01,9207200000
2000-09-05,9316000000
2000-09-06,9560800000
2000-09-07,9778400000
2000-09-08,9860000000
2000-09-11,10023200000
2000-09-12,10254400000
2000-09-13,10376800000
2000-09-14,10390400000
2000-09-15,10580800000
2000-09-18,10635200000
2000-09-19,10322400000
2000-09-20,10336000000
2000-09-21,10308800000
2000-09-22,10376800000
2000-09-25,10485600000
2000-09-26,10757600000
2000-09-27,10866400000
2000-09-28,10866400000
2000-09-29,11179200000
2000-10-02,11613986475
2000-10-03,10933213528
2000-10-04,10865136234
2000-10-05,10620057973
2000-10-06,10865136234
2000-10-09,10960444446
2000-10-10,11123829953
2000-10-11,11232753625
2000-10-12,11096599036
2000-10-13,11491447345
2000-10-16,11573140099
2000-10-17,11518678263
2000-10-18,11491447345
2000-10-19,11069368118
2000-10-20,11069368118
2000-10-23,11055752659
2000-10-24,10824289857
2000-10-25,10756212562
2000-10-26,10497518842
2000-10-27,11014906282
2000-10-30,11259984543
2000-10-31,11232753625
2000-11-01,11232753625
2000-11-02,10974059905
2000-11-03,10865136234
2000-11-06,11014906282
2000-11-07,10946828987
2000-11-08,10919598069
2000-11-09,11069368118
2000-11-10,11110214495
2000-11-13,11232753625
2000-11-14,11151060871
2000-11-15,11232753625
2000-11-16,11300830920
2000-11-17,11355292755
2000-11-20,11409754591
2000-11-21,11287215461
2000-11-22,11232753625
2000-11-24,11110214495
2000-11-27,11082983577
2000-11-28,11273600002
2000-11-29,11287215461
2000-11-30,11273600002
2000-12-01,11191907248
2000-12-04,11082983577
2000-12-05,11082983577
2000-12-06,11069368118
2000-12-07,11069368118
2000-12-08,11014906282
2000-12-11,10810674398
2000-12-12,10974059905
2000-12-13,11110214495
2000-12-14,10919598069
2000-12-15,11164676330
2000-12-18,11300830920
2000-12-19,11518678263
2000-12-20,11927142031
2000-12-21,12063296620
2000-12-22,12049681161
2000-12-26,12335605799
2000-12-27,12240297587
2000-12-28,12036065702
2000-12-29,12213066669
2001-01-02,12352235716
2001-01-03,11803560098
2001-01-04,11100129818
2001-01-05,11142335635
2001-01-08,11198610057
2001-01-09,11114198424
2001-01-10,10973512368
2001-01-11,10101258820
2001-01-12,10270082088
2001-01-16,10199739060
2001-01-17,10481111172
2001-01-18,10537385594
2001-01-19,10368562327
2001-01-22,10692140256
2001-01-23,10579591411
2001-01-24,10621797228
2001-01-25,10678071650
2001-01-26,10551454200
2001-01-29,10537385594
2001-01-30,10509248383
2001-01-31,10199739060
2001-02-01,10087190215
2001-02-02,10256013482
2001-02-05,10284150693
2001-02-06,10467042566
2001-02-07,10537385594
2001-02-08,10734346072
2001-02-09,10945375156
2001-02-12,10860963523
2001-02-13,10875032128
2001-02-14,10875032128
2001-02-15,10875032128
2001-02-16,11100129818
2001-02-20,11353364719
2001-02-21,11409639141
2001-02-22,11353364719
2001-02-23,11283021691
2001-02-26,11297090296
2001-02-27,11620668225
2001-02-28,11437776352
2001-03-01,11494050775
2001-03-02,11494050775
2001-03-05,11465913564
2001-03-06,11423707747
2001-03-07,11437776352
2001-03-08,11494050775
2001-03-09,11536256591
2001-03-12,11437776352
2001-03-13,11339296113
2001-03-14,11254884480
2001-03-15,11367433324
2001-03-16,11297090296
2001-03-19,10875032128
2001-03-20,10509248383
2001-03-21,10424836749
2001-03-22,10044984398
2001-03-23,10087190215
2001-03-26,10452973960
2001-03-27,10790620495
2001-03-28,10607728622
2001-03-29,10762483284
2001-03-30,10776551889
2001-04-02,10342800000
2001-04-03,10383360000
2001-04-04,10275200000
2001-04-05,10126480000
2001-04-06,9937200000
2001-04-09,10140000000
2001-04-10,10410400000
2001-04-11,10221120000
2001-04-12,10167040000
2001-04-16,10288720000
2001-04-17,10626720000
2001-04-18,10383360000
2001-04-19,10248160000
2001-04-20,10221120000
2001-04-23,10112960000
2001-04-24,10153520000
2001-04-25,10099440000
2001-04-26,10126480000
2001-04-27,10058880000
2001-04-30,10126480000
2001-05-01,9977760000
2001-05-02,9964240000
2001-05-03,9747920000
2001-05-04,9369360000
2001-05-07,9477520000
2001-05-08,9626240000
2001-05-09,9747920000
2001-05-10,9707360000
2001-05-11,9734400000
2001-05-14,9802000000
2001-05-15,9653280000
2001-05-16,9639760000
2001-05-17,9680320000
2001-05-18,9639760000
2001-05-21,9599200000
2001-05-22,9788480000
2001-05-23,9761440000
2001-05-24,9774960000
2001-05-25,9774960000
2001-05-29,9680320000
2001-05-30,9707360000
2001-05-31,9842560000
2001-06-01,9815520000
2001-06-04,9910160000
2001-06-05,9964240000
2001-06-06,10004800000
2001-06-07,10018320000
2001-06-08,10072400000
2001-06-11,10248160000
2001-06-12,10302240000
2001-06-13,9977760000
2001-06-14,9829040000
2001-06-15,10085920000
2001-06-18,10112960000
2001-06-19,10248160000
2001-06-20,10221120000
2001-06-21,10180560000
2001-06-22,10261680000
2001-06-25,10221120000
2001-06-26,10207600000
2001-06-27,10261680000
2001-06-28,10126480000
2001-06-29,10180560000
2001-07-02,10140000000
2001-07-03,10167040000
2001-07-05,10180560000
2001-07-06,10126480000
2001-07-09,10085920000
2001-07-10,10112960000
2001-07-11,9991280000
2001-07-12,9910160000
2001-07-13,9856080000
2001-07-16,9869600000
2001-07-17,9720880000
2001-07-18,9761440000
2001-07-19,9910160000
2001-07-20,9639760000
2001-07-23,9274720000
2001-07-24,8963760000
2001-07-25,9315280000
2001-07-26,9247680000
2001-07-27,9180080000
2001-07-30,9315280000
2001-07-31,9126000000
2001-08-01,9126000000
2001-08-02,9180080000
2001-08-03,9288240000
2001-08-06,9098960000
2001-08-07,9207120000
2001-08-08,9098960000
2001-08-09,9044880000
2001-08-10,9031360000
2001-08-13,9031360000
2001-08-14,9044880000
2001-08-15,9044880000
2001-08-16,9153040000
2001-08-17,9112480000
2001-08-20,9274720000
2001-08-21,9207120000
2001-08-22,9288240000
2001-08-23,9301760000
2001-08-24,9355840000
2001-08-27,9382880000
2001-08-28,9423440000
2001-08-29,9315280000
2001-08-30,9274720000
2001-08-31,9180080000
2001-09-04,9247680000
2001-09-05,9234160000
2001-09-06,9369360000
2001-09-07,9491040000
2001-09-10,9396400000
2001-09-17,9355840000
2001-09-18,9382880000
2001-09-19,9261200000
2001-09-20,9301760000
2001-09-21,9071920000
2001-09-24,8936720000
2001-09-25,9004320000
2001-09-26,8882640000
2001-09-27,8774480000
2001-09-28,9044880000
2001-10-01,9071920000
2001-10-02,9004320000
2001-10-03,9139520000
2001-10-04,9180080000
2001-10-05,9247680000
2001-10-08,9193600000
2001-10-09,9004320000
2001-10-10,9085440000
2001-10-11,8936720000
2001-10-12,8936720000
2001-10-15,8977280000
2001-10-16,9126000000
2001-10-17,9017840000
2001-10-18,8882640000
