,MIR
2021-10-14,66583350
2021-10-15,66583350
2021-10-18,69316000
2021-10-19,68382900
2021-10-20,70249100
2021-10-21,72515200
2021-10-22,71915350
2021-10-25,69982500
2021-10-26,71248850
2021-10-27,72848450
2021-10-28,71715400
2021-10-29,70582350
2021-11-01,71515450
2021-11-02,73315000
2021-11-03,73381650
2021-11-04,73714900
2021-11-05,75047900
2021-11-08,74581350
2021-11-09,76380900
2021-11-10,78380400
2021-11-11,76314250
2021-11-12,75981000
2021-11-15,76514200
2021-11-16,77047400
2021-11-17,77047400
2021-11-18,76714150
2021-11-19,76647500
2021-11-22,73714900
2021-11-23,73115050
2021-11-24,74114800
2021-11-26,73648250
2021-11-29,74648000
2021-11-30,71048900
2021-12-01,70249100
2021-12-02,71915350
2021-12-03,70848950
2021-12-06,72581850
2021-12-07,74248100
2021-12-08,74381400
2021-12-09,73648250
2021-12-10,74648000
2021-12-13,74847950
2021-12-14,71182200
2021-12-15,72915100
2021-12-16,71515450
2021-12-17,68782800
2021-12-20,66983250
2021-12-21,65583600
2021-12-22,66250100
2021-12-23,69849200
2021-12-27,71315500
2021-12-28,71315500
2021-12-29,69982500
2021-12-30,70182450
2021-12-31,1892709779
2022-01-03,1936095676
2022-01-04,1907171745
2022-01-05,1796899255
2022-01-06,1780629544
2022-01-07,1730012663
2022-01-10,1715550697
2022-01-11,1777014052
2022-01-12,1775206306
2022-01-13,1657702834
2022-01-14,1661318325
2022-01-18,1617932428
2022-01-19,1536583870
2022-01-20,1536583870
2022-01-21,1457043058
2022-01-24,1500428955
2022-01-25,1462466295
2022-01-26,1451619821
2022-01-27,1393771957
2022-01-28,1426311380
2022-01-31,1520314158
2022-02-01,1543814853
2022-02-02,1552853582
2022-02-03,1469697278
2022-02-04,1511275430
2022-02-07,1489582481
2022-02-08,1545622599
2022-02-09,1569123293
2022-02-10,1590816242
2022-02-11,1529352887
2022-02-14,1560084564
2022-02-15,1630586648
2022-02-16,1657702834
2022-02-17,1637817631
2022-02-18,1630586648
2022-02-22,1570931039
2022-02-23,1397387449
2022-02-24,1543814853
2022-02-25,1563700056
2022-02-28,1543814853
2022-03-01,1549238090
2022-03-02,1607085953
2022-03-03,1619740174
2022-03-04,1570931039
2022-03-07,1476928261
2022-03-08,1462466295
2022-03-09,1551045836
2022-03-10,1473312769
2022-03-11,1415464906
2022-03-14,1370271263
2022-03-15,1377502246
2022-03-16,1437157855
2022-03-17,1473312769
2022-03-18,1507659938
2022-03-21,1493197972
2022-03-22,1502236701
2022-03-23,1489582481
2022-03-24,1522121904
2022-03-25,1522121904
2022-03-28,1469697278
2022-03-29,1531160633
2022-03-30,1496813464
2022-03-31,1460606408
2022-04-01,1397259166
2022-04-04,1426217905
2022-04-05,1395449245
2022-04-06,1362870663
2022-04-07,1352011136
2022-04-08,1323052397
2022-04-11,1308573027
2022-04-12,1342961530
2022-04-13,1429837748
2022-04-14,1451556802
2022-04-18,1453366723
2022-04-19,1543862783
2022-04-20,1583681050
2022-04-21,1529383413
2022-04-22,1502234596
2022-04-25,1523953650
2022-04-26,1438887354
2022-04-27,1431647669
2022-04-28,1476895699
2022-04-29,1428027826
2022-05-02,1426217905
2022-05-03,1355630978
2022-05-04,1312192870
2022-05-05,1257895234
2022-05-06,1292283736
2022-05-09,1218076967
2022-05-10,1105861853
2022-05-11,1080522956
2022-05-12,1129390828
2022-05-13,1270564682
2022-05-16,1245225785
2022-05-17,1312192870
2022-05-18,1257895234
2022-05-19,1294093658
2022-05-20,1290473815
2022-05-23,1359250821
2022-05-24,1315812712
2022-05-25,1373730190
2022-05-26,1415358378
2022-05-27,1496804832
2022-05-31,1447936960
2022-06-01,1422598063
2022-06-02,1451556802
2022-06-03,1447936960
2022-06-06,1438887354
2022-06-07,1388209560
2022-06-08,1447936960
2022-06-09,1362870663
2022-06-10,1315812712
2022-06-13,1225316652
2022-06-14,1185498386
2022-06-15,1263324997
2022-06-16,1212647204
2022-06-17,1259705155
2022-06-21,1268754761
2022-06-22,1221696810
2022-06-23,1174638858
2022-06-24,1152919804
2022-06-27,1152919804
2022-06-28,1107671774
2022-06-29,1056993980
2022-06-30,1044478575
2022-07-01,1028158597
2022-07-05,1089811846
2022-07-06,1133331787
2022-07-07,1171411735
2022-07-08,1164158412
2022-07-11,1118825140
2022-07-12,1077118530
2022-07-13,1046291906
2022-07-14,1035411921
2022-07-15,1062611883
2022-07-18,1049918567
2022-07-19,1086185185
2022-07-20,1136958449
2022-07-21,1118825140
2022-07-22,1071678538
2022-07-25,1098878501
2022-07-26,1077118530
2022-07-27,1126078464
2022-07-28,1165971742
2022-07-29,1233064984
2022-08-01,1301971557
2022-08-02,1303784888
2022-08-03,1341864836
2022-08-04,1361811475
2022-08-05,1372691461
2022-08-08,1359998145
2022-08-09,1334611512
2022-08-10,1392638100
2022-08-11,1390824769
2022-08-12,1436158041
2022-08-15,1447038026
2022-08-16,1450664688
2022-08-17,1389011438
2022-08-18,1396264762
2022-08-19,1341864836
2022-08-22,1343678167
2022-08-23,1340051505
2022-08-24,1358184814
2022-08-25,1365438137
2022-08-26,1323731527
2022-08-29,1345491498
2022-08-30,1372691461
2022-08-31,1372691461
2022-09-01,1305598219
2022-09-02,1282024918
2022-09-06,1359998145
2022-09-07,1374504791
2022-09-08,1365438137
2022-09-09,1403518085
2022-09-12,1457918011
2022-09-13,1410771409
2022-09-14,1461544673
2022-09-15,1378131453
2022-09-16,1350931490
2022-09-19,1354558152
2022-09-20,1327358189
2022-09-21,1296531564
2022-09-22,1234878315
2022-09-23,1260264947
2022-09-26,1289278241
2022-09-27,1292904903
2022-09-28,1321918196
2022-09-29,1312851542
2022-09-30,1355223355
2022-10-03,1387879340
2022-10-04,1487661515
2022-10-05,1451377088
2022-10-06,1425977988
2022-10-07,1433234874
2022-10-10,1436863317
2022-10-11,1347966470
2022-10-12,1357037577
2022-10-13,1342523806
2022-10-14,1318938928
2022-10-17,1366108684
2022-10-18,1406021554
2022-10-19,1346152249
2022-10-20,1338895363
2022-10-21,1409649996
2022-10-24,1416906882
2022-10-25,1429606431
2022-10-26,1440491759
2022-10-27,1438677538
2022-10-28,1458633973
2022-10-31,1465890858
2022-11-01,1391507783
2022-11-02,1170172777
2022-11-03,1072204823
2022-11-04,1093975480
