,NYT
2000-01-03,8302080000
2000-01-04,7956160000
2000-01-05,7805684800
2000-01-06,7729582400
2000-01-07,7912920000
2000-01-10,8312457600
2000-01-11,8075502400
2000-01-12,8042640000
2000-01-13,8291702400
2000-01-14,8096257600
2000-01-18,7880057600
2000-01-19,7750337600
2000-01-20,7892164800
2000-01-21,8065124800
2000-01-24,7750337600
2000-01-25,7826440000
2000-01-26,8065124800
2000-01-27,8129120000
2000-01-28,8009777600
2000-01-31,7902542400
2000-02-01,8021884800
2000-02-02,7935404800
2000-02-03,8238084800
2000-02-04,8355697600
2000-02-07,7999400000
2000-02-08,8345320000
2000-02-09,8215600000
2000-02-10,8139497600
2000-02-11,8238084800
2000-02-14,8225977600
2000-02-15,8129120000
2000-02-16,7945782400
2000-02-17,7772822400
2000-02-18,7589484800
2000-02-22,7383662400
2000-02-23,7317937600
2000-02-24,6842297600
2000-02-25,6864782400
2000-02-28,7188217600
2000-02-29,7307560000
2000-03-01,7437280000
2000-03-02,7317937600
2000-03-03,7340422400
2000-03-06,7177840000
2000-03-07,7048120000
2000-03-08,7188217600
2000-03-09,7459764800
2000-03-10,7210702400
2000-03-13,7113844800
2000-03-14,7253942400
2000-03-15,7347340799
2000-03-16,7783200000
2000-03-17,7490897600
2000-03-20,7589484800
2000-03-21,7696720000
2000-03-22,7686342400
2000-03-23,7869680000
2000-03-24,7783200000
2000-03-27,7480079130
2000-03-28,7458044000
2000-03-29,7320748190
2000-03-30,7225827630
2000-03-31,7278372940
2000-04-03,7183452380
2000-04-04,7002086310
2000-04-05,7098701880
2000-04-06,7203792500
2000-04-07,7256337810
2000-04-10,7129212060
2000-04-11,7246167750
2000-04-12,7268202880
2000-04-13,7024121440
2000-04-14,6844450380
2000-04-17,7056326630
2000-04-18,7151247190
2000-04-19,7098701880
2000-04-20,7024121440
2000-04-24,6896995690
2000-04-25,6886825630
2000-04-26,7141077130
2000-04-27,6971576130
2000-04-28,6981746190
2000-05-01,6864790500
2000-05-02,6695289500
2000-05-03,6441038000
2000-05-04,6378322630
2000-05-05,6408832810
2000-05-08,6293572130
2000-05-09,6281707060
2000-05-10,6420697880
2000-05-11,6695289500
2000-05-12,6844450380
2000-05-15,6747834810
2000-05-16,6747834810
2000-05-17,6535958560
2000-05-18,6557993690
2000-05-19,6303742190
2000-05-22,6378322630
2000-05-23,6557993690
2000-05-24,6610539000
2000-05-25,6493583310
2000-05-26,6451208060
2000-05-30,6642744190
2000-05-31,6535958560
2000-06-01,6695289500
2000-06-02,6790210060
2000-06-05,6854620440
2000-06-06,6790210060
2000-06-07,6620709060
2000-06-08,6822415250
2000-06-09,6790210060
2000-06-12,6674949380
2000-06-13,6802075130
2000-06-14,6864790500
2000-06-15,7086836810
2000-06-16,6917335810
2000-06-19,6981746190
2000-06-20,6886825630
2000-06-21,6844450380
2000-06-22,7119042000
2000-06-23,6929200880
2000-06-26,6589271840
2000-06-27,6630912840
2000-06-28,6745842000
2000-06-29,6767495320
2000-06-30,6579278000
2000-07-03,6755835840
2000-07-05,6600931320
2000-07-06,6569284160
2000-07-07,6662560000
2000-07-10,6819130160
2000-07-11,6684213320
2000-07-12,6880758840
2000-07-13,6964040840
2000-07-14,7037329000
2000-07-17,7005681840
2000-07-18,6985694160
2000-07-19,6934059320
2000-07-20,6902412160
2000-07-21,6777489160
2000-07-24,6745842000
2000-07-25,6745842000
2000-07-26,6714194840
2000-07-27,6839117840
2000-07-28,6839117840
2000-07-31,6860771160
2000-08-01,6809136320
2000-08-02,6797476840
2000-08-03,6787483000
2000-08-04,6725854320
2000-08-07,6819130160
2000-08-08,6787483000
2000-08-09,6735848160
2000-08-10,6662560000
2000-08-11,6725854320
2000-08-14,6704201000
2000-08-15,6704201000
2000-08-16,6652566160
2000-08-17,6559290320
2000-08-18,6547630840
2000-08-21,6495996000
2000-08-22,6527643160
2000-08-23,6600931320
2000-08-24,6547630840
2000-08-25,6589271840
2000-08-28,6559290320
2000-08-29,6569284160
2000-08-30,6579278000
2000-08-31,6527643160
2000-09-01,6589271840
2000-09-05,6319438160
2000-09-06,6152874160
2000-09-07,6142880320
2000-09-08,6059598320
2000-09-11,6246150000
2000-09-12,6319438160
2000-09-13,6267803320
2000-09-14,6309444320
2000-09-15,6434367320
2000-09-18,6412714000
2000-09-19,6351085320
2000-09-20,6412714000
2000-09-21,6517649320
2000-09-22,6559290320
2000-09-25,6242154780
2000-09-26,6273113000
2000-09-27,6354582000
2000-09-28,6517520000
2000-09-29,6405092780
2000-10-02,6395316500
2000-10-03,6548478220
2000-10-04,6335029440
2000-10-05,6253560440
2000-10-06,6201420280
2000-10-09,6100398720
2000-10-10,5937460720
2000-10-11,5886949940
2000-10-12,5683277440
2000-10-13,5693053720
2000-10-16,5561073940
2000-10-17,5438870440
2000-10-18,5407912220
2000-10-19,5448646720
2000-10-20,5458423000
2000-10-23,5468199280
2000-10-24,5438870440
2000-10-25,5417688500
2000-10-26,5499157500
2000-10-27,5764746440
2000-10-30,5865768000
2000-10-31,5987971500
2000-11-01,5906502500
2000-11-02,6009153440
2000-11-03,6028706000
2000-11-06,5997747780
2000-11-07,6049887940
2000-11-08,6253560440
2000-11-09,6110175000
2000-11-10,6119951280
2000-11-13,5987971500
2000-11-14,6090622440
2000-11-15,5916278780
2000-11-16,5764746440
2000-11-17,5764746440
2000-11-20,5753340780
2000-11-21,5825033500
2000-11-22,5794075280
2000-11-24,5774522720
2000-11-27,5947237000
2000-11-28,5631137280
2000-11-29,5743564500
2000-11-30,5753340780
2000-12-01,5815257220
2000-12-04,5937460720
2000-12-05,5997747780
2000-12-06,6497967440
2000-12-07,6527296280
2000-12-08,6670681720
2000-12-11,6680458000
2000-12-12,6833619720
2000-12-13,7078026720
2000-12-14,6884130500
2000-12-15,6608765280
2000-12-18,6527296280
2000-12-19,6568030780
2000-12-20,6486561780
2000-12-21,6313847500
2000-12-22,6344805720
2000-12-26,6416498440
2000-12-27,6486561780
2000-12-28,6507743720
2000-12-29,6527296280
2001-01-02,6232726500
2001-01-03,6677921250
2001-01-04,7123116000
2001-01-05,6860855820
2001-01-08,6677921250
2001-01-09,6758865750
2001-01-10,6606690090
2001-01-11,6768579090
2001-01-12,6789624660
2001-01-16,6668207910
2001-01-17,6799338000
2001-01-18,6809051340
2001-01-19,6768579090
2001-01-22,6587263410
2001-01-23,6647162340
2001-01-24,6708680160
2001-01-25,6749152410
2001-01-26,6739439070
2001-01-29,6857618040
2001-01-30,6993604800
2001-01-31,7056741510
2001-02-01,6893233620
2001-02-02,6945038100
2001-02-05,6959608110
2001-02-06,6969321450
2001-02-07,6920754750
2001-02-08,6941800320
2001-02-09,6880282500
