,NDAQ
2002-07-01,1185000000
2002-07-02,1194480000
2002-07-03,1185000000
2002-07-05,1185000000
2002-07-08,1106790000
2002-07-09,1225290000
2002-07-10,1225290000
2002-07-11,1225290000
2002-07-12,1185000000
2002-07-15,1007250000
2002-07-16,988290000
2002-07-17,988290000
2002-07-18,929040000
2002-07-19,829500000
2002-07-22,805800000
2002-07-23,805800000
2002-07-24,829500000
2002-07-25,801060000
2002-07-26,801060000
2002-07-29,876900000
2002-07-30,907710000
2002-07-31,948000000
2002-08-01,931410000
2002-08-02,931410000
2002-08-05,936150000
2002-08-06,948000000
2002-08-07,952739999
2002-08-08,955110000
2002-08-09,959850000
2002-08-12,959850000
2002-08-13,964590000
2002-08-14,964590000
2002-08-15,955110000
2002-08-16,959850000
2002-08-19,919560000
2002-08-20,917190000
2002-08-21,929040000
2002-08-22,869790000
2002-08-23,876900000
2002-08-26,857940000
2002-08-27,829500000
2002-08-28,798690000
2002-08-29,805800000
2002-08-30,789210000
2002-09-03,782100000
2002-09-04,734700000
2002-09-05,734700000
2002-09-06,765510000
2002-09-09,774990000
2002-09-10,782100000
2002-09-11,793950000
2002-09-12,782100000
2002-09-13,784470000
2002-09-16,789210000
2002-09-17,782100000
2002-09-18,779730000
2002-09-19,774990000
2002-09-20,741810000
2002-09-23,765510000
2002-09-24,741810000
2002-09-25,758400000
2002-09-26,765510000
2002-09-27,748920000
2002-09-30,733264889
2002-10-01,745015929
2002-10-02,742665721
2002-10-03,747366137
2002-10-04,747366137
2002-10-07,745015929
2002-10-08,723864057
2002-10-09,705062394
2002-10-10,705062394
2002-10-11,705062394
2002-10-14,705062394
2002-10-15,676859898
2002-10-16,653357818
2002-10-17,646307194
2002-10-18,646307194
2002-10-21,629855738
2002-10-22,627505530
2002-10-23,611054074
2002-10-24,568750331
2002-10-25,564049915
2002-10-28,547598459
2002-10-29,606353658
2002-10-30,592252410
2002-10-31,587551995
2002-11-01,587551995
2002-11-04,587551995
2002-11-05,587551995
2002-11-06,594602618
2002-11-07,587551995
2002-11-08,587551995
2002-11-11,618104698
2002-11-12,618104698
2002-11-13,655708026
2002-11-14,662758650
2002-11-15,658058234
2002-11-18,665108858
2002-11-19,648657402
2002-11-20,658058234
2002-11-21,658058234
2002-11-22,658058234
2002-11-25,658058234
2002-11-26,728564473
2002-11-27,782619257
2002-11-29,782619257
2002-12-02,794370297
2002-12-03,794370297
2002-12-04,787319673
2002-12-05,822572793
2002-12-06,839024248
2002-12-09,817872377
2002-12-10,829623416
2002-12-11,829623416
2002-12-12,869576952
2002-12-13,862526328
2002-12-16,864876536
2002-12-17,862526328
2002-12-18,864876536
2002-12-19,864876536
2002-12-20,822572793
2002-12-23,846074872
2002-12-24,846074872
2002-12-26,822572793
2002-12-27,822572793
2002-12-30,824923000
2002-12-31,957042000
2003-01-02,982908000
2003-01-03,982908000
2003-01-06,997278000
2003-01-07,985782000
2003-01-08,977160000
2003-01-09,911058000
2003-01-10,885192000
2003-01-13,959916000
2003-01-14,882318000
2003-01-15,939798000
2003-01-16,934050000
2003-01-17,911058000
2003-01-21,911058000
2003-01-22,896688000
2003-01-23,885192000
2003-01-24,882318000
2003-01-27,890940000
2003-01-28,882318000
2003-01-29,873696000
2003-01-30,870822000
2003-01-31,870822000
2003-02-03,870822000
2003-02-04,882318000
2003-02-05,870822000
2003-02-06,870822000
2003-02-07,879444000
2003-02-10,862200000
2003-02-11,775980000
2003-02-12,755862000
2003-02-13,767358000
2003-02-14,767358000
2003-02-18,767358000
2003-02-19,775980000
2003-02-20,761610000
2003-02-21,761610000
2003-02-24,767358000
2003-02-25,741492000
2003-02-26,744366000
2003-02-27,755862000
2003-02-28,741492000
2003-03-03,741492000
2003-03-04,747240000
2003-03-05,747240000
2003-03-06,755862000
2003-03-07,738618000
2003-03-10,738618000
2003-03-11,661020000
2003-03-12,661020000
2003-03-13,669642000
2003-03-14,669642000
2003-03-17,669642000
2003-03-18,689760000
2003-03-19,689760000
2003-03-20,684012000
2003-03-21,669642000
2003-03-24,666768000
2003-03-25,669642000
2003-03-26,669642000
2003-03-27,669642000
2003-03-28,666768000
2003-03-31,543639273
2003-04-01,545982546
2003-04-02,545982546
2003-04-03,508490182
2003-04-04,468654546
2003-04-07,480370909
2003-04-08,485057455
2003-04-09,419445818
2003-04-10,428818909
2003-04-11,414759273
2003-04-14,414759273
