,CVS
2000-01-03,14791402000
2000-01-04,14666250000
2000-01-05,15471916000
2000-01-06,14376836000
2000-01-07,14713181999
2000-01-10,14689716000
2000-01-11,14736648000
2000-01-12,14713181999
2000-01-13,14423768000
2000-01-14,14032668000
2000-01-18,14079600000
2000-01-19,14009202000
2000-01-20,13054918000
2000-01-21,13492950000
2000-01-24,13469484000
2000-01-25,13297400000
2000-01-26,13320866000
2000-01-27,13078384000
2000-01-28,13618102000
2000-01-31,13665034000
2000-02-01,13711966000
2000-02-02,14376836000
2000-02-03,14767936000
2000-02-04,14275150000
2000-02-07,14251684000
2000-02-08,15644000000
2000-02-09,15252900000
2000-02-10,15886481999
2000-02-11,15495381999
2000-02-14,15597068000
2000-02-15,15401518000
2000-02-16,15182502000
2000-02-17,14963486000
2000-02-18,14517631999
2000-02-22,14932198000
2000-02-23,15205968000
2000-02-24,14470700000
2000-02-25,14376836000
2000-02-28,14032668000
2000-02-29,13688500000
2000-03-01,13078384000
2000-03-02,11975482000
2000-03-03,11905084000
2000-03-06,12092812000
2000-03-07,10950800000
2000-03-08,12171032000
2000-03-09,12491734000
2000-03-10,11928550000
2000-03-13,12077168000
2000-03-14,12030236000
2000-03-15,12757681999
2000-03-16,14204752000
2000-03-17,14079600000
2000-03-20,13688500000
2000-03-21,14541098000
2000-03-22,14517631999
2000-03-23,14251684000
2000-03-24,14056134000
2000-03-27,13344331999
2000-03-28,13367798000
2000-03-29,14251684000
2000-03-30,14517631999
2000-03-31,14689716000
2000-04-03,15096804000
2000-04-04,16002300000
2000-04-05,15853985999
2000-04-06,15151446000
2000-04-07,15151446000
2000-04-10,15096804000
2000-04-11,16174032000
2000-04-12,17126364000
2000-04-13,17321514000
2000-04-14,16392600000
2000-04-17,16369182000
2000-04-18,17149782000
2000-04-19,16978050000
2000-04-20,17102946000
2000-04-24,17173200000
2000-04-25,18250428000
2000-04-26,17516664000
2000-04-27,17274678000
2000-04-28,16978050000
2000-05-01,17048304000
2000-05-02,17516664000
2000-05-03,16220868000
2000-05-04,16220868000
2000-05-05,16587750000
2000-05-08,17469828000
2000-05-09,17220036000
2000-05-10,16978050000
2000-05-11,16884378000
2000-05-12,16345764000
2000-05-15,16759482000
2000-05-16,16712646000
2000-05-17,16322346000
2000-05-18,16197450000
2000-05-19,15908628000
2000-05-22,15807150000
2000-05-23,16150614000
2000-05-24,15635418000
2000-05-25,16127196000
2000-05-26,15713478000
2000-05-30,16267704000
2000-05-31,16978050000
2000-06-01,17633754000
2000-06-02,16884378000
2000-06-05,16244285999
2000-06-06,15174864000
2000-06-07,14565996000
2000-06-08,15073385999
2000-06-09,15003132000
2000-06-12,14784564000
2000-06-13,14487935999
2000-06-14,15174864000
2000-06-15,14901654000
2000-06-16,14979714000
2000-06-19,15174864000
2000-06-20,14878235999
2000-06-21,14589414000
2000-06-22,14316204000
2000-06-23,14097635999
2000-06-26,14003964000
2000-06-27,14831400000
2000-06-28,14878235999
2000-06-29,14807982000
2000-06-30,15612000000
2000-07-03,15397580000
2000-07-05,15514880000
2000-07-06,16961580000
2000-07-07,16766080000
2000-07-10,17031960000
2000-07-11,16961580000
2000-07-12,17055419999
2000-07-13,16789540000
2000-07-14,16985040000
2000-07-17,17399500000
2000-07-18,17204000000
2000-07-19,16617500000
2000-07-20,16985040000
2000-07-21,16836460000
2000-07-24,17008500000
2000-07-25,16813000000
2000-07-26,16468919999
2000-07-27,16273419999
2000-07-28,15858960000
2000-07-31,15421040000
2000-08-01,15155160000
2000-08-02,14467000000
2000-08-03,14005620000
2000-08-04,14122919999
2000-08-07,14029080000
2000-08-08,13614620000
2000-08-09,13442580000
2000-08-10,14294960000
2000-08-11,14341880000
2000-08-14,14639040000
2000-08-15,14467000000
2000-08-16,14513919999
2000-08-17,15006580000
2000-08-18,15178620000
2000-08-21,14928380000
2000-08-22,14959660000
2000-08-23,15006580000
2000-08-24,15249000000
2000-08-25,15030040000
2000-08-28,14959660000
2000-08-29,15225540000
2000-08-30,15249000000
2000-08-31,14513919999
2000-09-01,14513919999
2000-09-05,14513919999
2000-09-06,14764160000
2000-09-07,14983120000
2000-09-08,15640000000
2000-09-11,16077919999
2000-09-12,16570580000
2000-09-13,17204000000
2000-09-14,17204000000
2000-09-15,17204000000
2000-09-18,17250920000
2000-09-19,17227460000
2000-09-20,17305660000
2000-09-21,17618460000
2000-09-22,17986000000
2000-09-25,17962540000
2000-09-26,17767040000
2000-09-27,17665380000
2000-09-28,17939080000
2000-09-29,18111120000
2000-10-02,18302853556
2000-10-03,18530266903
2000-10-04,18530266903
2000-10-05,18279328037
2000-10-06,18279328037
2000-10-09,17910761577
2000-10-10,17887236059
2000-10-11,18357746433
2000-10-12,18208751481
2000-10-13,17989179973
2000-10-16,17965654454
2000-10-17,17644139032
2000-10-18,18036231011
2000-10-19,18036231011
2000-10-20,17377516487
2000-10-23,17448093043
2000-10-24,17942128936
2000-10-25,18255802518
2000-10-26,18843940486
2000-10-27,18232277000
2000-10-30,20710298304
2000-10-31,20757349341
2000-11-01,20780874860
2000-11-02,20608354389
2000-11-03,20561303352
2000-11-06,21761104806
2000-11-07,21541533298
2000-11-08,21494482261
2000-11-09,22372768293
2000-11-10,21808155844
2000-11-13,22255140699
2000-11-14,22223773341
2000-11-15,21149441320
2000-11-16,20953395331
2000-11-17,20561303352
2000-11-20,20537777833
2000-11-21,20686772785
2000-11-22,21541533298
2000-11-24,21369012828
2000-11-27,22545288763
2000-11-28,22396293811
2000-11-29,21957150796
2000-11-30,22302191737
2000-12-01,21714053769
2000-12-04,21102390282
2000-12-05,21102390282
2000-12-06,20169211374
2000-12-07,21392538346
2000-12-08,21000446368
2000-12-11,20459359438
2000-12-12,21635635373
2000-12-13,21910099758
2000-12-14,22474712207
2000-12-15,22717809234
2000-12-18,22498237726
2000-12-19,22717809234
2000-12-20,23305947202
2000-12-21,23282421683
2000-12-22,23133426731
2000-12-26,22937380742
2000-12-27,23454942153
2000-12-28,23501993191
2000-12-29,23501993191
2001-01-02,22460304000
2001-01-03,21211200000
2001-01-04,20032800000
2001-01-05,20299904000
2001-01-08,20794832000
2001-01-09,21313328000
2001-01-10,21973232000
2001-01-11,21187632000
2001-01-12,21014800000
