,DE
2000-01-03,10103600000
2000-01-04,10089462500
2000-01-05,10325087500
2000-01-06,10852887500
2000-01-07,10838750000
2000-01-10,11060237500
2000-01-11,11060237500
2000-01-12,10852887500
2000-01-13,10900012500
2000-01-14,11338275000
2000-01-18,11102650000
2000-01-19,10928287500
2000-01-20,10735075000
2000-01-21,10409912500
2000-01-24,10574850000
2000-01-25,10485312500
2000-01-26,10749212500
2000-01-27,10796337500
2000-01-28,10546575000
2000-01-31,10227144826
2000-02-01,10011737929
2000-02-02,9978958619
2000-02-03,9613703446
2000-02-04,9571558619
2000-02-07,9674579308
2000-02-08,9379565515
2000-02-09,9365517240
2000-02-10,8780172412
2000-02-11,8471110343
2000-02-14,9131379309
2000-02-15,9468537929
2000-02-16,9206303446
2000-02-17,9323372412
2000-02-18,9014310343
2000-02-22,9365517240
2000-02-23,9014310343
2000-02-24,8663103447
2000-02-25,8649055171
2000-02-28,8649055171
2000-02-29,8372772412
2000-03-01,8663103447
2000-03-02,8091806895
2000-03-03,8166731033
2000-03-06,8002834481
2000-03-07,7113110343
2000-03-08,8255703447
2000-03-09,8354041378
2000-03-10,8311896550
2000-03-13,8269751722
2000-03-14,8091806895
2000-03-15,8780172412
2000-03-16,9248448274
2000-03-17,8939386205
2000-03-20,8972165515
2000-03-21,9028358619
2000-03-22,8939386205
2000-03-23,9089234481
2000-03-24,8986213791
2000-03-27,8808268964
2000-03-28,8635006895
2000-03-29,8723979309
2000-03-30,9145427584
2000-03-31,8897241378
2000-04-03,9103282757
2000-04-04,9407662067
2000-04-05,9440441377
2000-04-06,9365517240
2000-04-07,9131379309
2000-04-10,9192255171
2000-04-11,9440441377
2000-04-12,9936813791
2000-04-13,9716724136
2000-04-14,9426393102
2000-04-17,9192255171
2000-04-18,9337420688
2000-04-19,9028358619
2000-04-20,9103282757
2000-04-24,9089234481
2000-04-25,9585606895
2000-04-26,9393613791
2000-04-27,9571558619
2000-04-28,9454489653
2000-05-01,9421427028
2000-05-02,9477340541
2000-05-03,9449383784
2000-05-04,9304940541
2000-05-05,9174475676
2000-05-08,9379491892
2000-05-09,9332897298
2000-05-10,9728951352
2000-05-11,9668378379
2000-05-12,10264789190
2000-05-15,10469805406
2000-05-16,10847221622
2000-05-17,10847221622
2000-05-18,10791308109
2000-05-19,10907794595
2000-05-22,11546140541
2000-05-23,11024281082
2000-05-24,10977686487
2000-05-25,11168724325
2000-05-26,10409232433
2000-05-30,10544356757
2000-05-31,9682356757
2000-06-01,9989881082
2000-06-02,9784864866
2000-06-05,9770886487
2000-06-06,10208875676
2000-06-07,10031816217
2000-06-08,9845437838
2000-06-09,9668378379
2000-06-12,9728951352
2000-06-13,9393470271
2000-06-14,10003859460
2000-06-15,9812821622
2000-06-16,9640421622
2000-06-19,9360854055
2000-06-20,9127881082
2000-06-21,9146518919
2000-06-22,8633978379
2000-06-23,8778421622
2000-06-26,8736486487
2000-06-27,9113902703
2000-06-28,9030032433
2000-06-29,8592043244
2000-06-30,8620000001
2000-07-03,8969459460
2000-07-05,9113902703
2000-07-06,8997416217
2000-07-07,9099924325
2000-07-10,8997416217
2000-07-11,8983437838
2000-07-12,8997416217
2000-07-13,9290962163
2000-07-14,9230389190
2000-07-17,9537913514
2000-07-18,9407448649
2000-07-19,9071967568
2000-07-20,9230389190
2000-07-21,9263005406
2000-07-24,9146518919
2000-07-25,9030032433
2000-07-26,8750464865
2000-07-27,8955481082
2000-07-28,8825016217
2000-07-31,9061600000
2000-08-01,9061600000
2000-08-02,8854800000
2000-08-03,8695000000
2000-08-04,8474100000
2000-08-07,8812500000
2000-08-08,8784300000
2000-08-09,8591600000
2000-08-10,8535200000
2000-08-11,8695000000
2000-08-14,8695000000
2000-08-15,7816100000
2000-08-16,7990000000
2000-08-17,7755000000
2000-08-18,7740899999
2000-08-21,7783199999
2000-08-22,7872500000
2000-08-23,7637500000
2000-08-24,7769100000
2000-08-25,7961800000
2000-08-28,7990000000
2000-08-29,8093399999
2000-08-30,7609300000
2000-08-31,7740899999
2000-09-01,7872500000
2000-09-05,8004100000
2000-09-06,7990000000
2000-09-07,7961800000
2000-09-08,7755000000
2000-09-11,8018199999
2000-09-12,7816100000
2000-09-13,8079300000
2000-09-14,8032300000
2000-09-15,7769100000
2000-09-18,7679800000
