,AMCR
2019-06-11,18147376000
2019-06-12,18261000000
2019-06-13,17887664000
2019-06-14,17741576000
2019-06-17,17287080000
2019-06-18,17530560000
2019-06-19,17189688000
2019-06-20,17644184000
2019-06-21,17887664000
2019-06-24,18082448000
2019-06-25,18601872000
2019-06-26,18683032000
2019-06-27,18650568000
2019-06-28,18650568000
2019-07-01,18556605000
2019-07-02,18800130000
2019-07-03,18962480000
2019-07-05,18848835000
2019-07-08,18572840000
2019-07-09,17890970000
2019-07-10,17793560000
2019-07-11,17988380000
2019-07-12,18102025000
2019-07-15,17988380000
2019-07-16,17696150000
2019-07-17,18150730000
2019-07-18,18313080000
2019-07-19,18296845000
2019-07-22,17436390000
2019-07-23,17631210000
2019-07-24,17517565000
2019-07-25,17826030000
2019-07-26,17793560000
2019-07-29,17647445000
2019-07-30,17225335000
2019-07-31,17209100000
2019-08-01,17062985000
2019-08-02,17111689999
2019-08-05,16722050000
2019-08-06,16624640000
2019-08-07,16933105000
2019-08-08,17225335000
2019-08-09,16998045000
2019-08-12,16673345000
2019-08-13,16933105000
2019-08-14,16153824999
2019-08-15,15747949999
2019-08-16,16105120000
2019-08-19,16413585000
2019-08-20,16186295000
2019-08-21,15666775000
2019-08-22,15488189999
2019-08-23,15325840000
2019-08-26,15780420000
2019-08-27,15877829999
2019-08-28,15764185000
2019-08-29,15812890000
2019-08-30,15942770000
2019-09-03,15764185000
2019-09-04,15764185000
2019-09-05,15861595000
2019-09-06,16023944999
2019-09-09,15926535000
2019-09-10,16332410000
2019-09-11,16462290000
2019-09-12,16397350000
2019-09-13,16592170000
2019-09-16,15699245000
2019-09-17,15845360000
2019-09-18,15942770000
2019-09-19,15894064999
2019-09-20,15683010000
2019-09-23,15666775000
2019-09-24,15585600000
2019-09-25,15666775000
2019-09-26,15601835000
2019-09-27,15796655000
2019-09-30,15730650000
2019-10-01,15407970000
2019-10-02,15198228000
2019-10-03,15407970000
2019-10-04,15311166000
2019-10-07,15149826000
2019-10-08,14891682000
2019-10-09,15036888000
2019-10-10,15036888000
2019-10-11,15488640000
2019-10-14,15472506000
2019-10-15,15472506000
2019-10-16,15149826000
2019-10-17,15472506000
2019-10-18,15472506000
2019-10-21,15617712000
2019-10-22,15585444000
2019-10-23,15666114000
2019-10-24,15278898000
2019-10-25,15682248000
2019-10-28,15456372000
2019-10-29,15295032000
2019-10-30,15424104000
2019-10-31,15359568000
2019-11-01,15698382000
2019-11-04,15956526000
2019-11-05,16134000000
2019-11-06,16085598000
2019-11-07,15779051999
2019-11-08,15762918000
2019-11-11,15827454000
2019-11-12,15859722000
2019-11-13,15908124000
2019-11-14,16053329999
2019-11-15,16166268000
2019-11-18,16166268000
2019-11-19,16359876000
2019-11-20,15859722000
2019-11-21,15972660000
2019-11-22,16230804000
2019-11-25,16311474000
2019-11-26,16376010000
2019-11-27,16618020000
2019-11-29,16553484000
2019-12-02,16408278000
2019-12-03,16246938000
2019-12-04,16424412000
2019-12-05,16666422000
2019-12-06,16892298000
2019-12-09,16827762000
2019-12-10,16698690000
2019-12-11,16908432000
2019-12-12,17231112000
2019-12-13,17037504000
2019-12-16,17360184000
2019-12-17,17440854000
2019-12-18,17376318000
2019-12-19,17424720000
2019-12-20,17376318000
2019-12-23,17602194000
2019-12-24,17408586000
2019-12-26,17505390000
2019-12-27,17666730000
2019-12-30,17505390000
2019-12-31,17275708000
2020-01-02,16941031000
2020-01-03,16717913000
2020-01-06,16606354000
2020-01-07,16462921000
2020-01-08,16526668999
2020-01-09,16574480000
2020-01-10,16654164999
2020-01-13,17036653000
2020-01-14,16925093999
2020-01-15,17004779000
2020-01-16,17243834000
2020-01-17,17371330000
2020-01-21,17052589999
2020-01-22,17100401000
2020-01-23,17100401000
2020-01-24,16717913000
2020-01-27,17164149000
2020-01-28,17355393000
2020-01-29,17291645000
2020-01-30,17259771000
2020-01-31,16877283000
2020-02-03,17020716000
2020-02-04,17323519000
2020-02-05,17562574000
2020-02-06,17546637000
2020-02-07,17243834000
2020-02-10,17227897000
2020-02-11,17482889000
2020-02-12,16686039000
2020-02-13,16191992000
2020-02-14,16271677000
2020-02-18,16271677000
2020-02-19,16223866000
2020-02-20,16367299000
2020-02-21,16319488000
2020-02-24,15825441000
2020-02-25,15411079000
2020-02-26,15554512000
2020-02-27,15076402000
2020-02-28,14853284000
2020-03-02,15602322999
2020-03-03,15283583000
2020-03-04,15570449000
2020-03-05,14964843000
2020-03-06,14853284000
2020-03-09,14152056000
2020-03-10,14295489000
2020-03-11,12733663000
2020-03-12,10677790000
2020-03-13,10869034000
2020-03-16,9482515000
2020-03-17,9928751000
2020-03-18,10183743000
2020-03-19,11841191000
2020-03-20,11634010000
2020-03-23,10550294000
2020-03-24,11984624000
2020-03-25,12287427000
2020-03-26,12956781000
2020-03-27,12430860000
2020-03-30,13195835999
2020-03-31,12675319999
2020-04-01,12269460000
2020-04-02,12768980000
2020-04-03,12238240000
2020-04-06,12831420000
2020-04-07,12690930000
2020-04-08,13284110000
2020-04-09,14298760000
2020-04-13,13892900000
2020-04-14,14111439999
2020-04-15,13502650000
2020-04-16,13206060000
2020-04-17,13705579999
2020-04-20,13487040000
2020-04-21,12893860000
2020-04-22,13049960000
2020-04-23,12815810000
2020-04-24,13143620000
2020-04-27,13549480000
2020-04-28,14080220000
2020-04-29,14423640000
2020-04-30,14002170000
2020-05-01,13549480000
2020-05-04,13565090000
2020-05-05,13393380000
2020-05-06,13237280000
2020-05-07,13440210000
2020-05-08,14002170000
2020-05-11,13783630000
2020-05-12,14220710000
2020-05-13,14220710000
2020-05-14,14189490000
2020-05-15,14205100000
2020-05-18,15048040000
2020-05-19,14673400000
2020-05-20,14751449999
2020-05-21,14798280000
2020-05-22,14985600000
2020-05-26,15610000000
2020-05-27,15391460000
2020-05-28,15610000000
2020-05-29,15937810000
2020-06-01,15890980000
2020-06-02,16125130000
2020-06-03,16390500000
2020-06-04,16437329999
2020-06-05,16983680000
2020-06-08,16390500000
2020-06-09,15922199999
2020-06-10,15329020000
2020-06-11,14345590000
2020-06-12,15313410000
2020-06-15,15922199999
2020-06-16,16015860000
2020-06-17,16031470000
2020-06-18,16047079999
2020-06-19,16093910000
2020-06-22,16031470000
2020-06-23,15984640000
2020-06-24,15547560000
2020-06-25,15625610000
2020-06-26,15094870000
2020-06-29,15531949999
2020-06-30,16019490000
2020-07-01,16207770000
2020-07-02,16631400000
2020-07-06,16866750000
2020-07-07,16662779999
2020-07-08,16396049999
2020-07-09,16270529999
2020-07-10,16490190000
2020-07-13,16333290000
2020-07-14,16647090000
2020-07-15,16788299999
2020-07-16,16866750000
2020-07-17,16898130000
2020-07-20,16835370000
2020-07-21,17023650000
2020-07-22,17102100000
2020-07-23,16851060000
2020-07-24,16741230000
2020-07-27,16976580000
2020-07-28,16803990000
2020-07-29,16662779999
2020-07-30,16254840000
2020-07-31,16160700000
2020-08-03,16380360000
2020-08-04,16788299999
2020-08-05,16772610000
2020-08-06,16945200000
2020-08-07,16960890000
2020-08-10,17415900000
2020-08-11,17384520000
2020-08-12,17557110000
2020-08-13,17572800000
2020-08-14,17572800000
2020-08-17,17745390000
2020-08-18,17384520000
2020-08-19,17714010000
2020-08-20,17698320000
2020-08-21,17431590000
2020-08-24,17055029999
2020-08-25,17055029999
2020-08-26,17180550000
2020-08-27,17368830000
2020-08-28,17651250000
2020-08-31,17353140000
2020-09-01,17635560000
2020-09-02,17933670000
2020-09-03,17384520000
2020-09-04,17290380000
2020-09-08,16898130000
2020-09-09,17274690000
2020-09-10,17431590000
2020-09-11,17353140000
2020-09-14,17494350000
2020-09-15,17588490000
2020-09-16,17557110000
2020-09-17,17761080000
2020-09-18,17651250000
2020-09-21,17274690000
2020-09-22,17321760000
2020-09-23,16600020000
2020-09-24,16600020000
2020-09-25,16976580000
2020-09-28,17117790000
2020-09-29,17023650000
2020-09-30,17238000000
2020-10-01,17175600000
2020-10-02,17175600000
2020-10-05,17362800000
2020-10-06,17175600000
2020-10-07,17518800000
2020-10-08,17690400000
2020-10-09,17815200000
2020-10-12,17830800000
2020-10-13,17799600000
2020-10-14,17784000000
2020-10-15,17893200000
2020-10-16,17940000000
2020-10-19,17596800000
2020-10-20,17456400000
2020-10-21,17284800000
2020-10-22,17222400000
2020-10-23,17113200000
2020-10-26,16582800000
2020-10-27,16489200000
2020-10-28,16099200000
2020-10-29,16380000000
2020-10-30,16270800000
2020-11-02,16926000000
