,GWW
2000-01-03,4268642813
2000-01-04,4146920521
2000-01-05,4204529545
2000-01-06,4186875166
2000-01-07,4123691076
2000-01-10,4303022391
2000-01-11,4506512330
2000-01-12,4657968311
2000-01-13,4831724560
2000-01-14,5169016101
2000-01-18,5076098321
2000-01-19,5099327766
2000-01-20,5076098321
2000-01-21,5023135186
2000-01-24,5035214498
2000-01-25,4779690603
2000-01-26,4681197756
2000-01-27,4669118445
2000-01-28,4472132751
2000-01-31,4454478373
2000-02-01,4361560593
2000-02-02,4408019483
2000-02-03,4413594550
2000-02-04,4460053440
2000-02-07,4460053440
2000-02-08,4460053440
2000-02-09,4529741775
2000-02-10,4657968311
2000-02-11,4790840736
2000-02-14,4906987961
2000-02-15,4738806780
2000-02-16,4697922956
2000-02-17,4640313933
2000-02-18,4425673861
2000-02-22,4343906215
2000-02-23,4379214971
2000-02-24,4250988435
2000-02-25,4024269051
2000-02-28,4041923430
2000-02-29,3977810161
2000-03-01,3902546760
2000-03-02,3687906688
2000-03-03,3768745156
2000-03-06,3757595023
2000-03-07,3612643286
2000-03-08,3507646195
2000-03-09,3757595023
2000-03-10,3682331621
2000-03-13,3606139041
2000-03-14,4227758990
2000-03-15,4361560593
2000-03-16,4738806780
2000-03-17,4686772823
2000-03-20,4669118445
2000-03-21,4820574426
2000-03-22,4913492206
2000-03-23,5110477900
2000-03-24,5145786656
2000-03-27,5110477900
2000-03-28,5203395680
2000-03-29,5203395680
2000-03-30,5064019010
2000-03-31,5048184925
2000-04-03,5153336058
2000-04-04,5001657875
2000-04-05,4722495575
2000-04-06,4797869396
2000-04-07,4600594704
2000-04-10,4530804129
2000-04-11,4647121754
2000-04-12,4704815296
2000-04-13,4664802033
2000-04-14,4210698025
2000-04-17,4315849158
2000-04-18,4246058583
2000-04-19,4106477433
2000-04-20,4071116875
2000-04-24,3949216004
2000-04-25,4047853350
2000-04-26,4019006579
2000-04-27,4013423333
2000-04-28,4036686858
2000-05-01,4216281271
2000-05-02,4146490696
2000-05-03,4146490696
2000-05-04,4129740958
2000-05-05,4228378304
2000-05-08,4099963646
2000-05-09,4106477433
2000-05-10,4059950383
2000-05-11,4053436596
2000-05-12,3937118971
2000-05-15,4158587729
2000-05-16,4164170975
2000-05-17,4169754221
2000-05-18,4176268008
2000-05-19,4164170975
2000-05-22,4013423333
2000-05-23,3972479529
2000-05-24,3861745150
2000-05-25,3925952479
2000-05-26,3804051608
2000-05-30,3850578658
2000-05-31,3716580754
2000-06-01,3734261033
2000-06-02,3850578658
2000-06-05,3710997508
2000-06-06,3698900475
2000-06-07,3605846375
2000-06-08,3605846375
2000-06-09,3553736079
2000-06-12,3306212173
2000-06-13,3233629975
2000-06-14,3321100829
2000-06-15,3146159121
2000-06-16,2980522823
2000-06-19,2838150050
2000-06-20,2890260346
2000-06-21,2773942721
2000-06-22,2948884429
2000-06-23,2832566804
2000-06-26,2879093854
2000-06-27,2873510608
2000-06-28,2846524919
2000-06-29,2861413575
2000-06-30,2868346144
2000-07-03,2984718513
2000-07-05,2874862997
2000-07-06,2699838955
2000-07-07,2699838955
2000-07-10,2828314050
2000-07-11,2851588523
2000-07-12,2787350976
2000-07-13,2874862997
2000-07-14,2914895092
2000-07-17,2996821240
2000-07-18,3025681587
2000-07-19,3025681587
2000-07-20,3089919135
2000-07-21,3084333261
2000-07-24,3014509840
2000-07-25,2955858166
2000-07-26,2909309218
2000-07-27,2944686418
2000-07-28,2898137471
2000-07-31,2955858166
2000-08-01,2996821240
2000-08-02,2973546766
2000-08-03,2944686418
2000-08-04,3025681587
2000-08-07,3037784313
2000-08-08,3072230535
2000-08-09,3089919135
2000-08-10,3077816408
2000-08-11,3072230535
2000-08-14,3095505008
2000-08-15,2979132640
2000-08-16,2991235366
2000-08-17,2979132640
2000-08-18,2979132640
2000-08-21,2903723345
2000-08-22,2886034745
2000-08-23,2839485797
2000-08-24,2903723345
2000-08-25,2886034745
2000-08-28,2857174397
2000-08-29,2874862997
2000-08-30,2862760271
2000-08-31,2689598186
2000-09-01,2728699302
2000-09-05,2805039576
2000-09-06,2828314050
2000-09-07,2775248249
2000-09-08,2751973776
2000-09-11,2740802028
2000-09-12,2699838955
2000-09-13,2658875881
2000-09-14,2572294838
2000-09-15,2554606238
2000-09-18,2601155186
2000-09-19,2560192112
2000-09-20,2467094217
2000-09-21,2472680091
2000-09-22,2432647996
2000-09-25,2432647996
2000-09-26,2373996322
2000-09-27,2432647996
2000-09-28,2472680091
2000-09-29,2449405617
2000-10-02,2475138079
2000-10-03,2439818797
2000-10-04,2521610818
2000-10-05,2498374448
2000-10-06,2475138079
2000-10-09,2503951177
2000-10-10,2445395526
2000-10-11,2398922787
2000-10-12,2323636950
2000-10-13,2370109689
2000-10-16,2468631895
2000-10-17,2289247123
2000-10-18,2312483492
2000-10-19,2422159156
2000-10-20,2364532960
2000-10-23,2445395526
2000-10-24,2451901709
2000-10-25,2416582428
2000-10-26,2532764275
2000-10-27,2788364340
2000-10-30,2863650177
2000-10-31,2968678567
2000-11-01,3032810947
2000-11-02,3079283686
2000-11-03,2979832024
2000-11-06,2997491665
2000-11-07,2974255296
2000-11-08,3125756425
2000-11-09,3317224109
2000-11-10,3148992794
2000-11-13,3247515001
2000-11-14,3398086675
2000-11-15,3317224109
2000-11-16,3293987740
2000-11-17,3398086675
2000-11-20,3334883750
2000-11-21,3253091730
2000-11-22,3235432089
2000-11-24,3299564469
2000-11-27,3381356489
2000-11-28,3346037208
2000-11-29,3438982686
2000-11-30,3398086675
2000-12-01,3474301967
2000-12-04,3549587804
2000-12-05,3671346381
2000-12-06,3578400903
2000-12-07,3474301967
2000-12-08,3462219055
2000-12-11,3415746316
2000-12-12,3438982686
2000-12-13,3398086675
2000-12-14,3276328099
2000-12-15,3154569523
2000-12-18,3061624045
2000-12-19,3125756425
2000-12-20,3043964404
2000-12-21,3020728035
2000-12-22,3119250241
2000-12-26,3108096784
2000-12-27,3351613936
2000-12-28,3317224109
2000-12-29,3392509947
2001-01-02,3354528666
2001-01-03,3494068128
2001-01-04,3534999704
2001-01-05,3500579970
2001-01-08,3407553662
2001-01-09,3354528666
2001-01-10,3470811551
2001-01-11,3447554974
