,ITT
2000-01-03,560897700
2000-01-04,549468750
2000-01-05,548589600
2000-01-06,548589600
2000-01-07,575843250
2000-01-10,584634750
2000-01-11,565293450
2000-01-12,569689200
2000-01-13,575843250
2000-01-14,573205800
2000-01-18,584634750
2000-01-19,569689200
2000-01-20,564414300
2000-01-21,551227050
2000-01-24,515181900
2000-01-25,539798100
2000-01-26,522215100
2000-01-27,534523200
2000-01-28,528369150
2000-01-31,532764899
2000-02-01,530127450
2000-02-02,529248299
2000-02-03,528369150
2000-02-04,523973400
2000-02-07,517819350
2000-02-08,519577650
2000-02-09,509027850
2000-02-10,513423600
2000-02-11,512544450
2000-02-14,502873800
2000-02-15,507269549
2000-02-16,484411650
2000-02-17,480015900
2000-02-18,460674600
2000-02-22,450124800
2000-02-23,425508600
2000-02-24,428146050
2000-02-25,391221750
2000-02-28,410563050
2000-02-29,407925600
2000-03-01,407046450
2000-03-02,402650700
2000-03-03,416717100
2000-03-06,420233700
2000-03-07,407046450
2000-03-08,416717100
2000-03-09,417596250
2000-03-10,409683900
2000-03-13,412321350
2000-03-14,415837950
2000-03-15,434300100
2000-03-16,463312049
2000-03-17,465949500
2000-03-20,468586950
2000-03-21,484411650
2000-03-22,481774200
2000-03-23,491444850
2000-03-24,482653350
2000-03-27,497598900
2000-03-28,509907000
2000-03-29,506390400
2000-03-30,530127450
2000-03-31,523091840
2000-04-03,534520737
2000-04-04,523091840
2000-04-05,525729278
2000-04-06,522212694
2000-04-07,514300380
2000-04-10,508146359
2000-04-11,524850132
2000-04-12,513421234
2000-04-13,519575256
2000-04-14,489684294
2000-04-17,501113191
2000-04-18,509025505
2000-04-19,530125007
2000-04-20,527487570
2000-04-24,534520737
2000-04-25,538037321
2000-04-26,538037321
2000-04-27,538916467
2000-04-28,531004153
2000-05-01,538037321
2000-05-02,529245861
2000-05-03,528366715
2000-05-04,515179526
2000-05-05,514300380
2000-05-08,509904651
2000-05-09,522212694
2000-05-10,522212694
2000-05-11,519575256
2000-05-12,523091840
2000-05-15,522212694
2000-05-16,540674759
2000-05-17,545070489
2000-05-18,554741094
2000-05-19,532762445
2000-05-22,538916467
2000-05-23,538916467
2000-05-24,562653408
2000-05-25,564411699
2000-05-26,553861948
2000-05-30,556499386
2000-05-31,581994618
2000-06-01,567928283
2000-06-02,586390348
2000-06-05,589906932
2000-06-06,586390348
2000-06-07,574082305
2000-06-08,570565721
2000-06-09,571444867
2000-06-12,561774262
2000-06-13,555620240
