,CB
2001-01-23,9496185429
2001-01-24,9510984679
2001-01-25,9604713262
2001-01-26,9481386179
2001-01-29,9518384304
2001-01-30,9296395554
2001-01-31,9126204179
2001-02-01,8983144762
2001-02-02,9360525637
2001-02-05,9565248596
2001-02-06,9343259845
2001-02-07,9545516262
2001-02-08,9256930887
2001-02-09,9301328637
2001-02-12,9397523762
2001-02-13,9466586929
2001-02-14,9668843346
2001-02-15,9348192929
2001-02-16,9311194804
2001-02-20,9002877095
2001-02-21,8719224803
2001-02-22,8953546262
2001-02-23,9027542512
2001-02-26,9126204179
2001-02-27,9271730137
2001-02-28,9027542512
2001-03-01,9118804553
2001-03-02,9274196679
2001-03-05,9116338012
2001-03-06,9039875220
2001-03-07,9150869595
2001-03-08,9301328637
2001-03-09,9362992179
2001-03-12,9259397429
2001-03-13,9286529387
2001-03-14,9096605678
2001-03-15,9372858346
2001-03-16,9251997804
2001-03-19,8694559386
2001-03-20,8536700719
2001-03-21,8410907094
2001-03-22,8164252927
2001-03-23,8213583761
2001-03-26,8423239803
2001-03-27,8361576261
2001-03-28,8410907094
2001-03-29,8507102219
2001-03-30,9067007178
2001-04-02,8736138500
2001-04-03,8329410000
2001-04-04,8158925000
2001-04-05,8256345000
2001-04-06,7786293500
2001-04-09,7744890000
2001-04-10,8010359500
2001-04-11,7832567999
2001-04-12,7800906500
2001-04-16,7725406000
2001-04-17,8073682500
2001-04-18,8670380000
2001-04-19,8892010500
2001-04-20,8585137500
2001-04-23,8743445000
2001-04-24,8256345000
2001-04-25,8207635000
2001-04-26,8475539999
2001-04-27,8575395500
2001-04-30,8694735000
2001-05-01,8809203500
2001-05-02,8716654500
2001-05-03,8521814500
2001-05-04,8497459500
2001-05-07,8356200500
2001-05-08,8585137500
2001-05-09,8587572999
2001-05-10,8463362500
2001-05-11,8585137500
2001-05-14,8755622500
2001-05-15,8913930000
2001-05-16,8950462500
2001-05-17,8945591500
2001-05-18,9084415000
2001-05-21,9218367500
2001-05-22,9018656500
2001-05-23,9096592500
2001-05-24,9247593500
2001-05-25,9094157000
2001-05-29,9340142500
2001-05-30,9439998000
2001-05-31,9437562500
2001-06-01,9279255000
2001-06-04,9437562500
2001-06-05,9554466500
2001-06-06,9559337500
2001-06-07,9715209500
2001-06-08,9659193000
2001-06-11,9530111500
2001-06-12,9510627500
2001-06-13,9530111500
2001-06-14,9532547000
2001-06-15,9388852500
2001-06-18,9167222000
2001-06-19,8853042500
2001-06-20,8974817500
2001-06-21,8986995000
2001-06-22,9130689500
2001-06-25,8950462500
2001-06-26,9147738000
2001-06-27,9352320000
2001-06-28,9664064000
2001-06-29,9520369500
2001-07-02,8926929551
2001-07-03,8917705134
2001-07-05,8694013022
2001-07-06,8717074065
2001-07-09,8539504037
2001-07-10,8338872967
2001-07-11,8225873859
2001-07-12,8232792172
2001-07-13,8265077632
2001-07-16,8295056987
2001-07-17,8186670087
2001-07-18,8036773311
2001-07-19,7799244573
2001-07-20,7785407948
2001-07-23,7748510280
2001-07-24,7702388195
2001-07-25,7635511171
2001-07-26,7683939361
2001-07-27,7647041692
2001-07-30,7760040801
2001-07-31,8050609936
2001-08-01,7979120705
2001-08-02,7810775094
2001-08-03,8036773311
2001-08-06,8039079415
2001-08-07,8301975300
2001-08-08,8186670087
2001-08-09,8186670087
2001-08-10,8188976191
2001-08-13,8336566863
2001-08-14,8438035450
2001-08-15,8424198825
2001-08-16,8442647659
2001-08-17,8276608153
2001-08-20,8140548002
2001-08-21,8071364875
2001-08-22,7909937577
2001-08-23,8011406164
2001-08-24,7914549786
2001-08-27,7783101843
