,HLT
2013-12-12,12745765032
2013-12-13,13101098010
2013-12-16,12757320575
2013-12-17,12927764850
2013-12-18,12942209280
2013-12-19,13207986792
2013-12-20,12999987000
2013-12-23,12780431664
2013-12-24,12751542804
2013-12-26,12864209358
2013-12-27,12803542752
2013-12-30,12976875912
2013-12-31,14991685008
2014-01-02,14729018604
2014-01-03,14827518505
2014-01-06,14820951845
2014-01-07,14820951845
2014-01-08,14843935156
2014-01-09,14735585264
2014-01-10,14614102052
2014-01-13,14633802032
2014-01-14,14889901776
2014-01-15,14761851904
2014-01-16,14794685205
2014-01-17,14991685008
2014-01-21,14768418564
2014-01-22,15132868200
2014-01-23,15267484732
2014-01-24,15126301540
2014-01-27,14814385185
2014-01-28,14755285244
2014-01-29,14594402072
2014-01-30,14594402072
2014-01-31,14587835412
2014-02-03,14115035884
2014-02-04,14167569165
2014-02-05,14013252653
2014-02-06,14282485717
2014-02-07,14587835412
2014-02-10,14423668909
2014-02-11,14614102052
2014-02-12,14748718584
2014-02-13,14788118545
2014-02-14,14820951845
2014-02-18,14660068673
2014-02-19,14505752160
2014-02-20,14479485520
2014-02-21,14922735077
2014-02-24,14998251668
2014-02-25,15070484929
2014-02-26,15185401481
2014-02-27,15152568180
2014-02-28,15063918269
2014-03-03,15152568180
2014-03-04,15198534801
2014-03-05,15339717993
2014-03-06,15146001520
2014-03-07,15300318033
2014-03-10,15077051589
2014-03-11,14896468436
2014-03-12,15057351609
2014-03-13,14857068476
2014-03-14,14843935156
2014-03-17,14903035096
2014-03-18,15205101461
2014-03-19,14998251668
2014-03-20,14935868397
2014-03-21,15490751175
2014-03-24,15333151333
2014-03-25,15146001520
2014-03-26,15050784949
2014-03-27,14978551688
2014-03-28,14991685008
2014-03-31,14985118348
2014-04-01,15191968141
2014-04-02,15139434860
2014-04-03,14837368495
2014-04-04,14545152121
2014-04-07,14397402269
2014-04-08,14390835609
2014-04-09,14492618840
2014-04-10,14269352397
2014-04-11,14318602348
2014-04-14,14384268949
2014-04-15,14403968929
2014-04-16,14551718781
2014-04-17,14666635333
2014-04-21,14459785540
2014-04-22,14492618840
2014-04-23,14479485520
2014-04-24,14486052180
2014-04-25,14371135628
2014-04-28,14397402269
2014-04-29,14210252456
2014-04-30,14709318624
2014-05-01,14876768456
2014-05-02,14857068476
2014-05-05,14929301737
2014-05-06,14929301737
2014-05-07,15267484732
2014-05-08,15254351412
2014-05-09,15543284456
2014-05-12,15480901185
2014-05-13,15497317836
2014-05-14,15191968141
2014-05-15,14755285244
2014-05-16,14735585264
2014-05-19,14761851904
2014-05-20,14423668909
2014-05-21,14722451944
2014-05-22,14814385185
2014-05-23,14857068476
2014-05-27,14985118348
2014-05-28,14827518505
2014-05-29,14942435057
2014-05-30,15241218092
2014-06-02,15346284653
2014-06-03,15300318033
2014-06-04,15339717993
2014-06-05,15510451156
2014-06-06,15684467648
2014-06-09,15691034308
2014-06-10,15786250880
2014-06-11,15369267964
2014-06-12,15146001520
2014-06-13,15017951648
2014-06-16,14962135037
2014-06-17,15050784949
2014-06-18,15057351609
2014-06-19,15044218289
2014-06-20,14998251668
2014-06-23,15050784949
