,BALL
2000-01-03,4734107520
2000-01-04,4582007680
2000-01-05,4658057600
2000-01-06,4734107520
2000-01-07,4601020160
2000-01-10,4753120000
2000-01-11,4829169920
2000-01-12,4620032640
2000-01-13,4734107520
2000-01-14,5000282240
2000-01-18,5038307200
2000-01-19,4962257280
2000-01-20,4981269760
2000-01-21,4867194880
2000-01-24,4677070080
2000-01-25,4448920320
2000-01-26,4524970240
2000-01-27,4448920320
2000-01-28,4277808000
2000-01-31,4315832960
2000-02-01,4277808000
2000-02-02,4201758080
2000-02-03,4201758080
2000-02-04,4125708160
2000-02-07,4049658240
2000-02-08,3916570880
2000-02-09,3935583359
2000-02-10,3878545920
2000-02-11,3840520960
2000-02-14,3878545920
2000-02-15,3802496000
2000-02-16,3745458560
2000-02-17,3764471040
2000-02-18,3517308800
2000-02-22,3593358720
2000-02-23,3555333760
2000-02-24,3403233920
2000-02-25,3365208960
2000-02-28,3346196480
2000-02-29,3194096640
2000-03-01,3194096640
2000-03-02,3156071680
2000-03-03,3175084160
2000-03-06,3213109120
2000-03-07,3194096640
2000-03-08,3365208960
2000-03-09,3422246400
2000-03-10,3384221440
2000-03-13,3422246400
2000-03-14,3479283840
2000-03-15,3688421120
2000-03-16,4011633280
2000-03-17,3878545920
2000-03-20,3745458560
2000-03-21,3802496000
2000-03-22,3764471040
2000-03-23,3840520960
2000-03-24,3802496000
2000-03-27,3802496000
2000-03-28,3802496000
2000-03-29,3764471040
2000-03-30,3878545920
2000-03-31,4106695680
2000-04-03,4164559360
2000-04-04,4089182720
2000-04-05,4183403520
2000-04-06,4296468480
2000-04-07,4239936000
2000-04-10,4277624320
2000-04-11,4296468480
2000-04-12,4315312640
2000-04-13,4353000960
2000-04-14,4221091840
2000-04-17,4032650240
2000-04-18,3900741119
2000-04-19,3957273600
2000-04-20,3881896960
2000-04-24,3806520320
2000-04-25,3900741119
2000-04-26,3844208640
2000-04-27,3768832000
2000-04-28,3712299520
2000-05-01,3561546240
2000-05-02,3599234560
2000-05-03,3618078720
2000-05-04,3636922880
2000-05-05,3712299520
