,VICI
2017-10-17,4226225056
2017-10-18,4214833614
2017-10-19,4214833614
2017-10-20,4100919192
2017-10-23,4100919192
2017-10-24,4249007940
2017-10-25,4249007940
2017-10-26,4214833614
2017-10-27,4223946767
2017-10-30,3263658075
2017-10-31,4214833614
2017-11-01,4214833614
2017-11-02,4214833614
2017-11-03,4223946767
2017-11-06,4226225056
2017-11-07,4233059921
2017-11-08,4226225056
2017-11-09,4226225056
2017-11-10,4214833614
2017-11-13,4214833614
2017-11-14,4180659287
2017-11-15,4214833614
2017-11-16,4214833614
2017-11-17,4226225056
2017-11-20,4237616498
2017-11-21,4271790825
2017-11-22,4271790825
2017-11-24,3300625076
2017-11-27,4283182267
2017-11-28,4328748036
2017-11-29,4340139478
2017-11-30,4499619669
2017-12-01,4506454534
2017-12-04,4556576880
2017-12-05,4784405724
2017-12-06,4522402553
2017-12-07,4511011111
2017-12-08,4511011111
2017-12-11,4513289399
2017-12-12,4513289399
2017-12-13,4522402553
2017-12-14,4556576880
2017-12-15,4556576880
2017-12-18,4556576880
2017-12-19,4552020303
2017-12-20,4556576880
2017-12-21,4670491302
2017-12-22,4602142648
2017-12-26,4556576880
2017-12-27,4670491302
2017-12-28,3608683416
2017-12-29,4670491302
2018-01-02,6892306924
2018-01-03,6912880974
2018-01-04,6926597008
2018-01-05,6926597008
2018-01-08,6926597008
2018-01-09,6930026016
2018-01-10,6858016840
2018-01-11,6858016840
2018-01-12,6854587831
2018-01-16,7372368103
2018-01-17,7296929917
2018-01-18,7200917682
2018-01-19,7115192471
2018-01-22,7883290357
2018-01-23,7200917682
2018-01-24,7200917682
2018-01-25,7176914623
2018-01-26,7235207766
2018-01-29,7235207766
2018-01-30,7218062724
2018-01-31,7543818524
2018-02-01,7163198589
2018-02-02,7204346690
2018-02-05,7067186353
2018-02-06,7029467261
2018-02-07,7118621479
2018-02-08,6858016840
2018-02-09,6827155764
2018-02-12,6713998486
2018-02-13,6755146587
2018-02-14,6738001545
2018-02-15,6806581713
2018-02-16,6854587831
2018-02-20,6858016840
2018-02-21,6744859562
2018-02-22,6803152705
2018-02-23,6796294688
2018-02-26,6755146587
2018-02-27,6672850385
2018-02-28,6703711461
2018-03-01,6683137410
2018-03-02,6652276334
2018-03-05,6676279393
2018-03-06,6724285511
2018-03-07,6724285511
2018-03-08,6614557242
2018-03-09,6720856503
2018-03-12,6648847326
2018-03-13,6720856503
2018-03-14,6731143528
2018-03-15,6659134351
2018-03-16,6659134351
2018-03-19,6593983191
2018-03-20,6525403023
2018-03-21,6504828972
2018-03-22,6446535829
2018-03-23,6333378551
2018-03-26,6398529711
2018-03-27,6336807560
