,VTRS
2000-01-03,3136121617
2000-01-04,2991332992
2000-01-05,3040561125
2000-01-06,3057935760
2000-01-07,3217203247
2000-01-10,3280910242
2000-01-11,3474927000
2000-01-12,3393845370
2000-01-13,3474927000
2000-01-14,3515467815
2000-01-18,3564695947
2000-01-19,3596549445
2000-01-20,3564695947
2000-01-21,3443073502
2000-01-24,3266431380
2000-01-25,3275118697
2000-01-26,3217203247
2000-01-27,3275118697
2000-01-28,3379366507
2000-01-31,3425698867
2000-02-01,3306972195
2000-02-02,3275118697
2000-02-03,3275118697
2000-02-04,3225890565
2000-02-07,3280910242
2000-02-08,3266431380
2000-02-09,3208515930
2000-02-10,3176662432
2000-02-11,3136121617
2000-02-14,3112955437
2000-02-15,3063727305
2000-02-16,3008707627
2000-02-17,3130330072
2000-02-18,3144808935
2000-02-22,2976854130
2000-02-23,2976854130
2000-02-24,3049248442
2000-02-25,3000020310
2000-02-28,2918938680
2000-02-29,2959479495
2000-03-01,2936313315
2000-03-02,3104268120
2000-03-03,3796357747
2000-03-06,3579174810
2000-03-07,3506780497
2000-03-08,3596549445
2000-03-09,3668943757
2000-03-10,3587862127
2000-03-13,3524155132
2000-03-14,3451760820
2000-03-15,3564695947
2000-03-16,3860064742
2000-03-17,3773191567
2000-03-20,3611028307
2000-03-21,3747129615
2000-03-22,3628402942
2000-03-23,3602340990
2000-03-24,3587862127
2000-03-27,3474927000
2000-03-28,3361991872
2000-03-29,3361991872
2000-03-30,3353304555
2000-03-31,3538633995
2000-04-03,3503276335
2000-04-04,3639241643
2000-04-05,3809921498
2000-04-06,3809921498
2000-04-07,3888029228
2000-04-10,3888029228
2000-04-11,3833064529
2000-04-12,3783885588
2000-04-13,3801242861
2000-04-14,3711563615
2000-04-17,3566919671
2000-04-18,3679741948
2000-04-19,3801242861
2000-04-20,3711563615
2000-04-24,3760742557
2000-04-25,3598741339
2000-04-26,3575598308
2000-04-27,3566919671
2000-04-28,3647920280
2000-05-01,3697099221
2000-05-02,3697099221
2000-05-03,3671063311
2000-05-04,3969029837
2000-05-05,4145495449
2000-05-08,4032673172
2000-05-09,4104995144
2000-05-10,3995065747
2000-05-11,3069344502
2000-05-12,3254488751
2000-05-15,3375989664
2000-05-16,3367311027
2000-05-17,3335489360
2000-05-18,3349953754
2000-05-19,3358632391
2000-05-22,3318132086
2000-05-23,3390454059
