,LEN
2000-01-03,860358950
2000-01-04,853238738
2000-01-05,856798844
2000-01-06,856798844
2000-01-07,874599374
2000-01-10,880532884
2000-01-11,863919056
2000-01-12,871039268
2000-01-13,891213202
2000-01-14,894773308
2000-01-18,887653096
2000-01-19,880532884
2000-01-20,887653096
2000-01-21,880532884
2000-01-24,880532884
2000-01-25,874599374
2000-01-26,871039268
2000-01-27,874599374
2000-01-28,850865334
2000-01-31,860358950
2000-02-01,863919056
2000-02-02,863919056
2000-02-03,884092990
2000-02-04,897146712
2000-02-07,880532884
2000-02-08,871039268
2000-02-09,894773308
2000-02-10,874599374
2000-02-11,853238738
2000-02-14,856798844
2000-02-15,897146712
2000-02-16,863919056
2000-02-17,914947242
2000-02-18,897146712
2000-02-22,880532884
2000-02-23,860358950
2000-02-24,850865334
2000-02-25,843745122
2000-02-28,860358950
2000-02-29,890028649
2000-03-01,910175769
2000-03-02,910175769
2000-03-03,919656767
2000-03-06,913731143
2000-03-07,875807153
2000-03-08,893584023
2000-03-09,910175769
2000-03-10,910175769
2000-03-13,906620395
2000-03-14,910175769
2000-03-15,970617129
2000-03-16,1031058488
2000-03-17,1118757716
2000-03-20,1146015584
2000-03-21,1125868465
2000-03-22,1105721345
2000-03-23,1138904836
2000-03-24,1135349462
2000-03-27,1125868465
2000-03-28,1111646968
2000-03-29,1109276719
2000-03-30,1129423839
2000-03-31,1169718078
2000-04-03,1111646968
2000-04-04,1058316357
2000-04-05,1105721345
2000-04-06,1102165971
2000-04-07,1105721345
2000-04-10,1091499848
2000-04-11,1074908102
2000-04-12,1105721345
2000-04-13,1109276719
2000-04-14,1027503114
2000-04-17,1003800620
2000-04-18,1058316357
2000-04-19,1047650234
2000-04-20,1058316357
2000-04-24,1025132865
2000-04-25,1041724611
2000-04-26,1014466743
2000-04-27,1021577491
2000-04-28,1003800620
2000-05-01,1018022117
2000-05-02,987208875
2000-05-03,990764249
2000-05-04,997874997
2000-05-05,1014466743
2000-05-08,970617129
2000-05-09,977727877
2000-05-10,943359261
2000-05-11,997874997
2000-05-12,1010911369
2000-05-15,1021577491
2000-05-16,1038169237
2000-05-17,1025132865
2000-05-18,1003800620
2000-05-19,970617129
2000-05-22,970617129
2000-05-23,957580757
2000-05-24,1007355995
2000-05-25,1003800620
2000-05-26,987208875
2000-05-30,1025132865
2000-05-31,1187846958
2000-06-01,1132533945
2000-06-02,1239011495
2000-06-05,1215503465
2000-06-06,1226566067
2000-06-07,1196143910
2000-06-08,1198909561
2000-06-09,1226566067
2000-06-12,1168487403
2000-06-13,1226566067
2000-06-14,1230714543
2000-06-15,1239011495
2000-06-16,1196143910
2000-06-19,1234863019
2000-06-20,1179550006
2000-06-21,1168487403
2000-06-22,1160190451
2000-06-23,1151893499
2000-06-26,1160190451
2000-06-27,1211354989
2000-06-28,1198909561
2000-06-29,1281879080
2000-06-30,1273582128
2000-07-03,1277730604
2000-07-05,1364848600
2000-07-06,1368997076
2000-07-07,1420161613
2000-07-10,1371762727
2000-07-11,1380059679
2000-07-12,1447818120
2000-07-13,1439521168
2000-07-14,1447818120
2000-07-17,1450583771
2000-07-18,1416013137
2000-07-19,1416013137
2000-07-20,1435372692
2000-07-21,1486537229
2000-07-24,1458880723
2000-07-25,1482388753
2000-07-26,1467177675
2000-07-27,1486537229
2000-07-28,1463029199
2000-07-31,1510045260
2000-08-01,1545998718
2000-08-02,1505896784
2000-08-03,1541850242
2000-08-04,1597163256
2000-08-07,1718851885
2000-08-08,1765867946
2000-08-09,1725766011
2000-08-10,1718851885
2000-08-11,1765867946
2000-08-14,1808735531
2000-08-15,1761719470
2000-08-16,1691195378
2000-08-17,1671835823
2000-08-18,1659390396
2000-08-21,1667687347
2000-08-22,1635882365
2000-08-23,1573655225
2000-08-24,1620671286
2000-08-25,1651093444
2000-08-28,1627585413
2000-08-29,1644179317
2000-08-30,1723000361
2000-08-31,1615821422
2000-09-01,1626105091
2000-09-05,1593968626
2000-09-06,1590112251
2000-09-07,1590112251
2000-09-08,1579828582
2000-09-11,1655670638
2000-09-12,1593968626
2000-09-13,1593968626
2000-09-14,1637674218
2000-09-15,1568259455
2000-09-18,1512984736
2000-09-19,1534837532
2000-09-20,1593968626
2000-09-21,1615821422
2000-09-22,1629961466
2000-09-25,1637674218
2000-09-26,1629961466
2000-09-27,1659527013
2000-09-28,1703232605
2000-09-29,1736654528
2000-10-02,1766220075
2000-10-03,1827922086
2000-10-04,1835634837
2000-10-05,1667239765
2000-10-06,1699376229
2000-10-09,1838205755
2000-10-10,1806069290
2000-10-11,1788072870
2000-10-12,1740510903
2000-10-13,1671096141
2000-10-16,1714801732
2000-10-17,1710945356
2000-10-18,1689092560
2000-10-19,1740510903
2000-10-20,1725085400
2000-10-23,1707088980
2000-10-24,1746938196
2000-10-25,1673667058
2000-10-26,1728941776
2000-10-27,1721229025
2000-10-30,1838205755
2000-10-31,1879340429
2000-11-01,1871627677
2000-11-02,1923046020
2000-11-03,1948755192
