,MOS
2000-01-03,1916200000
2000-01-04,1873872000
2000-01-05,1944800000
2000-01-06,1973400000
2000-01-07,2002000000
2000-01-10,2131272000
2000-01-11,2080936000
2000-01-12,2059200000
2000-01-13,2145000000
2000-01-14,2074072000
2000-01-18,2102672000
2000-01-19,2037463999
2000-01-20,1973400000
2000-01-21,1966536000
2000-01-24,1980263999
2000-01-25,1959672000
2000-01-26,1937936000
2000-01-27,1865863999
2000-01-28,1931072000
2000-01-31,1873872000
2000-02-01,1966536000
2000-02-02,1966536000
2000-02-03,1909336000
2000-02-04,1873872000
2000-02-07,1894463999
2000-02-08,1937936000
2000-02-09,1823536000
2000-02-10,1788072000
2000-02-11,1716000000
2000-02-14,1816672000
2000-02-15,1830400000
2000-02-16,1788072000
2000-02-17,1773200000
2000-02-18,1716000000
2000-02-22,1759472000
2000-02-23,1716000000
2000-02-24,1687400000
2000-02-25,1687400000
2000-02-28,1665664000
2000-02-29,1544400000
2000-03-01,1573000000
2000-03-02,1579864000
2000-03-03,1587872000
2000-03-06,1494064000
2000-03-07,1480336000
2000-03-08,1487200000
2000-03-09,1473472000
2000-03-10,1480336000
2000-03-13,1444872000
2000-03-14,1522664000
2000-03-15,1716000000
2000-03-16,1766336000
2000-03-17,1709136000
2000-03-20,1737736000
2000-03-21,1744600000
2000-03-22,1794936000
2000-03-23,1766336000
2000-03-24,1737736000
2000-03-27,1722864000
2000-03-28,1722864000
2000-03-29,1651936000
2000-03-30,1722864000
2000-03-31,1680536000
2000-04-03,1702272000
2000-04-04,1694264000
2000-04-05,1623336000
2000-04-06,1601600000
2000-04-07,1573000000
2000-04-10,1594736000
2000-04-11,1566136000
2000-04-12,1658800000
2000-04-13,1630200000
2000-04-14,1559272000
2000-04-17,1616472000
2000-04-18,1637064000
2000-04-19,1559272000
2000-04-20,1630200000
2000-04-24,1623336000
2000-04-25,1716000000
2000-04-26,1751464000
2000-04-27,1788072000
2000-04-28,1766336000
2000-05-01,1808664000
2000-05-02,1859000000
2000-05-03,1737736000
2000-05-04,1880736000
2000-05-05,1909336000
2000-05-08,1973400000
2000-05-09,1973400000
2000-05-10,1909336000
2000-05-11,1966536000
2000-05-12,1966536000
2000-05-15,1902472000
2000-05-16,1937936000
2000-05-17,1944800000
2000-05-18,1951663999
2000-05-19,1951663999
2000-05-22,1909336000
2000-05-23,1973400000
2000-05-24,1959672000
2000-05-25,1880736000
2000-05-26,1773200000
2000-05-30,1837263999
2000-05-31,1759472000
2000-06-01,1788072000
2000-06-02,1773200000
2000-06-05,1759472000
2000-06-06,1766336000
2000-06-07,1730872000
2000-06-08,1702272000
2000-06-09,1673672000
2000-06-12,1673672000
2000-06-13,1709136000
2000-06-14,1687400000
2000-06-15,1687400000
2000-06-16,1702272000
2000-06-19,1623336000
2000-06-20,1579864000
2000-06-21,1587872000
2000-06-22,1537536000
2000-06-23,1522664000
2000-06-26,1566136000
2000-06-27,1594736000
2000-06-28,1594736000
2000-06-29,1579864000
2000-06-30,1487200000
2000-07-03,1587872000
2000-07-05,1601600000
2000-07-06,1579864000
2000-07-07,1601600000
2000-07-10,1623336000
2000-07-11,1680536000
2000-07-12,1645072000
2000-07-13,1651936000
2000-07-14,1658800000
2000-07-17,1608464000
2000-07-18,1551264000
2000-07-19,1508936000
2000-07-20,1502072000
2000-07-21,1508936000
2000-07-24,1515800000
2000-07-25,1530672000
2000-07-26,1502072000
2000-07-27,1508936000
2000-07-28,1530672000
2000-07-31,1579864000
2000-08-01,1637064000
2000-08-02,1637064000
2000-08-03,1651936000
2000-08-04,1645072000
2000-08-07,1658800000
2000-08-08,1680536000
2000-08-09,1716000000
2000-08-10,1680536000
2000-08-11,1766336000
2000-08-14,1744600000
2000-08-15,1716000000
2000-08-16,1759472000
2000-08-17,1722864000
2000-08-18,1709136000
2000-08-21,1744600000
2000-08-22,1722864000
2000-08-23,1702272000
2000-08-24,1694264000
2000-08-25,1687400000
2000-08-28,1737736000
2000-08-29,1737736000
2000-08-30,1702272000
2000-08-31,1680536000
2000-09-01,1687400000
2000-09-05,1665664000
2000-09-06,1722864000
2000-09-07,1709136000
2000-09-08,1680536000
2000-09-11,1694264000
2000-09-12,1694264000
2000-09-13,1680536000
2000-09-14,1680536000
2000-09-15,1608464000
2000-09-18,1630200000
2000-09-19,1665664000
2000-09-20,1645072000
2000-09-21,1665664000
2000-09-22,1623336000
2000-09-25,1587872000
2000-09-26,1594736000
2000-09-27,1559272000
2000-09-28,1594736000
2000-09-29,1658800000
2000-10-02,1651936000
2000-10-03,1630200000
2000-10-04,1616472000
2000-10-05,1680536000
2000-10-06,1658800000
2000-10-09,1651936000
2000-10-10,1601600000
2000-10-11,1566136000
2000-10-12,1530672000
2000-10-13,1494064000
2000-10-16,1508936000
2000-10-17,1359072000
2000-10-18,1351064000
2000-10-19,1387672000
2000-10-20,1416272000
2000-10-23,1394536000
2000-10-24,1436864000
2000-10-25,1387672000
2000-10-26,1394536000
2000-10-27,1502072000
2000-10-30,1502072000
2000-10-31,1480336000
2000-11-01,1465464000
2000-11-02,1458600000
2000-11-03,1451736000
2000-11-06,1444872000
2000-11-07,1480336000
2000-11-08,1444872000
2000-11-09,1465464000
2000-11-10,1365936000
2000-11-13,1387672000
2000-11-14,1436864000
2000-11-15,1416272000
2000-11-16,1351064000
2000-11-17,1365936000
2000-11-20,1337336000
2000-11-21,1330472000
2000-11-22,1315600000
2000-11-24,1372800000
2000-11-27,1351064000
2000-11-28,1365936000
2000-11-29,1359072000
2000-11-30,1359072000
2000-12-01,1423136000
2000-12-04,1473472000
2000-12-05,1480336000
2000-12-06,1465464000
2000-12-07,1451736000
2000-12-08,1487200000
2000-12-11,1530672000
2000-12-12,1544400000
2000-12-13,1551264000
2000-12-14,1522664000
2000-12-15,1436864000
2000-12-18,1487200000
2000-12-19,1551264000
2000-12-20,1665664000
2000-12-21,1751464000
2000-12-22,1887600000
2000-12-26,1780064000
2000-12-27,1780064000
2000-12-28,1873872000
2000-12-29,1780064000
2001-01-02,1803375000
2001-01-03,1761010000
2001-01-04,1739255000
2001-01-05,1688875000
