,ANET
2014-06-06,2117005000
2014-06-09,2124703200
2014-06-10,2309460000
2014-06-11,2444178500
2014-06-12,2540406000
2014-06-13,2678203780
2014-06-16,2752106500
2014-06-17,2683207609
2014-06-18,2654339359
2014-06-19,2527703970
2014-06-20,2507688650
2014-06-23,2529243609
2014-06-24,2474201480
2014-06-25,2482284590
2014-06-26,2456110710
2014-06-27,2407612050
2014-06-30,3893260780
2014-07-01,4742552000
2014-07-02,4701990700
2014-07-03,4768136820
2014-07-07,4503552340
2014-07-08,4332570860
2014-07-09,4486703800
2014-07-10,4227111479
2014-07-11,4345051260
2014-07-14,4302617900
2014-07-15,4161589380
2014-07-16,4026801060
2014-07-17,3978751520
2014-07-18,3993728000
2014-07-21,3945678460
2014-07-22,4087955020
2014-07-23,4044897639
2014-07-24,4009328500
2014-07-25,3971263280
2014-07-28,3956910820
2014-07-29,3984367700
2014-07-30,4230231580
2014-07-31,4126020240
2014-08-01,4094195220
2014-08-04,4320090460
2014-08-05,4498560180
2014-08-06,4419309640
2014-08-07,4506672440
2014-08-08,4494816060
2014-08-11,4359403720
2014-08-12,4437406220
2014-08-13,4358155680
2014-08-14,4418685620
2014-08-15,4356907640
2014-08-18,4399965020
2014-08-19,4680150000
2014-08-20,4767512800
2014-08-21,4826794700
2014-08-22,4718839240
2014-08-25,4716343160
2014-08-26,4753160340
2014-08-27,5189350320
2014-08-28,5207446900
2014-08-29,5232407700
2014-09-02,5372812200
2014-09-03,5342235220
2014-09-04,5459550980
2014-09-05,5686070240
2014-09-08,5470159320
2014-09-09,5259240560
2014-09-10,5538177500
2014-09-11,5538177500
2014-09-12,5383420540
2014-09-15,5168757660
2014-09-16,5241768000
2014-09-17,5211191020
2014-09-18,5374684260
2014-09-19,5469535300
2014-09-22,5231783680
2014-09-23,5271096940
2014-09-24,5435838220
2014-09-25,5260488600
2014-09-26,5312282260
2014-09-29,5822730620
2014-09-30,5581219380
2014-10-01,5311415160
2014-10-02,5322156780
2014-10-03,5416935780
2014-10-06,5350590480
2014-10-07,5232432660
2014-10-08,5588169840
2014-10-09,5422622520
2014-10-10,4936722180
2014-10-13,4656176340
2014-10-14,4645434720
2014-10-15,4742109300
2014-10-16,4711780020
2014-10-17,4847629920
2014-10-20,4826778540
2014-10-21,4897546860
2014-10-22,4560765480
2014-10-23,4665654240
2014-10-24,4734526980
2014-10-27,4635324960
2014-10-28,4665654240
2014-10-29,4614473580
2014-10-30,4668813540
2014-10-31,5133862500
2014-11-03,5414408340
2014-11-04,5458638540
2014-11-05,5315206320
2014-11-06,5512978500
2014-11-07,4917766380
2014-11-10,4852052940
2014-11-11,4975265640
