,WB
2014-04-17,3889115999
2014-04-21,4344511500
2014-04-22,4448272500
2014-04-23,4113931500
2014-04-24,3927546000
2014-04-25,3691201500
2014-04-28,3364546500
2014-04-29,3516345000
2014-04-30,3758453999
2014-05-01,3885273000
2014-05-02,3848764500
2014-05-05,3794962500
2014-05-06,3568225500
2014-05-07,3372232500
2014-05-08,3452935500
2014-05-09,3431799000
2014-05-12,3750768000
2014-05-13,3854528999
2014-05-14,3756532500
2014-05-15,3789198000
2014-05-16,3794962500
2014-05-19,3756532500
2014-05-20,3664300500
2014-05-21,3891037500
2014-05-22,3468307500
2014-05-23,3472150500
2014-05-27,3449092500
2014-05-28,3529795500
2014-05-29,3679672499
2014-05-30,3558618000
2014-06-02,3525952500
2014-06-03,3520188000
2014-06-04,3608577000
2014-06-05,3643164000
2014-06-06,3562461000
2014-06-09,3583597499
2014-06-10,3633556500
2014-06-11,3691201500
2014-06-12,3639321000
2014-06-13,3691201500
2014-06-16,3710416499
2014-06-17,3996720000
2014-06-18,4079344500
2014-06-19,3866058000
2014-06-20,3819942000
2014-06-23,3743082000
2014-06-24,3818020500
2014-06-25,3908331000
2014-06-26,3933310500
2014-06-27,3965976000
2014-06-30,3935232000
2014-07-01,4301823740
2014-07-02,4428644000
2014-07-03,4235394080
2014-07-07,4009935840
2014-07-08,3812659880
2014-07-09,3935454100
2014-07-10,3881102560
2014-07-11,3885128600
2014-07-14,3875063500
2014-07-15,3844868200
2014-07-16,3830777060
2014-07-17,3806620820
2014-07-18,3832790080
2014-07-21,3856946320
2014-07-22,3927402020
2014-07-23,3889154640
2014-07-24,3953571280
2014-07-25,4058248320
2014-07-28,3943506180
2014-07-29,3937467119
2014-07-30,4108573820
2014-07-31,3937467119
2014-08-01,3832790080
2014-08-04,3951558260
2014-08-05,3921362960
2014-08-06,3864998400
2014-08-07,3873050479
2014-08-08,3931428060
2014-08-11,4026040000
2014-08-12,4044157180
2014-08-13,4090456640
2014-08-14,4319940920
2014-08-15,4015974900
2014-08-18,4026040000
2014-08-19,3957597320
2014-08-20,3897206720
2014-08-21,3929415040
2014-08-22,3909284840
2014-08-25,3901232760
2014-08-26,3929415040
2014-08-27,3901232760
2014-08-28,3925389000
2014-08-29,4009935840
2014-09-02,4026040000
2014-09-03,4003896780
2014-09-04,4096495700
2014-09-05,3987792619
2014-09-08,4050196240
2014-09-09,4325979980
2014-09-10,4325979980
2014-09-11,4899690680
2014-09-12,4793000620
2014-09-15,4237407100
2014-09-16,4338058100
2014-09-17,4243446159
2014-09-18,4315914880
2014-09-19,4229355020
2014-09-22,3987792619
2014-09-23,3943506180
2014-09-24,4020000940
2014-09-25,3852920280
2014-09-26,3953571280
2014-09-29,3867011420
2014-09-30,3762334380
2014-10-01,3645106680
2014-10-02,3712045200
2014-10-03,3718130519
2014-10-06,3594395680
2014-10-07,3525428720
2014-10-08,3677561720
2014-10-09,3553826880
2014-10-10,3448348000
2014-10-13,3478774599
2014-10-14,3480803040
2014-10-15,3626850720
2014-10-16,3701903000
2014-10-17,3657277320
2014-10-20,3742471800
2014-10-21,3746528680
2014-10-22,3705959880
2014-10-23,3738414920
2014-10-24,3705959880
2014-10-27,3641049800
2014-10-28,3675533280
2014-10-29,3628879160
2014-10-30,3659305760
2014-10-31,3754642440
2014-11-03,3823609400
2014-11-04,3987913040
2014-11-05,3841865360
2014-11-06,3833751599
2014-11-07,3860121320
2014-11-10,4004140559
2014-11-11,3914889200
2014-11-12,3949372680
2014-11-13,3979799280
2014-11-14,3839836920
2014-11-17,3756670880
2014-11-18,3707988320
2014-11-19,3655248880
2014-11-20,3675533280
2014-11-21,3720158960
2014-11-24,3770869960
2014-11-25,3710016760
2014-11-26,3657277320
2014-11-28,3641049800
2014-12-01,3501087440
2014-12-02,3468632400
2014-12-03,3468632400
2014-12-04,3476746160
2014-12-05,3464575519
2014-12-08,3363153519
2014-12-09,3273902160
2014-12-10,3245504000
2014-12-11,3204935200
2014-12-12,3251589320
2014-12-15,3160309520
2014-12-16,2955437080
2014-12-17,2888498560
2014-12-18,3099456320
2014-12-19,3200878320
2014-12-22,3095399440
2014-12-23,2998034320
2014-12-24,2991949000
2014-12-26,3004119640
2014-12-29,2941238000
2014-12-30,2908782960
2014-12-31,2888498560
2015-01-02,2978432050
2015-01-05,2964083100
2015-01-06,2980481900
2015-01-07,2929235650
2015-01-08,2933335350
2015-01-09,2896438050
2015-01-12,2814444050
2015-01-13,2709901700
2015-01-14,2668904700
2015-01-15,2562312500
2015-01-16,2611508900
2015-01-20,2658655450
2015-01-21,2687353350
2015-01-22,2691453050
2015-01-23,2716051250
2015-01-26,2675054250
2015-01-27,2642256650
2015-01-28,2564362350
2015-01-29,2595110100
