,IRM
2000-01-03,1710306596
2000-01-04,1666618537
2000-01-05,1621312402
2000-01-06,1587332801
2000-01-07,1576006267
2000-01-10,1663382385
2000-01-11,1677945071
2000-01-12,1603513563
2000-01-13,1621312402
2000-01-14,1618076250
2000-01-18,1561443581
2000-01-19,1567915886
2000-01-20,1593805106
2000-01-21,1666618537
2000-01-24,1656910080
2000-01-25,1587332801
2000-01-26,1618076250
2000-01-27,1606749716
2000-01-28,1624548554
2000-01-31,1585714725
2000-02-01,1561443581
2000-02-02,1600277411
2000-02-03,1611603945
2000-02-04,1668236613
2000-02-07,1582478572
2000-02-08,1635875088
2000-02-09,1540408590
2000-02-10,1506428988
2000-02-11,1504810912
2000-02-14,1438469786
2000-02-15,1488630150
2000-02-16,1488630150
2000-02-17,1603513563
2000-02-18,1569533962
2000-02-22,1537172437
2000-02-23,1501574760
2000-02-24,1462740929
2000-02-25,1402872108
2000-02-28,1399635956
2000-02-29,1462740929
2000-03-01,1459504777
2000-03-02,1474067463
2000-03-03,1501574760
2000-03-06,1593805106
2000-03-07,1537172437
2000-03-08,1525845903
2000-03-09,1543644742
2000-03-10,1504810912
2000-03-13,1546880895
2000-03-14,1554971276
2000-03-15,1579242420
2000-03-16,1582478572
2000-03-17,1551735123
2000-03-20,1533936285
2000-03-21,1567915886
2000-03-22,1621312402
2000-03-23,1624548554
2000-03-24,1611603945
2000-03-27,1608367792
2000-03-28,1606749716
2000-03-29,1621312402
2000-03-30,1614840097
2000-03-31,1857942642
2000-04-03,1837687569
2000-04-04,1817432495
2000-04-05,1854259902
2000-04-06,1824797977
2000-04-07,1760350016
2000-04-10,1677488352
2000-04-11,1640660946
2000-04-12,1765874127
2000-04-13,1800860163
2000-04-14,1725363980
2000-04-17,1692219314
2000-04-18,1797177422
2000-04-19,1806384274
2000-04-20,1848735791
2000-04-24,1868990864
2000-04-25,1881880456
2000-04-26,1872673605
2000-04-27,1902135530
2000-04-28,1913183752
2000-05-01,1933438825
2000-05-02,1944487047
2000-05-03,1922390603
2000-05-04,1913183752
2000-05-05,1937121566
2000-05-08,1944487047
2000-05-09,1896611419
2000-05-10,1837687569
2000-05-11,1937121566
2000-05-12,1889245938
2000-05-15,1845053050
2000-05-16,1892928678
2000-05-17,1841370310
2000-05-18,1898452789
2000-05-19,1854259902
2000-05-22,1872673605
2000-05-23,1916866492
2000-05-24,1933438825
2000-05-25,1926073344
2000-05-26,1929756084
2000-05-30,1953693898
2000-05-31,1990521305
2000-06-01,1997886786
2000-06-02,1988679934
2000-06-05,1872673605
2000-06-06,1881880456
2000-06-07,1854259902
2000-06-08,1896611419
2000-06-09,1950011158
2000-06-12,1946328417
2000-06-13,1854259902
2000-06-14,1881880456
2000-06-15,1865308124
2000-06-16,1806384274
2000-06-19,1780605089
2000-06-20,1784287830
2000-06-21,1725363980
2000-06-22,1745619053
2000-06-23,1741936313
2000-06-26,1765874127
2000-06-27,1725363980
2000-06-28,1800860163
2000-06-29,1732729461
2000-06-30,1863364128
2000-07-03,1885569063
2000-07-05,1854112072
2000-07-06,1809702202
2000-07-07,1854112072
2000-07-10,1806001380
2000-07-11,1794898912
2000-07-12,1839308782
2000-07-13,1857812894
2000-07-14,1857812894
2000-07-17,1822655081
2000-07-18,1881868241
2000-07-19,1885569063
2000-07-20,1885569063
2000-07-21,1815253436
2000-07-24,1878167418
2000-07-25,1843009605
2000-07-26,1822655081
2000-07-27,1854112072
2000-07-28,1843009605
2000-07-31,1918876466
2000-08-01,1863364128
2000-08-02,1863364128
2000-08-03,1843009605
2000-08-04,1846710427
2000-08-07,1861513717
2000-08-08,1867064951
2000-08-09,1863364128
2000-08-10,1863364128
2000-08-11,1878167418
2000-08-14,1857812894
2000-08-15,1833757548
2000-08-16,1802300557
2000-08-17,1813403025
2000-08-18,1833757548
2000-08-21,1818954258
2000-08-22,1815253436
