,SEE
2000-01-03,4363761220
2000-01-04,4531019220
2000-01-05,4531019220
2000-01-06,4651444980
2000-01-07,4818702980
2000-01-10,4960872280
2000-01-11,4897314240
2000-01-12,4997669040
2000-01-13,5081298040
2000-01-14,5032793220
2000-01-18,4949164220
2000-01-19,4818702980
2000-01-20,4636391760
2000-01-21,4594577260
2000-01-24,4515966000
2000-01-25,4459098280
2000-01-26,4688241740
2000-01-27,4788596540
2000-01-28,4793614280
2000-01-31,4693259480
2000-02-01,4609630480
2000-02-02,4547745020
2000-02-03,4469133760
2000-02-04,4390522500
2000-02-07,4265079000
2000-02-08,4275114480
2000-02-09,4333654780
2000-02-10,4333654780
2000-02-11,4238317720
2000-02-14,4181450000
2000-02-15,4245008040
2000-02-16,4097821000
2000-02-17,4112874220
2000-02-18,3994121040
2000-02-22,4134617760
2000-02-23,4176432260
2000-02-24,4066041980
2000-02-25,4035935540
2000-02-28,3957324280
2000-02-29,4154688720
2000-03-01,4301875760
2000-03-02,4265079000
2000-03-03,4275114480
2000-03-06,4149670980
2000-03-07,4019209740
2000-03-08,3711455020
2000-03-09,3758287260
2000-03-10,3743234040
2000-03-13,3773340480
2000-03-14,3711455020
2000-03-15,3800101760
2000-03-16,4102838740
2000-03-17,4014192000
2000-03-20,4066041980
2000-03-21,4191485480
2000-03-22,4087785520
2000-03-23,4311911240
2000-03-24,4348708000
2000-03-27,4166396780
2000-03-28,4176432260
2000-03-29,4149670980
2000-03-30,4405575720
2000-03-31,4545171680
2000-04-03,4623825240
2000-04-04,4581988240
2000-04-05,4491620320
2000-04-06,4481579440
2000-04-07,4700805320
2000-04-10,4909990320
2000-04-11,4904969880
2000-04-12,4838030680
2000-04-13,4764397560
2000-04-14,4587008680
2000-04-17,4466518120
2000-04-18,4513375560
2000-04-19,4513375560
2000-04-20,4575294320
2000-04-24,4581988240
2000-04-25,4801214120
2000-04-26,4774438440
2000-04-27,4722560560
2000-04-28,4653947880
2000-05-01,4700805320
2000-05-02,4545171680
2000-05-03,4513375560
2000-05-04,4491620320
2000-05-05,4503334680
2000-05-08,4545171680
2000-05-09,4471538560
2000-05-10,4402925880
2000-05-11,4540151240
2000-05-12,4466518120
2000-05-15,4602070000
2000-05-16,4643907000
2000-05-17,4633866120
2000-05-18,4675703120
2000-05-19,4628845680
2000-05-22,4633866120
2000-05-23,4727581000
2000-05-24,4843051120
2000-05-25,4826316320
2000-05-26,4722560560
2000-05-30,4749336240
2000-05-31,4685744000
2000-06-01,4700805320
2000-06-02,4779458880
2000-06-05,4779458880
2000-06-06,4685744000
2000-06-07,4633866120
2000-06-08,4690764440
2000-06-09,4665662240
2000-06-12,4628845680
2000-06-13,4491620320
2000-06-14,4587008680
2000-06-15,4518396000
2000-06-16,4503334680
2000-06-19,4444762880
2000-06-20,4361088880
2000-06-21,4366109320
2000-06-22,4314231440
2000-06-23,4304190560
2000-06-26,4282435320
2000-06-27,4366109320
2000-06-28,4434722000
2000-06-29,4439742440
2000-06-30,4385410740
2000-07-03,4500948480
2000-07-05,4531088760
2000-07-06,4176103240
2000-07-07,4092380240
2000-07-10,4060565500
2000-07-11,4102427000
2000-07-12,4060565500
2000-07-13,4087356860
2000-07-14,4134241740
2000-07-17,4149311880
2000-07-18,4166056480
2000-07-19,4243081640
2000-07-20,4196196760
2000-07-21,4249779480
2000-07-24,4186150000
2000-07-25,4201220140
2000-07-26,4075635640
2000-07-27,4269873000
2000-07-28,4243081640
2000-07-31,4217964740
2000-08-01,4291640980
2000-08-02,4306711120
2000-08-03,4380387360
2000-08-04,4291640980
2000-08-07,4368666140
2000-08-08,4363642760
2000-08-09,4363642760
2000-08-10,4306711120
2000-08-11,4395457500
2000-08-14,4417225480
2000-08-15,4437319000
2000-08-16,4484203880
2000-08-17,4505971860
2000-08-18,4422248860
2000-08-21,4321781260
2000-08-22,4459086980
2000-08-23,4333502480
2000-08-24,4353596000
2000-08-25,4363642760
2000-08-28,4326804640
2000-08-29,4306711120
2000-08-30,4222988120
2000-08-31,4296664360
2000-09-01,4222988120
2000-09-05,4176103240
2000-09-06,4269873000
2000-09-07,4134241740
2000-09-08,4075635640
2000-09-11,4082333480
2000-09-12,3934981000
2000-09-13,3976842500
2000-09-14,3956748980
2000-09-15,3878049360
2000-09-18,3809396500
2000-09-19,3772558380
2000-09-20,3693858760
2000-09-21,3720650120
2000-09-22,3725673500
2000-09-25,3814419880
2000-09-26,3789302980
2000-09-27,3740743640
2000-09-28,3814419880
2000-09-29,3789302980
2000-10-02,3744005120
2000-10-03,3874493234
2000-10-04,3926353895
2000-10-05,3889549555
2000-10-06,3936391442
2000-10-09,3874493234
2000-10-10,3958139461
2000-10-11,3815940875
2000-10-12,3749023894
2000-10-13,3737313422
2000-10-16,3774117762
2000-10-17,3628573327
2000-10-18,3680433988
2000-10-19,3764080215
2000-10-20,3737313422
2000-10-23,3576712666
2000-10-24,3675415214
2000-10-25,3633592100
2000-10-26,3894568329
2000-10-27,3973195782
2000-10-30,4162236255
2000-10-31,4025056443
2000-11-01,3994943801
2000-11-02,4036766915
2000-11-03,3994943801
2000-11-06,4155544557
2000-11-07,4349603804
2000-11-08,4270976350
2000-11-09,4209078142
2000-11-10,4172273802
2000-11-13,4245882482
2000-11-14,4239190784
2000-11-15,4260938803
2000-11-16,4108702670
2000-11-17,3874493234
