,DTE
2000-01-03,3709099999
2000-01-04,3716350000
2000-01-05,3832350000
2000-01-06,3816400000
2000-01-07,3855550000
2000-01-10,3878750000
2000-01-11,3878750000
2000-01-12,3893250000
2000-01-13,3886000000
2000-01-14,3848300000
2000-01-18,3801900000
2000-01-19,3932400000
2000-01-20,4178900000
2000-01-21,4587800000
2000-01-24,4634200000
2000-01-25,4410900000
2000-01-26,4425400000
2000-01-27,4318100000
2000-01-28,4102050000
2000-01-31,4287650000
2000-02-01,4287650000
2000-02-02,4155700000
2000-02-03,4225300000
2000-02-04,4102050000
2000-02-07,4071599999
2000-02-08,4071599999
2000-02-09,3994750000
2000-02-10,3971550000
2000-02-11,4009250000
2000-02-14,4032450000
2000-02-15,4071599999
2000-02-16,4017950000
2000-02-17,4009250000
2000-02-18,3962849999
2000-02-22,3925150000
2000-02-23,3809150000
2000-02-24,3709099999
2000-02-25,3632250000
2000-02-28,3669950000
2000-02-29,3723600000
2000-03-01,3623550000
2000-03-02,3623550000
2000-03-03,3639500000
2000-03-06,3678650000
2000-03-07,3623550000
2000-03-08,3669950000
2000-03-09,3732300000
2000-03-10,3793200000
2000-03-13,3770000000
2000-03-14,3701850000
2000-03-15,3878750000
2000-03-16,3932400000
2000-03-17,3755500000
2000-03-20,3785950000
2000-03-21,3709099999
2000-03-22,3609050000
2000-03-23,3685900000
2000-03-24,3669950000
2000-03-27,3669950000
2000-03-28,3701850000
2000-03-29,3669950000
2000-03-30,3655450000
2000-03-31,3550689999
2000-04-03,3566420000
2000-04-04,3605030000
2000-04-05,3619330000
2000-04-06,3605030000
2000-04-07,3582150000
2000-04-10,3665090000
2000-04-11,3627910000
2000-04-12,3627910000
2000-04-13,3665090000
2000-04-14,3582150000
2000-04-17,3559270000
2000-04-18,3687970000
2000-04-19,3665090000
2000-04-20,3749460000
2000-04-24,3901040000
2000-04-25,4006860000
2000-04-26,4159870000
2000-04-27,3999710000
2000-04-28,3969680000
2000-05-01,3901040000
2000-05-02,3809520000
2000-05-03,3749460000
2000-05-04,3802370000
2000-05-05,3825250000
2000-05-08,3962530000
2000-05-09,3923920000
2000-05-10,3855280000
2000-05-11,3923920000
2000-05-12,3903900000
2000-05-15,4061200000
2000-05-16,4052620000
2000-05-17,3985410000
2000-05-18,4106960000
2000-05-19,4098380000
2000-05-22,4038320000
2000-05-23,3992560000
2000-05-24,4011150000
2000-05-25,4121260000
2000-05-26,4205630000
2000-05-30,4159870000
2000-05-31,4205630000
2000-06-01,4265689999
2000-06-02,4297150000
2000-06-05,4136990000
2000-06-06,4258540000
2000-06-07,4228510000
2000-06-08,4189900000
2000-06-09,4297150000
2000-06-12,4327180000
2000-06-13,4327180000
2000-06-14,4174170000
2000-06-15,4258540000
2000-06-16,4167020000
2000-06-19,4061200000
2000-06-20,4052620000
2000-06-21,4045470000
2000-06-22,3985410000
2000-06-23,3953950000
2000-06-26,3976830000
2000-06-27,3885310000
2000-06-28,3939650000
2000-06-29,3855280000
2000-06-30,3704109578
2000-07-03,3772493139
2000-07-05,3742575331
2000-07-06,3788164372
2000-07-07,3818082180
2000-07-10,3833753413
2000-07-11,3847999988
2000-07-12,3818082180
2000-07-13,3856547933
2000-07-14,3840876700
2000-07-17,3840876700
2000-07-18,3856547933
2000-07-19,3909260262
2000-07-20,3939178070
2000-07-21,3909260262
2000-07-24,3886465741
2000-07-25,3870794509
2000-07-26,3840876700
2000-07-27,3825205468
2000-07-28,3833753413
2000-07-31,3803835605
2000-08-01,3932054782
2000-08-02,3947726015
2000-08-03,3961972590
2000-08-04,3970520536
2000-08-07,4091616426
2000-08-08,4114410946
2000-08-09,4098739713
2000-08-10,4158575330
2000-08-11,4189917795
2000-08-14,4235506836
2000-08-15,4249753411
2000-08-16,4288219165
2000-08-17,4272547932
2000-08-18,4303890398
2000-08-21,4272547932
2000-08-22,4197041083
2000-08-23,4114410946
2000-08-24,4091616426
2000-08-25,4068821905
2000-08-28,4158575330
2000-08-29,4144328754
2000-08-30,4181369850
2000-08-31,4212712316
2000-09-01,4197041083
2000-09-05,4325260261
2000-09-06,4402191767
2000-09-07,4447780808
2000-09-08,4621589027
2000-09-11,4658630123
2000-09-12,4742684917
2000-09-13,4765479437
2000-09-14,4628712314
2000-09-15,4735561629
2000-09-18,4667178068
2000-09-19,4447780808
2000-09-20,4439232863
2000-09-21,4424986288
2000-09-22,4454904096
2000-09-25,4500493137
2000-09-26,4507616424
2000-09-27,4553205465
2000-09-28,4553205465
2000-09-29,4635835602
2000-10-02,4590612260
2000-10-03,4493448994
2000-10-04,4403326545
2000-10-05,4313204096
2000-10-06,4313204096
2000-10-09,4283632667
2000-10-10,4328693891
2000-10-11,4365306137
2000-10-12,4410367361
2000-10-13,4403326545
2000-10-16,4418816341
2000-10-17,4410367361
2000-10-18,4320244912
2000-10-19,4380795932
2000-10-20,4373755116
2000-10-23,4387836749
2000-10-24,4358265320
2000-10-25,4297714300
2000-10-26,4245612259
2000-10-27,4297714300
2000-10-30,4351224504
2000-10-31,4328693891
2000-11-01,4439938790
2000-11-02,4387836749
2000-11-03,4477959198
2000-11-06,4290673483
2000-11-07,4328693891
2000-11-08,4320244912
2000-11-09,4351224504
2000-11-10,4373755116
2000-11-13,4418816341
2000-11-14,4320244912
2000-11-15,4387836749
2000-11-16,4455428586
2000-11-17,4477959198
2000-11-20,4500489810
2000-11-21,4470918382
2000-11-22,4439938790
2000-11-24,4448387769
2000-11-27,4432897973
2000-11-28,4470918382
2000-11-29,4523020423
2000-11-30,4545551035
2000-12-01,4552591851
2000-12-04,4561040831
2000-12-05,4477959198
2000-12-06,4425857157
2000-12-07,4432897973
2000-12-08,4335734708
2000-12-11,4320244912
2000-12-12,4306163279
2000-12-13,4380795932
2000-12-14,4365306137
2000-12-15,4418816341
2000-12-18,4493448994
2000-12-19,4493448994
2000-12-20,4507530627
2000-12-21,4523020423
2000-12-22,4604693892
2000-12-26,4694816342
2000-12-27,4665244913
2000-12-28,4665244913
2000-12-29,4665244913
2001-01-02,4616514880
2001-01-03,4466130560
2001-01-04,4209342240
2001-01-05,4285953120
2001-01-08,4368238880
2001-01-09,4420731520
2001-01-10,4406544320
2001-01-11,4088751040
2001-01-12,4163943200
2001-01-16,4074563840
2001-01-17,4081657440
2001-01-18,4195155040
2001-01-19,4202248640
2001-01-22,4390938400
2001-01-23,4406544320
2001-01-24,4451943360
2001-01-25,4420731520
2001-01-26,4329933440
2001-01-29,4337027040
2001-01-30,4395194560
2001-01-31,4260416160
2001-02-01,4236297920
2001-02-02,4196573759
2001-02-05,4222110720
2001-02-06,4268928480
2001-02-07,4467549280
2001-02-08,4582465600
2001-02-09,4632120800
2001-02-12,4590977920
2001-02-13,4551253760
2001-02-14,4450524640
2001-02-15,4348376800
2001-02-16,4345539360
2001-02-20,4354051680
2001-02-21,4366820160
2001-02-22,4321421120
2001-02-23,4249066400
2001-02-26,4274603360
2001-02-27,4305815200
2001-02-28,4382426080
2001-03-01,4508692160
2001-03-02,4603746400
2001-03-05,4657657760
2001-03-06,4666170080
2001-03-07,4681776000
2001-03-08,4755549440
2001-03-09,4680357280
2001-03-12,4653401600
2001-03-13,4718662720
2001-03-14,4646308000
2001-03-15,4712987840
2001-03-16,4680357280
2001-03-19,4714406560
2001-03-20,4630702080
2001-03-21,4627864640
2001-03-22,4532810400
2001-03-23,4541322720
2001-03-26,4691707040
2001-03-27,4749874560
2001-03-28,4744199680
2001-03-29,4756968160
2001-03-30,4803785920
2001-04-02,5008300000
2001-04-03,5079350000
2001-04-04,5179400000
2001-04-05,5218550000
2001-04-06,5141700000
2001-04-09,5221450000
2001-04-10,5359200000
2001-04-11,5222900000
2001-04-12,5186650000
2001-04-16,5354850000
2001-04-17,5298300000
2001-04-18,5318600000
2001-04-19,5144600000
2001-04-20,5150400000
2001-04-23,5177950000
2001-04-24,5212750000
2001-04-25,5225800000
2001-04-26,5273650000
2001-04-27,5218550000
2001-04-30,5172150000
2001-05-01,5218550000
2001-05-02,5098199999
2001-05-03,5070650000
2001-05-04,5146050000
2001-05-07,5173600000
2001-05-08,5144600000
2001-05-09,5231600000
2001-05-10,5240300000
2001-05-11,5253350000
2001-05-14,5214200000
2001-05-15,5199700000
2001-05-16,5263500000
2001-05-17,5299750000
2001-05-18,5353400000
2001-05-21,5433150000
2001-05-22,5438950000
2001-05-23,5515800000
2001-05-24,5478100000
2001-05-25,5385300000
2001-05-29,5385300000
2001-05-30,5351949999
2001-05-31,5517250000
2001-06-01,5518700000
2001-06-04,5466500000
2001-06-05,5472300000
2001-06-06,5391100000
2001-06-07,5372250000
2001-06-08,5415750000
2001-06-11,5527400000
2001-06-12,5621650000
2001-06-13,5511450000
2001-06-14,5394000000
2001-06-15,5569449999
2001-06-18,5601350000
2001-06-19,5711550000
2001-06-20,5750699999
2001-06-21,5570900000
2001-06-22,5597000000
2001-06-25,5554950000
2001-06-26,5670950000
2001-06-27,5689800000
2001-06-28,5675300000
2001-06-29,5728950000
2001-07-02,6489513620
2001-07-03,6484596080
2001-07-05,6510822960
2001-07-06,6437059860
2001-07-09,6453451660
2001-07-10,6455090840
2001-07-11,6381327740
2001-07-12,6297729560
2001-07-13,6189543680
2001-07-16,6199378760
2001-07-17,6128894020
2001-07-18,6114141400
2001-07-19,6128894020
2001-07-20,6066605180
2001-07-23,5928914060
2001-07-24,5920718160
2001-07-25,5961697660
2001-07-26,5923996520
2001-07-27,5927274879
2001-07-30,5961697660
2001-07-31,5892852100
2001-08-01,5996120440
2001-08-02,6112502220
2001-08-03,6161677620
2001-08-06,6053491740
2001-08-07,6051852560
2001-08-08,5894491280
2001-08-09,5915800620
2001-08-10,5917439800
2001-08-13,5914161440
2001-08-14,5901048000
2001-08-15,5894491280
2001-08-16,5946945040
2001-08-17,5905965540
2001-08-20,5966615200
2001-08-21,6023986500
2001-08-22,6120698120
2001-08-23,6104306320
2001-08-24,6137089920
2001-08-27,6138729100
2001-08-28,6069883540
2001-08-29,6097749600
2001-08-30,6053491740
