,ACV
2015-05-21,282250000
2015-05-22,282024200
2015-05-26,282250000
2015-05-27,281685500
2015-05-28,281911300
2015-05-29,281685500
2015-06-01,282024200
2015-06-02,281685500
2015-06-03,281121000
2015-06-04,281121000
2015-06-05,281121000
2015-06-08,281233900
2015-06-09,281121000
2015-06-10,281572600
2015-06-11,281121000
2015-06-12,281346800
2015-06-15,281233900
2015-06-16,281233900
2015-06-17,281233900
2015-06-18,281233900
2015-06-19,281459700
2015-06-22,281346800
2015-06-23,281685500
2015-06-24,281121000
2015-06-25,281121000
2015-06-26,281121000
2015-06-29,273218000
2015-06-30,271185800
2015-07-01,271185800
2015-07-02,270508400
2015-07-06,267573000
2015-07-07,263282800
2015-07-08,258540999
2015-07-09,261363499
2015-07-10,261476400
2015-07-13,258992600
2015-07-14,253460500
2015-07-15,250976700
2015-07-16,247476800
2015-07-17,241718900
2015-07-20,236299700
2015-07-21,231783700
2015-07-22,235622300
2015-07-23,234380400
2015-07-24,240138300
2015-07-27,236977099
2015-07-28,239122200
2015-07-29,239573800
2015-07-30,237315800
2015-07-31,210028200
2015-08-03,206116500
2015-08-04,211131500
2015-08-05,210830600
2015-08-06,209727300
2015-08-07,209225800
2015-08-10,210329100
2015-08-11,204110500
2015-08-12,200499699
2015-08-13,200600000
2015-08-14,200600000
2015-08-17,200499699
2015-08-18,203308100
2015-08-19,200700300
2015-08-20,196588000
2015-08-21,190570000
2015-08-24,179537000
2015-08-25,177631300
2015-08-26,182445700
2015-08-27,187059500
2015-08-28,192074500
2015-08-31,188162800
2015-09-01,183950200
2015-09-02,189767600
2015-09-03,187159800
2015-09-04,185354400
2015-09-08,187460700
2015-09-09,184050500
2015-09-10,184251100
2015-09-11,183549000
2015-09-14,181743600
2015-09-15,185053500
2015-09-16,188162800
2015-09-17,188764600
2015-09-18,190269100
2015-09-21,187761600
2015-09-22,185254100
2015-09-23,181643300
2015-09-24,183950200
2015-09-25,182947199
2015-09-28,173318400
2015-09-29,172114800
2015-09-30,174822900
2015-10-01,175424699
2015-10-02,179637300
2015-10-05,183248100
2015-10-06,184752600
2015-10-07,184150800
2015-10-08,185454699
2015-10-09,186959200
2015-10-12,184852900
2015-10-13,184451700
2015-10-14,183749600
2015-10-15,185555000
2015-10-16,186257100
2015-10-19,185555000
2015-10-20,184953200
2015-10-21,184552000
2015-10-22,187059500
