,CHK
2022-01-11,8443061450
2022-01-12,8832053550
2022-01-13,8468430499
2022-01-14,8639973600
2022-01-18,8392323350
2022-01-19,8157961650
2022-01-20,7826955950
2022-01-21,7615547200
2022-01-24,7702526800
2022-01-25,8109639649
2022-01-26,8266686150
2022-01-27,8350041600
2022-01-28,8261853950
2022-01-31,8235276850
2022-02-01,8271518350
2022-02-02,8395947500
2022-02-03,8177290450
2022-02-04,8091518900
2022-02-07,8068565950
2022-02-08,7939304600
2022-02-09,7934472400
2022-02-10,7927224100
2022-02-11,8353665750
2022-02-14,8186954849
2022-02-15,8247357349
2022-02-16,8041988849
2022-02-17,8072190099
2022-02-18,7946552900
2022-02-22,8015411749
2022-02-23,8275142500
2022-02-24,8566282550
2022-02-25,9070039400
2022-02-28,9332186250
2022-03-01,9576212350
2022-03-02,9588292850
2022-03-03,9698225400
2022-03-04,10268425000
2022-03-07,10375941450
2022-03-08,9961580300
2022-03-09,9770708400
2022-03-10,9768292300
2022-03-11,9730842750
2022-03-14,9212589300
2022-03-15,9115945300
2022-03-16,9303193050
2022-03-17,9544803050
2022-03-18,9484400550
2022-03-21,9792453300
2022-03-22,9726010550
2022-03-23,10154868300
2022-03-24,10510035000
2022-03-25,10790302600
2022-03-28,10624799750
2022-03-29,10487082050
2022-03-30,10644128550
2022-03-31,13009284000
2022-04-01,13457880000
2022-04-04,13305357360
2022-04-05,13259002440
2022-04-06,13462365960
2022-04-07,13549094520
2022-04-08,13782364440
2022-04-11,13697131200
2022-04-12,13637318400
2022-04-13,13996195200
2022-04-14,14109839520
2022-04-18,14193577440
2022-04-19,13704607800
2022-04-20,13888532160
2022-04-21,13628346480
2022-04-22,12939003960
2022-04-25,12574145880
2022-04-26,12426109200
2022-04-27,12560688000
2022-04-28,12629472720
2022-04-29,12264614640
2022-05-02,12375268320
2022-05-03,13247039880
2022-05-04,14202549360
2022-05-05,14290773239
2022-05-06,13928905800
2022-05-09,12665360400
2022-05-10,12530781600
2022-05-11,12894144360
2022-05-12,12633958680
2022-05-13,12843303480
2022-05-16,13312833960
2022-05-17,13529655360
2022-05-18,12953957160
2022-05-19,13027227840
2022-05-20,13626851160
2022-05-23,14335632840
2022-05-24,14634696840
2022-05-25,14841051000
2022-05-26,14983106400
2022-05-27,15424225800
2022-05-31,14561426160
2022-06-01,14953200000
2022-06-02,14660117280
2022-06-03,14772266280
2022-06-06,14915817000
2022-06-07,15336001920
2022-06-08,14884415280
2022-06-09,14651145360
2022-06-10,14679556440
2022-06-13,13961802840
2022-06-14,13106479800
2022-06-15,13196199000
2022-06-16,12613024200
2022-06-17,12004428960
2022-06-21,12493398600
2022-06-22,12379754280
2022-06-23,11415272880
2022-06-24,12530781600
2022-06-27,12740126400
2022-06-28,13254516480
2022-06-29,13010779320
2022-06-30,11701192749
2022-07-01,11960898630
2022-07-05,11067798961
2022-07-06,10725852885
2022-07-07,11326062032
2022-07-08,11318847980
2022-07-11,11429944384
2022-07-12,11354918241
2022-07-13,11914728696
2022-07-14,11398202555
2022-07-15,12001297323
2022-07-18,12512052222
2022-07-19,12787629018
2022-07-20,13253656793
2022-07-21,13138231957
2022-07-22,12949223788
2022-07-25,13318583263
2022-07-26,13301269538
2022-07-27,13330125747
2022-07-28,13402266270
2022-07-29,13586946007
2022-08-01,13045892088
2022-08-02,13021364311
2022-08-03,13206044048
2022-08-04,12699617580
2022-08-05,13273856140
2022-08-08,13390723786
2022-08-09,13653315288
2022-08-10,13562418230
2022-08-11,14039988488
2022-08-12,14169841429
2022-08-15,13836552215
2022-08-16,13995261365
2022-08-17,14187155154
2022-08-18,14752736851
2022-08-19,13898593064
2022-08-22,14451189467
2022-08-23,14481488486
2022-08-24,14969158418
2022-08-25,14976372471
2022-08-26,14956173124
2022-08-29,14972044039
2022-08-30,14123671495
2022-08-31,14498802212
2022-09-01,14142428030
2022-09-02,14390591428
2022-09-06,13927449273
2022-09-07,14102029338
2022-09-08,14485816918
2022-09-09,14829205805
2022-09-12,14980700902
2022-09-13,14634426394
2022-09-14,15086026065
2022-09-15,14946073451
2022-09-16,14511787506
2022-09-19,14754179661
2022-09-20,14804678027
2022-09-21,14728209073
2022-09-22,14216011363
2022-09-23,13408037511
2022-09-26,13142560389
2022-09-27,13257985225
2022-09-28,13777396987
2022-09-29,13539333262
2022-09-30,12650047750
2022-10-03,13283825750
2022-10-04,13728276000
2022-10-05,13755131000
2022-10-06,13649053750
2022-10-07,13489266500
2022-10-10,13109268250
2022-10-11,12970965000
2022-10-12,13361705250
2022-10-13,13690679000
2022-10-14,12799093000
2022-10-17,13051530000
2022-10-18,13224744750
2022-10-19,13364390750
2022-10-20,13271741000
2022-10-21,13027360500
2022-10-24,12985735250
2022-10-25,13278454750
2022-10-26,13266370000
2022-10-27,13162978250
2022-10-28,13140151500
2022-10-31,13732304250
2022-11-01,13786014250
2022-11-02,13933716750
2022-11-03,13309338000
2022-11-04,13544319250
2022-11-07,13995483250
2022-11-08,14065306250
2022-11-09,13254285250
2022-11-10,13670537750
2022-11-11,13753788250
2022-11-14,13318737250
2022-11-15,13733647000
2022-11-16,13369761750
2022-11-17,13411387000
2022-11-18,13274426500
2022-11-21,13169692000
2022-11-22,13720219500
2022-11-23,13892091500
2022-11-25,13822268500
2022-11-28,13191176000
2022-11-29,13333507500
2022-11-30,13897462500
2022-12-01,13720219500
2022-12-02,13662481250
2022-12-05,12866230500
2022-12-06,12584253000
2022-12-07,12872944250
2022-12-08,12636620250
2022-12-09,12718528000
2022-12-12,13289196750
2022-12-13,13420786250
2022-12-14,13314709000
2022-12-15,13282483000
2022-12-16,13111953750
2022-12-19,12882343500
2022-12-20,12847432000
2022-12-21,13226087500
2022-12-22,12605737000
2022-12-23,13074356750
2022-12-27,13254285250
2022-12-28,12572168250
2022-12-29,12699729500
2022-12-30,12671531750
2023-01-03,11605328460
2023-01-04,12029765760
2023-01-05,11438248380
2023-01-06,11829000180
2023-01-09,12017638980
2023-01-10,11907150540
2023-01-11,12068840940
2023-01-12,12327545580
2023-01-13,12289817820
2023-01-17,12191456160
2023-01-18,11967784440
2023-01-19,12248047800
2023-01-20,12245352960
2023-01-23,12427254660
2023-01-24,12374705280
2023-01-25,12288470400
2023-01-26,11838432120
2023-01-27,11808788880
