,NTRS
2000-12-01,18665136470
2000-12-04,18448665065
2000-12-05,19522186523
2000-12-06,19798298010
2000-12-07,19921995955
2000-12-08,19038439199
2000-12-11,18830803362
2000-12-12,18954501308
2000-12-13,18567945227
2000-12-14,18623167524
2000-12-15,18417740578
2000-12-18,18859518956
2000-12-19,18472962876
2000-12-20,18112913498
2000-12-21,18265327038
2000-12-22,18216731416
2000-12-26,18126166849
2000-12-27,17865517606
2000-12-28,18099660146
2000-12-29,18015722254
2001-01-02,17738727034
2001-01-03,18013471245
2001-01-04,17559257026
2001-01-05,16894553290
2001-01-08,16493515369
2001-01-09,15855399782
2001-01-10,16314045360
2001-01-11,16008281642
2001-01-12,15403401242
2001-01-16,15593949646
2001-01-17,15538557668
2001-01-18,14636776266
2001-01-19,14304424398
2001-01-22,15330283831
2001-01-23,16340633510
2001-01-24,16396025488
2001-01-25,16369437338
2001-01-26,16686279452
2001-01-29,16659691303
2001-01-30,17295591210
2001-01-31,17060729224
2001-02-01,16715083281
2001-02-02,16852455386
2001-02-05,17240199232
2001-02-06,16894553290
2001-02-07,16728377356
2001-02-08,16923357118
2001-02-09,16839161312
2001-02-12,16839161312
2001-02-13,16839161312
2001-02-14,16812573162
2001-02-15,16881259215
2001-02-16,16963239342
2001-02-20,16391594129
2001-02-21,16369437338
2001-02-22,15815517558
2001-02-23,15897497686
2001-02-26,16021575716
2001-02-27,16092477448
2001-02-28,15760125580
2001-03-01,15662635699
2001-03-02,15842105708
2001-03-05,15288185928
2001-03-06,15288185928
2001-03-07,15190696046
2001-03-08,15066618016
2001-03-09,14776364051
2001-03-12,13890092403
2001-03-13,14027464508
2001-03-14,13336172623
2001-03-15,13710622394
2001-03-16,13169996689
2001-03-19,12684762962
2001-03-20,12587273080
2001-03-21,12062157129
2001-03-22,12104255032
2001-03-23,13156702614
2001-03-26,13473544728
2001-03-27,14180346368
2001-03-28,13876798328
2001-03-29,13571034610
2001-03-30,13847994500
2001-04-02,13663462335
2001-04-03,13204540267
2001-04-04,12871988044
2001-04-05,13732189795
2001-04-06,12998357889
2001-04-09,13084821467
2001-04-10,13519356372
2001-04-11,13820870387
2001-04-12,13951674262
2001-04-16,13463931001
2001-04-17,13701151587
2001-04-18,14530315130
2001-04-19,14592391545
2001-04-20,14443851552
2001-04-23,14042571869
2001-04-24,14213282011
2001-04-25,14357387974
2001-04-26,14082478136
2001-04-27,14488191848
2001-04-30,14417247374
2001-05-01,14430549463
2001-05-02,14718761389
2001-05-03,14559136322
2001-05-04,14720978404
2001-05-07,14676638108
2001-05-08,14346302900
2001-05-09,14333000811
2001-05-10,14616778708
2001-05-11,14275358425
2001-05-14,14517013041
2001-05-15,14638948856
2001-05-16,15321789421
2001-05-17,15266364050
2001-05-18,15042445553
2001-05-21,15257495991
2001-05-22,15448159265
2001-05-23,15104521968
2001-05-24,15006973316
2001-05-25,14845131234
2001-05-29,14740931538
2001-05-30,14596825574
2001-05-31,14665553034
2001-06-01,14579089456
2001-06-04,14725412434
2001-06-05,14727629449
2001-06-06,14454936626
2001-06-07,14627863782
2001-06-08,14528098115
2001-06-11,14450502596
2001-06-12,14432766478
2001-06-13,14388426181
2001-06-14,14131252462
2001-06-15,14015967692
2001-06-18,14060307988
2001-06-19,14022618736
