,SEDG
2015-03-26,58433885
2015-03-27,59478355
2015-03-30,62301248
2015-03-31,61906043
2015-04-01,62781140
2015-04-02,65124141
2015-04-06,63458634
2015-04-07,65519346
2015-04-08,66959021
2015-04-09,68539842
2015-04-10,68116408
2015-04-13,68680986
2015-04-14,69189107
2015-04-15,68398697
2015-04-16,71842626
2015-04-17,69866601
2015-04-20,69485511
2015-04-21,66846106
2015-04-22,67213082
2015-04-23,69979517
2015-04-24,70261806
2015-04-27,71814397
2015-04-28,75088953
2015-04-29,72661265
2015-04-30,70572325
2015-05-01,75568845
2015-05-04,80762968
2015-05-05,77714244
2015-05-06,73621049
2015-05-07,74496146
2015-05-08,87791972
2015-05-11,95865446
2015-05-12,96373567
2015-05-13,90953612
2015-05-14,96571169
2015-05-15,105435053
2015-05-18,105096306
2015-05-19,100749051
2015-05-20,101200714
2015-05-21,99986870
2015-05-22,96599398
2015-05-26,101567690
2015-05-27,103571944
2015-05-28,107044102
2015-05-29,105689113
2015-06-01,112915720
2015-06-02,105717342
2015-06-03,108709609
2015-06-04,115202263
2015-06-05,111165526
2015-06-08,109161272
2015-06-09,109528248
2015-06-10,108257946
2015-06-11,108963669
2015-06-12,104729330
2015-06-15,105943174
2015-06-16,109838766
2015-06-17,111532502
2015-06-18,110657405
2015-06-19,119126084
2015-06-22,111532502
2015-06-23,111306670
2015-06-24,111673647
2015-06-25,110149284
2015-06-26,107778054
2015-06-29,100692593
2015-06-30,1428613887
2015-07-01,1441583421
2015-07-02,1418395465
2015-07-06,1288700119
2015-07-07,1207345766
2015-07-08,1080008517
2015-07-09,1096908214
2015-07-10,1253328661
2015-07-13,1314246172
2015-07-14,1277302650
2015-07-15,1260795969
2015-07-16,1253721678
2015-07-17,1232105787
2015-07-20,1259616921
2015-07-21,1186122891
2015-07-22,1150358417
2015-07-23,1144070158
2015-07-24,1157039692
2015-07-27,1100052343
2015-07-28,1184550826
2015-07-29,1210489896
2015-07-30,1231319754
2015-07-31,1213241009
2015-08-03,1230140706
2015-08-04,1168044146
2015-08-05,1208524815
2015-08-06,1076864388
2015-08-07,1123633315
2015-08-10,1093764084
2015-08-11,1100445360
2015-08-12,1190839086
2015-08-13,1071362161
2015-08-14,1072148193
2015-08-17,1095729165
2015-08-18,1056427545
2015-08-19,986077645
2015-08-20,966819852
2015-08-21,881928352
2015-08-24,911797584
2015-08-25,943238880
2015-08-26,938915701
2015-08-27,1002977342
2015-08-28,998654164
2015-08-31,987256694
2015-09-01,977038273
2015-09-02,998654164
2015-09-03,1065859934
2015-09-04,1043064994
2015-09-08,1063108821
2015-09-09,1054855480
2015-09-10,1098480279
2015-09-11,1131493639
2015-09-14,1083152647
2015-09-15,1116952040
2015-09-16,1095336149
2015-09-17,1064680885
2015-09-18,1084724712
2015-09-21,1017911958
2015-09-22,990007807
2015-09-23,955029366
2015-09-24,938915701
2015-09-25,964461754
2015-09-28,847735943
2015-09-29,887430579
2015-09-30,905614283
2015-10-01,859780401
2015-10-02,896921650
2015-10-05,968438311
2015-10-06,962906635
2015-10-07,973969986
2015-10-08,992145491
2015-10-09,956979840
2015-10-12,940384814
2015-10-13,891785095
2015-10-14,874399829
2015-10-15,936038498
2015-10-16,887043659
2015-10-19,905614283
2015-10-20,887043659
2015-10-21,843975615
2015-10-22,852668247
2015-10-23,826590349
2015-10-26,854643846
2015-10-27,784114985
2015-10-28,811180682
2015-10-29,806044126
2015-10-30,730576269
2015-11-02,714771483
2015-11-03,744010338
2015-11-04,678815593
2015-11-05,869658393
2015-11-06,810785562
2015-11-09,732551868
2015-11-10,691459422
2015-11-11,610855009
2015-11-12,636932908
2015-11-13,672098558
2015-11-16,674074157
2015-11-17,636932908
2015-11-18,668147361
2015-11-19,726625073
2015-11-20,721883637
2015-11-23,739268902
2015-11-24,738083543
2015-11-25,748356654
2015-11-27,753888330
2015-11-30,775619912
2015-12-01,779966228
2015-12-02,789449100
2015-12-03,742824979
2015-12-04,745985936
2015-12-07,742429859
2015-12-08,736107945
2015-12-09,758629766
2015-12-10,772854074
2015-12-11,786288143
2015-12-14,828565947
2015-12-15,868868154
2015-12-16,1017433150
2015-12-17,1030472099
2015-12-18,1064847510
2015-12-21,1100408280
2015-12-22,1093691246
2015-12-23,1103174118
2015-12-24,1104359477
2015-12-28,1090530289
2015-12-29,1087764451
2015-12-30,1131227615
2015-12-31,1137000159
2016-01-04,1130138604
2016-01-05,1190278122
2016-01-06,1175747769
2016-01-07,1116415492
2016-01-08,1078071504
2016-01-11,1054257869
2016-01-12,1014703018
2016-01-13,978780755
2016-01-14,999365422
2016-01-15,1007437841
2016-01-19,968690232
2016-01-20,976359029
2016-01-21,1009052325
2016-01-22,1038113031
2016-01-25,1016721122
2016-01-26,1092198236
2016-01-27,1101885138
2016-01-28,1124084290
2016-01-29,1141036369
2016-02-01,1153144997
2016-02-02,1078071504
2016-02-03,1107535831
2016-02-04,1192296227
2016-02-05,1154355859
2016-02-08,1094619962
2016-02-09,1039323894
2016-02-10,947298322
2016-02-11,952545394
2016-02-12,1050221659
2016-02-16,1072824431
2016-02-17,1073228052
2016-02-18,1042956483
2016-02-19,1024389920
2016-02-22,972322820
2016-02-23,974744545
2016-02-24,1005016115
2016-02-25,1016721122
2016-02-26,996943697
2016-02-29,987660415
2016-03-01,1050221659
2016-03-02,1131349466
2016-03-03,1116415492
2016-03-04,1070806327
2016-03-07,1094216341
2016-03-08,1086547543
2016-03-09,1079282366
2016-03-10,1078878745
2016-03-11,1120048080
2016-03-14,1085740301
2016-03-15,1063944771
2016-03-16,1054661490
2016-03-17,1097848929
2016-03-18,1057486836
2016-03-21,1057890457
2016-03-22,1010263187
2016-03-23,972322820
2016-03-24,978377134
2016-03-28,980395238
2016-03-29,1016317501
2016-03-30,1015913880
2016-03-31,1025110123
2016-04-01,1005537614
2016-04-04,1026333405
2016-04-05,1008799699
2016-04-06,1034080856
2016-04-07,1025110123
2016-04-08,1021440277
2016-04-11,1006760896
2016-04-12,998605684
2016-04-13,1027556686
2016-04-14,1024702362
2016-04-15,1016954911
2016-04-18,1070371548
2016-04-19,1093206141
2016-04-20,1118079537
2016-04-21,1136021003
2016-04-22,1140098609
2016-04-25,1113594171
2016-04-26,1129496834
2016-04-27,1161302160
2016-04-28,1087497493
2016-04-29,1092390620
2016-05-02,1092390620
2016-05-03,1035711898
2016-05-04,994120318
2016-05-05,899927622
2016-05-06,908898355
2016-05-09,921131172
2016-05-10,781677051
2016-05-11,778822726
2016-05-12,729075934
2016-05-13,713988793
2016-05-16,743347555
2016-05-17,753133809
2016-05-18,808181489
2016-05-19,781269290
2016-05-20,791463305
2016-05-23,822453110
2016-05-24,848549787
2016-05-25,862821408
2016-05-26,873423183
2016-05-27,880762874
2016-05-31,890956889
2016-06-01,854666196
2016-06-02,868122296
2016-06-03,857520520
2016-06-06,877500789
2016-06-07,896665537
2016-06-08,919092369
2016-06-09,919500130
2016-06-10,854666196
2016-06-13,850588590
2016-06-14,858336041
2016-06-15,862005887
2016-06-16,848142027
2016-06-17,837132491
2016-06-20,844879942
2016-06-21,829792800
2016-06-22,834278167
2016-06-23,816744461
2016-06-24,776783923
2016-06-27,741308752
2016-06-28,791463305
2016-06-29,807365968
2016-06-30,805456845
2016-07-01,801758318
2016-07-05,769293476
2016-07-06,784087581
2016-07-07,798059792
2016-07-08,808744424
2016-07-11,814497687
2016-07-12,815730529
2016-07-13,809155371
2016-07-14,813675792
2016-07-15,811621055
2016-07-18,810388213
2016-07-19,766416845
2016-07-20,787375160
2016-07-21,776279581
2016-07-22,771759160
2016-07-25,762718318
2016-07-26,775046739
2016-07-27,782443792
2016-07-28,739294318
2016-07-29,735595792
2016-08-01,706418529
2016-08-02,689980634
2016-08-03,707240423
2016-08-04,677241265
2016-08-05,709295160
2016-08-08,729431581
2016-08-09,765184002
2016-08-10,691213476
2016-08-11,740116213
2016-08-12,752033687
2016-08-15,758608845
2016-08-16,750389897
2016-08-17,729842529
2016-08-18,738472423
2016-08-19,727787792
2016-08-22,704363792
2016-08-23,712171792
2016-08-24,706829476
2016-08-25,705596634
2016-08-26,704774739
2016-08-29,710117055
2016-08-30,723267371
2016-08-31,699432423
2016-09-01,691624423
2016-09-02,711760844
2016-09-06,717103160
2016-09-07,712582739
2016-09-08,710938950
2016-09-09,693679160
2016-09-12,711760844
2016-09-13,694090107
2016-09-14,641488844
2016-09-15,623407160
2016-09-16,599572212
2016-09-19,630393265
2016-09-20,616421055
2016-09-21,618475791
2016-09-22,640666949
2016-09-23,671488002
2016-09-26,655050107
2016-09-27,667789476
2016-09-28,678063160
2016-09-29,698610529
2016-09-30,712429916
2016-10-03,710775987
2016-10-04,692169286
2016-10-05,710362505
2016-10-06,712016434
2016-10-07,647099721
2016-10-10,663225529
2016-10-11,653301955
2016-10-12,642551416
2016-10-13,632627842
2016-10-14,611953730
2016-10-17,584663901
2016-10-18,587144795
2016-10-19,623944715
2016-10-20,611126765
2016-10-21,609059354
2016-10-24,587144795
2016-10-25,574740327
2016-10-26,563576306
2016-10-27,551998803
2016-10-28,549724651
2016-10-31,566470682
2016-11-01,554066215
2016-11-02,580942561
2016-11-03,574740327
2016-11-04,566470682
2016-11-07,589212206
2016-11-08,611953730
2016-11-09,578875150
2016-11-10,574740327
2016-11-11,551998803
2016-11-14,568538093
2016-11-15,560268448
2016-11-16,543729158
2016-11-17,537526925
2016-11-18,535459513
2016-11-21,523055046
2016-11-22,527189868
2016-11-23,547863981
2016-11-25,543729158
2016-11-28,545796570
2016-11-29,533392102
2016-11-30,545796570
2016-12-01,516852812
2016-12-02,520987635
2016-12-05,551998803
2016-12-06,568538093
2016-12-07,580942561
2016-12-08,566470682
2016-12-09,564403271
2016-12-12,554066215
2016-12-13,547863981
2016-12-14,535459513
2016-12-15,529257280
2016-12-16,554066215
2016-12-19,574740327
2016-12-20,558201037
2016-12-21,523055046
2016-12-22,523055046
2016-12-23,523055046
2016-12-27,549931392
2016-12-28,525122457
2016-12-29,506515756
2016-12-30,512717990
2017-01-03,545796570
2017-01-04,595414440
2017-01-05,570605505
2017-01-06,568538093
2017-01-09,558201037
2017-01-10,560268448
2017-01-11,558201037
2017-01-12,558201037
2017-01-13,558201037
2017-01-17,576807738
2017-01-18,549931392
2017-01-19,545796570
2017-01-20,556133626
2017-01-23,549931392
2017-01-24,535459513
2017-01-25,560268448
2017-01-26,545796570
2017-01-27,545796570
2017-01-30,541661747
2017-01-31,535459513
2017-02-01,523055046
2017-02-02,516852812
2017-02-03,523055046
2017-02-06,508583167
2017-02-07,514785401
2017-02-08,537526925
2017-02-09,539594336
2017-02-10,558201037
2017-02-13,556133626
2017-02-14,597481851
2017-02-15,622290786
2017-02-16,605751496
2017-02-17,614021141
2017-02-21,636762665
2017-02-22,603684085
2017-02-23,618155963
2017-02-24,614021141
2017-02-27,620223375
2017-02-28,605751496
2017-03-01,585077383
2017-03-02,597481851
2017-03-03,597481851
2017-03-06,597481851
2017-03-07,585077383
2017-03-08,583009972
2017-03-09,572672916
2017-03-10,576807738
2017-03-13,578875150
2017-03-14,566470682
2017-03-15,580942561
2017-03-16,597481851
2017-03-17,578875150
2017-03-20,591279617
2017-03-21,570605505
2017-03-22,574740327
2017-03-23,570605505
2017-03-24,566470682
2017-03-27,620223375
2017-03-28,632627842
2017-03-29,640897487
2017-03-30,640897487
2017-03-31,650693331
2017-04-03,652778887
2017-04-04,646522220
2017-04-05,629837776
2017-04-06,652778887
2017-04-07,652778887
2017-04-10,684062220
2017-04-11,663206664
2017-04-12,659035553
2017-04-13,661121109
2017-04-17,646522220
2017-04-18,640265553
2017-04-19,644436664
2017-04-20,661121109
2017-04-21,661121109
2017-04-24,688233331
2017-04-25,684062220
2017-04-26,677805553
2017-04-27,686147775
2017-04-28,673634442
2017-05-01,663206664
2017-05-02,667377776
2017-05-03,656949998
2017-05-04,654864442
2017-05-05,665292220
2017-05-08,669463331
2017-05-09,661121109
2017-05-10,734115553
2017-05-11,742457775
2017-05-12,736201109
2017-05-15,763313331
2017-05-16,754971109
2017-05-17,734115553
2017-05-18,738286664
2017-05-19,742457775
2017-05-22,767484442
2017-05-23,773741109
2017-05-24,782083331
2017-05-25,786254442
2017-05-26,775826664
2017-05-30,786254442
2017-05-31,775826664
2017-06-01,769569997
2017-06-02,767484442
2017-06-05,771655553
2017-06-06,769569997
2017-06-07,763313331
2017-06-08,805024442
2017-06-09,794596664
2017-06-12,794596664
2017-06-13,809195553
2017-06-14,825879997
2017-06-15,805024442
2017-06-16,811281108
2017-06-19,823794442
2017-06-20,825879997
2017-06-21,827965553
2017-06-22,865505553
2017-06-23,892617775
2017-06-26,863419997
2017-06-27,846735553
2017-06-28,848821108
2017-06-29,840478886
2017-06-30,848672960
2017-07-03,852916324
2017-07-05,816847724
2017-07-06,829577818
2017-07-07,886863243
2017-07-10,905958384
2017-07-11,916566796
2017-07-12,925053526
2017-07-13,925053526
2017-07-14,927175208
2017-07-17,927175208
2017-07-18,937783620
2017-07-19,935661938
2017-07-20,946270350
2017-07-21,944148668
2017-07-24,950513715
2017-07-25,963243809
2017-07-26,956878762
2017-07-27,959000444
2017-07-28,967487174
2017-07-31,973852221
2017-08-01,988703998
2017-08-02,969608856
2017-08-03,1171168684
2017-08-04,1202993920
2017-08-07,1202993920
2017-08-08,1190263826
2017-08-09,1171168684
2017-08-10,1143586813
2017-08-11,1152073543
2017-08-14,1181777096
2017-08-15,1181777096
2017-08-16,1164803637
2017-08-17,1130856719
2017-08-18,1132978401
2017-08-21,1105396530
2017-08-22,1116004942
2017-08-23,1124491672
2017-08-24,1135100084
2017-08-25,1137221766
2017-08-28,1135100084
2017-08-29,1135100084
2017-08-30,1128735036
2017-08-31,1135100084
2017-09-01,1145708496
2017-09-05,1122369989
2017-09-06,1109639895
2017-09-07,1113883260
2017-09-08,1090544753
2017-09-11,1054476152
2017-09-12,1120248307
2017-09-13,1139343448
2017-09-14,1143586813
2017-09-15,1141465131
2017-09-18,1137221766
2017-09-19,1143586813
2017-09-20,1132978401
2017-09-21,1111761577
2017-09-22,1137221766
2017-09-25,1137221766
2017-09-26,1145708496
2017-09-27,1241184204
2017-09-28,1222089062
2017-09-29,1211480650
2017-10-02,1245961117
2017-10-03,1269796895
2017-10-04,1267630006
2017-10-05,1245961117
2017-10-06,1245961117
2017-10-09,1252461784
2017-10-10,1263296228
2017-10-11,1256795562
2017-10-12,1250294895
2017-10-13,1280631339
2017-10-16,1319635340
2017-10-17,1330469784
2017-10-18,1336970451
2017-10-19,1317468451
2017-10-20,1317468451
2017-10-23,1339137340
2017-10-24,1354305562
2017-10-25,1326136006
2017-10-26,1339137340
2017-10-27,1393309562
2017-10-30,1410644673
2017-10-31,1423646007
2017-11-01,1423646007
2017-11-02,1404144007
2017-11-03,1464816896
2017-11-06,1458316229
2017-11-07,1406310896
2017-11-08,1408477785
2017-11-09,1681505786
2017-11-10,1653336230
2017-11-13,1625166675
2017-11-14,1654419675
2017-11-15,1620832897
2017-11-16,1636001119
2017-11-17,1627333563
2017-11-20,1685839564
2017-11-21,1666337564
2017-11-22,1672838230
2017-11-24,1720509786
2017-11-27,1672838230
2017-11-28,1694507119
2017-11-29,1579662008
2017-11-30,1577495119
2017-12-01,1508154674
2017-12-04,1453982451
2017-12-05,1497320229
2017-12-06,1497320229
2017-12-07,1566660674
2017-12-08,1562326896
2017-12-11,1579662008
2017-12-12,1564493785
2017-12-13,1583995785
2017-12-14,1633834230
2017-12-15,1653336230
2017-12-18,1677172008
2017-12-19,1657670008
2017-12-20,1655503119
2017-12-21,1622999786
2017-12-22,1627333563
2017-12-26,1631667341
2017-12-27,1644668675
2017-12-28,1644668675
2017-12-29,1627333563
2018-01-02,1676360859
2018-01-03,1720417649
2018-01-04,1645521106
2018-01-05,1669752341
2018-01-08,1689577896
2018-01-09,1638912588
2018-01-10,1612478514
2018-01-11,1652129625
2018-01-12,1599261476
2018-01-16,1570624563
2018-01-17,1608072835
2018-01-18,1572827403
2018-01-19,1550799008
2018-01-22,1530973452
2018-01-23,1570624563
2018-01-24,1555204686
2018-01-25,1603667156
2018-01-26,1619087032
2018-01-29,1634506909
2018-01-30,1570624563
2018-01-31,1581638761
2018-02-01,1559610366
2018-02-02,1523263514
2018-02-05,1533176291
2018-02-06,1519959255
2018-02-07,1483612403
2018-02-08,1420831477
2018-02-09,1418628638
2018-02-12,1519959255
2018-02-13,1586044440
2018-02-14,1625695551
2018-02-15,2020003821
2018-02-16,2026612340
2018-02-20,2090494685
2018-02-21,2105914561
2018-02-22,2130145796
2018-02-23,2202839500
2018-02-26,2242490611
2018-02-27,2209448018
2018-02-28,2205042339
2018-03-01,2194028142
2018-03-02,2242490611
2018-03-05,2229273574
2018-03-06,2312981475
2018-03-07,2275533203
2018-03-08,2294257339
2018-03-09,2310778635
2018-03-12,2379066660
2018-03-13,2381269499
2018-03-14,2409906413
2018-03-15,2412109252
2018-03-16,2398892215
2018-03-19,2427529129
2018-03-20,2500222832
2018-03-21,2475991598
2018-03-22,2409906413
2018-03-23,2379066660
2018-03-26,2487005795
2018-03-27,2431934808
2018-03-28,2246896290
2018-03-29,2317387154
2018-04-02,2460695815
2018-04-03,2538018973
2018-04-04,2483437920
2018-04-05,2601696869
2018-04-06,2466381341
2018-04-09,2572132132
2018-04-10,2492534762
2018-04-11,2501631605
2018-04-12,2508454236
2018-04-13,2462970025
2018-04-16,2415211604
