,HOG
2000-01-03,9456475560
2000-01-04,9265649820
2000-01-05,9202041240
2000-01-06,9171751440
2000-01-07,9126316740
2000-01-10,9171751440
2000-01-11,9265649820
2000-01-12,8974867740
2000-01-13,9011215500
2000-01-14,9189925320
2000-01-18,9438301680
2000-01-19,10507531620
2000-01-20,10980052500
2000-01-21,10810429620
2000-01-24,10810429620
2000-01-25,11461660320
2000-01-26,11340501120
2000-01-27,11349588060
2000-01-28,10752879000
2000-01-31,10628690820
2000-02-01,10801342679
2000-02-02,10819516560
2000-02-03,10904328000
2000-02-04,10743792060
2000-02-07,10716531240
2000-02-08,10810429620
2000-02-09,10640806740
2000-02-10,10619603880
2000-02-11,10601430000
2000-02-14,10498444679
2000-02-15,10619603880
2000-02-16,10298532000
2000-02-17,10128909120
2000-02-18,10128909120
2000-02-22,10240981380
2000-02-23,10053184620
2000-02-24,9816924179
2000-02-25,10440894060
2000-02-28,10459067940
2000-02-29,10316705880
2000-03-01,10383343440
2000-03-02,10668067560
2000-03-03,11189052120
2000-03-06,10780139820
2000-03-07,10374256500
2000-03-08,10449981000
2000-03-09,10440894060
2000-03-10,10543879380
2000-03-13,10810429620
2000-03-14,10752879000
2000-03-15,11131501500
2000-03-16,12267369000
2000-03-17,12391557179
2000-03-20,11737297500
2000-03-21,11661573000
2000-03-22,11870572620
2000-03-23,11679746880
2000-03-24,11679746880
2000-03-27,12427716890
2000-03-28,12057645750
2000-03-29,12097079560
2000-03-30,11915077360
2000-03-31,12039445530
2000-04-03,12588485500
2000-04-04,12779587810
2000-04-05,12418616780
2000-04-06,12588485500
2000-04-07,12597585610
2000-04-10,12967656750
2000-04-11,13422662250
2000-04-12,13346828000
2000-04-13,12266948280
2000-04-14,11526806000
2000-04-17,11754308750
2000-04-18,11945411060
2000-04-19,12097079560
2000-04-20,12285148500
2000-04-24,12151680220
2000-04-25,12494451030
2000-04-26,12627919310
2000-04-27,12476250810
2000-04-28,12075845970
2000-05-01,12740154000
2000-05-02,12703753560
2000-05-03,12151680220
2000-05-04,12115279780
2000-05-05,12606685720
2000-05-08,12476250810
2000-05-09,12342782530
2000-05-10,12379182970
2000-05-11,12530851470
2000-05-12,12721953780
2000-05-15,12646119530
2000-05-16,12664319750
2000-05-17,12476250810
2000-05-18,12266948280
2000-05-19,12000011720
2000-05-22,12057645750
2000-05-23,11754308750
2000-05-24,11848343220
2000-05-25,11526806000
2000-05-26,11584440030
2000-05-30,11678474500
2000-05-31,11299303250
2000-06-01,11299303250
2000-06-02,11129434530
2000-06-05,10768463500
2000-06-06,11241669220
2000-06-07,11356937280
2000-06-08,11299303250
2000-06-09,11338737060
2000-06-12,11490405560
2000-06-13,11432771530
2000-06-14,11053600280
2000-06-15,11375137500
2000-06-16,10920132000
2000-06-19,10768463500
2000-06-20,10483326720
2000-06-21,10598594780
2000-06-22,10295257780
2000-06-23,10219423530
2000-06-26,10784274620
2000-06-27,11332114560
2000-06-28,11604521160
2000-06-29,11692296620
2000-06-30,11652949000
2000-07-03,11746777940
2000-07-05,12049451940
2000-07-06,12125120440
2000-07-07,12106960000
2000-07-10,11919302120
2000-07-11,12240136560
2000-07-12,12409634000
2000-07-13,12654799940
2000-07-14,13014982000
2000-07-17,13117891160
2000-07-18,13281335120
2000-07-19,13526501060
2000-07-20,13508340620
2000-07-21,13205666620
2000-07-24,12863645000
2000-07-25,13241987500
2000-07-26,13450832560
2000-07-27,13526501060
2000-07-28,13450832560
2000-07-31,13584009120
2000-08-01,13317656000
2000-08-02,13450832560
2000-08-03,13223827060
2000-08-04,13393324500
2000-08-07,13602169560
2000-08-08,13829175060
2000-08-09,13602169560
2000-08-10,13602169560
2000-08-11,13584009120
2000-08-14,13544661500
2000-08-15,13508340620
2000-08-16,13420565160
2000-08-17,14225678000
2000-08-18,14189357120
2000-08-21,14377015000
2000-08-22,14319506940
2000-08-23,14395175440
2000-08-24,14434523060
2000-08-25,14831026000
2000-08-28,14452683500
2000-08-29,14510191560
2000-08-30,14794705120
2000-08-31,15097379120
2000-09-01,14906694500
2000-09-05,14946042120
2000-09-06,15000523440
2000-09-07,14697849440
2000-09-08,15097379120
2000-09-11,15021710620
2000-09-12,14719036620
2000-09-13,14946042120
2000-09-14,15133700000
2000-09-15,14812865560
2000-09-18,14643368120
2000-09-19,14622180940
2000-09-20,14510191560
2000-09-21,14319506940
2000-09-22,14189357120
2000-09-25,14539618274
2000-09-26,14049755153
2000-09-27,14293184066
2000-09-28,14482517665
2000-09-29,14389353513
2000-10-02,14783047187
2000-10-03,14894243110
2000-10-04,14894243110
2000-10-05,14425417056
2000-10-06,14518581207
2000-10-09,14464485893
2000-10-10,14218051685
2000-10-11,13974622773
2000-10-12,13073034207
2000-10-13,13256357215
2000-10-16,14314221132
2000-10-17,14200019914
2000-10-18,13749225631
2000-10-19,14088823991
2000-10-20,14124887534
2000-10-23,13788294469
2000-10-24,14275152295
2000-10-25,14142919305
2000-10-26,13938559230
2000-10-27,14067786924
2000-10-30,14368316446
2000-10-31,14482517665
2000-11-01,14518581207
2000-11-02,14425417056
2000-11-03,14668845968
2000-11-06,14840147796
2000-11-07,14801078958
2000-11-08,14951343719
2000-11-09,14539618274
2000-11-10,14181988143
2000-11-13,13767257402
2000-11-14,14142919305
2000-11-15,14218051685
2000-11-16,14389353513
2000-11-17,14407385284
2000-11-20,14124887534
2000-11-21,13767257402
2000-11-22,13205267196
2000-11-24,13373563729
2000-11-27,13713162088
2000-11-28,13412632566
2000-11-29,14106855762
2000-11-30,13656061479
2000-12-01,13806326240
