,PCH
2000-01-03,714870360
2000-01-04,695012850
2000-01-05,718036050
2000-01-06,731849970
2000-01-07,741059250
2000-01-10,728396490
2000-01-11,713719200
2000-01-12,724367430
2000-01-13,726381960
2000-01-14,722065110
2000-01-18,700193070
2000-01-19,709690140
2000-01-20,686666940
2000-01-21,676306500
2000-01-24,671989650
2000-01-25,667960590
2000-01-26,678321030
2000-01-27,677169870
2000-01-28,685515780
2000-01-31,671989650
2000-02-01,674291970
2000-02-02,671989650
2000-02-03,673140810
2000-02-04,667960590
2000-02-07,637742640
2000-02-08,644937390
2000-02-09,633425790
2000-02-10,632562420
2000-02-11,617885130
2000-02-14,638606010
2000-02-15,664794900
2000-02-16,648103080
2000-02-17,641771700
2000-02-18,628245570
2000-02-22,648103080
2000-02-23,639757170
2000-02-24,629396730
2000-02-25,616733970
2000-02-28,612704910
2000-02-29,634576950
2000-03-01,625079880
2000-03-02,618748500
2000-03-03,641771700
2000-03-06,629396730
2000-03-07,614719440
2000-03-08,628245570
2000-03-09,642922860
2000-03-10,650117610
2000-03-13,658463520
2000-03-14,632562420
2000-03-15,664794900
2000-03-16,700193070
2000-03-17,683501250
2000-03-20,685515780
2000-03-21,696164010
2000-03-22,671126280
2000-03-23,684652410
2000-03-24,668823960
2000-03-27,669975120
2000-03-28,652132140
2000-03-29,665946060
2000-03-30,684652410
2000-03-31,718036050
2000-04-03,706180000
2000-04-04,687671250
2000-04-05,678274500
2000-04-06,669162500
2000-04-07,675427000
2000-04-10,695929000
2000-04-11,710451250
2000-04-12,710451250
2000-04-13,703047750
2000-04-14,669162500
2000-04-17,669162500
2000-04-18,654640250
2000-04-19,649514750
2000-04-20,647521500
2000-04-24,644389250
2000-04-25,673149000
2000-04-26,664891250
2000-04-27,650653750
2000-04-28,651508000
2000-05-01,661759000
2000-05-02,664037000
2000-05-03,652647000
2000-05-04,654640250
2000-05-05,652647000
2000-05-08,642396000
2000-05-09,639263750
2000-05-10,655779250
2000-05-11,664037000
2000-05-12,666030250
2000-05-15,690803500
2000-05-16,679413500
2000-05-17,671155750
2000-05-18,664891250
2000-05-19,657772500
2000-05-22,650653750
2000-05-23,624741500
2000-05-24,625880500
2000-05-25,613351500
2000-05-26,610219250
2000-05-30,623602500
2000-05-31,625880500
2000-06-01,620470250
2000-06-02,634992500
2000-06-05,632999250
2000-06-06,619616000
2000-06-07,599968250
2000-06-08,600822500
2000-06-09,595697000
2000-06-12,582313750
2000-06-13,586585000
2000-06-14,594842750
2000-06-15,586585000
2000-06-16,579181500
2000-06-19,577188250
2000-06-20,567791500
