,H
2009-11-05,4709157488
2009-11-06,4709157488
2009-11-09,4860523264
2009-11-10,4927796942
2009-11-11,4917705891
2009-11-12,4894160103
2009-11-13,4873978000
2009-11-16,4860523264
2009-11-17,4821840899
2009-11-18,4961433782
2009-11-19,4910978523
2009-11-20,4964797465
2009-11-23,4852114054
2009-11-24,4799976953
2009-11-25,4811749847
2009-11-27,4768021956
2009-11-30,4835295635
2009-12-01,4996752463
2009-12-02,4939569836
2009-12-03,4924433258
2009-12-04,4961433782
2009-12-07,4830250109
2009-12-08,4692339068
2009-12-09,4724294065
2009-12-10,4843704844
2009-12-11,4885750893
2009-12-14,4963115623
2009-12-15,5070753509
2009-12-16,5097662980
2009-12-17,5048889563
2009-12-18,5065707983
2009-12-21,5077480877
2009-12-22,5090935612
2009-12-23,5079162719
2009-12-24,5075799035
2009-12-28,5060662457
2009-12-29,5010207198
2009-12-30,5028707460
2009-12-31,5185860639
2010-01-04,5211955208
2010-01-05,5218913760
2010-01-06,5170203898
2010-01-07,5199777742
2010-01-08,5168464260
2010-01-11,5185860639
2010-01-12,5189339915
2010-01-13,5345907328
2010-01-14,5512912568
2010-01-15,5523350396
2010-01-19,5518131482
2010-01-20,5445066689
2010-01-21,5305895656
2010-01-22,5144109329
2010-01-25,5227611949
2010-01-26,5196298467
2010-01-27,5128452588
2010-01-28,5187600277
2010-01-29,5152807519
2010-02-01,5192819191
2010-02-02,5192819191
2010-02-03,5131931864
2010-02-04,5051908519
2010-02-05,4980583364
2010-02-08,5032772502
2010-02-09,5044949968
2010-02-10,5083222002
2010-02-11,5084961640
2010-02-12,5104097657
2010-02-16,5164984984
2010-02-17,5262404708
2010-02-18,5218913760
2010-02-19,5213694846
2010-02-22,5380700086
2010-02-23,5377220810
2010-02-24,5418972120
2010-02-25,5653823240
2010-02-26,5815609566
2010-03-01,5813869928
2010-03-02,5761680791
2010-03-03,5810390652
2010-03-04,5871277980
2010-03-05,5918248203
2010-03-08,6031324668
2010-03-09,5906070738
2010-03-10,5879976169
2010-03-11,5841704135
2010-03-12,5923467117
2010-03-15,5998271548
2010-03-16,6281832529
2010-03-17,6139182219
2010-03-18,6210507374
2010-03-19,6514944010
2010-03-22,6594967354
2010-03-23,6699345629
2010-03-24,6671511423
2010-03-25,6761972595
2010-03-26,6862871594
2010-03-29,6876788697
2010-03-30,6826339198
2010-03-31,6783657461
