,HBI
2006-09-06,2033019660
2006-09-07,2128362600
2006-09-08,2124510359
2006-09-11,2093692439
2006-09-12,2111990580
2006-09-13,2171700300
2006-09-14,2100433859
2006-09-15,2048428620
2006-09-18,2085987960
2006-09-19,2060948399
2006-09-20,2137993200
2006-09-21,2094655500
2006-09-22,2132214840
2006-09-25,2144734620
2006-09-26,2154365220
2006-09-27,2176515600
2006-09-28,2162069700
2006-09-29,2167848060
2006-10-02,2165921940
2006-10-03,2167848060
2006-10-04,2186146200
2006-10-05,2229483900
2006-10-06,2207333520
2006-10-09,2213111880
2006-10-10,2184220080
2006-10-11,2181330900
2006-10-12,2215038000
2006-10-13,2248745100
2006-10-16,2215038000
2006-10-17,2195776800
2006-10-18,2214074940
2006-10-19,2215038000
2006-10-20,2238151440
2006-10-23,2268006300
2006-10-24,2293045860
2006-10-25,2292082800
2006-10-26,2337346620
2006-10-27,2354681700
2006-10-30,2335420500
2006-10-31,2272821600
2006-11-01,2216964120
2006-11-02,2268006300
2006-11-03,2212148820
2006-11-06,2195776800
2006-11-07,2150512980
2006-11-08,2131251780
2006-11-09,2132214840
2006-11-10,2169774180
2006-11-13,2172663360
2006-11-14,2261264880
2006-11-15,2290156680
2006-11-16,2315196240
2006-11-17,2311344000
2006-11-20,2338309680
2006-11-21,2325789900
2006-11-22,2357570880
2006-11-24,2354681700
2006-11-27,2315196240
2006-11-28,2313270120
2006-11-29,2311344000
2006-11-30,2348903340
2006-12-01,2379721260
2006-12-04,2299787280
2006-12-05,2319048480
2006-12-06,2304602580
2006-12-07,2296898100
2006-12-08,2283415260
2006-12-11,2308454820
2006-12-12,2293045860
2006-12-13,2316159300
2006-12-14,2302676460
2006-12-15,2283415260
2006-12-18,2268969360
2006-12-19,2228520840
2006-12-20,2255486520
2006-12-21,2210222700
2006-12-22,2248745100
2006-12-26,2272821600
2006-12-27,2296898100
2006-12-28,2312307060
2006-12-29,2274747720
2007-01-03,2319259000
2007-01-04,2323118000
2007-01-05,2337589250
2007-01-08,2393544750
2007-01-09,2381967750
2007-01-10,2382932500
2007-01-11,2404157000
2007-01-12,2433099500
2007-01-16,2479407500
2007-01-17,2468795250
2007-01-18,2472654250
2007-01-19,2457218250
2007-01-22,2457218250
2007-01-23,2463971500
2007-01-24,2502561500
2007-01-25,2490984500
2007-01-26,2497737750
2007-01-29,2486160750
2007-01-30,2485196000
2007-01-31,2467830500
2007-02-01,2427311000
2007-02-02,2442747000
2007-02-05,2421522500
2007-02-06,2411875000
2007-02-07,2421522500
2007-02-08,2420557750
2007-02-09,2431170000
2007-02-12,2502561500
2007-02-13,2539222000
2007-02-14,2570094000
2007-02-15,2580706250
2007-02-16,2583600500
2007-02-20,2575882500
2007-02-21,2616402000
2007-02-22,2607719250
2007-02-23,2611578250
2007-02-26,2645344500
2007-02-27,2653062500
2007-02-28,2760149750
2007-03-01,2736031000
2007-03-02,2701300000
2007-03-05,2620261000
2007-03-06,2678146000
2007-03-07,2677181250
2007-03-08,2712877000
2007-03-09,2735066250
2007-03-12,2744713750
2007-03-13,2760149750
2007-03-14,2683934500
2007-03-15,2615437250
2007-03-16,2605789750
2007-03-19,2659815750
2007-03-20,2700335250
2007-03-21,2741819500
2007-03-22,2769797250
2007-03-23,2812246250
2007-03-26,2795845500
2007-03-27,2803563500
2007-03-28,2820929000
2007-03-29,2843118250
2007-03-30,2835400250
2007-04-02,2834680300
2007-04-03,2835642840
2007-04-04,2793291080
