,SLM
2000-01-03,2235341340
2000-01-04,2155170870
2000-01-05,2126875410
2000-01-06,2197614060
2000-01-07,2301364080
2000-01-10,2254204980
2000-01-11,2225909520
2000-01-12,2301364080
2000-01-13,2456989110
2000-01-14,2438125470
2000-01-18,2362670910
2000-01-19,2306079990
2000-01-20,2291932260
2000-01-21,2291932260
2000-01-24,2211761790
2000-01-25,2188182240
2000-01-26,2192898150
2000-01-27,2235341340
2000-01-28,2159886780
2000-01-31,2183466330
2000-02-01,2277784530
2000-02-02,2188182240
2000-02-03,2192898150
2000-02-04,2159886780
2000-02-07,2070284489
2000-02-08,2008977660
2000-02-09,1961818560
2000-02-10,1876932180
2000-02-11,1961818560
2000-02-14,1867500360
2000-02-15,1933523099
2000-02-16,1933523099
2000-02-17,1876932180
2000-02-18,1768466250
2000-02-22,1787329890
2000-02-23,1735454880
2000-02-24,1716591240
2000-02-25,1726023060
2000-02-28,1740170790
2000-02-29,1759034430
2000-03-01,1810909440
2000-03-02,1759034430
2000-03-03,1749602610
2000-03-06,1740170790
2000-03-07,1678863960
2000-03-08,1664716230
2000-03-09,1678863960
2000-03-10,1655284410
2000-03-13,1612841220
2000-03-14,1650568500
2000-03-15,1688295780
2000-03-16,1839204900
2000-03-17,1914659459
2000-03-20,1853352630
2000-03-21,1914659459
2000-03-22,1938239010
2000-03-23,1966534470
2000-03-24,1990114020
2000-03-27,1961818560
2000-03-28,1980682200
2000-03-29,1952386739
2000-03-30,1971250379
2000-03-31,1854349200
2000-04-03,2018243699
2000-04-04,2004195600
2000-04-05,2022926400
2000-04-06,2004195600
2000-04-07,1938637799
2000-04-10,1962051300
2000-04-11,1962051300
2000-04-12,1999512899
2000-04-13,1933955100
2000-04-14,1844983800
2000-04-17,1840301100
2000-04-18,1798156800
2000-04-19,1746647100
2000-04-20,1784108700
2000-04-24,1821570300
2000-04-25,1887128100
2000-04-26,1788791400
2000-04-27,1774743300
2000-04-28,1746647100
2000-05-01,1737281700
2000-05-02,1699820100
2000-05-03,1671723900
2000-05-04,1638945000
2000-05-05,1648310400
2000-05-08,1676406600
2000-05-09,1624896900
2000-05-10,1578069900
2000-05-11,1657675800
2000-05-12,1681089300
2000-05-15,1690454700
2000-05-16,1699820100
2000-05-17,1685772000
2000-05-18,1713868200
2000-05-19,1676406600
2000-05-22,1671723900
2000-05-23,1699820100
2000-05-24,1765377900
2000-05-25,1770060600
2000-05-26,1826253000
2000-05-30,1896493500
2000-05-31,1877762700
2000-06-01,1915224300
2000-06-02,2036974499
2000-06-05,1985464800
2000-06-06,1999512899
2000-06-07,2008878300
2000-06-08,1985464800
2000-06-09,2022926400
2000-06-12,2032291800
2000-06-13,2055705299
2000-06-14,2116580399
2000-06-15,2041657200
2000-06-16,2022926400
2000-06-19,2036974499
2000-06-20,2046339900
2000-06-21,2074436099
2000-06-22,2079118800
2000-06-23,2074436099
2000-06-26,2051022600
