,STZ
2000-01-03,906552369
2000-01-04,871629003
2000-01-05,902186948
2000-01-06,937110314
2000-01-07,964757979
2000-01-10,928379473
2000-01-11,916738351
2000-01-12,925469192
2000-01-13,935655174
2000-01-14,942930875
2000-01-18,950206576
2000-01-19,972033680
2000-01-20,976399101
2000-01-21,948751436
2000-01-24,922558912
2000-01-25,928379473
2000-01-26,945841156
2000-01-27,937110314
2000-01-28,926924332
2000-01-31,942930875
2000-02-01,958937418
2000-02-02,963302838
2000-02-03,961847698
2000-02-04,928379473
2000-02-07,957482277
2000-02-08,937110314
2000-02-09,957482277
2000-02-10,973488820
2000-02-11,956027137
2000-02-14,972033680
2000-02-15,967668259
2000-02-16,947296296
2000-02-17,940020595
2000-02-18,910917790
2000-02-22,948751436
2000-02-23,905097229
2000-02-24,902186948
2000-02-25,886180406
2000-02-28,893456107
2000-02-29,893999200
2000-03-01,905666400
2000-03-02,879415200
2000-03-03,908583200
2000-03-06,908583200
2000-03-07,851705600
2000-03-08,815245600
2000-03-09,812328800
2000-03-10,783160800
2000-03-13,805036799
2000-03-14,775868800
2000-03-15,831288000
2000-03-16,905666400
2000-03-17,851705600
2000-03-20,832746400
2000-03-21,858997600
2000-03-22,870664800
2000-03-23,898374400
2000-03-24,882332000
2000-03-27,879415200
2000-03-28,888165600
2000-03-29,873581600
2000-03-30,888165600
2000-03-31,930459200
2000-04-03,939209600
2000-04-04,926084000
2000-04-05,947960000
2000-04-06,939209600
2000-04-07,949418400
2000-04-10,914416799
2000-04-11,924625600
2000-04-12,985878400
2000-04-13,955252000
2000-04-14,898374400
2000-04-17,927542400
2000-04-18,945043200
2000-04-19,921708800
2000-04-20,923167200
2000-04-24,918792000
2000-04-25,918792000
2000-04-26,908583200
2000-04-27,893999200
2000-04-28,918792000
2000-05-01,921708800
2000-05-02,920250400
2000-05-03,942126400
2000-05-04,947960000
2000-05-05,924625600
2000-05-08,937751200
2000-05-09,961085600
2000-05-10,931917600
2000-05-11,975669600
2000-05-12,972752800
2000-05-15,972752800
2000-05-16,980044800
2000-05-17,942126400
2000-05-18,934834400
2000-05-19,946501600
2000-05-22,965460800
2000-05-23,966919200
2000-05-24,981503200
2000-05-25,956710400
2000-05-26,945043200
2000-05-30,943584800
2000-05-31,958920000
2000-06-01,963312000
2000-06-02,939888000
2000-06-05,931104000
2000-06-06,951600000
2000-06-07,970632000
2000-06-08,979416000
2000-06-09,1001376000
2000-06-12,994056000
2000-06-13,985272000
2000-06-14,983808000
2000-06-15,1001376000
2000-06-16,999912000
2000-06-19,995520000
2000-06-20,966240000
2000-06-21,988200000
2000-06-22,985272000
2000-06-23,950136000
2000-06-26,938424000
2000-06-27,913536000
2000-06-28,939888000
2000-06-29,915000000
2000-06-30,922320000
2000-07-03,947208000
2000-07-05,942816000
2000-07-06,954527999
2000-07-07,975024000
2000-07-10,954527999
2000-07-11,938424000
2000-07-12,934032000
2000-07-13,939888000
2000-07-14,917927999
2000-07-17,932568000
2000-07-18,947208000
2000-07-19,938424000
2000-07-20,931104000
2000-07-21,893040000
2000-07-24,885720000
2000-07-25,900360000
2000-07-26,895968000
2000-07-27,891576000
2000-07-28,874008000
2000-07-31,903288000
2000-08-01,898896000
2000-08-02,894504000
2000-08-03,912072000
2000-08-04,903288000
2000-08-07,890112000
2000-08-08,887184000
2000-08-09,894504000
2000-08-10,865224000
2000-08-11,833016000
2000-08-14,838872000
2000-08-15,887184000
2000-08-16,882792000
2000-08-17,888648000
2000-08-18,885720000
2000-08-21,897432000
2000-08-22,897432000
2000-08-23,907680000
2000-08-24,936960000
2000-08-25,964776000
2000-08-28,944280000
2000-08-29,985272000
2000-08-30,980880000
2000-08-31,990332960
2000-09-01,980032320
2000-09-05,969731680
2000-09-06,968260160
2000-09-07,988861440
2000-09-08,981503840
2000-09-11,980032320
2000-09-12,974146240
2000-09-13,1003576640
2000-09-14,991804480
2000-09-15,985918400
2000-09-18,969731680
2000-09-19,997690560
2000-09-20,1009462720
2000-09-21,1013877280
2000-09-22,1019763360
2000-09-25,1006519680
2000-09-26,1044779200
2000-09-27,1055079840
2000-09-28,1035950080
2000-09-29,999162080
2000-10-02,975617760
2000-10-03,959431039
2000-10-04,944715840
2000-10-05,932943680
2000-10-06,902041760
2000-10-09,910870880
2000-10-10,902041760
2000-10-11,887326560
2000-10-12,893212640
2000-10-13,896155680
2000-10-16,894684160
2000-10-17,894684160
2000-10-18,891741120
2000-10-19,882912000
2000-10-20,872611360
2000-10-23,887326560
2000-10-24,854953120
2000-10-25,863782240
2000-10-26,853481600
2000-10-27,859367680
2000-10-30,885855039
2000-10-31,896155680
2000-11-01,896155680
2000-11-02,902041760
2000-11-03,906456320
2000-11-06,919700000
2000-11-07,919700000
2000-11-08,919700000
2000-11-09,925586080
2000-11-10,934415200
2000-11-13,919700000
2000-11-14,944715840
2000-11-15,957959520
2000-11-16,953544960
2000-11-17,959431039
2000-11-20,940301280
2000-11-21,941772800
2000-11-22,915285440
2000-11-24,912342400
2000-11-27,910870880
2000-11-28,916756960
2000-11-29,902041760
2000-11-30,1011548080
2000-12-01,1004947440
2000-12-04,990096000
2000-12-05,1004947440
2000-12-06,1006597600
2000-12-07,1046201440
2000-12-08,1052802080
2000-12-11,1075904320
2000-12-12,1052802080
2000-12-13,1070953840
2000-12-14,1108907520
2000-12-15,1110557680
2000-12-18,1110557680
2000-12-19,1107257360
2000-12-20,1100656720
2000-12-21,1113858000
2000-12-22,1113858000
2000-12-26,1140260560
2000-12-27,1169963440
2000-12-28,1206266960
2000-12-29,1211217440
2001-01-02,1176564080
2001-01-03,1160062480
2001-01-04,1107257360
2001-01-05,1105607200
2001-01-08,1174913920
2001-01-09,1169963440
2001-01-10,1209567280
2001-01-11,1242570480
2001-01-12,1240920320
2001-01-16,1303626400
2001-01-17,1311877200
2001-01-18,1330028960
2001-01-19,1306926720
2001-01-22,1300326080
2001-01-23,1328378800
2001-01-24,1341580080
2001-01-25,1351481040
2001-01-26,1372933120
2001-01-29,1384484240
2001-01-30,1397685520
2001-01-31,1391084880
2001-02-01,1414187120
2001-02-02,1389434720
2001-02-05,1341580080
2001-02-06,1303626400
2001-02-07,1325078480
2001-02-08,1313527360
2001-02-09,1323428320
2001-02-12,1356431520
2001-02-13,1364682320
2001-02-14,1363032160
2001-02-15,1325078480
2001-02-16,1334979440
