,ANF
2000-01-03,2799015505
2000-01-04,2639980533
2000-01-05,2709955921
2000-01-06,2570005146
2000-01-07,2544559550
2000-01-10,2601812140
2000-01-11,2449138567
2000-01-12,2487306960
2000-01-13,2538198151
2000-01-14,2423692971
2000-01-18,2391885977
2000-01-19,2194682612
2000-01-20,2188321213
2000-01-21,2061093236
2000-01-24,2054731837
2000-01-25,2124707224
2000-01-26,2328271988
2000-01-27,2239212404
2000-01-28,2264658000
2000-01-31,2218269903
2000-02-01,2159894380
2000-02-02,2192325226
2000-02-03,2146922041
2000-02-04,2386910305
2000-02-07,2208540649
2000-02-08,2257186919
2000-02-09,2185839057
2000-02-10,2146922041
2000-02-11,2315562443
2000-02-14,2464744337
2000-02-15,2023684824
2000-02-16,1582625311
2000-02-17,1608569988
2000-02-18,1530735957
2000-02-22,1511277449
2000-02-23,1452901925
2000-02-24,1401012570
2000-02-25,1452901925
2000-02-28,1452901925
2000-02-29,1511277449
2000-03-01,1517763618
2000-03-02,1465874263
2000-03-03,1439929586
2000-03-06,1407498740
2000-03-07,1446415755
2000-03-08,1478846602
2000-03-09,1660459343
2000-03-10,1582625311
2000-03-13,1543708295
2000-03-14,1589111480
2000-03-15,1679917851
2000-03-16,1751265713
2000-03-17,1725321036
2000-03-20,1712348697
2000-03-21,1738293374
2000-03-22,1699376359
2000-03-23,1692890189
2000-03-24,1653973173
2000-03-27,1647487004
2000-03-28,1569652972
2000-03-29,1550194464
2000-03-30,1498305110
2000-03-31,1653973173
2000-04-03,1634514665
2000-04-04,1530735957
2000-04-05,1550194464
2000-04-06,1465874263
2000-04-07,1426957248
2000-04-10,1426957248
2000-04-11,1362095554
2000-04-12,1329664708
2000-04-13,1271289184
2000-04-14,1206427491
2000-04-17,1109134951
2000-04-18,1219399830
2000-04-19,1251830676
2000-04-20,1154538137
2000-04-24,1167510475
2000-04-25,1141565798
2000-04-26,1115621121
2000-04-27,1070217936
2000-04-28,1141565798
2000-05-01,1098054092
2000-05-02,1034213738
2000-05-03,1021445667
2000-05-04,1046981808
2000-05-05,1072517950
2000-05-08,1219350765
2000-05-09,1072517950
2000-05-10,1021445667
2000-05-11,1008677596
2000-05-12,995909525
2000-05-15,983141454
2000-05-16,963989348
2000-05-17,951221277
2000-05-18,932069171
2000-05-19,919301100
