,LUV
2000-01-03,7889881590
2000-01-04,7673618294
2000-01-05,7643788875
2000-01-06,7613959455
2000-01-07,7889881590
2000-01-10,7986827205
2000-01-11,8232919919
2000-01-12,8262749340
2000-01-13,7986827205
2000-01-14,8046486044
2000-01-18,7830222750
2000-01-19,7703447715
2000-01-20,7517013840
2000-01-21,7613959455
2000-01-24,7517013840
2000-01-25,7643788875
2000-01-26,7740734490
2000-01-27,7956997785
2000-01-28,7800393330
2000-01-31,7927168365
2000-02-01,7800393330
2000-02-02,7956997785
2000-02-03,7889881590
2000-02-04,8016656625
2000-02-07,8046486044
2000-02-08,8046486044
2000-02-09,7956997785
2000-02-10,7830222750
2000-02-11,7673618294
2000-02-14,7643788875
2000-02-15,7703447715
2000-02-16,8016656625
2000-02-17,8143431660
2000-02-18,8046486044
2000-02-22,8173261080
2000-02-23,8792221545
2000-02-24,8672903865
2000-02-25,9008484840
2000-02-28,8792221545
2000-02-29,9165089295
2000-03-01,9075601035
2000-03-02,8859337740
2000-03-03,8978655420
2000-03-06,8732562705
2000-03-07,8203090500
2000-03-08,8762392125
2000-03-09,9045771615
2000-03-10,9291864330
2000-03-13,9418639365
2000-03-14,9418639365
2000-03-15,9694561500
2000-03-16,9880995375
2000-03-17,9940654215
2000-03-20,9880995375
2000-03-21,10037599830
2000-03-22,9724390920
2000-03-23,10097258670
2000-03-24,9940654215
2000-03-27,9754220340
2000-03-28,10164374865
2000-03-29,10007770410
2000-03-30,9910824795
2000-03-31,10353681900
2000-04-03,10129899150
2000-04-04,10129899150
2000-04-05,10570005225
2000-04-06,10599842925
2000-04-07,10726653150
2000-04-10,10875841650
2000-04-11,11099624400
2000-04-12,10659518325
2000-04-13,10629680625
2000-04-14,10353681900
2000-04-17,9510766875
2000-04-18,9853900425
2000-04-19,10473032700
2000-04-20,10599842925
2000-04-24,10316384775
2000-04-25,10413357300
2000-04-26,10383519600
2000-04-27,10443195000
2000-04-28,10786328550
2000-05-01,10875841650
2000-05-02,10816166250
2000-05-03,10726653150
2000-05-04,10599842925
2000-05-05,10659518325
2000-05-08,11159299800
2000-05-09,10942976475
2000-05-10,10972814175
2000-05-11,10942976475
2000-05-12,10629680625
2000-05-15,10473032700
2000-05-16,10443195000
2000-05-17,10726653150
2000-05-18,10473032700
2000-05-19,10100061450
2000-05-22,10070223750
2000-05-23,10070223750
2000-05-24,10070223750
2000-05-25,9667414800
2000-05-26,9510766875
2000-05-30,9727090200
2000-05-31,9540604575
2000-06-01,10010548350
2000-06-02,9913575825
2000-06-05,9794225025
2000-06-06,9727090200
2000-06-07,10040386050
2000-06-08,10010548350
2000-06-09,10197033975
2000-06-12,10316384775
2000-06-13,10256709375
2000-06-14,10129899150
2000-06-15,9853900425
2000-06-16,9607739400
2000-06-19,9727090200
2000-06-20,9667414800
2000-06-21,9727090200
2000-06-22,9607739400
2000-06-23,9480929175
2000-06-26,9324281250
2000-06-27,9697252500
2000-06-28,9704711925
2000-06-29,9570442275
2000-06-30,9455430555
2000-07-03,9702484560
2000-07-05,10046862870
2000-07-06,10016916930
2000-07-07,9949538565
2000-07-10,10016916930
2000-07-11,9829754805
2000-07-12,10323862815
2000-07-13,10136700690
2000-07-14,10353808755
2000-07-17,10540970880
2000-07-18,10952727555
2000-07-19,10728133005
2000-07-20,10451133060
2000-07-21,10982673495
2000-07-24,11356997745
2000-07-25,11386943685
2000-07-26,11289619380
2000-07-27,11446835565
2000-07-28,11169835620
2000-07-31,11791213875
2000-08-01,11948430060
2000-08-02,11761267935
2000-08-03,12008321940
2000-08-04,12135592185
2000-08-07,12352700250
2000-08-08,12165538125
2000-08-09,12165538125
2000-08-10,12075700305
2000-08-11,12450024555
2000-08-14,12195484065
2000-08-15,11978376000
2000-08-16,12165538125
2000-08-17,11663943630
2000-08-18,11791213875
2000-08-21,11821159815
2000-08-22,11633997690
2000-08-23,11544159870
2000-08-24,11476781505
2000-08-25,11731321995
2000-08-28,11791213875
2000-08-29,11446835565
2000-08-30,11199781560
2000-08-31,11297105865
2000-09-01,11042565375
2000-09-05,11416889625
2000-09-06,11633997690
2000-09-07,11514213930
2000-09-08,11574105810
2000-09-11,11139889680
2000-09-12,11042565375
2000-09-13,11229727500
2000-09-14,11289619380
2000-09-15,11289619380
2000-09-18,11199781560
2000-09-19,11259673440
2000-09-20,11574105810
2000-09-21,11476781505
2000-09-22,11663943630
2000-09-25,11791213875
2000-09-26,11731321995
2000-09-27,11888538180
2000-09-28,12075700305
2000-09-29,12105646245
2000-10-02,12131107950
2000-10-03,12590282977
2000-10-04,12716185806
2000-10-05,12990209612
2000-10-06,12901337027
2000-10-09,12745810002
2000-10-10,12745810002
2000-10-11,12501410391
2000-10-12,11879302291
2000-10-13,12005205121
2000-10-16,12131107950
2000-10-17,12590282977
