,PAYC
2014-04-15,771864956
2014-04-16,785441734
2014-04-17,817120882
2014-04-21,809578228
2014-04-22,803544104
2014-04-23,808069697
2014-04-24,791978701
2014-04-25,769350738
2014-04-28,752756899
2014-04-29,768345051
2014-04-30,774882018
2014-05-01,787955952
2014-05-02,794492919
2014-05-05,788458796
2014-05-06,769853582
2014-05-07,756779648
2014-05-08,763316615
2014-05-09,729626092
2014-05-12,708506660
2014-05-13,697444100
2014-05-14,707500973
2014-05-15,718563532
2014-05-16,694427039
2014-05-19,665764952
2014-05-20,703981068
2014-05-21,703981068
2014-05-22,773373487
2014-05-23,730631779
2014-05-27,705489598
2014-05-28,666267796
2014-05-29,677833199
2014-05-30,671296232
2014-06-02,680850261
2014-06-03,705489598
2014-06-04,719066376
2014-06-05,712529409
2014-06-06,726609030
2014-06-09,736163059
2014-06-10,725603343
2014-06-11,727111874
2014-06-12,702472537
2014-06-13,703981068
2014-06-16,726106187
2014-06-17,703981068
2014-06-18,712529409
2014-06-19,718563532
2014-06-20,710015191
2014-06-23,736163059
2014-06-24,739180121
2014-06-25,740185808
2014-06-26,740185808
2014-06-27,702975380
2014-06-30,744913780
2014-07-01,745424345
2014-07-02,727554583
2014-07-03,749508862
2014-07-07,715811597
2014-07-08,685688284
2014-07-09,685177720
2014-07-10,679050944
2014-07-11,665265699
2014-07-14,678540379
2014-07-15,662202312
2014-07-16,656075536
2014-07-17,633610693
2014-07-18,637184645
2014-07-21,652501584
2014-07-22,644332550
2014-07-23,655564972
2014-07-24,663734006
2014-07-25,663734006
2014-07-28,661691747
2014-07-29,657607230
2014-07-30,663734006
2014-07-31,652501584
2014-08-01,645864244
2014-08-04,647906502
2014-08-05,637695210
2014-08-06,706110869
2014-08-07,705600304
2014-08-08,693346753
2014-08-11,710195386
2014-08-12,709174257
2014-08-13,753082814
2014-08-14,779121610
2014-08-15,859790820
2014-08-18,839878799
2014-08-19,826604119
2014-08-20,805160405
2014-08-21,844473881
2014-08-22,890935261
2014-08-25,880723969
2014-08-26,921569139
2014-08-27,917995186
2014-08-28,912889540
2014-08-29,914931799
2014-09-02,923100832
2014-09-03,885829615
2014-09-04,850090092
2014-09-05,838857670
2014-09-08,836815412
2014-09-09,822519602
2014-09-10,835283718
2014-09-11,852642915
2014-09-12,905741635
2014-09-15,876128887
2014-09-16,913400105
2014-09-17,905231071
2014-09-18,921569139
2014-09-19,969562213
2014-09-22,933312125
2014-09-23,934333254
2014-09-24,940460030
2014-09-25,867449289
2014-09-26,879192275
2014-09-29,863364772
2014-09-30,827999999
2014-10-01,805000000
2014-10-02,815000000
2014-10-03,828500000
2014-10-06,807499999
2014-10-07,788000000
2014-10-08,784000000
2014-10-09,744000000
2014-10-10,744000000
2014-10-13,749000000
2014-10-14,752000000
2014-10-15,813000000
2014-10-16,838000000
