,CZR
2015-09-22,403764209
2015-09-23,373993576
2015-09-24,349339771
2015-09-25,333524122
2015-09-28,318638805
2015-09-29,311196147
2015-09-30,274890629
2015-10-01,316194229
2015-10-02,340463011
2015-10-05,352364049
2015-10-06,347696975
2015-10-07,364965147
2015-10-08,371032343
2015-10-09,373365880
2015-10-12,359831366
2015-10-13,359831366
2015-10-14,369632221
2015-10-15,376166124
2015-10-16,375699416
2015-10-19,373365880
2015-10-20,372665818
2015-10-21,357964537
2015-10-22,370098928
2015-10-23,374766002
2015-10-26,371965757
2015-10-27,373365880
2015-10-28,374766002
2015-10-29,377099538
2015-10-30,375699416
2015-11-02,421436737
2015-11-03,413969419
2015-11-04,410702468
2015-11-05,412569297
2015-11-06,407902223
2015-11-09,400901613
2015-11-10,365665208
2015-11-11,370798989
2015-11-12,357964537
2015-11-13,370565635
2015-11-16,353297463
2015-11-17,324361608
2015-11-18,323894900
2015-11-19,346763561
2015-11-20,340229658
2015-11-23,344896731
2015-11-24,357497830
2015-11-25,372899172
2015-11-27,377566246
2015-11-30,395301125
2015-12-01,385033563
2015-12-02,405101979
2015-12-03,371499050
2015-12-04,366365269
2015-12-07,333229047
2015-12-08,338829536
2015-12-09,362164903
2015-12-10,379666429
2015-12-11,365898562
2015-12-14,352830756
2015-12-15,341629780
2015-12-16,356564415
2015-12-17,358431244
2015-12-18,354230878
2015-12-21,359831366
2015-12-22,373132526
2015-12-23,379433075
2015-12-24,388300515
2015-12-28,368232099
2015-12-29,385033563
2015-12-30,373832587
2015-12-31,370302111
2016-01-04,363262147
2016-01-05,371240773
2016-01-06,344019579
2016-01-07,307411765
2016-01-08,314921060
2016-01-11,292862506
2016-01-12,310697082
2016-01-13,288169197
2016-01-14,297086485
2016-01-15,306942434
2016-01-19,304595780
2016-01-20,294270499
2016-01-21,305065111
2016-01-22,313043736
2016-01-25,287699866
2016-01-26,302718456
2016-01-27,300841132
2016-01-28,304126449
2016-01-29,325246341
2016-02-01,313513067
2016-02-02,307411765
2016-02-03,304126449
2016-02-04,300371801
2016-02-05,299902470
2016-02-08,289107859
2016-02-09,283945218
2016-02-10,283475887
2016-02-11,292862506
2016-02-12,283006556
2016-02-16,305065111
2016-02-17,351528874
2016-02-18,344019579
2016-02-19,341672924
2016-02-22,362792816
2016-02-23,352936866
2016-02-24,363731478
2016-02-25,384851370
2016-02-26,424744500
2016-02-29,424275169
2016-03-01,432253795
2016-03-02,432253795
2016-03-03,420051191
2016-03-04,413011227
2016-03-07,410664572
2016-03-08,353406197
2016-03-09,368424787
2016-03-10,341203593
2016-03-11,349651550
2016-03-14,332286305
2016-03-15,337918276
2016-03-16,292393175
2016-03-17,307881096
2016-03-18,308350427
2016-03-21,295678492
2016-03-22,299433139
2016-03-23,294270499
2016-03-24,291923844
2016-03-28,300371801
2016-03-29,304595780
2016-03-30,308350427
2016-03-31,320086934
2016-04-01,310201896
2016-04-04,301258291
2016-04-05,296551130
2016-04-06,299846142
2016-04-07,309260464
2016-04-08,319145502
2016-04-11,319145502
2016-04-12,322440514
2016-04-13,330442688
2016-04-14,337503429
2016-04-15,341269158
2016-04-18,345034886
2016-04-19,353978492
2016-04-20,350212763
2016-04-21,351624911
2016-04-22,346917750
2016-04-25,333502342
2016-04-26,342681306
2016-04-27,338915577
2016-04-28,333266984
2016-04-29,321499082
2016-05-02,333737700
2016-05-03,323381946
2016-05-04,317733354
2016-05-05,317262637
2016-05-06,318674786
2016-05-09,324794095
2016-05-10,337974145
2016-05-11,337032713
2016-05-12,336091281
2016-05-13,326676959
2016-05-16,351624911
2016-05-17,343152022
2016-05-18,323381946
2016-05-19,315850489
2016-05-20,322440514
2016-05-23,325735527
2016-05-24,329971972
2016-05-25,332796268
2016-05-26,331384120
2016-05-27,347388467
2016-05-31,345034886
2016-06-01,364804962
2016-06-02,376102147
2016-06-03,381750740
2016-06-06,389752914
2016-06-07,408581557
2016-06-08,385516469
2016-06-09,393047926
2016-06-10,391635778
2016-06-13,380338592
2016-06-14,369512122
2016-06-15,404345112
2016-06-16,391165062
2016-06-17,403874396
2016-06-20,392106494
2016-06-21,397755087
2016-06-22,394460075
2016-06-23,408110841
2016-06-24,390694346
2016-06-27,363863529
2016-06-28,372336419
2016-06-29,382692173
2016-06-30,362915092
2016-07-01,329407977
2016-07-05,313834248
2016-07-06,319025491
2016-07-07,319497422
2016-07-08,323272872
2016-07-11,329407977
2016-07-12,333655358
2016-07-13,328464115
2016-07-14,327520252
2016-07-15,330351840
2016-07-18,329407977
