,TRGP
2012-08-20,1811380000
2012-08-21,1811380000
2012-08-22,1835160000
2012-08-23,1829010000
2012-08-24,1836390000
2012-08-27,1860580000
2012-08-28,1865090000
2012-08-29,1865500000
2012-08-30,1849920000
2012-08-31,1856070000
2012-09-04,1865910000
2012-09-05,1862220000
2012-09-06,1893380000
2012-09-07,1916340000
2012-09-10,1920850000
2012-09-11,1944220000
2012-09-12,1954470000
2012-09-13,1981940000
2012-09-14,2015970000
2012-09-17,2013100000
2012-09-18,2025400000
2012-09-19,2050410000
2012-09-20,2050000000
2012-09-21,2083210000
2012-09-24,2070910000
2012-09-25,2058610000
2012-09-26,2082800000
2012-09-27,2079520000
2012-09-28,2063940000
2012-10-01,2094690000
2012-10-02,2074190000
2012-10-03,2089770000
2012-10-04,2087309999
2012-10-05,2073780000
2012-10-08,2052460000
2012-10-09,2066809999
2012-10-10,2077059999
2012-10-11,2069270000
2012-10-12,2050820000
2012-10-15,2047540000
2012-10-16,2103300000
2012-10-17,2124620000
2012-10-18,2077059999
2012-10-19,2032780000
2012-10-22,2005309999
2012-10-23,2028270000
2012-10-24,2058200000
2012-10-25,2096330000
2012-10-26,2096330000
2012-10-31,2088130000
2012-11-01,2091000000
2012-11-02,2040980000
2012-11-05,2057380000
2012-11-06,2087309999
2012-11-07,2027450000
2012-11-08,2004900000
2012-11-09,1958160000
2012-11-12,1891330000
2012-11-13,1932740000
2012-11-14,1892970000
2012-11-15,1903220000
2012-11-16,1993830000
2012-11-19,2043850000
2012-11-20,2044260000
2012-11-21,2053690000
2012-11-23,2066809999
2012-11-26,2056150000
2012-11-27,2029910000
2012-11-28,2036470000
2012-11-29,2053690000
2012-11-30,2053690000
2012-12-03,2046720000
2012-12-04,2047130000
2012-12-05,2027860000
2012-12-06,1999160000
2012-12-07,1958570000
2012-12-10,1963080000
2012-12-11,1973330000
2012-12-12,1992190000
2012-12-13,1986860000
2012-12-14,1987270000
2012-12-17,2034010000
2012-12-18,2077470000
2012-12-19,2064350000
2012-12-20,2092230000
2012-12-21,2112730000
2012-12-24,2111500000
2012-12-26,2077880000
2012-12-27,2090590000
2012-12-28,2113550000
2012-12-31,2198144000
2013-01-02,2292576000
2013-01-03,2297568000
2013-01-04,2302144000
2013-01-07,2337920000
2013-01-08,2364960000
2013-01-09,2410304000
2013-01-10,2411552000
2013-01-11,2357472000
2013-01-14,2353728000
2013-01-15,2388672000
2013-01-16,2433184000
2013-01-17,2446912000
2013-01-18,2462720000
2013-01-22,2487680000
2013-01-23,2476032000
2013-01-24,2453152000
2013-01-25,2466880000
2013-01-28,2498080000
2013-01-29,2529696000
2013-01-30,2510976000
2013-01-31,2510976000
2013-02-01,2523040000
2013-02-04,2510144000
2013-02-05,2515552000
2013-02-06,2527616000
2013-02-07,2520960000
2013-02-08,2533856000
2013-02-11,2532192000
2013-02-12,2549664000
2013-02-13,2555488000
2013-02-14,2582112000
2013-02-15,2610400000
2013-02-19,2652832000
2013-02-20,2587520000
2013-02-21,2533024000
2013-02-22,2538848000
2013-02-25,2500576000
2013-02-26,2466464000
2013-02-27,2507648000
2013-02-28,2537600000
2013-03-01,2539680000
2013-03-04,2553408000
2013-03-05,2552160000
2013-03-06,2547584000
2013-03-07,2535520000
2013-03-08,2554656000
2013-03-11,2587936000
