,PFG
2001-10-23,7329000000
2001-10-24,7730349999
2001-10-25,7660550000
2001-10-26,7503500000
2001-10-29,7398800000
2001-10-30,7691960000
2001-10-31,7852500000
2001-11-01,7660550000
2001-11-02,7740820000
2001-11-05,7678000000
2001-11-06,7887400000
2001-11-07,7625650000
2001-11-08,7615180000
2001-11-09,7538400000
2001-11-12,7671020000
2001-11-13,7625650000
2001-11-14,7590750000
2001-11-15,7653570000
2001-11-16,7765250000
2001-11-19,7793169999
2001-11-20,7929280000
2001-11-21,7981630000
2001-11-23,7810620000
2001-11-26,7793169999
2001-11-27,7817599999
2001-11-28,7957200000
2001-11-29,7985120000
2001-11-30,8009550000
2001-12-03,8009550000
2001-12-04,8009550000
2001-12-05,8096800000
2001-12-06,8184050000
2001-12-07,8184050000
2001-12-10,8149150000
2001-12-11,8198009999
2001-12-12,8253849999
2001-12-13,8194520000
2001-12-14,8403919999
2001-12-17,8267810000
2001-12-18,8267810000
2001-12-19,8204990000
2001-12-20,8229419999
2001-12-21,8156130000
2001-12-24,8166599999
2001-12-26,8131700000
2001-12-27,8218950000
2001-12-28,8208480000
2001-12-31,8649600000
2002-01-02,8588331999
2002-01-03,8559500000
2002-01-04,8631580000
2002-01-07,8595540000
2002-01-08,8678432000
2002-01-09,8613560000
2002-01-10,8721680000
2002-01-11,8649600000
2002-01-14,8642392000
2002-01-15,8577520000
2002-01-16,8541480000
2002-01-17,8714472000
2002-01-18,8721680000
2002-01-22,8822592000
2002-01-23,8577520000
2002-01-24,8703660000
2002-01-25,9240656000
2002-01-28,9370400000
2002-01-29,9359588000
2002-01-30,9190200000
2002-01-31,9172180000
2002-02-01,8793760000
2002-02-04,8559500000
2002-02-05,8379300000
2002-02-06,8620768000
2002-02-07,8649600000
2002-02-08,8934316000
2002-02-11,8779344000
2002-02-12,8937920000
2002-02-13,8919900000
2002-02-14,8779344000
2002-02-15,8667620000
2002-02-19,8498231999
2002-02-20,8487420000
2002-02-21,8361280000
2002-02-22,8109000000
2002-02-25,8357676000
2002-02-26,8541480000
2002-02-27,8808176000
2002-02-28,8779344000
2002-03-01,8937920000
2002-03-04,9107308000
2002-03-05,9028020000
2002-03-06,9010000000
2002-03-07,9082080000
2002-03-08,9028020000
2002-03-11,8991980000
2002-03-12,9010000000
2002-03-13,9017208000
2002-03-14,9161368000
2002-03-15,9190200000
2002-03-18,9190200000
2002-03-19,9197408000
2002-03-20,9298320000
2002-03-21,9291112000
2002-03-22,9298320000
2002-03-25,9172180000
2002-03-26,9190200000
2002-03-27,9251468000
2002-03-28,9118120000
2002-04-01,9139064000
2002-04-02,9207616000
2002-04-03,9182360000
2002-04-04,9416880000
2002-04-05,9748816000
2002-04-08,9900352000
2002-04-09,9965296000
2002-04-10,10023024000
2002-04-11,9741600000
2002-04-12,9849840000
2002-04-15,9633360000
2002-04-16,10102400000
2002-04-17,10192600000
2002-04-18,10239504000
2002-04-19,10160128000
2002-04-22,10279192000
2002-04-23,10012200000
2002-04-24,10030240000
2002-04-25,9777680000
2002-04-26,9849840000
2002-04-29,9914784000
2002-04-30,10030240000
2002-05-01,10001376000
2002-05-02,10066320000
2002-05-03,9756032000
2002-05-06,9831800000
2002-05-07,9644184000
2002-05-08,9994160000
2002-05-09,10091576000
2002-05-10,10051888000
2002-05-13,10138480000
2002-05-14,10210640000
2002-05-15,10253936000
2002-05-16,10391040000
2002-05-17,10416296000
2002-05-20,10437944000
2002-05-21,10567832000
2002-05-22,10575048000
2002-05-23,10354960000
2002-05-24,10445160000
2002-05-28,10647208000
2002-05-29,10589480000
2002-05-30,10524536000
2002-05-31,10968320000
2002-06-03,10499280000
2002-06-04,10308056000
2002-06-05,10358568000
2002-06-06,10409080000
2002-06-07,10344136000
2002-06-10,10549792000
2002-06-11,10517320000
2002-06-12,10805960000
2002-06-13,10997184000
2002-06-14,10935848000
