,AXP
2000-01-03,61638610000
2000-01-04,59309360000
2000-01-05,57712160000
2000-01-06,58896750000
2000-01-07,59748590000
2000-01-10,60587120000
2000-01-11,61146140000
2000-01-12,60826700000
2000-01-13,61146140000
2000-01-14,62517070000
2000-01-18,59402530000
2000-01-19,58377660000
2000-01-20,59748590000
2000-01-21,59455770000
2000-01-24,59575560000
2000-01-25,62077840000
2000-01-26,62623550000
2000-01-27,63861379999
2000-01-28,62024600000
2000-01-31,64580120000
2000-02-01,66243870000
2000-02-02,64353850000
2000-02-03,63848070000
2000-02-04,63275740000
2000-02-07,63675040000
2000-02-08,63888000000
2000-02-09,61372410000
2000-02-10,60560500000
2000-02-11,60174510000
2000-02-14,60360850000
2000-02-15,62370660000
2000-02-16,60307610000
2000-02-17,57991670000
2000-02-18,54038600000
2000-02-22,54531070000
2000-02-23,54145080000
2000-02-24,50950680000
2000-02-25,48900940000
2000-02-28,51988860000
2000-02-29,52601120000
2000-03-01,53106900000
2000-03-02,52348230000
2000-03-03,52334920000
2000-03-06,50657860000
2000-03-07,49539820000
2000-03-08,48115650000
2000-03-09,48115650000
2000-03-10,49659610000
2000-03-13,49606370000
2000-03-14,50338420000
2000-03-15,52082030000
2000-03-16,56341230000
2000-03-17,56301300000
2000-03-20,55662420000
2000-03-21,57179760000
2000-03-22,57911810000
2000-03-23,61146140000
2000-03-24,60999730000
2000-03-27,58989920000
2000-03-28,59775209999
2000-03-29,59429150000
2000-03-30,58404280000
2000-03-31,58246080000
2000-04-03,60809120000
2000-04-04,57489120000
2000-04-05,56506400000
2000-04-06,55138560000
2000-04-07,54381600000
2000-04-10,56001760000
2000-04-11,56785280000
2000-04-12,58963200000
2000-04-13,57104000000
2000-04-14,52402880000
2000-04-17,52402880000
2000-04-18,54726880000
2000-04-19,54554240000
2000-04-20,55922080000
2000-04-24,58684320000
2000-04-25,61791840000
2000-04-26,60477120000
2000-04-27,60623200000
2000-04-28,58471840000
2000-05-01,59202240000
2000-05-02,57900800000
2000-05-03,55536960000
2000-05-04,56612640000
2000-05-05,57143840000
2000-05-08,59467840000
2000-05-09,57887520000
2000-05-10,56068160000
2000-05-11,58073439999
2000-05-12,58963200000
2000-05-15,61234080000
2000-05-16,59985760000
2000-05-17,59760000000
2000-05-18,60795840000
2000-05-19,59029600000
2000-05-22,58219520000
2000-05-23,59547520000
2000-05-24,58671040000
2000-05-25,57343040000
2000-05-26,57568800000
2000-05-30,59401439999
2000-05-31,63358880000
2000-06-01,63212800000
2000-06-02,66293760000
2000-06-05,65257920000
2000-06-06,63358880000
2000-06-07,66214080000
2000-06-08,64607200000
2000-06-09,63133120000
2000-06-12,62987040000
2000-06-13,63943200000
2000-06-14,66732000000
2000-06-15,65111840000
2000-06-16,60424000000
2000-06-19,62774560000
2000-06-20,63358880000
2000-06-21,61738720000
2000-06-22,62694880000
2000-06-23,62920640000
2000-06-26,65921920000
2000-06-27,63571360000
2000-06-28,62402720000
2000-06-29,61526240000
2000-06-30,61062300000
2000-07-03,61354020000
2000-07-05,61062300000
2000-07-06,60850140000
2000-07-07,62971740000
2000-07-10,64284479999
2000-07-11,63329760000
2000-07-12,64430340000
2000-07-13,64364040000
2000-07-14,66843659999
2000-07-17,65756340000
2000-07-18,64655760000
2000-07-19,64509900000
2000-07-20,66843659999
2000-07-21,69416100000
2000-07-24,66697800000
2000-07-25,65464620000
2000-07-26,65159640000
2000-07-27,68315520000
2000-07-28,65318760000
2000-07-31,66406080000
2000-08-01,66551940000
2000-08-02,67214940000
2000-08-03,67944240000
2000-08-04,70211700000
2000-08-07,68898960000
2000-08-08,68832660000
2000-08-09,69853680000
2000-08-10,68753100000
2000-08-11,69999540000
2000-08-14,70516680000
2000-08-15,69336540000
2000-08-16,67148640000
2000-08-17,68527680000
2000-08-18,68527680000
2000-08-21,69270240000
2000-08-22,67877940000
2000-08-23,67148640000
2000-08-24,66193920000
2000-08-25,66260220000
2000-08-28,70145400000
2000-08-29,69416100000
2000-08-30,69044820000
2000-08-31,69270240000
2000-09-01,68461380000
2000-09-05,69999540000
2000-09-06,69919980000
2000-09-07,69482400000
2000-09-08,71020560000
2000-09-11,72412860000
2000-09-12,72492420000
2000-09-13,71829420000
2000-09-14,71245980000
2000-09-15,69482400000
2000-09-18,67944240000
2000-09-19,68607240000
2000-09-20,67944240000
2000-09-21,68235960000
2000-09-22,68832660000
2000-09-25,70291260000
2000-09-26,69774120000
2000-09-27,68686800000
2000-09-28,71391840000
2000-09-29,71166420000
2000-10-02,73638180000
2000-10-03,71891820000
2000-10-04,71150940000
2000-10-05,71296470000
2000-10-06,67724370000
2000-10-09,66189690000
2000-10-10,64866690000
2000-10-11,63556920000
2000-10-12,60633090000
2000-10-13,63040950000
2000-10-16,65170980000
2000-10-17,62829270000
2000-10-18,63411390000
2000-10-19,65528190000
2000-10-20,65528190000
2000-10-23,63556920000
2000-10-24,66771810000
2000-10-25,67062870000
2000-10-26,63636300000
2000-10-27,65237130000
2000-10-30,68306490000
2000-10-31,70132230000
2000-11-01,68227110000
2000-11-02,67353929999
2000-11-03,69695640000
2000-11-06,70859880000
2000-11-07,71230320000
2000-11-08,67790520000
2000-11-09,68081580000
2000-11-10,66692429999
2000-11-13,65316510000
2000-11-14,66996720000
2000-11-15,67433310000
2000-11-16,67499460000
2000-11-17,65528190000
2000-11-20,61506270000
2000-11-21,62247150000
2000-11-22,60566940000
2000-11-24,60050970000
2000-11-27,61956090000
2000-11-28,64430100000
2000-11-29,66546900000
2000-11-30,64218420000
2000-12-01,63411390000
2000-12-04,60778620000
2000-12-05,63120330000
2000-12-06,62829270000
2000-12-07,62458830000
2000-12-08,64072890000
2000-12-11,66044160000
2000-12-12,65673720000
2000-12-13,66044160000
2000-12-14,64800539999
2000-12-15,63847980000
2000-12-18,66335220000
2000-12-19,64218420000
2000-12-20,60130350000
2000-12-21,61440120000
2000-12-22,62167770000
2000-12-26,62247150000
2000-12-27,62167770000
2000-12-28,63120330000
2000-12-29,64218420000
2001-01-02,60778620000
2001-01-03,65382660000
2001-01-04,63332010000
2001-01-05,60275880000
2001-01-08,57206520000
2001-01-09,54864810000
2001-01-10,54573750000
2001-01-11,55962900000
2001-01-12,56029050000
2001-01-16,56465640000
2001-01-17,57788640000
2001-01-18,58000320000
2001-01-19,56836080000
2001-01-22,52602480000
2001-01-23,54348840000
2001-01-24,54057780000
2001-01-25,54203310000
2001-01-26,54494370000
2001-01-29,55645380000
2001-01-30,56002590000
2001-01-31,55050030000
2001-02-01,55513080000
2001-02-02,56240730000
2001-02-05,56584710000
2001-02-06,54930960000
2001-02-07,54203310000
2001-02-08,55050030000
2001-02-09,54970650000
2001-02-12,56240730000
2001-02-13,54679590000
2001-02-14,54520830000
2001-02-15,54772200000
2001-02-16,55195560000
2001-02-20,53740260000
2001-02-21,51398550000
2001-02-22,52020360000
2001-02-23,52483410000
2001-02-26,52827390000
2001-02-27,53118450000
2001-02-28,51292710000
2001-03-01,50260770000
2001-03-02,51133950000
2001-03-05,50604750000
2001-03-06,50247539999
2001-03-07,51663150000
2001-03-08,51927750000
2001-03-09,49943250000
2001-03-12,47217870000
2001-03-13,48659940000
2001-03-14,44982000000
2001-03-15,46516679999
2001-03-16,44624789999
2001-03-19,45299520000
2001-03-20,43566390000
2001-03-21,40893930000
2001-03-22,40563180000
2001-03-23,43010730000
2001-03-26,44161740000
2001-03-27,46344690000
2001-03-28,45603810000
2001-03-29,45537660000
2001-03-30,48276270000
2001-04-02,46340680000
2001-04-03,44332760000
2001-04-04,42245580000
2001-04-05,44715850000
2001-04-06,42840030000
2001-04-09,43328800000
2001-04-10,44544120000
2001-04-11,44874370000
2001-04-12,45733020000
2001-04-16,44966840000
2001-04-17,45495240000
2001-04-18,49696020000
2001-04-19,50145160000
2001-04-20,48441070000
2001-04-23,47278590000
2001-04-24,47556000000
2001-04-25,47965510000
2001-04-26,48903420000
2001-04-27,51043440000
2001-04-30,49537500000
2001-05-01,49312930000
2001-05-02,50462200000
2001-05-03,49550710000
2001-05-04,51175540000
2001-05-07,50448990000
2001-05-08,48203290000
2001-05-09,48546750000
2001-05-10,49999850000
2001-05-11,49339350000
2001-05-14,49497870000
2001-05-15,48837370000
2001-05-16,51703940000
2001-05-17,51769990000
2001-05-18,51003810000
2001-05-21,52509750000
2001-05-22,53751490000
2001-05-23,52166290000
2001-05-24,52047400000
2001-05-25,50567880000
2001-05-29,49497870000
2001-05-30,49339350000
2001-05-31,49154410000
2001-06-01,49458240000
2001-06-04,49880960000
2001-06-05,49722440000
2001-06-06,48877000000
2001-06-07,48031560000
2001-06-08,47833410000
2001-06-11,48335390000
2001-06-12,48784530000
2001-06-13,48454280000
2001-06-14,46419940000
2001-06-15,45442400000
2001-06-18,44980050000
2001-06-19,45098940000
2001-06-20,46050060000
2001-06-21,47146490000
2001-06-22,47556000000
2001-06-25,46538829999
2001-06-26,45521660000
2001-06-27,44636590000
2001-06-28,46063270000
2001-06-29,45283880000
2001-07-02,46220839999
2001-07-03,46723960000
2001-07-05,46194360000
2001-07-06,44777680000
2001-07-09,44685000000
2001-07-10,43281560000
2001-07-11,43665519999
2001-07-12,45055720000
2001-07-13,46035480000
2001-07-16,44870360000
2001-07-17,45360240000
2001-07-18,43864120000
2001-07-19,44446680000
2001-07-20,44433440000
2001-07-23,44605560000
2001-07-24,44221600000
2001-07-25,44526120000
2001-07-26,45347000000
2001-07-27,46194360000
2001-07-30,46432680000
2001-07-31,47174120000
2001-08-01,48537839999
2001-08-02,48445160000
2001-08-03,47319760000
2001-08-06,46538600000
2001-08-07,46988760000
2001-08-08,46538600000
2001-08-09,46565080000
2001-08-10,46618040000
2001-08-13,46737200000
2001-08-14,46075200000
2001-08-15,45227839999
2001-08-16,44632040000
2001-08-17,43864120000
2001-08-20,44632040000
2001-08-21,42818160000
2001-08-22,43546360000
2001-08-23,44089200000
2001-08-24,44698240000
2001-08-27,44486400000
2001-08-28,43294800000
2001-08-29,43281560000
2001-08-30,42050240000
2001-08-31,42606320000
2001-09-04,42632800000
2001-09-05,42963800000
2001-09-06,41269080000
2001-09-07,40474680000
2001-09-10,40951320000
2001-09-17,35390520000
2001-09-18,32027560000
2001-09-19,30412280000
2001-09-20,30650600000
2001-09-21,29962120000
2001-09-24,32186440000
2001-09-25,31497960000
2001-09-26,31908400000
2001-09-27,32120240000
2001-09-28,33987080000
2001-10-01,34397000000
2001-10-02,33946500000
2001-10-03,35046250000
2001-10-04,33814000000
2001-10-05,32528750000
2001-10-08,32117999999
2001-10-09,33946500000
2001-10-10,34556000000
2001-10-11,35125750000
2001-10-12,35112500000
2001-10-15,36159250000
2001-10-16,36636250000
2001-10-17,35178750000
2001-10-18,35218500000
2001-10-19,34317500000
2001-10-22,35496750000
2001-10-23,35417250000
2001-10-24,35112500000
2001-10-25,35907500000
