,KEYS
2014-10-20,4717750000
2014-10-21,4727770000
2014-10-22,4801250000
2014-10-23,4884750000
2014-10-24,4968250000
2014-10-27,5026700000
2014-10-28,5118550000
2014-10-29,5010000000
2014-10-30,5051750000
2014-10-31,5292000000
2014-11-03,5233200000
2014-11-04,5066880000
2014-11-05,5070240000
2014-11-06,5048400000
2014-11-07,4992960000
2014-11-10,5003040000
2014-11-11,5046720000
2014-11-12,5179440000
2014-11-13,5108880000
2014-11-14,5157600000
2014-11-17,5216400000
2014-11-18,5208000000
2014-11-19,5202960000
2014-11-20,5276880000
2014-11-21,5426399999
2014-11-24,5544000000
2014-11-25,5518800000
2014-11-26,5745600000
2014-11-28,5913600000
2014-12-01,5863200000
2014-12-02,5843040000
2014-12-03,5764080000
2014-12-04,5735520000
2014-12-05,5728800000
2014-12-08,5743920000
2014-12-09,5670000000
2014-12-10,5622960000
2014-12-11,5626320000
2014-12-12,5520480000
2014-12-15,5523840000
2014-12-16,5525520000
2014-12-17,5683440000
2014-12-18,5730480000
2014-12-19,5708639999
2014-12-22,5701920000
2014-12-23,5649840000
2014-12-24,5678399999
2014-12-26,5666639999
2014-12-29,5696879999
2014-12-30,5691840000
2014-12-31,5673360000
2015-01-02,5614560000
2015-01-05,5634720000
2015-01-06,5646480000
2015-01-07,5691840000
2015-01-08,5732160000
2015-01-09,5705280000
2015-01-12,5789280000
2015-01-13,5827920000
2015-01-14,5868240000
2015-01-15,5790960000
2015-01-16,5873280000
2015-01-20,5866560000
2015-01-21,6004320000
2015-01-22,6011040000
2015-01-23,5858160000
2015-01-26,5767440000
2015-01-27,5666639999
2015-01-28,5601120000
2015-01-29,5658240000
2015-01-30,5609520000
2015-02-02,5801770000
2015-02-03,5754449999
2015-02-04,5781490000
2015-02-05,5849090000
2015-02-06,5928520000
2015-02-09,5909930000
2015-02-10,6043440000
2015-02-11,6011330000
2015-02-12,6121180000
2015-02-13,6166810000
2015-02-17,6171880000
2015-02-18,6168500000
2015-02-19,6305390000
2015-02-20,6303699999
2015-02-23,6200610000
2015-02-24,6352710000
2015-02-25,6303699999
2015-02-26,6327360000
2015-02-27,6344260000
2015-03-02,6401720000
2015-03-03,6342570000
2015-03-04,6367920000
2015-03-05,6310460000
2015-03-06,6274970000
2015-03-09,6318910000
2015-03-10,6214130000
2015-03-11,6293560000
2015-03-12,6308770000
2015-03-13,6295250000
2015-03-16,6411860000
2015-03-17,6454110000
2015-03-18,6543680000
2015-03-19,6543680000
2015-03-20,6547060000
2015-03-23,6572410000
2015-03-24,6536920000
2015-03-25,6296940000
2015-03-26,6205680000
2015-03-27,6129630000
2015-03-30,6104280000
2015-03-31,6278350000
2015-04-01,6187090000
2015-04-02,6217510000
2015-04-06,6207369999
2015-04-07,6148220000
2015-04-08,6166810000
2015-04-09,6283420000
2015-04-10,6261449999
2015-04-13,6183710000
2015-04-14,6109350000
2015-04-15,6116110000
2015-04-16,6095830000
2015-04-17,5975840000
2015-04-20,6105970000
2015-04-21,6119490000
2015-04-22,6085690000
2015-04-23,5989360000
2015-04-24,5913310000
2015-04-27,5803460000
2015-04-28,5735860000
2015-04-29,5708820000
2015-04-30,5654740000
2015-05-01,5680090000
2015-05-04,5827119999
2015-05-05,5746000000
2015-05-06,5686850000
2015-05-07,5730789999
2015-05-08,5844020000
2015-05-11,5918380000
2015-05-12,5874440000
2015-05-13,5957250000
2015-05-14,5947110000
2015-05-15,5970770000
2015-05-18,6121180000
2015-05-19,5913310000
2015-05-20,5472220000
2015-05-21,5582070000
2015-05-22,5590520000
2015-05-26,5511090000
2015-05-27,5571930000
2015-05-28,5560100000
2015-05-29,5553340000
2015-06-01,5549960000
2015-06-02,5571930000
2015-06-03,5614180000
2015-06-04,5556720000
2015-06-05,5558410000
2015-06-08,5538130000
2015-06-09,5553340000
2015-06-10,5595590000
2015-06-11,5602350000
2015-06-12,5582070000
2015-06-15,5512780000
2015-06-16,5512780000
2015-06-17,5578690000
2015-06-18,5644600000
2015-06-19,5626010000
2015-06-22,5661500000
2015-06-23,5558410000
2015-06-24,5485740000
2015-06-25,5435039999
2015-06-26,5450250000
2015-06-29,5306600000
2015-06-30,5271110000
2015-07-01,5281250000
2015-07-02,5318430000
2015-07-06,5281250000
2015-07-07,5277870000
2015-07-08,5134220000
2015-07-09,5124080000
2015-07-10,5129150000
2015-07-13,5195060000
2015-07-14,5227170000
2015-07-15,5156190000
2015-07-16,5203510000
2015-07-17,5164640000
2015-07-20,5198440000
2015-07-21,5140980000
2015-07-22,5195060000
2015-07-23,5120700000
2015-07-24,5080140000
2015-07-27,5015920000
2015-07-28,5080140000
2015-07-29,5152810000
2015-07-30,5178160000
2015-07-31,5191800000
2015-08-03,5183300000
2015-08-04,5169700000
2015-08-05,5159500000
2015-08-06,5052400000
2015-08-07,5076200000
2015-08-10,5208800000
2015-08-11,5113600000
2015-08-12,5079600000
2015-08-13,5084700000
2015-08-14,5162900000
2015-08-17,5164600000
2015-08-18,5100000000
2015-08-19,5021800000
2015-08-20,5570900000
2015-08-21,5499500000
2015-08-24,5200300000
2015-08-25,5159500000
2015-08-26,5280200000
2015-08-27,5383900000
2015-08-28,5426400000
2015-08-31,5446800000
2015-09-01,5312500000
2015-09-02,5412800000
2015-09-03,5543700000
2015-09-04,5480800000
2015-09-08,5625300000
2015-09-09,5562400000
