,ACGL
2001-02-27,204841828
2001-02-28,204841828
2001-03-01,204841828
2001-03-02,200238641
2001-03-05,204841828
2001-03-06,202540235
2001-03-07,204841828
2001-03-08,204841828
2001-03-09,204841828
2001-03-12,202540235
2001-03-13,202540235
2001-03-14,202540235
2001-03-15,204841828
2001-03-16,200238641
2001-03-19,201389438
2001-03-20,201389438
2001-03-21,204841828
2001-03-22,204841828
2001-03-23,200238641
2001-03-26,193333860
2001-03-27,196786251
2001-03-28,205992625
2001-03-29,204841828
2001-03-30,202540235
2001-04-02,194023786
2001-04-03,195178689
2001-04-04,198643400
2001-04-05,192868882
2001-04-06,200953207
2001-04-09,200953207
2001-04-10,202108110
2001-04-11,202108110
2001-04-12,199798303
2001-04-16,195178689
2001-04-17,200953207
2001-04-18,205572821
2001-04-19,197488496
2001-04-20,198643400
2001-04-23,199798303
2001-04-24,202108110
2001-04-25,202108110
2001-04-26,204417917
2001-04-27,203263014
2001-04-30,203263014
2001-05-01,205572821
2001-05-02,200953207
2001-05-03,203263014
2001-05-04,202108110
2001-05-07,204417917
2001-05-08,196333593
2001-05-09,195178689
2001-05-10,204417917
2001-05-11,204417917
2001-05-14,203263014
2001-05-15,203263014
2001-05-16,209037531
2001-05-17,209037531
2001-05-18,210192435
2001-05-21,209037531
2001-05-22,209037531
2001-05-23,213657145
2001-05-24,210192435
2001-05-25,209037531
2001-05-29,214812049
2001-05-30,213657145
2001-05-31,214812049
2001-06-01,214812049
2001-06-04,214812049
2001-06-05,217121856
2001-06-06,215966952
2001-06-07,215966952
2001-06-08,215966952
2001-06-11,202108110
2001-06-12,205572821
2001-06-13,210192435
2001-06-14,209037531
2001-06-15,205572821
2001-06-18,205572821
2001-06-19,203263014
2001-06-20,199798303
2001-06-21,202108110
2001-06-22,205572821
2001-06-25,214812049
2001-06-26,213657145
2001-06-27,214812049
2001-06-28,206727724
2001-06-29,202108110
2001-07-02,216514415
2001-07-03,216514415
2001-07-05,216514415
2001-07-06,216514415
2001-07-09,216514415
2001-07-10,216514415
2001-07-11,216514415
2001-07-12,217672246
2001-07-13,216514415
2001-07-16,222303571
2001-07-17,219987909
2001-07-18,218830077
2001-07-19,229250557
2001-07-20,230408388
2001-07-23,226934895
2001-07-24,229250557
2001-07-25,228092726
2001-07-26,219987909
2001-07-27,217672246
2001-07-30,216514415
2001-07-31,216514415
2001-08-01,216514415
2001-08-02,216514415
2001-08-03,216514415
2001-08-06,219987909
2001-08-07,229250557
2001-08-08,229250557
2001-08-09,216514415
2001-08-10,216514415
2001-08-13,224619233
2001-08-14,218830077
2001-08-15,219987909
2001-08-16,219987909
2001-08-17,219987909
2001-08-20,226934895
2001-08-21,223461402
2001-08-22,225777064
2001-08-23,223461402
2001-08-24,224619233
2001-08-27,222303571
2001-08-28,218830077
2001-08-29,218830077
2001-08-30,222303571
2001-08-31,228092726
2001-09-04,228092726
2001-09-05,235039713
2001-09-06,233881882
2001-09-07,235039713
2001-09-10,246618024
2001-09-17,232724051
2001-09-18,228092726
2001-09-19,226934895
2001-09-20,221145740
2001-09-21,206093935
2001-09-24,209567429
2001-09-25,219987909
2001-09-26,217672246
2001-09-27,216514415
2001-09-28,215356584
2001-10-01,214416852
2001-10-02,215588529
2001-10-03,215588529
2001-10-04,214416852
2001-10-05,221446913
2001-10-08,221446913
2001-10-09,215588529
2001-10-10,217931882
2001-10-11,217931882
2001-10-12,213245175
2001-10-15,217931882
2001-10-16,221446913
2001-10-17,217931882
2001-10-18,217931882
2001-10-19,221446913
2001-10-22,221446913
2001-10-23,227305297
2001-10-24,315181056
2001-10-25,312837702
2001-10-26,303464288
2001-10-29,305807642
2001-10-30,303464288
2001-10-31,305807642
2001-11-01,309322672
2001-11-02,309322672
2001-11-05,309322672
2001-11-06,309322672
2001-11-07,302292611
2001-11-08,304635965
2001-11-09,299949258
2001-11-12,305807642
2001-11-13,302292611
2001-11-14,299949258
2001-11-15,299949258
2001-11-16,309322672
2001-11-19,309322672
2001-11-20,303464288
2001-11-21,306979318
2001-11-23,301120935
2001-11-26,306979318
2001-11-27,306979318
2001-11-28,309322672
2001-11-29,309322672
2001-11-30,308150995
2001-12-03,308150995
2001-12-04,308150995
2001-12-05,306979318
2001-12-06,315181056
2001-12-07,305807642
2001-12-10,308150995
2001-12-11,308150995
2001-12-12,309322672
2001-12-13,309322672
2001-12-14,315181056
2001-12-17,312837702
2001-12-18,309322672
2001-12-19,309322672
2001-12-20,315181056
2001-12-21,317524410
2001-12-24,315181056
2001-12-26,323382794
2001-12-27,332756208
2001-12-28,332756208
2001-12-31,335099561
2002-01-02,345644653
2002-01-03,352674713
2002-01-04,349159683
2002-01-07,351503037
2002-01-08,358533097
2002-01-09,363219804
2002-01-10,355018067
2002-01-11,356189744
2002-01-14,360876451
2002-01-15,344472976
