,WRB
2000-01-03,346540921
2000-01-04,334892486
2000-01-05,329068269
2000-01-06,349453029
2000-01-07,343628812
2000-01-10,340716703
2000-01-11,334892486
2000-01-12,334892486
2000-01-13,331980378
2000-01-14,326156160
2000-01-18,331980378
2000-01-19,334892486
2000-01-20,317419835
2000-01-21,308683509
2000-01-24,314507726
2000-01-25,289751891
2000-01-26,305771400
2000-01-27,311595618
2000-01-28,299947183
2000-01-31,297035075
2000-02-01,294122966
2000-02-02,294122966
2000-02-03,294122966
2000-02-04,289751891
2000-02-07,285491476
2000-02-08,282296893
2000-02-09,269512736
2000-02-10,264186490
2000-02-11,260988995
2000-02-14,259926075
2000-02-15,255662748
2000-02-16,255662748
2000-02-17,259926075
2000-02-18,260988995
2000-02-22,273773151
2000-02-23,268446905
2000-02-24,268446905
2000-02-25,279099398
2000-02-28,273773151
2000-02-29,273773151
2000-03-01,266315241
2000-03-02,266315241
2000-03-03,262054826
2000-03-06,262054826
2000-03-07,255132744
2000-03-08,249273582
2000-03-09,251402333
2000-03-10,255662748
2000-03-13,251402333
2000-03-14,253533997
2000-03-15,254599828
2000-03-16,272707320
2000-03-17,268446905
2000-03-20,271641488
2000-03-21,279099398
2000-03-22,279099398
2000-03-23,287623140
2000-03-24,302859292
2000-03-27,305771400
2000-03-28,305771400
2000-03-29,326156160
2000-03-30,378574115
2000-03-31,393982924
2000-04-03,393982924
2000-04-04,385227747
2000-04-05,376472571
2000-04-06,376472571
2000-04-07,382309355
2000-04-10,376472571
2000-04-11,376472571
2000-04-12,370635787
2000-04-13,370635787
2000-04-14,350207043
2000-04-17,358962219
2000-04-18,358962219
2000-04-19,353125435
2000-04-20,356043827
2000-04-24,356043827
2000-04-25,367717395
2000-04-26,361880611
2000-04-27,358962219
2000-04-28,361880611
2000-05-01,376472571
2000-05-02,379390963
2000-05-03,376472571
2000-05-04,373554179
2000-05-05,376472571
2000-05-08,367717395
2000-05-09,367717395
2000-05-10,358962219
2000-05-11,364799003
2000-05-12,376472571
2000-05-15,385227747
2000-05-16,382309355
2000-05-17,367717395
2000-05-18,364799003
2000-05-19,361880611
2000-05-22,370635787
2000-05-23,370635787
2000-05-24,367717395
2000-05-25,364799003
2000-05-26,370635787
2000-05-30,373554179
2000-05-31,376472571
2000-06-01,376472571
2000-06-02,376472571
2000-06-05,376472571
2000-06-06,367717395
2000-06-07,367717395
2000-06-08,364799003
2000-06-09,361880611
2000-06-12,361880611
2000-06-13,364799003
2000-06-14,364799003
2000-06-15,361880611
2000-06-16,361880611
2000-06-19,353125435
2000-06-20,344370259
2000-06-21,344370259
2000-06-22,338533475
2000-06-23,335615083
2000-06-26,338533475
2000-06-27,332696691
2000-06-28,329778299
2000-06-29,323941515
2000-06-30,319206318
2000-07-03,319206318
2000-07-05,313402566
2000-07-06,322108193
2000-07-07,327911945
2000-07-10,330813820
2000-07-11,330813820
2000-07-12,339519447
2000-07-13,336617571
2000-07-14,339519447
2000-07-17,342421323
2000-07-18,342421323
2000-07-19,339519447
2000-07-20,336617571
2000-07-21,336617571
2000-07-24,339519447
2000-07-25,342421323
2000-07-26,388851333
2000-07-27,400458835
2000-07-28,406262586
2000-07-31,412066338
2000-08-01,435281343
2000-08-02,435281343
2000-08-03,423673840
2000-08-04,420771964
2000-08-07,412066338
2000-08-08,409164462
2000-08-09,412066338
2000-08-10,409164462
2000-08-11,412066338
2000-08-14,406262586
2000-08-15,406262586
2000-08-16,403360711
2000-08-17,400458835
2000-08-18,397556959
2000-08-21,391753208
2000-08-22,400458835
2000-08-23,403360711
2000-08-24,412066338
2000-08-25,426575716
2000-08-28,423673840
2000-08-29,432379467
2000-08-30,441085094
2000-08-31,449790721
2000-09-01,443986969
2000-09-05,449790721
2000-09-06,441085094
2000-09-07,446888845
2000-09-08,475907601
2000-09-11,478809477
2000-09-12,490416979
2000-09-13,513631984
2000-09-14,510730109
2000-09-15,516533860
2000-09-18,504926357
2000-09-19,522337611
2000-09-20,525239487
2000-09-21,522337611
2000-09-22,525239487
2000-09-25,542650740
2000-09-26,562963870
2000-09-27,580375124
2000-09-28,580375124
2000-09-29,586178875
2000-10-02,597330897
2000-10-03,594359102
2000-10-04,600302693
2000-10-05,591387306
2000-10-06,588415510
2000-10-09,561669351
2000-10-10,543838578
2000-10-11,567612942
2000-10-12,546810373
2000-10-13,570584737
2000-10-16,588415510
2000-10-17,594359102
2000-10-18,591387306
2000-10-19,594359102
2000-10-20,588415510
2000-10-23,591387306
2000-10-24,594359102
2000-10-25,591387306
2000-10-26,594359102
2000-10-27,594359102
2000-10-30,635964239
2000-10-31,591387306
2000-11-01,588415510
2000-11-02,591387306
2000-11-03,606246284
2000-11-06,618133466
2000-11-07,621105261
2000-11-08,621105261
2000-11-09,627048852
2000-11-10,630020648
2000-11-13,632992443
2000-11-14,662710398
2000-11-15,659738603
2000-11-16,659738603
2000-11-17,650823216
2000-11-20,659738603
2000-11-21,659738603
2000-11-22,644879625
2000-11-24,668653989
2000-11-27,635964239
2000-11-28,659738603
2000-11-29,668653989
2000-11-30,624077057
2000-12-01,653795012
2000-12-04,671625785
2000-12-05,680541171
2000-12-06,683512967
2000-12-07,683512967
2000-12-08,695400149
2000-12-11,713230922
2000-12-12,701343740
2000-12-13,698371944
2000-12-14,692428353
2000-12-15,698371944
2000-12-18,734033490
2000-12-19,722146308
2000-12-20,734033490
2000-12-21,763751446
2000-12-22,799412992
2000-12-26,823187356
2000-12-27,820215560
2000-12-28,823187356
2000-12-29,820215560
2001-01-02,838017051
2001-01-03,825738413
2001-01-04,715230670
2001-01-05,727509308
2001-01-08,752066584
2001-01-09,727509308
2001-01-10,709091351
2001-01-11,748996925
2001-01-12,724439649
2001-01-16,733648627
2001-01-17,727509308
2001-01-18,702952032
2001-01-19,684534075
2001-01-22,669185777
2001-01-23,653837479
2001-01-24,675325096
2001-01-25,663046458
2001-01-26,659976798
2001-01-29,659976798
2001-01-30,666116118
2001-01-31,629280203
2001-02-01,632349863
2001-02-02,644628501
2001-02-05,644628501
2001-02-06,644628501
2001-02-07,672255437
2001-02-08,699882372
2001-02-09,706021691
2001-02-12,736718287
2001-02-13,755136244
2001-02-14,748996925
2001-02-15,727509308
2001-02-16,758205903
2001-02-20,745927265
2001-02-21,739787946
2001-02-22,739787946
2001-02-23,764345222
2001-02-26,782763180
2001-02-27,785832839
2001-02-28,767414882
2001-03-01,791972158
2001-03-02,828808073
2001-03-05,828808073
2001-03-06,838017051
2001-03-07,844156370
2001-03-08,844156370
2001-03-09,865643987
2001-03-12,841086711
2001-03-13,847226030
2001-03-14,844156370
2001-03-15,838017051
2001-03-16,822668754
2001-03-19,822668754
2001-03-20,831877732
2001-03-21,825738413
2001-03-22,795041818
2001-03-23,831877732
2001-03-26,844156370
2001-03-27,831877732
2001-03-28,822668754
2001-03-29,807320456
2001-03-30,810390115
2001-04-02,868463393
2001-04-03,858556966
2001-04-04,845348398
2001-04-05,858556966
2001-04-06,832139829
2001-04-09,845348398
2001-04-10,855254824
2001-04-11,832139829
2001-04-12,825535545
2001-04-16,835441971
2001-04-17,842046255
2001-04-18,835441971
2001-04-19,812326976
2001-04-20,795816265
2001-04-23,772701270
2001-04-24,749586274
2001-04-25,769399127
2001-04-26,792514123
2001-04-27,795816265
2001-04-30,782607696
2001-05-01,789211981
2001-05-02,795816265
2001-05-03,779305554
2001-05-04,802420549
2001-05-07,792514123
2001-05-08,795816265
2001-05-09,789211981
2001-05-10,779305554
2001-05-11,772701270
2001-05-14,769399127
2001-05-15,762794843
2001-05-16,772701270
2001-05-17,766096985
2001-05-18,766096985
2001-05-21,769399127
2001-05-22,742981990
2001-05-23,739679848
2001-05-24,772701270
2001-05-25,772701270
2001-05-29,818931260
2001-05-30,818931260
2001-05-31,842046255
2001-06-01,835441971
2001-06-04,851952682
2001-06-05,855254824
2001-06-06,858556966
2001-06-07,851952682
2001-06-08,848650540
2001-06-11,845348398
2001-06-12,842046255
2001-06-13,845348398
2001-06-14,825535545
2001-06-15,825535545
2001-06-18,812326976
2001-06-19,805722691
2001-06-20,799118407
2001-06-21,792514123
2001-06-22,785909838
2001-06-25,756190559
2001-06-26,769399127
2001-06-27,782607696
2001-06-28,802420549
2001-06-29,799118407
2001-07-02,794127036
2001-07-03,790818173
2001-07-05,777582722
2001-07-06,770964997
2001-07-09,777582722
2001-07-10,767656134
2001-07-11,777582722
2001-07-12,784200448
2001-07-13,784200448
2001-07-16,780891585
2001-07-17,790818173
2001-07-18,780891585
2001-07-19,761038409
2001-07-20,747802958
2001-07-23,757729546
2001-07-24,757729546
2001-07-25,751111821
2001-07-26,754420684
2001-07-27,800744761
2001-07-30,804053623
2001-07-31,810671349
2001-08-01,813980211
2001-08-02,804053623
2001-08-03,804053623
2001-08-06,794127036
2001-08-07,784200448
2001-08-08,780891585
2001-08-09,764347272
2001-08-10,757729546
2001-08-13,744494096
2001-08-14,754420684
2001-08-15,757729546
2001-08-16,754420684
2001-08-17,751111821
2001-08-20,754420684
2001-08-21,761038409
2001-08-22,777582722
2001-08-23,770964997
2001-08-24,774273860
2001-08-27,770964997
2001-08-28,751111821
2001-08-29,754420684
2001-08-30,741185233
2001-08-31,737876370
2001-09-04,751111821
2001-09-05,761038409
2001-09-06,751111821
2001-09-07,757729546
2001-09-10,754420684
2001-09-17,777582722
2001-09-18,787509310
2001-09-19,794127036
2001-09-20,780891585
2001-09-21,770964997
2001-09-24,770964997
2001-09-25,784200448
2001-09-26,830524525
2001-09-27,847068838
2001-09-28,929790404
2001-10-01,1015659992
2001-10-02,1015659992
2001-10-03,1048541071
2001-10-04,1048541071
2001-10-05,1022966898
2001-10-08,1012006539
2001-10-09,1048541071
2001-10-10,1092382509
2001-10-11,1048541071
2001-10-12,1070461790
2001-10-15,1103342869
2001-10-16,1150837761
2001-10-17,1128917041
2001-10-18,1117956682
2001-10-19,1128917041
2001-10-22,1176411933
2001-10-23,1158144667
2001-10-24,1150837761
2001-10-25,1176411933
2001-10-26,1187372293
2001-10-29,1150837761
2001-10-30,1161798120
2001-10-31,1136223948
2001-11-01,1154491214
2001-11-02,1231213731
2001-11-05,1220253372
2001-11-06,1245827544
2001-11-07,1231213731
