,UNM
2000-01-03,7325446415
2000-01-04,7190946415
2000-01-05,6950767844
2000-01-06,7099678558
2000-01-07,7205357130
2000-01-10,7176535701
2000-01-11,7085267844
2000-01-12,6996401773
2000-01-13,7056446415
2000-01-14,7070857130
2000-01-18,7056446415
2000-01-19,6979589273
2000-01-20,6636133916
2000-01-21,6424776774
2000-01-24,6410366059
2000-01-25,6395955345
2000-01-26,6604910702
2000-01-27,6350321417
2000-01-28,6230232131
2000-01-31,6424776774
2000-02-01,6319098203
2000-02-02,6230232131
2000-02-03,6350321417
2000-02-04,6364732131
2000-02-07,6319098203
2000-02-08,6199008917
2000-02-09,6170187488
2000-02-10,3753991064
2000-02-11,3513812493
2000-02-14,3408133922
2000-02-15,3227999994
2000-02-16,3213589279
2000-02-17,3573857136
2000-02-18,3422544636
2000-02-22,3453767850
2000-02-23,3333678565
2000-02-24,3242410708
2000-02-25,3348089279
2000-02-28,3348089279
2000-02-29,3213589279
2000-03-01,3422544636
2000-03-02,3362499994
2000-03-03,3348089279
2000-03-06,3256821422
2000-03-07,3213589279
2000-03-08,3136732137
2000-03-09,3076687494
2000-03-10,2956598209
2000-03-13,2927776780
2000-03-14,2896553566
2000-03-15,3242410708
2000-03-16,3362499994
2000-03-17,3348089279
2000-03-20,3302455351
2000-03-21,3288044636
2000-03-22,3182366065
2000-03-23,3542633922
2000-03-24,3393723208
2000-03-27,3422544636
2000-03-28,3513812493
2000-03-29,3602678565
2000-03-30,3874080350
2000-03-31,4108667798
2000-04-03,4198408476
2000-04-04,4033479662
2000-04-05,4123220341
2000-04-06,4137772883
2000-04-07,4033479662
2000-04-10,4123220341
2000-04-11,4062584747
2000-04-12,4137772883
2000-04-13,4077137290
2000-04-14,3955866103
2000-04-17,3834594917
2000-04-18,3820042374
2000-04-19,3790937289
2000-04-20,3851572883
2000-04-24,3790937289
2000-04-25,3972844069
2000-04-26,3972844069
2000-04-27,3713323730
2000-04-28,4123220341
2000-05-01,4077137290
2000-05-02,4016501696
2000-05-03,3730301696
2000-05-04,4365762714
2000-05-05,4472481358
2000-05-08,4622857629
2000-05-09,4501586442
2000-05-10,4501586442
2000-05-11,4622857629
2000-05-12,4622857629
2000-05-15,4715023731
2000-05-16,4804764409
2000-05-17,4715023731
2000-05-18,4972118646
2000-05-19,4896930510
2000-05-22,5124920341
2000-05-23,5246191527
2000-05-24,5154025426
2000-05-25,4926035595
2000-05-26,5047306782
2000-05-30,5093389833
2000-05-31,5503286443
2000-06-01,5942288138
2000-06-02,5806464409
2000-06-05,5624557629
2000-06-06,5578474579
2000-06-07,5563922036
2000-06-08,5457203392
2000-06-09,5442650850
2000-06-12,5200108477
2000-06-13,5321379663
2000-06-14,5246191527
2000-06-15,5124920341
2000-06-16,5047306782
2000-06-19,4943013561
2000-06-20,4911483053
2000-06-21,4957566104
2000-06-22,4882377968
2000-06-23,4850847460
2000-06-26,4865400002
2000-06-27,4850847460
2000-06-28,4850847460
2000-06-29,4821742375
2000-06-30,4821438592
2000-07-03,4927192978
2000-07-05,5078614031
2000-07-06,5078614031
2000-07-07,5153122802
2000-07-10,5242052627
2000-07-11,5061789469
2000-07-12,5032947364
2000-07-13,4987280697
2000-07-14,5047368417
2000-07-17,5047368417
2000-07-18,4746929820
2000-07-19,4821438592
2000-07-20,4821438592
2000-07-21,4718087715
2000-07-24,4746929820
2000-07-25,4972859645
2000-07-26,4912771925
2000-07-27,5768421048
2000-07-28,5648245609
2000-07-31,5528070171
2000-08-01,5453561399
2000-08-02,5379052627
2000-08-03,5482403504
2000-08-04,5648245609
2000-08-07,5693912276
2000-08-08,5662666662
2000-08-09,5842929819
2000-08-10,5227631574
2000-08-11,5302140346
2000-08-14,5347807013
2000-08-15,5227631574
2000-08-16,5032947364
2000-08-17,5001701750
2000-08-18,4941614031
2000-08-21,4972859645
2000-08-22,5107456136
2000-08-23,5018526311
