,R
2000-01-03,1419518539
2000-01-04,1340222539
2000-01-05,1366654539
2000-01-06,1479591266
2000-01-07,1509627629
2000-01-10,1441745448
2000-01-11,1471781811
2000-01-12,1438141084
2000-01-13,1423122902
2000-01-14,1423122902
2000-01-18,1441745448
2000-01-19,1494609447
2000-01-20,1445349811
2000-01-21,1408104720
2000-01-24,1396690902
2000-01-25,1348031993
2000-01-26,1340222539
2000-01-27,1329409448
2000-01-28,1299373085
2000-01-31,1325204357
2000-02-01,1310186175
2000-02-02,1325204357
2000-02-03,1359445812
2000-02-04,1359445812
2000-02-07,1302977448
2000-02-08,1291563630
2000-02-09,1250113448
2000-02-10,1261527267
2000-02-11,1209263994
2000-02-14,1212868358
2000-02-15,1235095267
2000-02-16,1227886539
2000-02-17,1186436358
2000-02-18,1149191267
2000-02-22,1149191267
2000-02-23,1114949813
2000-02-24,1129967994
2000-02-25,1119154904
2000-02-28,1119154904
2000-02-29,1111345449
2000-03-01,1114949813
2000-03-02,1096327267
2000-03-03,1099931631
2000-03-06,1069895267
2000-03-07,1059082177
2000-03-08,1051272722
2000-03-09,1084913449
2000-03-10,1129967994
2000-03-13,1179227631
2000-03-14,1190040721
2000-03-15,1239300358
2000-03-16,1291563630
2000-03-17,1197850176
2000-03-20,1194245812
2000-03-21,1299373085
2000-03-22,1449554902
2000-03-23,1434536720
2000-03-24,1408104720
2000-03-27,1348031993
2000-03-28,1336618175
2000-03-29,1378068357
2000-03-30,1366654539
2000-03-31,1345063200
2000-04-03,1300603200
2000-04-04,1304160000
2000-04-05,1307716800
2000-04-06,1341506400
2000-04-07,1460066400
2000-04-10,1422720000
2000-04-11,1419163200
2000-04-12,1430426400
2000-04-13,1400786400
2000-04-14,1282226400
2000-04-17,1315423200
2000-04-18,1263256800
2000-04-19,1341506400
2000-04-20,1315423200
2000-04-24,1289340000
2000-04-25,1337356800
2000-04-26,1297046400
2000-04-27,1333800000
2000-04-28,1315423200
2000-05-01,1318980000
2000-05-02,1285783200
2000-05-03,1222946400
2000-05-04,1230060000
2000-05-05,1233616800
2000-05-08,1270963200
2000-05-09,1259700000
2000-05-10,1237766400
2000-05-11,1233616800
2000-05-12,1248436800
2000-05-15,1237766400
2000-05-16,1215240000
2000-05-17,1196863200
2000-05-18,1185600000
2000-05-19,1167223200
2000-05-22,1155960000
2000-05-23,1122763200
2000-05-24,1096680000
2000-05-25,1115056800
2000-05-26,1126320000
2000-05-30,1144696800
2000-05-31,1137583200
2000-06-01,1182043200
2000-06-02,1182043200
2000-06-05,1167223200
2000-06-06,1170780000
2000-06-07,1196863200
2000-06-08,1208126400
2000-06-09,1182043200
2000-06-12,1155960000
2000-06-13,1155960000
2000-06-14,1141140000
2000-06-15,1159516800
2000-06-16,1135804800
2000-06-19,1107943200
2000-06-20,1070596799
2000-06-21,1096680000
2000-06-22,1096680000
2000-06-23,1115056800
2000-06-26,1104386400
2000-06-27,1122763200
2000-06-28,1127505600
2000-06-29,1200420000
2000-06-30,1128369440
2000-07-03,1154582880
2000-07-05,1143263440
2000-07-06,1113475440
2000-07-07,1128369440
2000-07-10,1139688880
2000-07-11,1165306560
2000-07-12,1169476880
2000-07-13,1187945440
2000-07-14,1180200560
2000-07-17,1154582880
2000-07-18,1143263440
2000-07-19,1154582880
2000-07-20,1180200560
2000-07-21,1173051440
2000-07-24,1232627440
2000-07-25,1251096000
2000-07-26,1224882560
2000-07-27,1277309440
2000-07-28,1265990000
2000-07-31,1243946880
2000-08-01,1254670560
2000-08-02,1258840880
2000-08-03,1236202000
2000-08-04,1258840880
2000-08-07,1254670560
2000-08-08,1333310880
2000-08-09,1280884000
2000-08-10,1280884000
2000-08-11,1292203440
2000-08-14,1273734880
2000-08-15,1251096000
2000-08-16,1321991440
2000-08-17,1318416880
2000-08-18,1269564560
2000-08-21,1299352560
2000-08-22,1284458560
2000-08-23,1214158880
2000-08-24,1187945440
2000-08-25,1184370880
2000-08-28,1176626000
2000-08-29,1169476880
2000-08-30,1143263440
2000-08-31,1143263440
2000-09-01,1146838000
2000-09-05,1169476880
2000-09-06,1206414000
2000-09-07,1191520000
2000-09-08,1180200560
2000-09-11,1184370880
2000-09-12,1187945440
2000-09-13,1214158880
2000-09-14,1202839440
2000-09-15,1191520000
2000-09-18,1187945440
2000-09-19,1199264880
2000-09-20,1214158880
2000-09-21,1195094560
2000-09-22,1184370880
2000-09-25,1176626000
2000-09-26,1143263440
2000-09-27,1120624560
2000-09-28,1105730560
2000-09-29,1098581440
2000-10-02,990004871
2000-10-03,964290459
2000-10-04,990004871
2000-10-05,971887898
2000-10-06,931563025
2000-10-09,935069536
2000-10-10,993511382
2000-10-11,978900920
2000-10-12,1004615332
2000-10-13,1015719283
2000-10-16,1022732305
2000-10-17,990004871
2000-10-18,982407431
2000-10-19,905848613
2000-10-20,967796969
2000-10-23,894744662
2000-10-24,920459074
2000-10-25,928056514
2000-10-26,942666975
2000-10-27,975394409
2000-10-30,1099291123
2000-10-31,1154226458
2000-11-01,1099291123
2000-11-02,1110395074
2000-11-03,1095784612
2000-11-06,1110395074
2000-11-07,1095784612
2000-11-08,1103382052
2000-11-09,1099291123
2000-11-10,1063057178
2000-11-13,1099291123
2000-11-14,1099291123
2000-11-15,1081174151
2000-11-16,1048446717
2000-11-17,1033836255
2000-11-20,1015719283
2000-11-21,1015719283
2000-11-22,990004871
2000-11-24,993511382
2000-11-27,1019225794
2000-11-28,1011628354
2000-11-29,1001108821
2000-11-30,1015719283
2000-12-01,1015719283
2000-12-04,1015719283
2000-12-05,1066563689
2000-12-06,1030329744
2000-12-07,1015719283
2000-12-08,993511382
2000-12-11,975394409
2000-12-12,1004615332
2000-12-13,964290459
2000-12-14,971887898
2000-12-15,916952563
2000-12-18,931563025
2000-12-19,949679997
2000-12-20,935069536
2000-12-21,957277437
2000-12-22,953186508
