,DGX
2000-01-03,1323930000
2000-01-04,1320399520
2000-01-05,1309808080
2000-01-06,1315103800
2000-01-07,1368061000
2000-01-10,1392774360
2000-01-11,1391009120
2000-01-12,1383948160
2000-01-13,1436905360
2000-01-14,1373356720
2000-01-18,1398070080
2000-01-19,1391009120
2000-01-20,1398070080
2000-01-21,1398070080
2000-01-24,1401600560
2000-01-25,1415722480
2000-01-26,1588716000
2000-01-27,1456323000
2000-01-28,1484566840
2000-01-31,1500454000
2000-02-01,1479271120
2000-02-02,1481036360
2000-02-03,1519871640
2000-02-04,1553411200
2000-02-07,1564002640
2000-02-08,1578124560
2000-02-09,1594011720
2000-02-10,1604603160
2000-02-11,1558706920
2000-02-14,1528697840
2000-02-15,1539289280
2000-02-16,1553411200
2000-02-17,1558706920
2000-02-18,1525167360
2000-02-22,1555176440
2000-02-23,1567533120
2000-02-24,1548115480
2000-02-25,1544585000
2000-02-28,1505749720
2000-02-29,1514575920
2000-03-01,1583420280
2000-03-02,1588716000
2000-03-03,1627551280
2000-03-06,1701691360
2000-03-07,1627551280
2000-03-08,1641673200
2000-03-09,1657560360
2000-03-10,1624020799
2000-03-13,1618725080
2000-03-14,1578124560
2000-03-15,1597542200
2000-03-16,1731700440
2000-03-17,1751118080
2000-03-20,1676978000
2000-03-21,1578124560
2000-03-22,1636377480
2000-03-23,1622255560
2000-03-24,1579889799
2000-03-27,1564002640
2000-03-28,1662856080
2000-03-29,1632847000
2000-03-30,1629316520
2000-03-31,1772381520
2000-04-03,1774164599
2000-04-04,1709973720
2000-04-05,1788429240
2000-04-06,1847270880
2000-04-07,1872234000
2000-04-10,1850837040
2000-04-11,1868667840
2000-04-12,1877583240
2000-04-13,1902546360
2000-04-14,1984568040
2000-04-17,2239548480
2000-04-18,2496312000
2000-04-19,2455301160
2000-04-20,2391110280
2000-04-24,2396459520
2000-04-25,2551587480
2000-04-26,2630043000
2000-04-27,2630043000
2000-04-28,2594381400
2000-05-01,2633609160
