,SWK
2000-01-03,2556910000
2000-01-04,2501769680
2000-01-05,2467974000
2000-01-06,2457301680
2000-01-07,2501769680
2000-01-10,2479535680
2000-01-11,2451076160
2000-01-12,2551573840
2000-01-13,2556910000
2000-01-14,2479535680
2000-01-18,2395935840
2000-01-19,2462637840
2000-01-20,2401272000
2000-01-21,2317672160
2000-01-24,2267868000
2000-01-25,2234961680
2000-01-26,2178932000
2000-01-27,2245634000
2000-01-28,2201166000
2000-01-31,2234961680
2000-02-01,2234961680
2000-02-02,2306999840
2000-02-03,2323897680
2000-02-04,2279429680
2000-02-07,2218063840
2000-02-08,2218063840
2000-02-09,2162034160
2000-02-10,2117566160
2000-02-11,2062425840
2000-02-14,2101557680
2000-02-15,2206502160
2000-02-16,2184268160
2000-02-17,2190493680
2000-02-18,2095332160
2000-02-22,2162034160
2000-02-23,2089996000
2000-02-24,2023294000
2000-02-25,2017957840
2000-02-28,2034855680
2000-02-29,2045528000
2000-03-01,2050864160
2000-03-02,2073098160
2000-03-03,2156698000
2000-03-06,2106893840
2000-03-07,2045528000
2000-03-08,2089996000
2000-03-09,2123791680
2000-03-10,2156698000
2000-03-13,2129127840
2000-03-14,2134464000
2000-03-15,2240297840
2000-03-16,2362140160
2000-03-17,2312336000
2000-03-20,2262531840
2000-03-21,2206502160
2000-03-22,2206502160
2000-03-23,2240297840
2000-03-24,2257195680
2000-03-27,2190493680
2000-03-28,2206502160
2000-03-29,2279429680
2000-03-30,2356804000
2000-03-31,2346131680
2000-04-03,2327027840
2000-04-04,2305124340
2000-04-05,2327027840
2000-04-06,2376967820
2000-04-07,2338417660
2000-04-10,2289353820
2000-04-11,2360321160
2000-04-12,2480352340
2000-04-13,2464581820
2000-04-14,2392738340
2000-04-17,2491742160
2000-04-18,2475095500
2000-04-19,2447935160
2000-04-20,2540806000
2000-04-24,2567966340
2000-04-25,2617906320
2000-04-26,2617906320
2000-04-27,2617906320
2000-04-28,2584613000
2000-05-01,2645066660
2000-05-02,2628420000
2000-05-03,2557452660
2000-05-04,2601259660
2000-05-05,2617906320
2000-05-08,2606516500
2000-05-09,2579356160
2000-05-10,2530292320
2000-05-11,2546062840
2000-05-12,2540806000
2000-05-15,2518902500
2000-05-16,2530292320
2000-05-17,2486485320
2000-05-18,2464581820
2000-05-19,2535549160
2000-05-22,2557452660
2000-05-23,2584613000
2000-05-24,2486485320
2000-05-25,2442678320
2000-05-26,2387481500
2000-05-30,2442678320
2000-05-31,2355064320
2000-06-01,2398871320
2000-06-02,2518902500
2000-06-05,2442678320
2000-06-06,2464581820
2000-06-07,2404128160
2000-06-08,2360321160
2000-06-09,2382224660
2000-06-12,2355064320
2000-06-13,2355064320
2000-06-14,2348931340
2000-06-15,2311257320
2000-06-16,2272707160
2000-06-19,2239413840
2000-06-20,2206996660
2000-06-21,2234157000
2000-06-22,2228900160
2000-06-23,2223643320
2000-06-26,2256060500
2000-06-27,2294610660
2000-06-28,2179836320
2000-06-29,2102736000
2000-06-30,2080832500
2000-07-03,2114842080
2000-07-05,2098401000
2000-07-06,2093209080
2000-07-07,2103592920
2000-07-10,2114842080
2000-07-11,2158108080
2000-07-12,2131283160
2000-07-13,2174549160
2000-07-14,2168491920
2000-07-17,2146858920
2000-07-18,2152916160
2000-07-19,2136475080
2000-07-20,2223007080
2000-07-21,2244640080
2000-07-24,2261081160
2000-07-25,2223007080
2000-07-26,2206566000
2000-07-27,2276656920
2000-07-28,2228199000
2000-07-31,2266273080
2000-08-01,2244640080
2000-08-02,2298289920
2000-08-03,2249832000
2000-08-04,2287906080
2000-08-07,2347613160
2000-08-08,2357997000
2000-08-09,2390879160
2000-08-10,2357997000
2000-08-11,2449720920
2000-08-14,2455778160
2000-08-15,2406454920
2000-08-16,2401263000
2000-08-17,2406454920
2000-08-18,2412512160
2000-08-21,2396071080
2000-08-22,2390879160
2000-08-23,2374438080
2000-08-24,2439337080
2000-08-25,2434145160
2000-08-28,2390879160
2000-08-29,2417704080
2000-08-30,2319922920
2000-08-31,2314731000
2000-09-01,2239448160
2000-09-05,2314731000
2000-09-06,2336364000
2000-09-07,2293098000
2000-09-08,2249832000
2000-09-11,2239448160
2000-09-12,2217815160
2000-09-13,2206566000
2000-09-14,2223007080
2000-09-15,2146858920
2000-09-18,2076768000
2000-09-19,2066384160
2000-09-20,2038693920
2000-09-21,2033502000
2000-09-22,2001485160
2000-09-25,2033502000
2000-09-26,1973794920
2000-09-27,1985044080
2000-09-28,2044751160
2000-09-29,1995427920
2000-10-02,1922374860
2000-10-03,1980784820
2000-10-04,1949002930
2000-10-05,1889734000
2000-10-06,1820157430
2000-10-09,1868259750
2000-10-10,1830465070
2000-10-11,1777208930
2000-10-12,1696465750
2000-10-13,1750580860
2000-10-16,1729106610
2000-10-17,1653517250
2000-10-18,1723093820
2000-10-19,1803837000
2000-10-20,1873413570
2000-10-23,1889734000
2000-10-24,1980784820
2000-10-25,1959310570
2000-10-26,2023733320
2000-10-27,2083002250
2000-10-30,2233322000
2000-10-31,2287437110
2000-11-01,2249642430
2000-11-02,2357013680
