,NWSA
2013-06-18,18267075858
2013-06-19,9145114023
2013-06-20,8855711680
2013-06-21,9040929179
2013-06-24,8988836758
2013-06-25,9098809648
2013-06-26,8913592149
2013-06-27,8971472617
2013-06-28,8826771446
2013-07-01,8560451999
2013-07-02,8682000000
2013-07-03,8606756000
2013-07-05,9064008000
2013-07-08,9237648000
2013-07-09,9092948000
2013-07-10,8907732000
2013-07-11,8757244000
2013-07-12,8641484000
2013-07-15,8490996000
2013-07-16,8844064000
2013-07-17,9197132000
2013-07-18,8954036000
2013-07-19,9243436000
2013-07-22,9104524000
2013-07-23,9058220000
2013-07-24,9092948000
2013-07-25,9011916000
2013-07-26,9197132000
2013-07-29,8977188000
2013-07-30,9231860000
2013-07-31,9220284000
2013-08-01,9388136000
2013-08-02,9457592000
2013-08-05,9260800000
2013-08-06,9364984000
2013-08-07,9231860000
2013-08-08,9336044000
2013-08-09,9249224000
2013-08-12,9214496000
2013-08-13,9162404000
2013-08-14,9202920000
2013-08-15,9318680000
2013-08-16,9249224000
2013-08-19,9087160000
2013-08-20,9087160000
2013-08-21,9121888000
2013-08-22,9092948000
2013-08-23,9116100000
2013-08-26,9179768000
2013-08-27,9104524000
2013-08-28,9121888000
2013-08-29,9127676000
2013-08-30,9087160000
2013-09-03,9133464000
2013-09-04,9278164000
2013-09-05,9399712000
2013-09-06,9370772000
2013-09-09,9457592000
2013-09-10,9579140000
2013-09-11,9868540000
2013-09-12,9903268000
2013-09-13,9775932000
2013-09-16,9816448000
2013-09-17,9839600000
2013-09-18,9868540000
2013-09-19,9764356000
2013-09-20,9625444000
2013-09-23,9567564000
2013-09-24,9862752000
2013-09-25,9723840000
2013-09-26,9428652000
2013-09-27,9359196000
2013-09-30,9297134000
2013-10-01,9210299000
2013-10-02,9343446000
2013-10-03,9187143000
2013-10-04,9169776000
2013-10-07,9210299000
2013-10-08,9146620000
2013-10-09,9192932000
2013-10-10,9389758000
2013-10-11,9499749000
2013-10-14,9586584000
2013-10-15,9598161999
2013-10-16,9713942000
2013-10-17,9725520000
2013-10-18,9754465000
2013-10-21,9754465000
2013-10-22,9841300000
2013-10-23,9904979000
2013-10-24,10009181000
2013-10-25,9928135000
2013-10-28,10009181000
2013-10-29,10107594000
2013-10-30,10043915000
2013-10-31,10188640000
2013-11-01,10287053000
2013-11-04,10281264000
2013-11-05,10234952000
2013-11-06,10078649000
2013-11-07,9991814000
2013-11-08,10188640000
2013-11-11,10084438000
2013-11-12,9928135000
2013-11-13,9968658000
2013-11-14,9986025000
2013-11-15,10281264000
2013-11-18,10084438000
2013-11-19,10119172000
2013-11-20,10229163000
2013-11-21,10165484000
2013-11-22,10159695000
2013-11-25,10119172000
2013-11-26,10240741000
2013-11-27,10339154000
2013-11-29,10397044000
2013-12-02,10217585000
2013-12-03,10130750000
2013-12-04,10177061999
2013-12-05,10107594000
2013-12-06,10292842000
2013-12-09,10142328000
2013-12-10,10211796000
2013-12-11,10188640000
2013-12-12,10124961000
2013-12-13,10223374000
2013-12-16,10287053000
2013-12-17,10043915000
2013-12-18,10130750000
2013-12-19,10049704000
2013-12-20,10275475000
2013-12-23,10362310000
2013-12-24,10362310000
2013-12-26,10287053000
2013-12-27,10263897000
2013-12-30,10368099000
2013-12-31,10433580000
2014-01-02,10393050000
2014-01-03,10317780000
2014-01-06,10178819999
2014-01-07,10074600000
2014-01-08,10010910000
2014-01-09,10039860000
2014-01-10,10074600000
2014-01-13,9929850000
2014-01-14,10016700000
2014-01-15,9964590000
2014-01-16,9889319999
2014-01-17,9889319999
2014-01-21,9704040000
2014-01-22,9640350000
2014-01-23,9570870000
2014-01-24,9362430000
2014-01-27,9489810000
2014-01-28,9402960000
2014-01-29,9391380000
2014-01-30,9379800000
2014-01-31,9240840000
2014-02-03,8986080000
2014-02-04,8986080000
2014-02-05,9038190000
2014-02-06,9275580000
2014-02-07,10080390000
2014-02-10,10138290000
2014-02-11,10381470000
2014-02-12,10219350000
2014-02-13,10225140000
2014-02-14,10236720000
2014-02-18,10277250000
2014-02-19,10184610000
2014-02-20,10132500000
2014-02-21,10236720000
2014-02-24,10387260000
2014-02-25,10398840000
2014-02-26,10439370000
2014-02-27,10433580000
2014-02-28,10613069999
2014-03-03,10491480000
2014-03-04,10653600000
2014-03-05,10595700000
2014-03-06,10584120000
2014-03-07,10369890000
2014-03-10,10283040000
2014-03-11,10254090000
2014-03-12,10323569999
2014-03-13,10039860000
2014-03-14,10091970000
2014-03-17,10068810000
2014-03-18,10254090000
2014-03-19,10161450000
2014-03-20,10138290000
2014-03-21,10178819999
2014-03-24,10115130000
2014-03-25,10051440000
2014-03-26,9860370000
2014-03-27,9854580000
2014-03-28,9860370000
2014-03-31,9970380000
2014-04-01,10097760000
2014-04-02,10097760000
2014-04-03,9906690000
2014-04-04,9912480000
2014-04-07,9889319999
2014-04-08,9871950000
2014-04-09,9958800000
2014-04-10,9744569999
2014-04-11,9576660000
2014-04-14,9709830000
2014-04-15,9628770000
2014-04-16,9721410000
2014-04-17,9773520000
2014-04-21,9814050000
2014-04-22,9848790000
2014-04-23,9976170000
2014-04-24,10005120000
2014-04-25,9918270000
2014-04-28,9918270000
2014-04-29,9964590000
2014-04-30,9854580000
2014-05-01,10016700000
2014-05-02,10022490000
2014-05-05,10074600000
2014-05-06,9924060000
2014-05-07,9889319999
2014-05-08,9906690000
2014-05-09,10422000000
2014-05-12,10335150000
2014-05-13,10259880000
2014-05-14,9953010000
2014-05-15,9767730000
2014-05-16,9871950000
2014-05-19,9860370000
2014-05-20,9698250000
2014-05-21,9790890000
2014-05-22,9941430000
2014-05-23,9895110000
2014-05-27,9970380000
2014-05-28,9906690000
2014-05-29,9912480000
2014-05-30,9877740000
2014-06-02,9993540000
2014-06-03,10057230000
2014-06-04,10115130000
2014-06-05,10259880000
2014-06-06,10242510000
2014-06-09,10225140000
2014-06-10,10196190000
2014-06-11,10207770000
2014-06-12,10016700000
2014-06-13,9976170000
2014-06-16,9912480000
2014-06-17,9987750000
2014-06-18,10178819999
2014-06-19,10230930000
2014-06-20,10207770000
2014-06-23,10057230000
2014-06-24,10126710000
2014-06-25,10254090000
2014-06-26,10433580000
2014-06-27,10410420000
2014-06-30,10396230000
2014-07-01,10488950000
2014-07-02,10581670000
2014-07-03,10593260000
2014-07-07,10500540000
2014-07-08,10512130000
2014-07-09,10558490000
2014-07-10,10425205000
2014-07-11,10483155000
2014-07-14,10535310000
2014-07-15,10587465000
2014-07-16,10564285000
2014-07-17,10459975000
2014-07-18,10558490000
2014-07-21,10506335000
2014-07-22,10488950000
2014-07-23,10494745000
2014-07-24,10599055000
2014-07-25,10512130000
2014-07-28,10465770000
2014-07-29,10355665000
2014-07-30,10344075000
2014-07-31,10228175000
2014-08-01,10297715000
2014-08-04,10338280000
2014-08-05,10228175000
2014-08-06,10216585000
2014-08-07,10094890000
2014-08-08,9938425000
