,MCD
2000-01-03,53238942000
2000-01-04,52137354000
2000-01-05,52983696000
2000-01-06,52231392000
2000-01-07,53574792000
2000-01-10,53816604000
2000-01-11,55079400000
2000-01-12,57430350000
2000-01-13,56839254000
2000-01-14,57242274000
2000-01-18,55751100000
2000-01-19,56933292000
2000-01-20,55079400000
2000-01-21,55160004000
2000-01-24,53655396000
2000-01-25,53480754000
2000-01-26,47865342000
2000-01-27,50552142000
2000-01-28,49369950000
2000-01-31,50216292000
2000-02-01,49208742000
2000-02-02,47690700000
2000-02-03,47019000000
2000-02-04,47193642000
2000-02-07,46938396000
2000-02-08,48778854000
2000-02-09,48201192000
2000-02-10,47690700000
2000-02-11,46938396000
2000-02-14,45514392000
2000-02-15,45339750000
2000-02-16,44923296000
2000-02-17,45339750000
2000-02-18,43660500000
2000-02-22,43405254000
2000-02-23,43835142000
2000-02-24,42155892000
2000-02-25,41645400000
2000-02-28,41820042000
2000-02-29,42491742000
2000-03-01,41981250000
2000-03-02,41484192000
2000-03-03,43405254000
2000-03-06,42397704000
2000-03-07,40140792000
2000-03-08,41309550000
2000-03-09,42988800000
2000-03-10,42652950000
2000-03-13,43579896000
2000-03-14,40973700000
2000-03-15,43660500000
2000-03-16,45756204000
2000-03-17,45420354000
2000-03-20,46427904000
2000-03-21,47354850000
2000-03-22,47354850000
2000-03-23,47274246000
2000-03-24,46763754000
2000-03-27,46683150000
2000-03-28,47193642000
2000-03-29,49450554000
2000-03-30,50552142000
2000-03-31,49606998000
2000-04-03,51093350000
2000-04-04,51133163000
2000-04-05,51172976000
2000-04-06,49102700000
2000-04-07,49102700000
2000-04-10,48279898000
2000-04-11,50018399000
2000-04-12,48187001000
2000-04-13,45293923000
2000-04-14,44537476000
2000-04-17,44709999000
2000-04-18,43130750000
2000-04-19,43873926000
2000-04-20,47523451000
2000-04-24,51756900000
2000-04-25,51425125000
2000-04-26,51597648000
2000-04-27,51504751000
2000-04-28,50509426000
2000-05-01,51597648000
2000-05-02,52009049000
2000-05-03,49514101000
2000-05-04,47443825000
2000-05-05,47364199000
2000-05-08,47523451000
2000-05-09,49102700000
2000-05-10,51265873000
2000-05-11,50681949000
2000-05-12,49845876000
2000-05-15,50681949000
2000-05-16,52009049000
2000-05-17,51836526000
2000-05-18,51265873000
2000-05-19,50177651000
2000-05-22,51597648000
2000-05-23,51929423000
2000-05-24,51425125000
2000-05-25,49514101000
2000-05-26,50098025000
2000-05-30,48518776000
2000-05-31,47523451000
2000-06-01,47284573000
2000-06-02,47948123000
2000-06-05,47112050000
2000-06-06,46621023000
2000-06-07,46289248000
2000-06-08,47032424000
2000-06-09,44457850000
2000-06-12,43303273000
2000-06-13,42971498000
2000-06-14,42135425000
2000-06-15,42639723000
2000-06-16,41551501000
2000-06-19,41803650000
2000-06-20,41140100000
2000-06-21,41312623000
2000-06-22,41724024000
2000-06-23,43303273000
2000-06-26,44378224000
2000-06-27,43542151000
2000-06-28,42719349000
2000-06-29,41644398000
2000-06-30,43335864000
2000-07-03,42757000000
2000-07-05,42020264000
2000-07-06,42349164000
2000-07-07,43493736000
2000-07-10,42428100000
2000-07-11,42835936000
2000-07-12,42428100000
2000-07-13,41191436000
2000-07-14,41283528000
2000-07-17,41191436000
2000-07-18,41033564000
2000-07-19,41191436000
2000-07-20,41691364000
2000-07-21,40625728000
2000-07-24,39796900000
2000-07-25,41033564000
2000-07-26,43414800000
2000-07-27,42349164000
2000-07-28,42099200000
2000-07-31,41441400000
2000-08-01,42835936000
2000-08-02,43743700000
2000-08-03,43743700000
2000-08-04,44072600000
2000-08-07,44322564000
2000-08-08,43914728000
2000-08-09,43006964000
2000-08-10,43164836000
2000-08-11,43993664000
2000-08-14,43822636000
2000-08-15,42678064000
2000-08-16,42349164000
2000-08-17,41112500000
2000-08-18,41520336000
2000-08-21,41520336000
2000-08-22,41191436000
2000-08-23,40954628000
2000-08-24,39875836000
2000-08-25,39875836000
2000-08-28,39967928000
2000-08-29,39967928000
2000-08-30,39546936000
2000-08-31,39310128000
2000-09-01,38981228000
2000-09-05,39060164000
2000-09-06,39639028000
2000-09-07,38481300000
2000-09-08,37902436000
2000-09-11,37336728000
2000-09-12,38402364000
2000-09-13,37244636000
2000-09-14,35271236000
2000-09-15,36507900000
2000-09-18,37336728000
2000-09-19,36350028000
2000-09-20,36428964000
2000-09-21,37086764000
2000-09-22,37994528000
2000-09-25,38152400000
2000-09-26,39310128000
2000-09-27,39310128000
2000-09-28,39717964000
2000-09-29,39717964000
2000-10-02,39099042000
2000-10-03,39346175000
2000-10-04,39021000000
2000-10-05,39190091000
2000-10-06,38864916000
2000-10-09,39099042000
2000-10-10,38942958000
2000-10-11,39021000000
2000-10-12,36913866000
2000-10-13,37564216000
2000-10-16,37720300000
2000-10-17,36419600000
2000-10-18,36497642000
2000-10-19,36263516000
2000-10-20,36744775000
2000-10-23,37889391000
2000-10-24,37889391000
2000-10-25,37720300000
2000-10-26,37642258000
2000-10-27,38695825000
2000-10-30,40568833000
2000-10-31,40321700000
2000-11-01,41141141000
2000-11-02,41544358000
2000-11-03,42116666000
2000-11-06,41622400000
2000-11-07,41297225000
2000-11-08,41141141000
2000-11-09,41297225000
2000-11-10,43001142000
2000-11-13,43001142000
2000-11-14,43495408000
2000-11-15,43326317000
2000-11-16,42519883000
2000-11-17,43495408000
2000-11-20,43573450000
2000-11-21,44145758000
2000-11-22,44548975000
2000-11-24,43820583000
2000-11-27,41544358000
2000-11-28,40646875000
2000-11-29,42272750000
2000-11-30,41466316000
2000-12-01,40243658000
2000-12-04,40894008000
2000-12-05,39671350000
2000-12-06,38539741000
2000-12-07,39346175000
2000-12-08,38370650000
2000-12-11,38942958000
2000-12-12,40165616000
2000-12-13,40490791000
2000-12-14,41050092000
2000-12-15,40972050000
2000-12-18,42025617000
2000-12-19,42767016000
2000-12-20,40815966000
2000-12-21,42519883000
2000-12-22,42519883000
2000-12-26,42272750000
2000-12-27,43092191000
2000-12-28,44067716000
2000-12-29,44223800000
2001-01-02,43573450000
2001-01-03,43820583000
2001-01-04,42923100000
2001-01-05,42845058000
2001-01-08,42923100000
2001-01-09,43001142000
2001-01-10,43170233000
2001-01-11,42519883000
2001-01-12,43742541000
2001-01-16,44392891000
2001-01-17,45121283000
2001-01-18,43742541000
2001-01-19,42675967000
2001-01-22,43573450000
2001-01-23,42767016000
2001-01-24,40074567000
2001-01-25,38448692000
2001-01-26,37720300000
2001-01-29,38396664000
2001-01-30,38305615000
2001-01-31,38175545000
2001-02-01,37759321000
2001-02-02,38279601000
2001-02-05,38188552000
2001-02-06,39060021000
2001-02-07,38071489000
2001-02-08,38162538000
2001-02-09,38708832000
2001-02-12,38799881000
2001-02-13,39021000000
2001-02-14,38045475000
2001-02-15,39125056000
2001-02-16,39307154000
2001-02-20,39593308000
2001-02-21,38604776000
2001-02-22,39099042000
2001-02-23,39177084000
2001-02-26,38864916000
2001-02-27,39086035000
2001-02-28,38240580000
2001-03-01,37993447000
2001-03-02,37525195000
2001-03-05,37147992000
2001-03-06,37525195000
2001-03-07,36939880000
2001-03-08,38110510000
2001-03-09,37655265000
2001-03-12,36497642000
2001-03-13,36159460000
2001-03-14,35834285000
2001-03-15,35431068000
2001-03-16,34468550000
2001-03-19,34312466000
2001-03-20,33519039000
2001-03-21,33362955000
2001-03-22,32660577000
2001-03-23,32517500000
2001-03-26,32907710000
2001-03-27,32946730999
2001-03-28,32881696000
2001-03-29,34455543000
2001-03-30,34533585000
2001-04-02,34357608000
2001-04-03,33261363000
2001-04-04,33648273000
2001-04-05,33532200000
2001-04-06,33854625000
2001-04-09,34422093000
2001-04-10,34821900000
2001-04-11,34473681000
2001-04-12,34680033000
2001-04-16,35105634000
2001-04-17,35041149000
2001-04-18,35453853000
2001-04-19,35428059000
2001-04-20,34937973000
2001-04-23,34770312000
2001-04-24,34615548000
2001-04-25,34821900000
2001-04-26,34847694000
2001-04-27,34963767000
2001-04-30,35466750000
2001-05-01,35827866000
2001-05-02,35531235000
2001-05-03,34692930000
2001-05-04,34589754000
2001-05-07,34525269000
2001-05-08,34241535000
2001-05-09,35079840000
2001-05-10,34705827000
2001-05-11,35776278000
2001-05-14,35789175000
2001-05-15,35466750000
2001-05-16,35724690000
2001-05-17,36756450000
2001-05-18,38433060000
2001-05-21,38510442000
2001-05-22,39335850000
2001-05-23,39000528000
2001-05-24,39671172000
2001-05-25,39348747000
2001-05-29,39658275000
2001-05-30,39580893000
2001-05-31,39052116000
2001-06-01,38316987000
2001-06-04,37697931000
2001-06-05,37930077000
2001-06-06,38304090000
2001-06-07,38549133000
2001-06-08,37981665000
2001-06-11,38574927000
2001-06-12,38445957000
2001-06-13,38691000000
2001-06-14,38639412000
2001-06-15,36975699000
2001-06-18,36756450000
2001-06-19,36369540000
2001-06-20,36395334000
2001-06-21,36937008000
2001-06-22,36266364000
2001-06-25,35853660000
2001-06-26,35518338000
2001-06-27,35479647000
2001-06-28,35698896000
2001-06-29,34899282000
2001-07-02,35239140000
2001-07-03,35033364000
2001-07-05,34801866000
2001-07-06,34145955000
2001-07-09,34171677000
2001-07-10,34596090000
2001-07-11,34261704000
2001-07-12,34724700000
2001-07-13,35560665000
2001-07-16,35534943000
2001-07-17,35650692000
2001-07-18,35624970000
2001-07-19,35586387000
2001-07-20,35393472000
2001-07-23,35714997000
2001-07-24,36512379000
2001-07-25,37682730000
2001-07-26,37206873000
2001-07-27,36833904000
2001-07-30,37168290000
2001-07-31,37476954000
2001-08-01,37785618000
2001-08-02,37489815000
2001-08-03,37309761000
2001-08-06,37039680000
2001-08-07,37039680000
2001-08-08,36550962000
2001-08-09,36383769000
2001-08-10,36126549000
2001-08-13,36036522000
2001-08-14,35997939000
2001-08-15,36640989000
2001-08-16,38197170000
2001-08-17,38583000000
2001-08-20,38647305000
2001-08-21,38583000000
2001-08-22,38904525000
2001-08-23,39663324000
2001-08-24,39213189000
2001-08-27,38930247000
2001-08-28,38441529000
2001-08-29,38583000000
2001-08-30,38608722000
2001-08-31,38621583000
2001-09-04,39586158000
2001-09-05,39547575000
2001-09-06,39097440000
2001-09-07,38531556000
2001-09-10,37194012000
2001-09-17,36499518000
2001-09-18,36023661000
2001-09-19,36653850000
2001-09-20,35200557000
2001-09-21,34827588000
2001-09-24,34364592000
2001-09-25,33875874000
2001-09-26,33760125000
2001-09-27,34724700000
2001-09-28,34904754000
2001-10-01,34905876000
2001-10-02,35276264000
2001-10-03,36591780000
2001-10-04,36949396000
2001-10-05,36898308000
2001-10-08,36221392000
2001-10-09,36770588000
2001-10-10,37613540000
2001-10-11,38379860000
2001-10-12,37664628000
2001-10-15,37690172000
2001-10-16,37932840000
2001-10-17,37549680000
2001-10-18,37345328000
2001-10-19,36502376000
2001-10-22,36272480000
2001-10-23,35327352000
2001-10-24,35748828000
2001-10-25,36208620000
2001-10-26,36974940000
2001-10-29,34842016000
2001-10-30,33194427999
2001-10-31,33296604000
2001-11-01,33462640000
2001-11-02,34216188000
2001-11-05,34203416000
2001-11-06,34484400000
2001-11-07,34509944000
2001-11-08,33590360000
2001-11-09,33947975999
2001-11-12,34177872000
2001-11-13,35071912000
2001-11-14,35174088000
2001-11-15,36221392000
2001-11-16,35774372000
2001-11-19,35582792000
2001-11-20,34765384000
2001-11-21,34714296000
2001-11-23,35148544000
2001-11-26,34995280000
2001-11-27,34509944000
2001-11-28,34177872000
2001-11-29,34216188000
2001-11-30,34280048000
2001-12-03,34126784000
2001-12-04,34318364000
2001-12-05,35097456000
2001-12-06,35276264000
2001-12-07,34356680000
2001-12-10,34509944000
2001-12-11,33845800000
2001-12-12,32747408000
2001-12-13,32747408000
2001-12-14,34228960000
2001-12-17,33283832000
2001-12-18,33718080000
2001-12-19,33424324000
2001-12-20,32760180000
2001-12-21,33079480000
2001-12-24,33015620000
2001-12-26,33334920000
2001-12-27,34139556000
2001-12-28,33973520000
2001-12-31,33807484000
2002-01-02,33833027999
2002-01-03,34216188000
2002-01-04,34471628000
2002-01-07,34739840000
2002-01-08,34944192000
2002-01-09,34331136000
2002-01-10,34241732000
2002-01-11,33641448000
2002-01-14,33232744000
2002-01-15,33462640000
2002-01-16,33283832000
2002-01-17,33820256000
2002-01-18,33756396000
2002-01-22,34228960000
2002-01-23,34995280000
2002-01-24,33807484000
2002-01-25,32721864000
2002-01-28,33692536000
2002-01-29,33539272000
2002-01-30,34471628000
2002-01-31,34714296000
2002-02-01,34011836000
2002-02-04,33973520000
2002-02-05,34739840000
2002-02-06,34727068000
2002-02-07,34561032000
2002-02-08,34126784000
2002-02-11,34484400000
2002-02-12,34292820000
2002-02-13,34394996000
2002-02-14,34305592000
2002-02-15,34165100000
2002-02-19,33462640000
2002-02-20,34446084000
2002-02-21,33871344000
2002-02-22,34420540000
2002-02-25,34254504000
2002-02-26,33845800000
2002-02-27,33692536000
2002-02-28,33334920000
2002-03-01,33424324000
2002-03-04,34292820000
2002-03-05,35276264000
2002-03-06,35838232000
2002-03-07,35429528000
2002-03-08,35646652000
2002-03-11,35633880000
2002-03-12,36208620000
2002-03-13,35633880000
2002-03-14,35953180000
2002-03-15,36681184000
2002-03-18,36323568000
2002-03-19,36783360000
2002-03-20,36719500000
2002-03-21,36655640000
2002-03-22,35314580000
2002-03-25,34765384000
2002-03-26,35110228000
2002-03-27,35684968000
2002-03-28,35442300000
2002-04-01,34694700000
2002-04-02,35013000000
2002-04-03,35000268000
2002-04-04,35382228000
2002-04-05,36095220000
2002-04-08,36273468000
2002-04-09,35840580000
2002-04-10,35585940000
2002-04-11,35280372000
2002-04-12,35394960000
2002-04-15,34885680000
2002-04-16,35013000000
2002-04-17,34580112000
2002-04-18,36438984000
2002-04-19,36413520000
2002-04-22,36286200000
2002-04-23,36629964000
2002-04-24,36286200000
2002-04-25,36069756000
2002-04-26,35942436000
2002-04-29,35916972000
2002-04-30,36158880000
2002-05-01,36260736000
2002-05-02,36286200000
2002-05-03,37292028000
2002-05-06,37050120000
2002-05-07,37190172000
2002-05-08,36770016000
2002-05-09,37279296000
2002-05-10,37954092000
2002-05-13,38718012000
2002-05-14,38170536000
2002-05-15,38272392000
2002-05-16,38157804000
2002-05-17,38208732000
2002-05-20,38361516000
2002-05-21,38705280000
2002-05-22,39023580000
2002-05-23,38705280000
2002-05-24,38527032000
2002-05-28,38386980000
2002-05-29,38208732000
2002-05-30,37903164000
2002-05-31,38119608000
2002-06-03,37559400000
2002-06-04,37279296000
2002-06-05,38183268000
2002-06-06,38196000000
2002-06-07,38106876000
2002-06-10,38590692000
2002-06-11,37941360000
2002-06-12,37877700000
2002-06-13,37954092000
2002-06-14,37075584000
2002-06-17,37966824000
2002-06-18,37941360000
2002-06-19,38170536000
2002-06-20,37584864000
2002-06-21,36922800000
2002-06-24,37126512000
2002-06-25,36986460000
2002-06-26,36642696000
2002-06-27,36502644000
2002-06-28,36222540000
2002-07-01,35774110000
2002-07-02,35277601000
2002-07-03,34921133000
2002-07-05,35443104000
2002-07-08,35519490000
2002-07-09,35392180000
2002-07-10,35761379000
2002-07-11,34870209000
2002-07-12,34526472000
2002-07-15,33800805000
2002-07-16,33164255000
2002-07-17,32718670000
2002-07-18,31967541000
2002-07-19,30770827000
2002-07-22,29663230000
2002-07-23,30350704000
2002-07-24,30261587000
2002-07-25,27817235000
2002-07-26,29905118999
2002-07-29,31420108000
2002-07-30,31190950000
2002-07-31,31509225000
2002-08-01,30987254000
2002-08-02,30299780000
2002-08-05,30350704000
2002-08-06,29255838000
2002-08-07,29739616000
2002-08-08,28644750000
2002-08-09,28975756000
2002-08-12,29179452000
2002-08-13,28848446000
2002-08-14,29281300000
2002-08-15,30758096000
2002-08-16,30299780000
2002-08-19,31330991000
2002-08-20,31025447000
2002-08-21,31216412000
2002-08-22,31063640000
2002-08-23,30745365000
2002-08-26,30503476000
2002-08-27,30363435000
