,LHX
2000-01-03,1739036000
2000-01-04,1671514000
2000-01-05,1654978000
2000-01-06,1642576000
2000-01-07,1675648000
2000-01-10,1675648000
2000-01-11,1634308000
2000-01-12,1679782000
2000-01-13,1843764000
2000-01-14,1960894000
2000-01-18,1889238000
2000-01-19,1860300000
2000-01-20,1944358000
2000-01-21,1931956000
2000-01-24,1905774000
2000-01-25,1952626000
2000-01-26,2145546000
2000-01-27,2191020000
2000-01-28,2073890000
2000-01-31,1944358000
2000-02-01,2106962000
2000-02-02,2065622000
2000-02-03,2133144000
2000-02-04,2145546000
2000-02-07,2120742000
2000-02-08,2137278000
2000-02-09,2229604000
2000-02-10,2203422000
2000-02-11,2124876000
2000-02-14,2149680000
2000-02-15,2178618000
2000-02-16,2141412000
2000-02-17,2120742000
2000-02-18,2111096000
2000-02-22,2057354000
2000-02-23,2028416000
2000-02-24,2120742000
2000-02-25,2116608000
2000-02-28,2082158000
2000-02-29,2137278000
2000-03-01,2073890000
2000-03-02,2287480000
2000-03-03,2270944000
2000-03-06,2320552000
2000-03-07,2237872000
2000-03-08,2233738000
2000-03-09,2412878000
2000-03-10,2455596000
2000-03-13,2539654000
2000-03-14,2392208000
2000-03-15,2543788000
2000-03-16,2614066000
2000-03-17,2484534000
2000-03-20,2439060000
2000-03-21,2404610000
2000-03-22,2509338000
2000-03-23,2614066000
2000-03-24,2535520000
2000-03-27,2400476000
2000-03-28,2338466000
2000-03-29,2233738000
2000-03-30,2250274000
2000-03-31,2316418000
2000-04-03,2145546000
2000-04-04,2028416000
2000-04-05,2082158000
2000-04-06,2078024000
2000-04-07,2133144000
2000-04-10,2049086000
2000-04-11,2024282000
2000-04-12,1936090000
2000-04-13,1931956000
2000-04-14,1868568000
2000-04-17,1872702000
2000-04-18,1889238000
2000-04-19,1897506000
2000-04-20,1915420000
2000-04-24,1852032000
2000-04-25,1901640000
2000-04-26,2086292000
2000-04-27,2053220000
2000-04-28,2166216000
2000-05-01,2166216000
2000-05-02,2120742000
2000-05-03,2098694000
2000-05-04,2308150000
2000-05-05,2400476000
2000-05-08,2379806000
2000-05-09,2291614000
2000-05-10,2137278000
2000-05-11,2178618000
2000-05-12,2207556000
2000-05-15,2145546000
2000-05-16,2170350000
2000-05-17,2137278000
2000-05-18,2120742000
2000-05-19,2010502000
2000-05-22,1969162000
2000-05-23,1936090000
2000-05-24,1919554000
2000-05-25,1973296000
2000-05-26,1936090000
2000-05-30,1998100000
2000-05-31,2049086000
2000-06-01,2141412000
2000-06-02,2203422000
2000-06-05,2111096000
2000-06-06,2141412000
2000-06-07,2124876000
2000-06-08,2120742000
2000-06-09,2137278000
2000-06-12,2049086000
2000-06-13,2053220000
2000-06-14,2020148000
2000-06-15,2036684000
2000-06-16,2044952000
2000-06-19,2024282000
2000-06-20,2057354000
2000-06-21,2120742000
2000-06-22,2120742000
2000-06-23,2170350000
2000-06-26,2106962000
2000-06-27,2141412000
2000-06-28,2246140000
2000-06-29,2195154000
2000-06-30,2176038000
2000-07-03,2226580000
2000-07-05,2159646000
2000-07-06,2206090000
2000-07-07,2279854000
2000-07-10,2322200000
2000-07-11,2267560000
2000-07-12,2363180000
2000-07-13,2458800000
2000-07-14,2483388000
2000-07-17,2446506000
2000-07-18,2375474000
2000-07-19,2322200000
2000-07-20,2318102000
2000-07-21,2275756000
2000-07-24,2259364000
2000-07-25,2230678000
2000-07-26,2210188000
2000-07-27,2222482000
2000-07-28,2288050000
2000-07-31,2275756000
2000-08-01,2226580000
2000-08-02,2110470000
2000-08-03,2059928000
2000-08-04,2098176000
2000-08-07,2114568000
2000-08-08,1980700000
2000-08-09,1972504000
2000-08-10,1972504000
2000-08-11,1980700000
2000-08-14,1976602000
2000-08-15,1988896000
2000-08-16,1984798000
2000-08-17,1992994000
2000-08-18,2027144000
2000-08-21,1992994000
2000-08-22,1992994000
2000-08-23,1956112000
2000-08-24,1939720000
2000-08-25,1935622000
2000-08-28,1976602000
2000-08-29,2014850000
2000-08-30,1988896000
2000-08-31,1998458000
2000-09-01,2027144000
2000-09-05,2006654000
2000-09-06,2002556000
2000-09-07,2006654000
2000-09-08,1923328000
2000-09-11,2010752000
2000-09-12,1927426000
2000-09-13,1889178000
2000-09-14,1935622000
2000-09-15,1902838000
2000-09-18,1794924000
2000-09-19,1815414000
2000-09-20,1827708000
2000-09-21,1744382000
2000-09-22,1727990000
2000-09-25,1756676000
2000-09-26,1815414000
2000-09-27,1856394000
2000-09-28,1889178000
2000-09-29,1836624000
2000-10-02,1841936000
2000-10-03,1816704000
2000-10-04,1760928000
2000-10-05,1731712000
2000-10-06,1634768000
2000-10-09,1663984000
2000-10-10,1590944000
2000-10-11,1486032000
2000-10-12,1466112000
2000-10-13,1482048000
2000-10-16,1486032000
2000-10-17,1436896000
