,CA
2023-12-15,22599822
2023-12-18,22599822
2023-12-19,22635653
2023-12-20,22689398
2023-12-21,22689398
2023-12-22,22680440
2023-12-26,22689398
2023-12-27,22761058
2023-12-28,22716270
2023-12-29,22752100
2024-01-02,22707313
2024-01-03,22752100
2024-01-04,22707313
2024-01-05,22698355
2024-01-08,22761058
2024-01-09,22743143
2024-01-10,22725228
2024-01-11,22752100
2024-01-12,22743143
2024-01-16,22689398
2024-01-17,22635653
2024-01-18,22581907
2024-01-19,22546077
2024-01-22,22563992
2024-01-23,22528162
2024-01-24,22537120
2024-01-25,22555035
2024-01-26,22546077
2024-01-29,22617738
2024-01-30,22644610
2024-01-31,22770015
2024-02-01,22850633
2024-02-02,22680440
2024-02-05,22581907
2024-02-06,22626695
2024-02-07,22617738
2024-02-08,22617738
2024-02-09,22617738
2024-02-12,22662525
2024-02-13,22546077
2024-02-14,22608780
2024-02-15,22626695
2024-02-16,22608780
2024-02-20,22635653
2024-02-21,22635653
2024-02-22,22626695
2024-02-23,22662525
2024-02-26,22662525
2024-02-27,22617738
2024-02-28,22671483
2024-02-29,22671483
2024-03-01,22644610
2024-03-04,22644610
2024-03-05,22662525
2024-03-06,22671483
2024-03-07,22689398
2024-03-08,22707313
2024-03-11,22707313
2024-03-13,22698355
2024-03-14,22644610
2024-03-15,22635653
2024-03-18,22635653
2024-03-19,22644610
2024-03-20,22617738
2024-03-21,22608780
2024-03-22,22635653
2024-03-25,22599822
2024-03-26,22572950
2024-03-27,22581907
2024-03-28,22599822
2024-04-01,22456502
2024-04-02,22393800
2024-04-03,22322139
2024-04-04,22438587
2024-04-05,22304224
2024-04-08,22375884
2024-04-09,22357969
2024-04-10,22259437
2024-04-11,22268394
2024-04-12,22313182
2024-04-15,22304224
2024-04-16,22295267
2024-04-17,22317661
2024-04-18,22357969
2024-04-19,22250479
2024-04-22,22259437
2024-04-23,22349012
2024-04-24,22322139
2024-04-25,22232564
2024-04-26,22254958
2024-04-29,22277352
2024-04-30,22259437
2024-05-01,22228354
2024-05-02,22259437
2024-05-03,22295267
2024-05-06,22273912
2024-05-07,22327477
2024-05-08,22370360
2024-05-09,22370360
2024-05-10,22343558
2024-05-13,22335488
2024-05-14,22357801
2024-05-15,22411352
2024-05-16,22371261
2024-05-17,22344459
2024-05-20,22523314
2024-05-21,22496254
2024-05-22,22433113
2024-05-23,22365461
2024-05-24,22369082
2024-05-28,22415456
2024-05-29,22331216
2024-05-30,22340260
2024-05-31,22345673
2024-06-03,22078640
2024-06-04,22096467
2024-06-05,22158861
2024-06-06,22298180
2024-06-07,22244536
2024-06-10,22082640
2024-06-11,22144820
2024-06-12,22189234
2024-06-13,22255788
2024-06-14,22277968
2024-06-17,22247841
2024-06-18,22301108
2024-06-20,22241619
2024-06-21,22272695
2024-06-24,22342288
2024-06-25,22338549
2024-06-26,22284429
2024-06-27,22284735
2024-06-28,22363466
2024-07-01,22459267
2024-07-02,22486337
2024-07-03,22540478
2024-07-05,22569136
2024-07-08,22488017
2024-07-09,22488017
2024-07-10,22514938
2024-07-11,22469162
2024-07-12,22478125
2024-07-15,22470968
2024-07-16,22542674
2024-07-17,22542674
2024-07-18,22520249
2024-07-19,22466480
2024-07-22,22545401
2024-07-23,22521184
2024-07-24,22485308
2024-07-25,22530153
2024-07-26,22543579
2024-07-29,22504995
2024-07-30,22504995
2024-07-31,22540817
2024-08-01,22540817
2024-08-02,22599944
2024-08-05,22797042
2024-08-06,22761084
2024-08-07,22716137
2024-08-08,22624457
2024-08-09,22579513
