,ROST
2000-01-03,1538324327
2000-01-04,1474522857
2000-01-05,1509968118
2000-01-06,1346919918
2000-01-07,1332741813
2000-01-10,1354008970
2000-01-11,1290207500
2000-01-12,1205138874
2000-01-13,1155515508
2000-01-14,1205138874
2000-01-18,1134248352
2000-01-19,1084624986
2000-01-20,1155515508
2000-01-21,1190960769
2000-01-24,1112981195
2000-01-25,1112981195
2000-01-26,1169693613
2000-01-27,1148426456
2000-01-28,1141337404
2000-01-31,1084850640
2000-02-01,1084850640
2000-02-02,1071204720
2000-02-03,1323654240
2000-02-04,1282716480
2000-02-07,1282716480
2000-02-08,1303185360
2000-02-09,1289539440
2000-02-10,1269070560
2000-02-11,1255424640
2000-02-14,1255424640
2000-02-15,1207663920
2000-02-16,1159903200
2000-02-17,1084850640
2000-02-18,1112142480
2000-02-22,1112142480
2000-02-23,1132611360
2000-02-24,1118965440
2000-02-25,1166726160
2000-02-28,1323654240
2000-02-29,1234955760
2000-03-01,1241778720
2000-03-02,1501051200
2000-03-03,1439644560
2000-03-06,1494228240
2000-03-07,1446467520
2000-03-08,1432821600
2000-03-09,1419175680
2000-03-10,1398706799
2000-03-13,1412352720
2000-03-14,1487405280
2000-03-15,1617041520
2000-03-16,1883136959
2000-03-17,1746677760
2000-03-20,1664802240
2000-03-21,1801261440
2000-03-22,1739854799
2000-03-23,1739854799
2000-03-24,1726208879
2000-03-27,1794438480
2000-03-28,1801261440
2000-03-29,1985481360
2000-03-30,1889959920
2000-03-31,2053710959
2000-04-03,1910428799
2000-04-04,1862668080
2000-04-05,1842199200
2000-04-06,1862668080
2000-04-07,1883136959
2000-04-10,1937720640
2000-04-11,2033242080
2000-04-12,2019596160
2000-04-13,2026419120
2000-04-14,1930897680
2000-04-17,1842199200
2000-04-18,1814907360
2000-04-19,1910428799
2000-04-20,1794438480
2000-04-24,1780792560
2000-04-25,1794438480
2000-04-26,1767146640
2000-04-27,1705740000
2000-04-28,1767146640
2000-05-01,1774224320
2000-05-02,1741123120
2000-05-03,1621958800
2000-05-04,1694781440
2000-05-05,1741123120
2000-05-08,1741123120
2000-05-09,1800705280
2000-05-10,1767604080
2000-05-11,1794085040
2000-05-12,1840426719
2000-05-15,1900008880
2000-05-16,1866907680
2000-05-17,1714642160
2000-05-18,1721262400
2000-05-19,1741123120
2000-05-22,1767604080
2000-05-23,1780844560
2000-05-24,1648439760
2000-05-25,1688161200
2000-05-26,1668300480
2000-05-30,1734502880
2000-05-31,1747743360
2000-06-01,1575617120
2000-06-02,1535895680
2000-06-05,1535895680
2000-06-06,1522655200
2000-06-07,1482933760
2000-06-08,1383630160
2000-06-09,1383630160
2000-06-12,1337288480
2000-06-13,1304187280
2000-06-14,1237984880
2000-06-15,1324048000
2000-06-16,1357149200
2000-06-19,1310807520
2000-06-20,1350528960
2000-06-21,1297567040
2000-06-22,1350528960
2000-06-23,1403490880
2000-06-26,1416731360
2000-06-27,1482933760
2000-06-28,1516034960
2000-06-29,1443212320
2000-06-30,1410111120
2000-07-03,1429971840
2000-07-05,1390250400
2000-07-06,1224744400
2000-07-07,1224744400
2000-07-10,1237984880
2000-07-11,1244605120
2000-07-12,1337288480
2000-07-13,1324048000
2000-07-14,1396870640
2000-07-17,1343908719
2000-07-18,1310807520
2000-07-19,1271086080
2000-07-20,1244605120
2000-07-21,1284326560
2000-07-24,1317427760
2000-07-25,1284326560
2000-07-26,1330668239
2000-07-27,1337288480
2000-07-28,1284326560
2000-07-31,1257016320
2000-08-01,1276657200
2000-08-02,1250469360
2000-08-03,1230828480
2000-08-04,1230828480
2000-08-07,1315938959
2000-08-08,1322485920
2000-08-09,1368314640
2000-08-10,1315938959
2000-08-11,1342126800
2000-08-14,1381408560
2000-08-15,1355220720
2000-08-16,1237375440
2000-08-17,1204640640
2000-08-18,1230828480
2000-08-21,1230828480
2000-08-22,1276657200
2000-08-23,1302845040
2000-08-24,1263563280
2000-08-25,1283204160
2000-08-28,1263563280
2000-08-29,1270110240
2000-08-30,1270110240
2000-08-31,1237375440
2000-09-01,1309392000
2000-09-05,1296298080
2000-09-06,1302845040
2000-09-07,1230828480
2000-09-08,1342126800
2000-09-11,1322485920
2000-09-12,1309392000
2000-09-13,1283204160
2000-09-14,1276657200
2000-09-15,1276657200
2000-09-18,1237375440
2000-09-19,1204640640
2000-09-20,1204640640
2000-09-21,1178452800
2000-09-22,1165358880
2000-09-25,1165358880
2000-09-26,1158811920
2000-09-27,1152264960
2000-09-28,1165358880
2000-09-29,1178452800
2000-10-02,1184999760
2000-10-03,1152264960
2000-10-04,1191546720
2000-10-05,1230828480
2000-10-06,1132624080
2000-10-09,1158811920
2000-10-10,1145718000
2000-10-11,1132624080
2000-10-12,1086795360
2000-10-13,1158811920
2000-10-16,1093342320
2000-10-17,1086795360
2000-10-18,1067154479
2000-10-19,1139171040
2000-10-20,1099889280
2000-10-23,1112983200
2000-10-24,1093342320
2000-10-25,1086795360
2000-10-26,1067154479
2000-10-27,1067154479
2000-10-30,1051023999
2000-10-31,1063920000
2000-11-01,1115504000
2000-11-02,1328288000
2000-11-03,1347632000
2000-11-06,1341184000
2000-11-07,1386320000
2000-11-08,1444352000
2000-11-09,1366976000
2000-11-10,1341184000
2000-11-13,1457247999
2000-11-14,1366976000
2000-11-15,1373424000
2000-11-16,1347632000
2000-11-17,1347632000
2000-11-20,1289600000
2000-11-21,1283152000
2000-11-22,1289600000
2000-11-24,1283152000
2000-11-27,1321840000
2000-11-28,1244464000
2000-11-29,1250912000
2000-11-30,1238016000
2000-12-01,1257360000
2000-12-04,1289600000
2000-12-05,1321840000
2000-12-06,1354080000
2000-12-07,1354080000
2000-12-08,1412112000
2000-12-11,1334736000
2000-12-12,1334736000
2000-12-13,1302496000
2000-12-14,1283152000
2000-12-15,1270256000
2000-12-18,1276704000
2000-12-19,1289600000
2000-12-20,1244464000
2000-12-21,1283152000
2000-12-22,1347632000
2000-12-26,1321840000
2000-12-27,1373424000
2000-12-28,1373424000
2000-12-29,1360528000
2001-01-02,1354080000
2001-01-03,1412112000
2001-01-04,1547520000
2001-01-05,1541072000
2001-01-08,1566864000
2001-01-09,1502384000
2001-01-10,1579760000
2001-01-11,1612000000
2001-01-12,1605552000
2001-01-16,1657136000
2001-01-17,1740960000
2001-01-18,1682928000
