,KO
2000-01-03,139371360000
2000-01-04,138135360000
2000-01-05,140755680000
2000-01-06,140904000000
2000-01-07,150198720000
2000-01-10,145403040000
2000-01-11,150347040000
2000-01-12,152028000000
2000-01-13,149704320000
2000-01-14,150940320000
2000-01-18,160680000000
2000-01-19,161322720000
2000-01-20,162855360000
2000-01-21,165327360000
2000-01-24,160383360000
2000-01-25,162855360000
2000-01-26,155884320000
2000-01-27,147084000000
2000-01-28,140755680000
2000-01-31,141991680000
2000-02-01,143672640000
2000-02-02,139371360000
2000-02-03,136602720000
2000-02-04,139074720000
2000-02-07,140607360000
2000-02-08,141348960000
2000-02-09,140904000000
2000-02-10,140112960000
2000-02-11,137344320000
2000-02-14,134130720000
2000-02-15,137640960000
2000-02-16,132894720000
2000-02-17,129335040000
2000-02-18,127011360000
2000-02-22,127950720000
2000-02-23,126714720000
2000-02-24,123155040000
2000-02-25,120336960000
2000-02-28,121919040000
2000-02-29,120188640000
2000-03-01,126072000000
2000-03-02,122660640000
2000-03-03,123896640000
2000-03-06,121128000000
2000-03-07,117568320000
2000-03-08,117420000000
2000-03-09,115244640000
2000-03-10,112476000000
2000-03-13,108174720000
2000-03-14,107235360000
2000-03-15,117568320000
2000-03-16,123006720000
2000-03-17,121424640000
2000-03-20,120040320000
2000-03-21,122215680000
2000-03-22,116332320000
2000-03-23,116184000000
2000-03-24,116184000000
2000-03-27,111882720000
2000-03-28,110943360000
2000-03-29,115887360000
2000-03-30,120040320000
2000-03-31,116176500000
2000-04-03,122067000000
2000-04-04,129640500000
2000-04-05,117859500000
2000-04-06,113256000000
2000-04-07,114295500000
2000-04-10,111375000000
2000-04-11,118206000000
2000-04-12,120037500000
2000-04-13,116968500000
2000-04-14,116325000000
2000-04-17,120037500000
2000-04-18,118008000000
2000-04-19,121720500000
2000-04-20,122364000000
2000-04-24,122809500000
2000-04-25,124987500000
2000-04-26,122364000000
2000-04-27,119443500000
2000-04-28,116968500000
2000-05-01,114493500000
2000-05-02,114493500000
2000-05-03,120037500000
2000-05-04,120037500000
2000-05-05,116473500000
2000-05-08,120037500000
2000-05-09,124987500000
2000-05-10,130729500000
2000-05-11,132561000000
2000-05-12,129343500000
2000-05-15,128403000000
2000-05-16,121126500000
2000-05-17,119443500000
2000-05-18,122364000000
2000-05-19,123898500000
2000-05-22,125433000000
2000-05-23,123750000000
2000-05-24,130383000000
2000-05-25,130383000000
2000-05-26,135036000000
2000-05-30,133353000000
2000-05-31,132115500000
2000-06-01,131818500000
2000-06-02,130086000000
2000-06-05,128700000000
2000-06-06,127759500000
2000-06-07,131175000000
2000-06-08,130729500000
2000-06-09,129492000000
2000-06-12,130234500000
2000-06-13,132412500000
2000-06-14,131175000000
2000-06-15,138303000000
2000-06-16,137362500000
2000-06-19,134590500000
2000-06-20,131026500000
2000-06-21,132412500000
2000-06-22,138748500000
2000-06-23,143253000000
2000-06-26,146668500000
2000-06-27,143104500000
2000-06-28,148500000000
2000-06-29,145579500000
2000-06-30,142336320000
2000-07-03,144665640000
2000-07-05,145607280000
2000-07-06,146053320000
2000-07-07,145607280000
2000-07-10,142633680000
2000-07-11,139214040000
2000-07-12,139560960000
2000-07-13,143575320000
2000-07-14,143277960000
2000-07-17,142187640000
2000-07-18,144170040000
2000-07-19,149919000000
2000-07-20,149770320000
2000-07-21,150365040000
2000-07-24,146648040000
2000-07-25,146846280000
2000-07-26,145755960000
2000-07-27,149770320000
2000-07-28,155321040000
2000-07-31,151950960000
2000-08-01,156411360000
2000-08-02,155965320000
2000-08-03,155321040000
2000-08-04,154280280000
2000-08-07,151950960000
2000-08-08,151009320000
2000-08-09,148233960000
2000-08-10,151158000000
2000-08-11,154280280000
2000-08-14,156262680000
2000-08-15,153338640000
2000-08-16,150365040000
2000-08-17,147887040000
2000-08-18,148531320000
2000-08-21,148233960000
2000-08-22,145904640000
2000-08-23,145904640000
2000-08-24,143575320000
2000-08-25,138768000000
2000-08-28,141246000000
2000-08-29,139560960000
2000-08-30,134258040000
2000-08-31,130392360000
2000-09-01,134456280000
2000-09-05,138619320000
2000-09-06,134604960000
2000-09-07,133812000000
2000-09-08,135199680000
2000-09-11,131334000000
2000-09-12,133019040000
2000-09-13,130739280000
