,AVB
2000-01-03,2256222116
2000-01-04,2206364527
2000-01-05,2226972331
2000-01-06,2302091099
2000-01-07,2359925903
2000-01-10,2389175688
2000-01-11,2339318099
2000-01-12,2335329492
2000-01-13,2326687510
2000-01-14,2326687510
2000-01-18,2285471902
2000-01-19,2363914510
2000-01-20,2339318099
2000-01-21,2343306706
2000-01-24,2343306706
2000-01-25,2343306706
2000-01-26,2335329492
2000-01-27,2339318099
2000-01-28,2310068313
2000-01-31,2293449117
2000-02-01,2293449117
2000-02-02,2293449117
2000-02-03,2285471902
2000-02-04,2297437724
2000-02-07,2293449117
2000-02-08,2285471902
2000-02-09,2280818527
2000-02-10,2280818527
2000-02-11,2276829920
2000-02-14,2285471902
2000-02-15,2276829920
2000-02-16,2268852706
2000-02-17,2276829920
2000-02-18,2272841313
2000-02-22,2272841313
2000-02-23,2260210724
2000-02-24,2256222116
2000-02-25,2260210724
2000-02-28,2243591527
2000-02-29,2243591527
2000-03-01,2276829920
2000-03-02,2256222116
2000-03-03,2276829920
2000-03-06,2268852706
2000-03-07,2293449117
2000-03-08,2268852706
2000-03-09,2260210724
2000-03-10,2289460509
2000-03-13,2276829920
2000-03-14,2260210724
2000-03-15,2280818527
2000-03-16,2306079706
2000-03-17,2314056920
2000-03-20,2347295313
2000-03-21,2339318099
2000-03-22,2343306706
2000-03-23,2393164296
2000-03-24,2376545099
2000-03-27,2376545099
2000-03-28,2397152903
2000-03-29,2426402689
2000-03-30,2418425474
2000-03-31,2421188274
2000-04-03,2404663648
2000-04-04,2412595469
2000-04-05,2433086005
2000-04-06,2445644722
2000-04-07,2474728064
2000-04-10,2478693975
2000-04-11,2499184511
2000-04-12,2487286780
2000-04-13,2503811407
2000-04-14,2503811407
2000-04-17,2433086005
2000-04-18,2503811407
2000-04-19,2511743228
2000-04-20,2499184511
2000-04-24,2507777317
2000-04-25,2515709138
2000-04-26,2528267854
2000-04-27,2565283017
2000-04-28,2586434539
2000-05-01,2606925076
2000-05-02,2631381523
2000-05-03,2643940240
2000-05-04,2647906150
2000-05-05,2652533045
2000-05-08,2664430776
2000-05-09,2680955403
2000-05-10,2660464866
2000-05-11,2656498956
2000-05-12,2689548209
2000-05-15,2702106925
2000-05-16,2697480029
2000-05-17,2676989493
2000-05-18,2680955403
2000-05-19,2669057672
2000-05-22,2660464866
2000-05-23,2656498956
2000-05-24,2660464866
2000-05-25,2639974329
2000-05-26,2639974329
2000-05-30,2631381523
2000-05-31,2627415613
2000-06-01,2623449703
2000-06-02,2636008419
2000-06-05,2639974329
2000-06-06,2643940240
2000-06-07,2673023582
2000-06-08,2697480029
2000-06-09,2706072835
2000-06-12,2735156178
2000-06-13,2743087999
2000-06-14,2801254684
2000-06-15,2792661878
2000-06-16,2751680804
2000-06-19,2759612625
2000-06-20,2759612625
2000-06-21,2751680804
2000-06-22,2743087999
2000-06-23,2747053909
2000-06-26,2768205431
2000-06-27,2780103162
2000-06-28,2772171341
2000-06-29,2792661878
2000-06-30,2775992820
2000-07-03,2792615532
2000-07-05,2846473117
2000-07-06,2875729089
2000-07-07,2867750187
2000-07-10,2879718540
2000-07-11,2884372899
2000-07-12,2884372899
2000-07-13,2867750187
2000-07-14,2879718540
2000-07-17,2859106378
2000-07-18,2888362350
2000-07-19,2892351801
2000-07-20,2992088070
2000-07-21,3029322943
2000-07-24,3054589465
2000-07-25,3045945655
2000-07-26,3129059212
2000-07-27,3162304635
2000-07-28,3141692473
2000-07-31,3133713571
2000-08-01,3174937896
2000-08-02,3183581706
2000-08-03,3158315185
2000-08-04,3125069762
2000-08-07,3117090860
2000-08-08,3100468148
2000-08-09,3125069762
2000-08-10,3117090860
2000-08-11,3108447050
2000-08-14,3104457599
2000-08-15,3095813789
2000-08-16,3108447050
2000-08-17,3104457599
2000-08-18,3079191078
2000-08-21,3062568366
2000-08-22,3054589465
2000-08-23,3012700232
2000-08-24,2979454809
2000-08-25,3008710781
2000-08-28,2988098619
2000-08-29,2925597224
2000-08-30,3004721330
2000-08-31,2971475907
2000-09-01,2967486456
2000-09-05,2971475907
2000-09-06,3021344042
2000-09-07,3033977302
2000-09-08,3087834888
2000-09-11,3104457599
2000-09-12,3129059212
2000-09-13,3133713571
2000-09-14,3129059212
2000-09-15,3137703022
2000-09-18,3125069762
2000-09-19,3129059212
2000-09-20,3137703022
2000-09-21,3129059212
2000-09-22,3137703022
2000-09-25,3112436501
2000-09-26,3137703022
2000-09-27,3187571157
2000-09-28,3187571157
2000-09-29,3170948445
2000-10-02,3128081033
2000-10-03,3132783904
2000-10-04,3069631065
2000-10-05,3086427033
2000-10-06,3082396001
2000-10-09,3082396001
2000-10-10,3086427033
2000-10-11,3077693130
2000-10-12,3023274195
2000-10-13,3006478227
2000-10-16,3006478227
2000-10-17,3036039130
2000-10-18,3032008098
2000-10-19,3060897162
2000-10-20,3073662098
2000-10-23,3065600033
2000-10-24,3019243162
2000-10-25,3010509259
2000-10-26,3048804065
2000-10-27,3086427033
2000-10-30,3069631065
2000-10-31,3086427033
2000-11-01,3082396001
2000-11-02,3077693130
2000-11-03,3069631065
2000-11-06,3082396001
2000-11-07,3086427033
2000-11-08,3069631065
2000-11-09,3065600033
2000-11-10,3040070162
2000-11-13,3048804065
2000-11-14,3073662098
2000-11-15,3086427033
2000-11-16,3103223001
2000-11-17,3103223001
2000-11-20,3086427033
2000-11-21,3090458066
2000-11-22,3065600033
2000-11-24,3052835098
2000-11-27,3048804065
2000-11-28,3060897162
2000-11-29,3073662098
2000-11-30,3144877001
2000-12-01,3128081033
2000-12-04,3153610904
2000-12-05,3220794775
2000-12-06,3212060872
2000-12-07,3216763743
2000-12-08,3241621775
2000-12-11,3275213711
2000-12-12,3267151646
2000-12-13,3254386711
2000-12-14,3279244743
2000-12-15,3292009679
2000-12-18,3371958485
2000-12-19,3375989517
2000-12-20,3329632646
2000-12-21,3296040711
2000-12-22,3208029840
2000-12-26,3241621775
2000-12-27,3308805646
2000-12-28,3359193550
2000-12-29,3367927453
2001-01-02,3325601614
2001-01-03,3325601614
2001-01-04,3308805646
2001-01-05,3228856840
2001-01-08,3216763743
2001-01-09,3233559711
2001-01-10,3212060872
2001-01-11,3212060872
2001-01-12,3191233872
2001-01-16,3128081033
2001-01-17,3170406872
2001-01-18,3191233872
2001-01-19,3191233872
2001-01-22,3161672969
2001-01-23,3174437904
2001-01-24,3128081033
2001-01-25,3187202840
2001-01-26,3157641937
2001-01-29,3178468937
2001-01-30,3242293614
2001-01-31,3264464291
2001-02-01,3242965453
2001-02-02,3224825808
2001-02-05,3208029840
2001-02-06,3187874678
2001-02-07,3122706324
2001-02-08,3117331614
2001-02-09,3090458066
2001-02-12,3064256356
2001-02-13,3087098872
2001-02-14,3109941388
2001-02-15,3119347130
2001-02-16,3117331614
2001-02-20,3110613227
2001-02-21,3087098872
2001-02-22,3059553485
2001-02-23,3107254033
2001-02-26,3124050001
2001-02-27,3161672969
2001-02-28,3190562033
2001-03-01,3232216033
2001-03-02,3284619453
2001-03-05,3305446453
2001-03-06,3271854517
2001-03-07,3278572904
2001-03-08,3268495324
2001-03-09,3275885549
2001-03-12,3278572904
2001-03-13,3281932098
2001-03-14,3279916582
2001-03-15,3260433259
2001-03-16,3269167162
2001-03-19,3274541872
2001-03-20,3297384388
2001-03-21,3220794775
2001-03-22,3189218356
2001-03-23,3181156291
2001-03-26,3234231549
2001-03-27,3207358001
2001-03-28,3099863807
2001-03-29,3093145420
2001-03-30,3077693130
2001-04-02,3082578241
2001-04-03,3029279120
2001-04-04,2995545500
2001-04-05,3028604448
2001-04-06,2968558604
2001-04-09,2985425414
2001-04-10,2967883931
2001-04-11,2901091363
2001-04-12,2901091363
2001-04-16,2877477828
2001-04-17,2901091363
2001-04-18,2976654672
2001-04-19,2968558604
2001-04-20,2940222362
2001-04-23,2932126293
2001-04-24,2995545500
2001-04-25,2998918862
2001-04-26,3046145931
2001-04-27,3060314051
2001-04-30,3063012741
2001-05-01,3071108810
2001-05-02,3038724534
2001-05-03,3049519293
2001-05-04,3047495275
2001-05-07,3036025845
2001-05-08,3038724534
2001-05-09,3016460345
2001-05-10,2995545500
2001-05-11,2988124103
2001-05-14,2978678690
2001-05-15,2992172138
2001-05-16,2996220172
2001-05-17,3045471258
2001-05-18,3075156844
2001-05-21,3071783482
2001-05-22,3081228896
2001-05-23,3130479982
2001-05-24,3145322775
2001-05-25,3156792206
2001-05-29,3133178672
2001-05-30,3105517103
2001-05-31,3125757275
2001-06-01,3110239810
2001-06-04,3137226706
2001-06-05,3143973430
2001-06-06,3149370809
2001-06-07,3150720154
2001-06-08,3140600068
2001-06-11,3132503999
2001-06-12,3126431947
2001-06-13,3137901378
2001-06-14,3128455965
2001-06-15,3110914482
2001-06-18,3094047672
2001-06-19,3100119723
2001-06-20,3137226706
2001-06-21,3189851154
2001-06-22,3181080413
2001-06-25,3150720154
2001-06-26,3175008361
2001-06-27,3138576051
2001-06-28,3170960327
2001-06-29,3154093516
2001-07-02,3236804834
2001-07-03,3239528844
2001-07-05,3236123832
2001-07-06,3259958919
2001-07-09,3245657867
2001-07-10,3234761827
2001-07-11,3214331752
2001-07-12,3207521727
2001-07-13,3241571852
2001-07-16,3204116715
2001-07-17,3200711703
2001-07-18,3231356815
2001-07-19,3214331752
2001-07-20,3214331752
2001-07-23,3212969747
2001-07-24,3209564735
2001-07-25,3244295862
2001-07-26,3251786889
2001-07-27,3255872904
2001-07-30,3255191902
2001-07-31,3258596914
2001-08-01,3290604031
2001-08-02,3320568141
2001-08-03,3336231198
2001-08-06,3349170245
2001-08-07,3359385283
2001-08-08,3369600320
2001-08-09,3362790295
2001-08-10,3398202425
2001-08-13,3394797412
2001-08-14,3405012450
2001-08-15,3405012450
2001-08-16,3405012450
2001-08-17,3405012450
2001-08-20,3421356509
2001-08-21,3488094753
2001-08-22,3486051746
2001-08-23,3534402923
2001-08-24,3476517711
2001-08-27,3452682624
2001-08-28,3475836708
2001-08-29,3466302674
2001-08-30,3450639616
2001-08-31,3438381572
2001-09-04,3397521422
2001-09-05,3381858365
2001-09-06,3328059168
2001-09-07,3349851248
2001-09-10,3333507188
2001-09-17,3224546790
2001-09-18,3276983981
2001-09-19,3200711703
2001-09-20,3108776366
2001-09-21,3033866092
2001-09-24,3044081130
2001-09-25,3091070302
2001-09-26,3193220675
2001-09-27,3189815663
2001-09-28,3251786889
2001-10-01,3287598058
2001-10-02,3300638635
2001-10-03,3129738444
2001-10-04,3192195943
2001-10-05,3214845366
2001-10-08,3192882289
2001-10-09,3191509597
2001-10-10,3199745751
2001-10-11,3238867481
2001-10-12,3230631328
2001-10-15,3260144212
2001-10-16,3261516904
2001-10-17,3242985558
2001-10-18,3187391520
2001-10-19,3146210751
2001-10-22,3095421136
2001-10-23,3095421136
2001-10-24,3052867675
2001-10-25,3071399021
2001-10-26,3122874982
2001-10-29,3120815944
2001-10-30,3099539213
2001-10-31,3116011521
2001-11-01,3180528059
2001-11-02,3115325174
2001-11-05,3129738444
2001-11-06,3190823251
2001-11-07,3164742097
2001-11-08,3188077866
2001-11-09,3184646136
2001-11-12,3205236520
2001-11-13,3269066712
2001-11-14,3249849020
2001-11-15,3279361904
2001-11-16,3268380366
2001-11-19,3294461520
2001-11-20,3297893250
2001-11-21,3298579596
2001-11-23,3304756712
2001-11-26,3292402481
2001-11-27,3298579596
2001-11-28,3311620173
2001-11-29,3302697673
2001-11-30,3318483635
2001-12-03,3291716135
2001-12-04,3328092481
2001-12-05,3369273250
2001-12-06,3390549981
2001-12-07,3398786134
2001-12-10,3386431904
2001-12-11,3379568442
2001-12-12,3326719789
2001-12-13,3320542673
2001-12-14,3318483635
2001-12-17,3307502096
2001-12-18,3328778827
2001-12-19,3317110942
2001-12-20,3256712481
2001-12-21,3258771520
2001-12-24,3250535366
2001-12-26,3260144212
2001-12-27,3239553828
2001-12-28,3248476327
2001-12-31,3247103635
2002-01-02,3232004020
2002-01-03,3266321327
2002-01-04,3258085174
2002-01-07,3249849020
2002-01-08,3245730943
2002-01-09,3238181135
2002-01-10,3207981905
2002-01-11,3181900751
2002-01-14,3166801136
2002-01-15,3151015174
2002-01-16,3150328828
2002-01-17,3146210751
2002-01-18,3111893444
2002-01-22,3113952482
2002-01-23,3107775367
2002-01-24,3099539213
2002-01-25,3089930367
2002-01-28,3063849213
2002-01-29,3050122290
2002-01-30,3061103829
2002-01-31,3085125944
2002-02-01,3119443251
2002-02-04,3151015174
2002-02-05,3154446905
2002-02-06,3157192290
2002-02-07,3137288251
2002-02-08,3151015174
2002-02-11,3179155366
2002-02-12,3118070559
2002-02-13,3142779020
2002-02-14,3166801136
2002-02-15,3155133251
2002-02-19,3133170174
2002-02-20,3155819597
2002-02-21,3133856520
2002-02-22,3165428443
2002-02-25,3186018828
2002-02-26,3198373059
2002-02-27,3190823251
2002-02-28,3166801136
2002-03-01,3222395174
2002-03-04,3254653443
2002-03-05,3328778827
2002-03-06,3363782481
2002-03-07,3365155173
2002-03-08,3360350750
2002-03-11,3352800942
2002-03-12,3344564788
2002-03-13,3363782481
2002-03-14,3410454019
2002-03-15,3438594211
2002-03-18,3433789788
2002-03-19,3438594211
2002-03-20,3435162480
2002-03-21,3477029595
2002-03-22,3451634788
2002-03-25,3439966903
2002-03-26,3448889403
2002-03-27,3438594211
2002-03-28,3418003827
2002-04-01,3428827758
2002-04-02,3464580524
