,REGN
2001-02-07,1265737125
2001-02-08,1249359750
2001-02-09,1202567250
2001-02-12,1307850375
2001-02-13,1254039000
2001-02-14,1298491875
2001-02-15,1272756000
2001-02-16,1265737125
2001-02-20,1195548375
2001-02-21,1204906875
2001-02-22,1158114375
2001-02-23,1197888000
2001-02-26,1232982375
2001-02-27,1218944625
2001-02-28,1174491750
2001-03-01,1104303000
2001-03-02,1123020000
2001-03-05,1092604875
2001-03-06,1045227468
2001-03-07,1034114250
2001-03-08,992001000
2001-03-09,973868906
2001-03-12,842265000
2001-03-13,886717875
2001-03-14,875019750
2001-03-15,898416000
2001-03-16,858642375
2001-03-19,940529250
2001-03-20,907774500
2001-03-21,856302750
2001-03-22,879699000
2001-03-23,893736750
2001-03-26,921812250
2001-03-27,912453750
2001-03-28,917133000
2001-03-29,896076375
2001-03-30,830566875
2001-04-02,976208115
2001-04-03,921671349
2001-04-04,935305541
2001-04-05,998022822
2001-04-06,973481277
2001-04-09,1003912793
2001-04-10,1097279736
2001-04-11,1043179264
2001-04-12,1120839663
2001-04-16,1071102045
2001-04-17,1071102045
2001-04-18,1223368784
2001-04-19,1300156463
2001-04-20,1230349490
2001-04-23,1134364738
2001-04-24,1124766310
2001-04-25,1169268224
2001-04-26,1215951783
2001-04-27,1266998197
2001-04-30,1352948097
2001-05-01,1356002156
2001-05-02,1335060037
2001-05-03,1300156463
2001-05-04,1249546344
2001-05-07,1212461430
2001-05-08,1201990284
2001-05-09,1181920798
2001-05-10,1188465210
2001-05-11,1153561723
2001-05-14,1153998017
2001-05-15,1165341577
2001-05-16,1217696916
2001-05-17,1308882390
2001-05-18,1309754978
2001-05-21,1375199097
2001-05-22,1368218435
2001-05-23,1361237729
2001-05-24,1360801435
2001-05-25,1359492509
2001-05-29,1353820729
2001-05-30,1353820729
2001-05-31,1392214568
2001-06-01,1467693409
2001-06-04,1520484955
2001-06-05,1605562354
2001-06-06,1597272853
2001-06-07,1594218794
2001-06-08,1565423382
2001-06-11,1616469708
2001-06-12,1531828734
2001-06-13,1489944541
2001-06-14,1474674115
2001-06-15,1526593248
2001-06-18,1459403908
2001-06-19,1480782233
2001-06-20,1493434806
2001-06-21,1561060353
2001-06-22,1489944541
2001-06-25,1472056481
2001-06-26,1486890482
2001-06-27,1485145262
2001-06-28,1487762896
2001-06-29,1511759247
2001-07-02,1465795190
2001-07-03,1477060451
2001-07-05,1391703732
2001-07-06,1323678360
2001-07-09,1350975209
2001-07-10,1278183729
2001-07-11,1256086315
2001-07-12,1178528769
2001-07-13,1195860031
2001-07-16,1124368442
2001-07-17,1169863074
2001-07-18,1211891444
2001-07-19,1251320163
2001-07-20,1275150750
2001-07-23,1239188293
2001-07-24,1171162965
2001-07-25,1195860031
2001-07-26,1191527205
2001-07-27,1159031008
2001-07-30,1158164443
2001-07-31,1164230443
2001-08-01,1268218228
2001-08-02,1194560183
2001-08-03,1176362313
2001-08-06,1167696704
2001-08-07,1221857031
2001-08-08,1118735724
2001-08-09,1184594683
2001-08-10,1159464291
2001-08-13,1225323292
2001-08-14,1244820967
2001-08-15,1189360835
2001-08-16,1239188293
2001-08-17,1210591683
2001-08-20,1206692096
2001-08-21,1202359270
2001-08-22,1234422184
2001-08-23,1305480490
2001-08-24,1321511991
2001-08-27,1351408535
2001-08-28,1325844817
2001-08-29,1342742839
2001-08-30,1306347099
2001-08-31,1305047294
2001-09-04,1295515033
2001-09-05,1334077230
2001-09-06,1273850902
2001-09-07,1223590118
2001-09-10,1177228878
2001-09-17,996550026
2001-09-18,989184221
2001-09-19,942389698
2001-09-20,899061436
2001-09-21,892562197
2001-09-24,947589133
2001-09-25,918992393
2001-09-26,922458741
2001-09-27,975752460
2001-09-28,963620546
2001-10-01,991789800
2001-10-02,1047665328
2001-10-03,1141518680
2001-10-04,1110088720
2001-10-05,1084333614
2001-10-08,1048538382
2001-10-09,1063816878
2001-10-10,1182988766
2001-10-11,1179060021
2001-10-12,1014489259
2001-10-15,1008377878
2001-10-16,1004012606
