,MTB
2000-01-03,3135292599
2000-01-04,3034278500
2000-01-05,3048158300
2000-01-06,3083628900
2000-01-07,3138377000
2000-01-10,3140690299
2000-01-11,3048158300
2000-01-12,3083628900
2000-01-13,3163823300
2000-01-14,3240933300
2000-01-18,3238620000
2000-01-19,3176932000
2000-01-20,3152256800
2000-01-21,3175389800
2000-01-24,3122955000
2000-01-25,3122955000
2000-01-26,3234764500
2000-01-27,3238620000
2000-01-28,3134521500
2000-01-31,3169221000
2000-02-01,3095966500
2000-02-02,3115244000
2000-02-03,3085942200
2000-02-04,3125268300
2000-02-07,3102135299
2000-02-08,3111388500
2000-02-09,3092882100
2000-02-10,3092111000
2000-02-11,3084400000
2000-02-14,3084400000
2000-02-15,3022712000
2000-02-16,2995723500
2000-02-17,2967192799
2000-02-18,2899336000
2000-02-22,2868492000
2000-02-23,2837648000
2000-02-24,2849214500
2000-02-25,2847672300
2000-02-28,2833021400
2000-02-29,2845359000
2000-03-01,2852298900
2000-03-02,2853070000
2000-03-03,2853070000
2000-03-06,2891625000
2000-03-07,2837648000
2000-03-08,2806804000
2000-03-09,2841503500
2000-03-10,2882371800
2000-03-13,2940975400
2000-03-14,2957939600
2000-03-15,3034278500
2000-03-16,3273319500
2000-03-17,3466865600
2000-03-20,3376646900
2000-03-21,3369707000
2000-03-22,3419828500
2000-03-23,3379731300
2000-03-24,3460696800
2000-03-27,3431395000
2000-03-28,3410575299
2000-03-29,3469178900
2000-03-30,3419828500
2000-03-31,3421529500
2000-04-03,3570958000
2000-04-04,3541072300
2000-04-05,3486665000
2000-04-06,3494328000
2000-04-07,3421529500
2000-04-10,3368654800
2000-04-11,3509654000
2000-04-12,3524980000
2000-04-13,3583985100
2000-04-14,3440687000
2000-04-17,3333405000
2000-04-18,3425361000
2000-04-19,3345665799
2000-04-20,3410801300
2000-04-24,3420763200
2000-04-25,3460610799
2000-04-26,3333405000
2000-04-27,3341068000
2000-04-28,3366355900
2000-05-01,3356394000
2000-05-02,3344899500
2000-05-03,3271334700
2000-05-04,3265204300
2000-05-05,3370953700
2000-05-08,3282062900
2000-05-09,3233019700
2000-05-10,3108112800
2000-05-11,3130335500
2000-05-12,3165585300
2000-05-15,3195471000
2000-05-16,3180145000
2000-05-17,3072096700
2000-05-18,3105813900
2000-05-19,3067498900
2000-05-22,3142596300
2000-05-23,3233786000
2000-05-24,3343366900
2000-05-25,3376317800
2000-05-26,3387046000
2000-05-30,3458311900
2000-05-31,3314247500
2000-06-01,3482833500
2000-06-02,3639925000
2000-06-05,3601610000
2000-06-06,3532643000
2000-06-07,3524980000
2000-06-08,3498159500
2000-06-09,3402372000
2000-06-12,3441453299
2000-06-13,3452947800
2000-06-14,3458311900
2000-06-15,3448350000
2000-06-16,3357926600
2000-06-19,3386279700
2000-06-20,3347964700
2000-06-21,3305051900
2000-06-22,3324209400
2000-06-23,3387046000
2000-06-26,3402372000
2000-06-27,3382448200
2000-06-28,3410035000
2000-06-29,3451415200
2000-06-30,3453660000
2000-07-03,3453660000
2000-07-05,3461334800
2000-07-06,3454427480
2000-07-07,3522733200
2000-07-10,3498173840
2000-07-11,3611760880
2000-07-12,3637855200
2000-07-13,3729952800
2000-07-14,3668554400
2000-07-17,3741465000
2000-07-18,3759117039
2000-07-19,3628645440
2000-07-20,3710765800
2000-07-21,3646297480
2000-07-24,3657042200
2000-07-25,3660879600
2000-07-26,3643995039
2000-07-27,3584131600
2000-07-28,3607923480
2000-07-31,3625575520
2000-08-01,3653972280
2000-08-02,3630180400
2000-08-03,3751442240
2000-08-04,3802863400
2000-08-07,3782908920
2000-08-08,3748372320
2000-08-09,3727650360
2000-08-10,3871169120
2000-08-11,3851214640
2000-08-14,3872704080
2000-08-15,3860424400
2000-08-16,3779839000
2000-08-17,3725347920
2000-08-18,3719975560
2000-08-21,3690043840
2000-08-22,3701556039
2000-08-23,3678531640
2000-08-24,3643995039
2000-08-25,3668554400
2000-08-28,3697718640
2000-08-29,3744534920
2000-08-30,3701556039
2000-08-31,3719975560
2000-09-01,3732255240
2000-09-05,3739930039
2000-09-06,3753744679
2000-09-07,3964034200
2000-09-08,3937172400
2000-09-11,3905705720
2000-09-12,3912613039
2000-09-13,3936404920
2000-09-14,3990896000
2000-09-15,4010083000
2000-09-18,3829725200
2000-09-19,3875774000
2000-09-20,3914148000
2000-09-21,3799026000
2000-09-22,3776769080
2000-09-25,3795188600
2000-09-26,3837400000
2000-09-27,3853517080
2000-09-28,3990896000
2000-09-29,3914148000
2000-10-02,4744067673
2000-10-03,4826813040
2000-10-04,4766133104
2000-10-05,4790037321
2000-10-06,4716485884
2000-10-09,4702694990
2000-10-10,4666838664
2000-10-11,4403892278
2000-10-12,4376310489
2000-10-13,4486637644
2000-10-16,4458136463
2000-10-17,4436071032
2000-10-18,4384585026
2000-10-19,4403892278
2000-10-20,4427796495
2000-10-23,4403892278
2000-10-24,4463652820
2000-10-25,4629143553
2000-10-26,4550995152
2000-10-27,4610755694
2000-10-30,4596964800
2000-10-31,4615352659
2000-11-01,4803828216
2000-11-02,4800150644
2000-11-03,4790037321
2000-11-06,4780843392
2000-11-07,4780843392
2000-11-08,4794634286
2000-11-09,4780843392
2000-11-10,4776246427
2000-11-13,4670516236
2000-11-14,4665919272
2000-11-15,4652128377
2000-11-16,4652128377
2000-11-17,4528010328
2000-11-20,4564786046
2000-11-21,4587770870
2000-11-22,4560189081
2000-11-24,4551914544
2000-11-27,4539043043
2000-11-28,5010691632
2000-11-29,5011611024
2000-11-30,5034595848
2000-12-01,5111824857
2000-12-04,5144003611
2000-12-05,5287428912
2000-12-06,5383045780
2000-12-07,5507163830
2000-12-08,5764593859
2000-12-11,5726898747
2000-12-12,5562327408
2000-12-13,5502566865
2000-12-14,5512680188
2000-12-15,5520035331
2000-12-18,5635878844
2000-12-19,5828951366
2000-12-20,5865727084
2000-12-21,5884114944
2000-12-22,5930084592
2000-12-26,5958585773
2000-12-27,6086381395
2000-12-28,6251872128
