,GME
2002-02-13,1091207440
2002-02-14,1086860000
2002-02-15,1082512560
2002-02-19,1039038160
2002-02-20,1073817680
2002-02-21,1069470240
2002-02-22,1052080480
2002-02-25,1060775360
2002-02-26,1060775360
2002-02-27,1039038160
2002-02-28,1039038160
2002-03-01,1052080480
2002-03-04,1069470240
2002-03-05,1047733040
2002-03-06,1052080480
2002-03-07,1108597200
2002-03-08,1134681840
2002-03-11,1152071600
2002-03-12,1152071600
2002-03-13,1143376720
2002-03-14,1143376720
2002-03-15,1104249760
2002-03-18,1047733040
2002-03-19,1017300959
2002-03-20,978174000
2002-03-21,1017300959
2002-03-22,1047733040
2002-03-25,1073817680
2002-03-26,1086860000
2002-03-27,1121639520
2002-03-28,1099902320
2002-04-01,1034690720
2002-04-02,1012953520
2002-04-03,1012953520
2002-04-04,1030343280
2002-04-05,1004258640
2002-04-08,995563760
2002-04-09,1030343280
2002-04-10,1030343280
2002-04-11,1004258640
2002-04-12,991216319
2002-04-15,1008606079
2002-04-16,1034690720
2002-04-17,1078165120
2002-04-18,1078165120
2002-04-19,1099902320
2002-04-22,1086860000
2002-04-23,1060775360
2002-04-24,1056427920
2002-04-25,1052080480
2002-04-26,1047733040
2002-04-29,1025995840
2002-04-30,1034690720
2002-05-01,1164144640
2002-05-02,1182334400
2002-05-03,1182334400
2002-05-06,1236903680
2002-05-07,1223261360
2002-05-08,1273283200
2002-05-09,1300567840
2002-05-10,1255093440
2002-05-13,1223261360
2002-05-14,1182334400
2002-05-15,1127765120
2002-05-16,1173239520
2002-05-17,1205071600
2002-05-20,1214166480
2002-05-21,1164144640
2002-05-22,1209619040
2002-05-23,1273283200
2002-05-24,1332399920
2002-05-28,1377874320
2002-05-29,1341494800
2002-05-30,1323305040
2002-05-31,1373326880
2002-06-03,1323305040
2002-06-04,1332399920
2002-06-05,1323305040
2002-06-06,1323305040
2002-06-07,1305115280
2002-06-10,1277830640
2002-06-11,1291472960
2002-06-12,1273283200
2002-06-13,1305115280
2002-06-14,1277830640
2002-06-17,1309662720
2002-06-18,1282378080
2002-06-19,1309662720
2002-06-20,1245998560
2002-06-21,1195976720
2002-06-24,1168692080
2002-06-25,1136860000
2002-06-26,1077743280
2002-06-27,1136860000
2002-06-28,1191429280
2002-07-01,1123217680
2002-07-02,1064100959
2002-07-03,1050458640
2002-07-05,1082290720
2002-07-08,1127765120
2002-07-09,1109575360
2002-07-10,1091385600
2002-07-11,1045911199
2002-07-12,1004984240
2002-07-15,950414959
2002-07-16,918582880
2002-07-17,914035439
2002-07-18,909488000
2002-07-19,895845680
2002-07-22,900393120
2002-07-23,909488000
2002-07-24,1000436800
2002-07-25,964057280
2002-07-26,995889360
2002-07-29,1041363760
2002-07-30,1018626560
2002-07-31,995889360
2002-08-01,951886319
2002-08-02,860796720
2002-08-05,874460160
2002-08-06,897232560
2002-08-07,906341520
2002-08-08,847133280
2002-08-09,869905680
2002-08-12,924559439
2002-08-13,929113920
2002-08-14,983767680
2002-08-15,1029312479
2002-08-16,1079411760
2002-08-19,1134065520
2002-08-20,1193273760
2002-08-21,1220600640
2002-08-22,1165946880
2002-08-23,1124956560
2002-08-26,1175055840
2002-08-27,1175055840
2002-08-28,1188719280
2002-08-29,1220600640
2002-08-30,1184164800
2002-09-03,1138620000
2002-09-04,1061193840
2002-09-05,1093075200
2002-09-06,1115847600
2002-09-09,1143174480
2002-09-10,1161392400
2002-09-11,1184164800
2002-09-12,1161392400
2002-09-13,1115847600
2002-09-16,1152283440
2002-09-17,1161392400
2002-09-18,1143174480
2002-09-19,1156837920
2002-09-20,1143174480
2002-09-23,1134065520
2002-09-24,1106738640
2002-09-25,1120402080
2002-09-26,1175055840
2002-09-27,1211491680
2002-09-30,1165946880
2002-10-01,1138620000
2002-10-02,1129511040
2002-10-03,1088520720
2002-10-04,1097629680
2002-10-07,1061193840
2002-10-08,1074857280
2002-10-09,992876640
2002-10-10,1042975920
2002-10-11,1056639359
2002-10-14,1065748319
2002-10-15,1115847600
2002-10-16,1111293120
2002-10-17,1124956560
2002-10-18,1156837920
2002-10-21,1188719280
2002-10-22,1093075200
2002-10-23,1134065520
2002-10-24,1161392400
2002-10-25,1156837920
2002-10-28,1056639359
2002-10-29,1024758000
2002-10-30,1024758000
2002-10-31,1020203520
2002-11-01,1001985600
2002-11-04,1029312479
2002-11-05,1065748319
2002-11-06,1061193840
2002-11-07,1052084880
2002-11-08,970104240
2002-11-11,988322160
2002-11-12,1047530399
2002-11-13,1083966240
2002-11-14,1083966240
2002-11-15,1147728960
2002-11-18,1152283440
2002-11-19,1088520720
2002-11-20,1097629680
2002-11-21,1106738640
2002-11-22,1052084880
2002-11-25,1056639359
2002-11-26,1052084880
2002-11-27,1061193840
2002-11-29,1061193840
2002-12-02,1074857280
2002-12-03,1083966240
2002-12-04,1070302800
2002-12-05,1097629680
2002-12-06,1093075200
2002-12-09,1033866960
2002-12-10,1033866960
2002-12-11,979213200
2002-12-12,1029312479
2002-12-13,901787040
2002-12-16,910896000
2002-12-17,847133280
2002-12-18,760598160
2002-12-19,532874159
2002-12-20,537428640
2002-12-23,537428640
2002-12-24,519210719
2002-12-26,523765199
2002-12-27,532874159
2002-12-30,555646560
2002-12-31,560201040
2003-01-02,555646560
2003-01-03,560201040
2003-01-06,564755520
2003-01-07,573864480
2003-01-08,578418960
2003-01-09,605745840
2003-01-10,592082400
2003-01-13,601191360
2003-01-14,564755520
2003-01-15,541983120
2003-01-16,541983120
2003-01-17,541983120
2003-01-21,551092080
2003-01-22,564755520
2003-01-23,555646560
2003-01-24,537428640
2003-01-27,514656239
2003-01-28,510101760
2003-01-29,514656239
2003-01-30,505547280
2003-01-31,482774880
2003-02-03,470363920
2003-02-04,484063840
2003-02-05,470363920
2003-02-06,456664000
2003-02-07,452097360
2003-02-10,440680760
2003-02-11,433259970
2003-02-12,456664000
2003-02-13,452097360
2003-02-14,470363920
2003-02-18,579963280
2003-02-19,593663200
2003-02-20,579963280
2003-02-21,607363120
2003-02-24,589096560
2003-02-25,589096560
2003-02-26,579963280
2003-02-27,584529920
2003-02-28,598229840
2003-03-03,616496400
2003-03-04,593663200
2003-03-05,598229840
2003-03-06,616496400
2003-03-07,625629680
2003-03-10,607363120
2003-03-11,611929760
2003-03-12,630196320
2003-03-13,657596160
2003-03-14,689562640
2003-03-17,694129280
2003-03-18,689562640
2003-03-19,694129280
2003-03-20,675862720
2003-03-21,694129280
2003-03-24,671296080
2003-03-25,680429360
