,GRMN
2000-12-08,2157500000
2000-12-11,2284792500
2000-12-12,2144555000
2000-12-13,2144555000
2000-12-14,2170445000
2000-12-15,2170445000
2000-12-18,2163972500
2000-12-19,2116507500
2000-12-20,1969797500
2000-12-21,1961167500
2000-12-22,2077672500
2000-12-26,2049625000
2000-12-27,2002159999
2000-12-28,2008632500
2000-12-29,2131610000
2001-01-02,2084740920
2001-01-03,1907224040
2001-01-04,1954850519
2001-01-05,1961345040
2001-01-08,1894235000
2001-01-09,1868256920
2001-01-10,1840114000
2001-01-11,1967839560
2001-01-12,2069587040
2001-01-16,2056598000
2001-01-17,2097729960
2001-01-18,2056598000
2001-01-19,1989487960
2001-01-22,1935366960
2001-01-23,1935366960
2001-01-24,1840114000
2001-01-25,1935366960
2001-01-26,2015466040
2001-01-29,2158345480
2001-01-30,2171334520
2001-01-31,2104224480
2001-02-01,2151850960
2001-02-02,2340192040
2001-02-05,2597808000
2001-02-06,2680071920
2001-02-07,2638939960
2001-02-08,2719039040
2001-02-09,2597808000
2001-02-12,2543687000
2001-02-13,2638939960
2001-02-14,2409466920
2001-02-15,2301224920
2001-02-16,2314213960
2001-02-20,2123708040
2001-02-21,2123708040
2001-02-22,2008971519
2001-02-23,2218961000
2001-02-26,2296895240
2001-02-27,2381324000
2001-02-28,2368334960
2001-03-01,2164840000
2001-03-02,2177829040
2001-03-05,2260092960
2001-03-06,2164840000
2001-03-07,2231950040
2001-03-08,2151850960
2001-03-09,2123708040
2001-03-12,1961345040
2001-03-13,2043608960
2001-03-14,2145356440
2001-03-15,2192982920
2001-03-16,2130202560
2001-03-19,2097729960
2001-03-20,2069587040
2001-03-21,2158345480
2001-03-22,2123708040
2001-03-23,2164840000
2001-03-26,2192982920
2001-03-27,2138861920
2001-03-28,2030619920
2001-03-29,2063092519
2001-03-30,2151850960
2001-04-02,2138861920
2001-04-03,2002477000
2001-04-04,2171334520
2001-04-05,2192982920
2001-04-06,2069587040
2001-04-09,1976498920
2001-04-10,2008971519
2001-04-11,1982993440
2001-04-12,1959180200
2001-04-16,1954850519
2001-04-17,1991652799
2001-04-18,1948356000
2001-04-19,1948356000
2001-04-20,2008971519
2001-04-23,2000312160
2001-04-24,1991652799
2001-04-25,1970004400
2001-04-26,2017630880
2001-04-27,2171334520
2001-04-30,2273082000
2001-05-01,2331532680
2001-05-02,2273082000
2001-05-03,2279576520
2001-05-04,2366170120
2001-05-07,2359675600
2001-05-08,2491730840
2001-05-09,2535027640
2001-05-10,2649764160
2001-05-11,2586983800
2001-05-14,2467917600
2001-05-15,2550181520
2001-05-16,2498225360
2001-05-17,2671412560
2001-05-18,2625950920
2001-05-21,2558840880
2001-05-22,2489566000
2001-05-23,2480906640
2001-05-24,2522038600
2001-05-25,2498225360
2001-05-29,2387818520
2001-05-30,2197312600
2001-05-31,2164840000
2001-06-01,2164840000
2001-06-04,2151850960
2001-06-05,2257928120
2001-06-06,2307719440
2001-06-07,2392148200
2001-06-08,2446269200
2001-06-11,2376994320
2001-06-12,2396477880
2001-06-13,2381324000
2001-06-14,2381324000
2001-06-15,2441939520
2001-06-18,2409466920
2001-06-19,2409466920
2001-06-20,2431115320
2001-06-21,2389983360
2001-06-22,2435445000
2001-06-25,2426785640
2001-06-26,2420291120
2001-06-27,2489566000
2001-06-28,2489566000
2001-06-29,2474412120
2001-07-02,2506884720
2001-07-03,2506884720
2001-07-05,2511214400
2001-07-06,2526368280
2001-07-09,2522038600
2001-07-10,2528533120
2001-07-11,2426785640
2001-07-12,2461423080
2001-07-13,2463587920
2001-07-16,2446269200
2001-07-17,2450598880
2001-07-18,2424620800
2001-07-19,2457093400
2001-07-20,2474412120
2001-07-23,2457093400
2001-07-24,2294730400
2001-07-25,2253598440
2001-07-26,2273082000
2001-07-27,2381324000
2001-07-30,2381324000
2001-07-31,2359675600
2001-08-01,2225455520
2001-08-02,2134532239
2001-08-03,2078246400
2001-08-06,2145356440
2001-08-07,2141026760
2001-08-08,2117213519
2001-08-09,2099894799
2001-08-10,2110719000
2001-08-13,2063092519
2001-08-14,2067422200
2001-08-15,2086905760
2001-08-16,2076081560
2001-08-17,2063092519
2001-08-20,2052268320
2001-08-21,2058762840
2001-08-22,2147521280
2001-08-23,2132367400
2001-08-24,2164840000
2001-08-27,2132367400
2001-08-28,2125872880
2001-08-29,2154015800
2001-08-30,2138861920
2001-08-31,2149686120
2001-09-04,2171334520
2001-09-05,2184323560
2001-09-06,2186488400
2001-09-07,2132367400
2001-09-10,2164840000
2001-09-17,2056598000
2001-09-18,1948356000
2001-09-19,1816300760
2001-09-20,1558684800
2001-09-21,1569509000
2001-09-24,1710223600
2001-09-25,1666926800
2001-09-26,1727542320
2001-09-27,1727542320
